,date,value,name_B08X67FB7R
112,2021-06-21,21434.0,Bath & Shower Grab Bars
113,2021-06-22,25806.0,Bath & Shower Grab Bars
114,2021-06-23,25806.0,Bath & Shower Grab Bars
115,2021-06-24,25806.0,Bath & Shower Grab Bars
116,2021-06-25,25806.0,Bath & Shower Grab Bars
117,2021-06-26,19552.0,Bath & Shower Grab Bars
118,2021-06-27,19552.0,Bath & Shower Grab Bars
119,2021-06-28,19552.0,Bath & Shower Grab Bars
120,2021-06-29,31198.0,Bath & Shower Grab Bars
121,2021-06-30,23767.0,Bath & Shower Grab Bars
122,2021-07-01,23767.0,Bath & Shower Grab Bars
123,2021-07-02,23767.0,Bath & Shower Grab Bars
124,2021-07-03,23767.0,Bath & Shower Grab Bars
125,2021-07-04,23767.0,Bath & Shower Grab Bars
126,2021-07-05,22278.0,Bath & Shower Grab Bars
127,2021-07-06,22278.0,Bath & Shower Grab Bars
128,2021-07-07,22278.0,Bath & Shower Grab Bars
129,2021-07-08,22278.0,Bath & Shower Grab Bars
130,2021-07-09,22278.0,Bath & Shower Grab Bars
131,2021-07-10,22278.0,Bath & Shower Grab Bars
132,2021-07-11,21878.0,Bath & Shower Grab Bars
