,date,value,name_B07ZT5L2KG
314,2020-09-14,7886.0,Recliner Slipcovers
315,2020-09-15,7886.0,Recliner Slipcovers
316,2020-09-16,7886.0,Recliner Slipcovers
317,2020-09-17,6451.0,Recliner Slipcovers
318,2020-09-18,5783.0,Recliner Slipcovers
319,2020-09-19,5783.0,Recliner Slipcovers
320,2020-09-20,5673.0,Recliner Slipcovers
321,2020-09-21,5673.0,Recliner Slipcovers
322,2020-09-22,6752.0,Recliner Slipcovers
323,2020-09-23,6752.0,Recliner Slipcovers
324,2020-09-24,6733.0,Recliner Slipcovers
325,2020-09-25,5789.0,Recliner Slipcovers
326,2020-09-26,5303.0,Recliner Slipcovers
327,2020-09-27,4992.0,Recliner Slipcovers
328,2020-09-28,4992.0,Recliner Slipcovers
329,2020-09-29,6143.0,Recliner Slipcovers
330,2020-09-30,6143.0,Recliner Slipcovers
331,2020-10-01,6649.0,Recliner Slipcovers
332,2020-10-02,6649.0,Recliner Slipcovers
333,2020-10-03,6649.0,Recliner Slipcovers
334,2020-10-04,6649.0,Recliner Slipcovers
335,2020-10-05,4796.0,Recliner Slipcovers
336,2020-10-06,4796.0,Recliner Slipcovers
337,2020-10-07,4796.0,Recliner Slipcovers
338,2020-10-08,5472.0,Recliner Slipcovers
339,2020-10-09,5472.0,Recliner Slipcovers
340,2020-10-10,6278.0,Recliner Slipcovers
341,2020-10-11,6278.0,Recliner Slipcovers
342,2020-10-12,6278.0,Recliner Slipcovers
343,2020-10-13,8271.0,Recliner Slipcovers
344,2020-10-14,7682.0,Recliner Slipcovers
345,2020-10-15,7922.0,Recliner Slipcovers
346,2020-10-16,7922.0,Recliner Slipcovers
347,2020-10-17,7792.0,Recliner Slipcovers
348,2020-10-18,7792.0,Recliner Slipcovers
349,2020-10-19,7792.0,Recliner Slipcovers
350,2020-10-20,9883.0,Recliner Slipcovers
351,2020-10-21,9883.0,Recliner Slipcovers
352,2020-10-22,12549.0,Recliner Slipcovers
353,2020-10-23,12549.0,Recliner Slipcovers
354,2020-10-24,12549.0,Recliner Slipcovers
355,2020-10-25,10896.0,Recliner Slipcovers
356,2020-10-26,14281.0,Recliner Slipcovers
357,2020-10-27,14281.0,Recliner Slipcovers
358,2020-10-28,14281.0,Recliner Slipcovers
359,2020-10-29,8947.0,Recliner Slipcovers
360,2020-10-30,8792.0,Recliner Slipcovers
361,2020-10-31,8792.0,Recliner Slipcovers
362,2020-11-01,8792.0,Recliner Slipcovers
363,2020-11-02,6834.0,Recliner Slipcovers
364,2020-11-03,8083.0,Recliner Slipcovers
365,2020-11-04,8534.0,Recliner Slipcovers
366,2020-11-05,8534.0,Recliner Slipcovers
367,2020-11-06,8534.0,Recliner Slipcovers
368,2020-11-07,8508.0,Recliner Slipcovers
369,2020-11-08,8508.0,Recliner Slipcovers
370,2020-11-09,10562.0,Recliner Slipcovers
371,2020-11-10,10895.0,Recliner Slipcovers
372,2020-11-11,10388.0,Recliner Slipcovers
373,2020-11-12,10388.0,Recliner Slipcovers
374,2020-11-13,9459.0,Recliner Slipcovers
375,2020-11-14,10135.0,Recliner Slipcovers
376,2020-11-15,12004.0,Recliner Slipcovers
377,2020-11-16,11280.0,Recliner Slipcovers
378,2020-11-17,11280.0,Recliner Slipcovers
379,2020-11-18,9424.0,Recliner Slipcovers
380,2020-11-19,8738.0,Recliner Slipcovers
381,2020-11-20,8738.0,Recliner Slipcovers
382,2020-11-21,8738.0,Recliner Slipcovers
383,2020-11-22,6764.0,Recliner Slipcovers
384,2020-11-23,8903.0,Recliner Slipcovers
385,2020-11-24,8903.0,Recliner Slipcovers
386,2020-11-25,7467.0,Recliner Slipcovers
387,2020-11-26,7467.0,Recliner Slipcovers
388,2020-11-27,9367.0,Recliner Slipcovers
389,2020-11-28,9367.0,Recliner Slipcovers
390,2020-11-29,9314.0,Recliner Slipcovers
391,2020-11-30,12324.0,Recliner Slipcovers
392,2020-12-01,16560.0,Recliner Slipcovers
393,2020-12-02,16560.0,Recliner Slipcovers
394,2020-12-03,16560.0,Recliner Slipcovers
395,2020-12-04,10641.0,Recliner Slipcovers
396,2020-12-05,10641.0,Recliner Slipcovers
397,2020-12-06,10641.0,Recliner Slipcovers
398,2020-12-07,11430.0,Recliner Slipcovers
399,2020-12-08,11430.0,Recliner Slipcovers
400,2020-12-09,11430.0,Recliner Slipcovers
401,2020-12-10,16874.0,Recliner Slipcovers
402,2020-12-11,16874.0,Recliner Slipcovers
403,2020-12-12,16874.0,Recliner Slipcovers
404,2020-12-13,16874.0,Recliner Slipcovers
405,2020-12-14,16874.0,Recliner Slipcovers
406,2020-12-15,16874.0,Recliner Slipcovers
407,2020-12-16,21509.0,Recliner Slipcovers
408,2020-12-17,21509.0,Recliner Slipcovers
409,2020-12-18,16929.0,Recliner Slipcovers
410,2020-12-19,16929.0,Recliner Slipcovers
411,2020-12-20,16929.0,Recliner Slipcovers
412,2020-12-21,16929.0,Recliner Slipcovers
413,2020-12-22,12006.0,Recliner Slipcovers
414,2020-12-23,12006.0,Recliner Slipcovers
415,2020-12-24,10542.0,Recliner Slipcovers
416,2020-12-25,10542.0,Recliner Slipcovers
417,2020-12-26,10542.0,Recliner Slipcovers
418,2020-12-27,10542.0,Recliner Slipcovers
419,2020-12-28,7214.0,Recliner Slipcovers
420,2020-12-29,7214.0,Recliner Slipcovers
421,2020-12-30,7214.0,Recliner Slipcovers
422,2020-12-31,6214.0,Recliner Slipcovers
423,2021-01-01,5889.0,Recliner Slipcovers
424,2021-01-02,5889.0,Recliner Slipcovers
425,2021-01-03,5889.0,Recliner Slipcovers
426,2021-01-04,4605.0,Recliner Slipcovers
427,2021-01-05,4087.0,Recliner Slipcovers
428,2021-01-06,4624.0,Recliner Slipcovers
429,2021-01-07,4264.0,Recliner Slipcovers
430,2021-01-08,4264.0,Recliner Slipcovers
431,2021-01-09,3701.0,Recliner Slipcovers
432,2021-01-10,3701.0,Recliner Slipcovers
433,2021-01-11,4244.0,Recliner Slipcovers
434,2021-01-12,4654.0,Recliner Slipcovers
435,2021-01-13,4271.0,Recliner Slipcovers
436,2021-01-14,4271.0,Recliner Slipcovers
437,2021-01-15,3439.0,Recliner Slipcovers
438,2021-01-16,3439.0,Recliner Slipcovers
439,2021-01-17,3259.0,Recliner Slipcovers
440,2021-01-18,3678.0,Recliner Slipcovers
441,2021-01-19,3678.0,Recliner Slipcovers
442,2021-01-20,3678.0,Recliner Slipcovers
443,2021-01-21,3584.0,Recliner Slipcovers
444,2021-01-22,3584.0,Recliner Slipcovers
445,2021-01-23,3584.0,Recliner Slipcovers
446,2021-01-24,3640.0,Recliner Slipcovers
447,2021-01-25,3640.0,Recliner Slipcovers
448,2021-01-26,3640.0,Recliner Slipcovers
449,2021-01-27,7848.0,Recliner Slipcovers
450,2021-01-28,7848.0,Recliner Slipcovers
451,2021-01-29,7848.0,Recliner Slipcovers
452,2021-01-30,10159.0,Recliner Slipcovers
453,2021-01-31,10159.0,Recliner Slipcovers
454,2021-02-01,11535.0,Recliner Slipcovers
455,2021-02-02,11535.0,Recliner Slipcovers
456,2021-02-03,18447.0,Recliner Slipcovers
457,2021-02-04,18447.0,Recliner Slipcovers
458,2021-02-05,18447.0,Recliner Slipcovers
459,2021-02-06,18447.0,Recliner Slipcovers
460,2021-02-07,17642.0,Recliner Slipcovers
461,2021-02-08,18130.0,Recliner Slipcovers
462,2021-02-09,18130.0,Recliner Slipcovers
463,2021-02-10,18130.0,Recliner Slipcovers
464,2021-02-11,21840.0,Recliner Slipcovers
465,2021-02-12,21840.0,Recliner Slipcovers
466,2021-02-13,21840.0,Recliner Slipcovers
467,2021-02-14,18642.0,Recliner Slipcovers
468,2021-02-15,18642.0,Recliner Slipcovers
469,2021-02-16,18642.0,Recliner Slipcovers
470,2021-02-17,13668.0,Recliner Slipcovers
471,2021-02-18,10084.0,Recliner Slipcovers
472,2021-02-19,8988.0,Recliner Slipcovers
473,2021-02-20,9447.0,Recliner Slipcovers
474,2021-02-21,9447.0,Recliner Slipcovers
475,2021-02-22,7533.0,Recliner Slipcovers
476,2021-02-23,7533.0,Recliner Slipcovers
477,2021-02-24,7405.0,Recliner Slipcovers
478,2021-02-25,7530.0,Recliner Slipcovers
479,2021-02-26,7530.0,Recliner Slipcovers
480,2021-02-27,7530.0,Recliner Slipcovers
481,2021-02-28,5674.0,Recliner Slipcovers
482,2021-03-01,5722.0,Recliner Slipcovers
483,2021-03-02,5722.0,Recliner Slipcovers
484,2021-03-03,5529.0,Recliner Slipcovers
485,2021-03-04,5628.0,Recliner Slipcovers
486,2021-03-05,5163.0,Recliner Slipcovers
487,2021-03-06,5163.0,Recliner Slipcovers
488,2021-03-07,5163.0,Recliner Slipcovers
489,2021-03-08,7288.0,Recliner Slipcovers
490,2021-03-09,6899.0,Recliner Slipcovers
491,2021-03-10,6899.0,Recliner Slipcovers
492,2021-03-11,6899.0,Recliner Slipcovers
493,2021-03-12,9073.0,Recliner Slipcovers
494,2021-03-13,9073.0,Recliner Slipcovers
495,2021-03-14,9816.0,Recliner Slipcovers
496,2021-03-15,9816.0,Recliner Slipcovers
497,2021-03-16,9562.0,Recliner Slipcovers
498,2021-03-17,6688.0,Recliner Slipcovers
499,2021-03-18,6688.0,Recliner Slipcovers
500,2021-03-19,5470.0,Recliner Slipcovers
501,2021-03-20,5470.0,Recliner Slipcovers
502,2021-03-21,5470.0,Recliner Slipcovers
503,2021-03-22,4658.0,Recliner Slipcovers
504,2021-03-23,4658.0,Recliner Slipcovers
505,2021-03-24,4476.0,Recliner Slipcovers
506,2021-03-25,5150.0,Recliner Slipcovers
507,2021-03-26,5150.0,Recliner Slipcovers
508,2021-03-27,5769.0,Recliner Slipcovers
509,2021-03-28,5769.0,Recliner Slipcovers
510,2021-03-29,5769.0,Recliner Slipcovers
511,2021-03-30,5769.0,Recliner Slipcovers
512,2021-03-31,5978.0,Recliner Slipcovers
513,2021-04-01,6554.0,Recliner Slipcovers
514,2021-04-02,6554.0,Recliner Slipcovers
515,2021-04-03,5875.0,Recliner Slipcovers
516,2021-04-04,5642.0,Recliner Slipcovers
517,2021-04-05,5642.0,Recliner Slipcovers
518,2021-04-06,7270.0,Recliner Slipcovers
519,2021-04-07,6364.0,Recliner Slipcovers
520,2021-04-08,7918.0,Recliner Slipcovers
521,2021-04-09,6050.0,Recliner Slipcovers
522,2021-04-10,6050.0,Recliner Slipcovers
523,2021-04-11,6050.0,Recliner Slipcovers
524,2021-04-12,7168.0,Recliner Slipcovers
525,2021-04-13,7168.0,Recliner Slipcovers
526,2021-04-14,6249.0,Recliner Slipcovers
527,2021-04-15,6249.0,Recliner Slipcovers
528,2021-04-16,6133.0,Recliner Slipcovers
529,2021-04-17,6194.0,Recliner Slipcovers
530,2021-04-18,6194.0,Recliner Slipcovers
531,2021-04-19,6194.0,Recliner Slipcovers
532,2021-04-20,6612.0,Recliner Slipcovers
533,2021-04-21,6612.0,Recliner Slipcovers
534,2021-04-22,6707.0,Recliner Slipcovers
535,2021-04-23,6707.0,Recliner Slipcovers
536,2021-04-24,5932.0,Recliner Slipcovers
537,2021-04-25,5932.0,Recliner Slipcovers
538,2021-04-26,5907.0,Recliner Slipcovers
539,2021-04-27,5836.0,Recliner Slipcovers
540,2021-04-28,5836.0,Recliner Slipcovers
541,2021-04-29,5796.0,Recliner Slipcovers
542,2021-04-30,5796.0,Recliner Slipcovers
543,2021-05-01,6738.0,Recliner Slipcovers
544,2021-05-02,4805.0,Recliner Slipcovers
545,2021-05-03,4805.0,Recliner Slipcovers
546,2021-05-04,6329.0,Recliner Slipcovers
547,2021-05-05,6846.0,Recliner Slipcovers
548,2021-05-06,6846.0,Recliner Slipcovers
549,2021-05-07,7049.0,Recliner Slipcovers
550,2021-05-08,7049.0,Recliner Slipcovers
551,2021-05-09,6361.0,Recliner Slipcovers
552,2021-05-10,6361.0,Recliner Slipcovers
553,2021-05-11,5798.0,Recliner Slipcovers
554,2021-05-12,6217.0,Recliner Slipcovers
555,2021-05-13,6217.0,Recliner Slipcovers
556,2021-05-14,5874.0,Recliner Slipcovers
557,2021-05-15,5874.0,Recliner Slipcovers
