,date,value,name_B08DRSRVMF
208,2021-03-17,23774.0,Place Mats
209,2021-03-18,25166.0,Place Mats
210,2021-03-19,25166.0,Place Mats
211,2021-03-20,12895.0,Place Mats
212,2021-03-21,18292.0,Place Mats
213,2021-03-22,18292.0,Place Mats
214,2021-03-23,23119.0,Place Mats
215,2021-03-24,23365.0,Place Mats
216,2021-03-25,23365.0,Place Mats
217,2021-03-26,23103.0,Place Mats
218,2021-03-27,22717.0,Place Mats
219,2021-03-28,22717.0,Place Mats
220,2021-03-29,22717.0,Place Mats
221,2021-03-30,27793.0,Place Mats
222,2021-03-31,27793.0,Place Mats
223,2021-04-01,20905.0,Place Mats
224,2021-04-02,20905.0,Place Mats
225,2021-04-03,20905.0,Place Mats
226,2021-04-04,19290.0,Place Mats
227,2021-04-05,19290.0,Place Mats
228,2021-04-06,19290.0,Place Mats
229,2021-04-07,17810.0,Place Mats
230,2021-04-08,17810.0,Place Mats
231,2021-04-09,16114.0,Place Mats
232,2021-04-10,16114.0,Place Mats
233,2021-04-11,16114.0,Place Mats
234,2021-04-12,16114.0,Place Mats
235,2021-04-13,16114.0,Place Mats
236,2021-04-14,17938.0,Place Mats
237,2021-04-15,17938.0,Place Mats
238,2021-04-16,18279.0,Place Mats
239,2021-04-17,18279.0,Place Mats
240,2021-04-18,18279.0,Place Mats
241,2021-04-19,18279.0,Place Mats
242,2021-04-20,21340.0,Place Mats
243,2021-04-21,21340.0,Place Mats
244,2021-04-22,21340.0,Place Mats
245,2021-04-23,15652.0,Place Mats
246,2021-04-24,15652.0,Place Mats
247,2021-04-25,15652.0,Place Mats
248,2021-04-26,15652.0,Place Mats
249,2021-04-27,17756.0,Place Mats
