,date,value,name_B08J8BGWCR
71,2020-11-30,20259.0,Business Envelopes
72,2020-12-01,7795.0,Business Envelopes
73,2020-12-02,7795.0,Business Envelopes
74,2020-12-03,7795.0,Business Envelopes
75,2020-12-04,4145.0,Business Envelopes
76,2020-12-05,4145.0,Business Envelopes
77,2020-12-06,4145.0,Business Envelopes
78,2020-12-07,4145.0,Business Envelopes
79,2020-12-08,6806.0,Business Envelopes
80,2020-12-09,4202.0,Business Envelopes
81,2020-12-10,4202.0,Business Envelopes
82,2020-12-11,4896.0,Business Envelopes
83,2020-12-12,4896.0,Business Envelopes
84,2020-12-13,4896.0,Business Envelopes
85,2020-12-14,4896.0,Business Envelopes
86,2020-12-15,4896.0,Business Envelopes
87,2020-12-16,4227.0,Business Envelopes
88,2020-12-17,4227.0,Business Envelopes
89,2020-12-18,3660.0,Business Envelopes
90,2020-12-19,3660.0,Business Envelopes
91,2020-12-20,3660.0,Business Envelopes
92,2020-12-21,7658.0,Business Envelopes
93,2020-12-22,7658.0,Business Envelopes
94,2020-12-23,2799.0,Business Envelopes
95,2020-12-24,2799.0,Business Envelopes
96,2020-12-25,3287.0,Business Envelopes
97,2020-12-26,3287.0,Business Envelopes
98,2020-12-27,3287.0,Business Envelopes
99,2020-12-28,8320.0,Business Envelopes
100,2020-12-29,8320.0,Business Envelopes
101,2020-12-30,8320.0,Business Envelopes
102,2020-12-31,8320.0,Business Envelopes
103,2021-01-01,3263.0,Business Envelopes
104,2021-01-02,3263.0,Business Envelopes
105,2021-01-03,3263.0,Business Envelopes
106,2021-01-04,3263.0,Business Envelopes
107,2021-01-05,5480.0,Business Envelopes
108,2021-01-06,2539.0,Business Envelopes
109,2021-01-07,2539.0,Business Envelopes
110,2021-01-08,2890.0,Business Envelopes
111,2021-01-09,2890.0,Business Envelopes
112,2021-01-10,2890.0,Business Envelopes
113,2021-01-11,2890.0,Business Envelopes
114,2021-01-12,2890.0,Business Envelopes
115,2021-01-13,2823.0,Business Envelopes
116,2021-01-14,2823.0,Business Envelopes
117,2021-01-15,2823.0,Business Envelopes
118,2021-01-16,2704.0,Business Envelopes
119,2021-01-17,5859.0,Business Envelopes
120,2021-01-18,5859.0,Business Envelopes
121,2021-01-19,3673.0,Business Envelopes
122,2021-01-20,3673.0,Business Envelopes
123,2021-01-21,3673.0,Business Envelopes
124,2021-01-22,2141.0,Business Envelopes
125,2021-01-23,2970.0,Business Envelopes
126,2021-01-24,5961.0,Business Envelopes
127,2021-01-25,5961.0,Business Envelopes
128,2021-01-26,5961.0,Business Envelopes
129,2021-01-27,4188.0,Business Envelopes
130,2021-01-28,3097.0,Business Envelopes
131,2021-01-29,3097.0,Business Envelopes
132,2021-01-30,4608.0,Business Envelopes
133,2021-01-31,4608.0,Business Envelopes
134,2021-02-01,4608.0,Business Envelopes
135,2021-02-02,3306.0,Business Envelopes
136,2021-02-03,3306.0,Business Envelopes
137,2021-02-04,3306.0,Business Envelopes
138,2021-02-05,2920.0,Business Envelopes
139,2021-02-06,2920.0,Business Envelopes
140,2021-02-07,2920.0,Business Envelopes
141,2021-02-08,5641.0,Business Envelopes
142,2021-02-09,5641.0,Business Envelopes
143,2021-02-10,5641.0,Business Envelopes
144,2021-02-11,4004.0,Business Envelopes
145,2021-02-12,4004.0,Business Envelopes
146,2021-02-13,4004.0,Business Envelopes
147,2021-02-14,4004.0,Business Envelopes
148,2021-02-15,10893.0,Business Envelopes
149,2021-02-16,10893.0,Business Envelopes
150,2021-02-17,6755.0,Business Envelopes
151,2021-02-18,6755.0,Business Envelopes
152,2021-02-19,6755.0,Business Envelopes
153,2021-02-20,6755.0,Business Envelopes
154,2021-02-21,9220.0,Business Envelopes
155,2021-02-22,9220.0,Business Envelopes
156,2021-02-23,9220.0,Business Envelopes
157,2021-02-24,3086.0,Business Envelopes
158,2021-02-25,2788.0,Business Envelopes
159,2021-02-26,2788.0,Business Envelopes
160,2021-02-27,2788.0,Business Envelopes
161,2021-02-28,2788.0,Business Envelopes
162,2021-03-01,2788.0,Business Envelopes
163,2021-03-02,3243.0,Business Envelopes
164,2021-03-03,3243.0,Business Envelopes
165,2021-03-04,3243.0,Business Envelopes
166,2021-03-05,2641.0,Business Envelopes
167,2021-03-06,2641.0,Business Envelopes
168,2021-03-07,2641.0,Business Envelopes
169,2021-03-08,2641.0,Business Envelopes
170,2021-03-09,2784.0,Business Envelopes
171,2021-03-10,2784.0,Business Envelopes
172,2021-03-11,2784.0,Business Envelopes
173,2021-03-12,2089.0,Business Envelopes
174,2021-03-13,2089.0,Business Envelopes
175,2021-03-14,2089.0,Business Envelopes
176,2021-03-15,7530.0,Business Envelopes
177,2021-03-16,7530.0,Business Envelopes
178,2021-03-17,2763.0,Business Envelopes
179,2021-03-18,2763.0,Business Envelopes
180,2021-03-19,2763.0,Business Envelopes
181,2021-03-20,3713.0,Business Envelopes
182,2021-03-21,6174.0,Business Envelopes
183,2021-03-22,6174.0,Business Envelopes
184,2021-03-23,2775.0,Business Envelopes
185,2021-03-24,2775.0,Business Envelopes
186,2021-03-25,2775.0,Business Envelopes
187,2021-03-26,3578.0,Business Envelopes
188,2021-03-27,3578.0,Business Envelopes
189,2021-03-28,3578.0,Business Envelopes
190,2021-03-29,3578.0,Business Envelopes
191,2021-03-30,5345.0,Business Envelopes
192,2021-03-31,5345.0,Business Envelopes
193,2021-04-01,3753.0,Business Envelopes
194,2021-04-02,3753.0,Business Envelopes
195,2021-04-03,3753.0,Business Envelopes
196,2021-04-04,6333.0,Business Envelopes
197,2021-04-05,6333.0,Business Envelopes
198,2021-04-06,3452.0,Business Envelopes
199,2021-04-07,3452.0,Business Envelopes
200,2021-04-08,2916.0,Business Envelopes
201,2021-04-09,2916.0,Business Envelopes
202,2021-04-10,2916.0,Business Envelopes
203,2021-04-11,2916.0,Business Envelopes
204,2021-04-12,8945.0,Business Envelopes
205,2021-04-13,8945.0,Business Envelopes
206,2021-04-14,4150.0,Business Envelopes
207,2021-04-15,4150.0,Business Envelopes
208,2021-04-16,4150.0,Business Envelopes
209,2021-04-17,4150.0,Business Envelopes
210,2021-04-18,5954.0,Business Envelopes
211,2021-04-19,5954.0,Business Envelopes
212,2021-04-20,4824.0,Business Envelopes
213,2021-04-21,4824.0,Business Envelopes
214,2021-04-22,4824.0,Business Envelopes
215,2021-04-23,2621.0,Business Envelopes
216,2021-04-24,2621.0,Business Envelopes
217,2021-04-25,5277.0,Business Envelopes
218,2021-04-26,8424.0,Business Envelopes
219,2021-04-27,8424.0,Business Envelopes
220,2021-04-28,3650.0,Business Envelopes
221,2021-04-29,3650.0,Business Envelopes
222,2021-04-30,3650.0,Business Envelopes
223,2021-05-01,3650.0,Business Envelopes
224,2021-05-02,6006.0,Business Envelopes
225,2021-05-03,6006.0,Business Envelopes
226,2021-05-04,2558.0,Business Envelopes
227,2021-05-05,2558.0,Business Envelopes
228,2021-05-06,3463.0,Business Envelopes
229,2021-05-07,3463.0,Business Envelopes
230,2021-05-08,3710.0,Business Envelopes
231,2021-05-09,3710.0,Business Envelopes
232,2021-05-10,6850.0,Business Envelopes
233,2021-05-11,6850.0,Business Envelopes
234,2021-05-12,6850.0,Business Envelopes
235,2021-05-13,15271.0,Business Envelopes
236,2021-05-14,15271.0,Business Envelopes
237,2021-05-15,4330.0,Business Envelopes
238,2021-05-16,4330.0,Business Envelopes
239,2021-05-17,4330.0,Business Envelopes
240,2021-05-18,4931.0,Business Envelopes
241,2021-05-19,4931.0,Business Envelopes
242,2021-05-20,3696.0,Business Envelopes
243,2021-05-21,3696.0,Business Envelopes
244,2021-05-22,3696.0,Business Envelopes
245,2021-05-23,3696.0,Business Envelopes
246,2021-05-24,7301.0,Business Envelopes
247,2021-05-25,3823.0,Business Envelopes
248,2021-05-26,3823.0,Business Envelopes
249,2021-05-27,2718.0,Business Envelopes
250,2021-05-28,2378.0,Business Envelopes
251,2021-05-29,3092.0,Business Envelopes
252,2021-05-30,3092.0,Business Envelopes
253,2021-05-31,5870.0,Business Envelopes
254,2021-06-01,5423.0,Business Envelopes
255,2021-06-02,5423.0,Business Envelopes
256,2021-06-03,5423.0,Business Envelopes
257,2021-06-04,2127.0,Business Envelopes
258,2021-06-05,2127.0,Business Envelopes
259,2021-06-06,4181.0,Business Envelopes
260,2021-06-07,4181.0,Business Envelopes
261,2021-06-08,5733.0,Business Envelopes
262,2021-06-09,5733.0,Business Envelopes
263,2021-06-10,3000.0,Business Envelopes
264,2021-06-11,3000.0,Business Envelopes
265,2021-06-12,3000.0,Business Envelopes
266,2021-06-13,3000.0,Business Envelopes
267,2021-06-14,5471.0,Business Envelopes
268,2021-06-15,2895.0,Business Envelopes
269,2021-06-16,2899.0,Business Envelopes
270,2021-06-17,2899.0,Business Envelopes
271,2021-06-18,2899.0,Business Envelopes
272,2021-06-19,1513.0,Business Envelopes
273,2021-06-20,1513.0,Business Envelopes
274,2021-06-21,5817.0,Business Envelopes
275,2021-06-22,3695.0,Business Envelopes
276,2021-06-23,3127.0,Business Envelopes
277,2021-06-24,3127.0,Business Envelopes
278,2021-06-25,3127.0,Business Envelopes
279,2021-06-26,3127.0,Business Envelopes
280,2021-06-27,3127.0,Business Envelopes
281,2021-06-28,4208.0,Business Envelopes
282,2021-06-29,2360.0,Business Envelopes
283,2021-06-30,2360.0,Business Envelopes
284,2021-07-01,2360.0,Business Envelopes
285,2021-07-02,2360.0,Business Envelopes
286,2021-07-03,1487.0,Business Envelopes
287,2021-07-04,2987.0,Business Envelopes
288,2021-07-05,2987.0,Business Envelopes
289,2021-07-06,4830.0,Business Envelopes
290,2021-07-07,4830.0,Business Envelopes
291,2021-07-08,2284.0,Business Envelopes
292,2021-07-09,2284.0,Business Envelopes
293,2021-07-10,2098.0,Business Envelopes
294,2021-07-11,2994.0,Business Envelopes
