,date,value,name_B08VS4X9F1
70,2021-04-21,38626.0,Inflatable Yard Decorations
71,2021-04-22,53194.0,Inflatable Yard Decorations
72,2021-04-23,53194.0,Inflatable Yard Decorations
73,2021-04-24,43465.0,Inflatable Yard Decorations
74,2021-04-25,42410.0,Inflatable Yard Decorations
75,2021-04-26,42410.0,Inflatable Yard Decorations
76,2021-04-27,42410.0,Inflatable Yard Decorations
77,2021-04-28,25507.0,Inflatable Yard Decorations
78,2021-04-29,25507.0,Inflatable Yard Decorations
79,2021-04-30,25507.0,Inflatable Yard Decorations
80,2021-05-01,29101.0,Inflatable Yard Decorations
81,2021-05-02,29101.0,Inflatable Yard Decorations
82,2021-05-03,19183.0,Inflatable Yard Decorations
83,2021-05-04,19183.0,Inflatable Yard Decorations
84,2021-05-05,19183.0,Inflatable Yard Decorations
85,2021-05-06,19183.0,Inflatable Yard Decorations
86,2021-05-07,19183.0,Inflatable Yard Decorations
87,2021-05-08,19183.0,Inflatable Yard Decorations
88,2021-05-09,19183.0,Inflatable Yard Decorations
89,2021-05-10,23010.0,Inflatable Yard Decorations
90,2021-05-11,23010.0,Inflatable Yard Decorations
91,2021-05-12,23010.0,Inflatable Yard Decorations
92,2021-05-13,23010.0,Inflatable Yard Decorations
93,2021-05-14,15425.0,Inflatable Yard Decorations
94,2021-05-15,15425.0,Inflatable Yard Decorations
95,2021-05-16,29994.0,Inflatable Yard Decorations
96,2021-05-17,29994.0,Inflatable Yard Decorations
97,2021-05-18,29994.0,Inflatable Yard Decorations
98,2021-05-19,29994.0,Inflatable Yard Decorations
99,2021-05-20,14821.0,Inflatable Yard Decorations
100,2021-05-21,14821.0,Inflatable Yard Decorations
101,2021-05-22,14821.0,Inflatable Yard Decorations
102,2021-05-23,14821.0,Inflatable Yard Decorations
103,2021-05-24,14952.0,Inflatable Yard Decorations
104,2021-05-25,14952.0,Inflatable Yard Decorations
105,2021-05-26,15474.0,Inflatable Yard Decorations
106,2021-05-27,15474.0,Inflatable Yard Decorations
107,2021-05-28,16290.0,Inflatable Yard Decorations
108,2021-05-29,16290.0,Inflatable Yard Decorations
109,2021-05-30,16290.0,Inflatable Yard Decorations
110,2021-05-31,14800.0,Inflatable Yard Decorations
111,2021-06-01,14800.0,Inflatable Yard Decorations
112,2021-06-02,9480.0,Inflatable Yard Decorations
113,2021-06-03,14930.0,Inflatable Yard Decorations
114,2021-06-04,14930.0,Inflatable Yard Decorations
115,2021-06-05,9480.0,Inflatable Yard Decorations
116,2021-06-06,9480.0,Inflatable Yard Decorations
117,2021-06-07,14210.0,Inflatable Yard Decorations
118,2021-06-08,14210.0,Inflatable Yard Decorations
119,2021-06-09,12351.0,Inflatable Yard Decorations
120,2021-06-10,7530.0,Inflatable Yard Decorations
121,2021-06-11,7530.0,Inflatable Yard Decorations
122,2021-06-12,13225.0,Inflatable Yard Decorations
123,2021-06-13,13225.0,Inflatable Yard Decorations
124,2021-06-14,13225.0,Inflatable Yard Decorations
125,2021-06-15,11090.0,Inflatable Yard Decorations
126,2021-06-16,9845.0,Inflatable Yard Decorations
127,2021-06-17,8094.0,Inflatable Yard Decorations
128,2021-06-18,8094.0,Inflatable Yard Decorations
129,2021-06-19,8094.0,Inflatable Yard Decorations
130,2021-06-20,9342.0,Inflatable Yard Decorations
131,2021-06-21,9342.0,Inflatable Yard Decorations
132,2021-06-22,15903.0,Inflatable Yard Decorations
133,2021-06-23,15903.0,Inflatable Yard Decorations
134,2021-06-24,19612.0,Inflatable Yard Decorations
135,2021-06-25,19612.0,Inflatable Yard Decorations
136,2021-06-26,19612.0,Inflatable Yard Decorations
137,2021-06-27,19612.0,Inflatable Yard Decorations
138,2021-06-28,29137.0,Inflatable Yard Decorations
139,2021-06-29,29137.0,Inflatable Yard Decorations
140,2021-06-30,22045.0,Inflatable Yard Decorations
