,date,value,name_B08HV5G29N
268,2021-06-13,1881.0,Table Runners
269,2021-06-14,1881.0,Table Runners
270,2021-06-15,2378.0,Table Runners
271,2021-06-16,1926.0,Table Runners
272,2021-06-17,1926.0,Table Runners
273,2021-06-18,2981.0,Table Runners
274,2021-06-19,2981.0,Table Runners
275,2021-06-20,3672.0,Table Runners
276,2021-06-21,5741.0,Table Runners
277,2021-06-22,5741.0,Table Runners
278,2021-06-23,5762.0,Table Runners
279,2021-06-24,5762.0,Table Runners
280,2021-06-25,4297.0,Table Runners
281,2021-06-26,4297.0,Table Runners
282,2021-06-27,4297.0,Table Runners
283,2021-06-28,4625.0,Table Runners
284,2021-06-29,2941.0,Table Runners
285,2021-06-30,2941.0,Table Runners
286,2021-07-01,2131.0,Table Runners
287,2021-07-02,2326.0,Table Runners
288,2021-07-03,2326.0,Table Runners
289,2021-07-04,1980.0,Table Runners
290,2021-07-05,2819.0,Table Runners
291,2021-07-06,2062.0,Table Runners
292,2021-07-07,2211.0,Table Runners
293,2021-07-08,1826.0,Table Runners
294,2021-07-09,1455.0,Table Runners
295,2021-07-10,1455.0,Table Runners
296,2021-07-11,1898.0,Table Runners
