,date,value,name_B07P928YCN
363,2021-05-26,12822.0,Hydration
364,2021-05-27,12822.0,Hydration
365,2021-05-28,12822.0,Hydration
366,2021-05-29,7697.0,Hydration
367,2021-05-30,7697.0,Hydration
368,2021-05-31,10787.0,Hydration
369,2021-06-01,11770.0,Hydration
370,2021-06-02,12011.0,Hydration
371,2021-06-03,11785.0,Hydration
372,2021-06-04,12640.0,Hydration
373,2021-06-05,10289.0,Hydration
374,2021-06-06,10289.0,Hydration
375,2021-06-07,10289.0,Hydration
376,2021-06-08,10289.0,Hydration
377,2021-06-09,10882.0,Hydration
378,2021-06-10,12157.0,Hydration
379,2021-06-11,12157.0,Hydration
380,2021-06-12,12157.0,Hydration
381,2021-06-13,9085.0,Hydration
382,2021-06-14,10000.0,Hydration
383,2021-06-15,10000.0,Hydration
384,2021-06-16,10000.0,Hydration
385,2021-06-17,9549.0,Hydration
386,2021-06-18,9549.0,Hydration
387,2021-06-19,9549.0,Hydration
388,2021-06-20,9549.0,Hydration
389,2021-06-21,10108.0,Hydration
390,2021-06-22,9517.0,Hydration
391,2021-06-23,9517.0,Hydration
392,2021-06-24,11387.0,Hydration
393,2021-06-25,11387.0,Hydration
394,2021-06-26,11387.0,Hydration
395,2021-06-27,11387.0,Hydration
396,2021-06-28,11224.0,Hydration
397,2021-06-29,11224.0,Hydration
398,2021-06-30,11224.0,Hydration
399,2021-07-01,8975.0,Hydration
400,2021-07-02,8975.0,Hydration
401,2021-07-03,8975.0,Hydration
402,2021-07-04,8975.0,Hydration
403,2021-07-05,9536.0,Hydration
404,2021-07-06,9536.0,Hydration
405,2021-07-07,9536.0,Hydration
406,2021-07-08,9536.0,Hydration
407,2021-07-09,12497.0,Hydration
408,2021-07-10,12497.0,Hydration
409,2021-07-11,10731.0,Hydration
