,date,value,name_B07YV4RLN1
54,2019-12-29,485603.0,Hanging Planters
55,2019-12-30,485603.0,Hanging Planters
56,2019-12-31,485603.0,Hanging Planters
57,2020-01-01,485603.0,Hanging Planters
58,2020-01-02,331941.0,Hanging Planters
59,2020-01-03,331941.0,Hanging Planters
60,2020-01-04,331941.0,Hanging Planters
61,2020-01-05,331941.0,Hanging Planters
62,2020-01-06,331941.0,Hanging Planters
63,2020-01-07,331941.0,Hanging Planters
64,2020-01-08,331941.0,Hanging Planters
65,2020-01-09,331941.0,Hanging Planters
66,2020-01-10,331941.0,Hanging Planters
67,2020-01-11,331941.0,Hanging Planters
68,2020-01-12,331941.0,Hanging Planters
69,2020-01-13,302127.0,Hanging Planters
70,2020-01-14,302127.0,Hanging Planters
71,2020-01-15,302127.0,Hanging Planters
72,2020-01-16,302127.0,Hanging Planters
73,2020-01-17,302127.0,Hanging Planters
74,2020-01-18,302127.0,Hanging Planters
75,2020-01-19,302127.0,Hanging Planters
76,2020-01-20,302127.0,Hanging Planters
77,2020-01-21,302127.0,Hanging Planters
78,2020-01-22,302127.0,Hanging Planters
79,2020-01-23,302127.0,Hanging Planters
80,2020-01-24,302127.0,Hanging Planters
81,2020-01-25,302127.0,Hanging Planters
82,2020-01-26,673273.0,Hanging Planters
83,2020-01-27,673273.0,Hanging Planters
84,2020-01-28,673273.0,Hanging Planters
85,2020-01-29,673273.0,Hanging Planters
86,2020-01-30,673273.0,Hanging Planters
87,2020-01-31,673273.0,Hanging Planters
88,2020-02-01,673273.0,Hanging Planters
89,2020-02-02,673273.0,Hanging Planters
90,2020-02-03,673273.0,Hanging Planters
91,2020-02-04,673273.0,Hanging Planters
92,2020-02-05,673273.0,Hanging Planters
93,2020-02-06,673273.0,Hanging Planters
94,2020-02-07,673273.0,Hanging Planters
95,2020-02-08,1163332.0,Hanging Planters
96,2020-02-09,1163332.0,Hanging Planters
97,2020-02-10,1163332.0,Hanging Planters
98,2020-02-11,1163332.0,Hanging Planters
99,2020-02-12,1163332.0,Hanging Planters
100,2020-02-13,1163332.0,Hanging Planters
101,2020-02-14,1163332.0,Hanging Planters
102,2020-02-15,1163332.0,Hanging Planters
103,2020-02-16,1163332.0,Hanging Planters
104,2020-02-17,1163332.0,Hanging Planters
105,2020-02-18,1163332.0,Hanging Planters
106,2020-02-19,1163332.0,Hanging Planters
107,2020-02-20,506755.0,Hanging Planters
108,2020-02-21,506755.0,Hanging Planters
109,2020-02-22,506755.0,Hanging Planters
110,2020-02-23,506755.0,Hanging Planters
111,2020-02-24,506755.0,Hanging Planters
112,2020-02-25,506755.0,Hanging Planters
113,2020-02-26,506755.0,Hanging Planters
114,2020-02-27,506755.0,Hanging Planters
115,2020-02-28,506755.0,Hanging Planters
116,2020-02-29,506755.0,Hanging Planters
117,2020-03-01,506755.0,Hanging Planters
118,2020-03-02,251597.0,Hanging Planters
119,2020-03-03,251597.0,Hanging Planters
120,2020-03-04,251597.0,Hanging Planters
121,2020-03-05,251597.0,Hanging Planters
122,2020-03-06,251597.0,Hanging Planters
123,2020-03-07,251597.0,Hanging Planters
124,2020-03-08,-1.0,Hanging Planters
