,date,value,name_B08JGTN6KV
204,2021-04-13,32865.0,Quilt Sets
205,2021-04-14,32865.0,Quilt Sets
206,2021-04-15,32865.0,Quilt Sets
207,2021-04-16,51468.0,Quilt Sets
208,2021-04-17,74729.0,Quilt Sets
209,2021-04-18,74729.0,Quilt Sets
210,2021-04-19,74729.0,Quilt Sets
211,2021-04-20,74729.0,Quilt Sets
212,2021-04-21,74729.0,Quilt Sets
213,2021-04-22,74729.0,Quilt Sets
214,2021-04-23,85591.0,Quilt Sets
215,2021-04-24,85591.0,Quilt Sets
216,2021-04-25,85591.0,Quilt Sets
217,2021-04-26,85591.0,Quilt Sets
218,2021-04-27,66701.0,Quilt Sets
219,2021-04-28,66701.0,Quilt Sets
220,2021-04-29,66701.0,Quilt Sets
221,2021-04-30,101539.0,Quilt Sets
222,2021-05-01,101539.0,Quilt Sets
223,2021-05-02,57305.0,Quilt Sets
224,2021-05-03,57305.0,Quilt Sets
225,2021-05-04,57305.0,Quilt Sets
226,2021-05-05,57305.0,Quilt Sets
227,2021-05-06,77796.0,Quilt Sets
228,2021-05-07,77796.0,Quilt Sets
229,2021-05-08,77796.0,Quilt Sets
230,2021-05-09,77796.0,Quilt Sets
231,2021-05-10,77796.0,Quilt Sets
232,2021-05-11,77796.0,Quilt Sets
233,2021-05-12,42792.0,Quilt Sets
234,2021-05-13,42792.0,Quilt Sets
235,2021-05-14,42792.0,Quilt Sets
236,2021-05-15,69058.0,Quilt Sets
237,2021-05-16,69058.0,Quilt Sets
238,2021-05-17,69058.0,Quilt Sets
239,2021-05-18,69058.0,Quilt Sets
240,2021-05-19,66633.0,Quilt Sets
241,2021-05-20,66633.0,Quilt Sets
242,2021-05-21,66633.0,Quilt Sets
243,2021-05-22,66633.0,Quilt Sets
244,2021-05-23,66633.0,Quilt Sets
245,2021-05-24,66633.0,Quilt Sets
246,2021-05-25,66633.0,Quilt Sets
247,2021-05-26,99250.0,Quilt Sets
248,2021-05-27,70763.0,Quilt Sets
249,2021-05-28,70763.0,Quilt Sets
250,2021-05-29,122083.0,Quilt Sets
251,2021-05-30,122083.0,Quilt Sets
252,2021-05-31,122083.0,Quilt Sets
253,2021-06-01,44091.0,Quilt Sets
254,2021-06-02,44091.0,Quilt Sets
255,2021-06-03,44091.0,Quilt Sets
256,2021-06-04,32470.0,Quilt Sets
257,2021-06-05,32470.0,Quilt Sets
258,2021-06-06,32470.0,Quilt Sets
259,2021-06-07,36793.0,Quilt Sets
260,2021-06-08,36793.0,Quilt Sets
261,2021-06-09,36793.0,Quilt Sets
262,2021-06-10,36793.0,Quilt Sets
263,2021-06-11,36793.0,Quilt Sets
264,2021-06-12,36793.0,Quilt Sets
265,2021-06-13,23490.0,Quilt Sets
266,2021-06-14,23490.0,Quilt Sets
267,2021-06-15,27353.0,Quilt Sets
268,2021-06-16,34225.0,Quilt Sets
269,2021-06-17,52691.0,Quilt Sets
270,2021-06-18,52691.0,Quilt Sets
271,2021-06-19,52691.0,Quilt Sets
272,2021-06-20,38434.0,Quilt Sets
273,2021-06-21,38434.0,Quilt Sets
274,2021-06-22,38434.0,Quilt Sets
275,2021-06-23,63548.0,Quilt Sets
276,2021-06-24,63548.0,Quilt Sets
277,2021-06-25,63548.0,Quilt Sets
278,2021-06-26,63548.0,Quilt Sets
279,2021-06-27,63548.0,Quilt Sets
280,2021-06-28,63548.0,Quilt Sets
281,2021-06-29,47749.0,Quilt Sets
282,2021-06-30,47749.0,Quilt Sets
283,2021-07-01,68328.0,Quilt Sets
284,2021-07-02,59297.0,Quilt Sets
285,2021-07-03,59297.0,Quilt Sets
286,2021-07-04,59297.0,Quilt Sets
287,2021-07-05,42076.0,Quilt Sets
288,2021-07-06,52811.0,Quilt Sets
289,2021-07-07,22549.0,Quilt Sets
290,2021-07-08,29557.0,Quilt Sets
291,2021-07-09,29557.0,Quilt Sets
292,2021-07-10,29557.0,Quilt Sets
293,2021-07-11,31331.0,Quilt Sets
