,date,value,name_B07P7M34C7
382,2021-06-18,5185.0,Canned
383,2021-06-19,5277.0,Canned
384,2021-06-20,6148.0,Canned
385,2021-06-21,6148.0,Canned
386,2021-06-22,6879.0,Canned
387,2021-06-23,6879.0,Canned
388,2021-06-24,7522.0,Canned
389,2021-06-25,7955.0,Canned
390,2021-06-26,8086.0,Canned
391,2021-06-27,6840.0,Canned
392,2021-06-28,6840.0,Canned
393,2021-06-29,6840.0,Canned
394,2021-06-30,6840.0,Canned
395,2021-07-01,5866.0,Canned
396,2021-07-02,5866.0,Canned
397,2021-07-03,5866.0,Canned
398,2021-07-04,5866.0,Canned
399,2021-07-05,6508.0,Canned
400,2021-07-06,6508.0,Canned
401,2021-07-07,6508.0,Canned
402,2021-07-08,6508.0,Canned
403,2021-07-09,6515.0,Canned
404,2021-07-10,6515.0,Canned
405,2021-07-11,7517.0,Canned
