,date,value,name_B08GY7D4NX
117,2021-05-01,33212.0,Utility Carts
118,2021-05-02,33212.0,Utility Carts
119,2021-05-03,20524.0,Utility Carts
120,2021-05-04,20524.0,Utility Carts
121,2021-05-05,20524.0,Utility Carts
122,2021-05-06,20524.0,Utility Carts
123,2021-05-07,20524.0,Utility Carts
124,2021-05-08,20524.0,Utility Carts
125,2021-05-09,20524.0,Utility Carts
126,2021-05-10,20524.0,Utility Carts
127,2021-05-11,20524.0,Utility Carts
128,2021-05-12,26481.0,Utility Carts
129,2021-05-13,43518.0,Utility Carts
130,2021-05-14,43518.0,Utility Carts
131,2021-05-15,43518.0,Utility Carts
132,2021-05-16,43518.0,Utility Carts
133,2021-05-17,43518.0,Utility Carts
134,2021-05-18,43518.0,Utility Carts
135,2021-05-19,42702.0,Utility Carts
136,2021-05-20,35790.0,Utility Carts
137,2021-05-21,35790.0,Utility Carts
138,2021-05-22,35790.0,Utility Carts
139,2021-05-23,35790.0,Utility Carts
140,2021-05-24,44101.0,Utility Carts
141,2021-05-25,34207.0,Utility Carts
142,2021-05-26,34207.0,Utility Carts
143,2021-05-27,34207.0,Utility Carts
144,2021-05-28,34207.0,Utility Carts
145,2021-05-29,41547.0,Utility Carts
146,2021-05-30,41547.0,Utility Carts
147,2021-05-31,41547.0,Utility Carts
148,2021-06-01,41547.0,Utility Carts
149,2021-06-02,41547.0,Utility Carts
150,2021-06-03,41547.0,Utility Carts
151,2021-06-04,24886.0,Utility Carts
152,2021-06-05,24886.0,Utility Carts
153,2021-06-06,24886.0,Utility Carts
154,2021-06-07,6566.0,Utility Carts
155,2021-06-08,7025.0,Utility Carts
156,2021-06-09,5371.0,Utility Carts
157,2021-06-10,5371.0,Utility Carts
158,2021-06-11,5371.0,Utility Carts
159,2021-06-12,2432.0,Utility Carts
160,2021-06-13,2432.0,Utility Carts
161,2021-06-14,2592.0,Utility Carts
162,2021-06-15,2592.0,Utility Carts
163,2021-06-16,2592.0,Utility Carts
164,2021-06-17,3600.0,Utility Carts
165,2021-06-18,2708.0,Utility Carts
166,2021-06-19,4413.0,Utility Carts
167,2021-06-20,4413.0,Utility Carts
168,2021-06-21,3646.0,Utility Carts
169,2021-06-22,4964.0,Utility Carts
170,2021-06-23,4964.0,Utility Carts
171,2021-06-24,4964.0,Utility Carts
172,2021-06-25,4975.0,Utility Carts
173,2021-06-26,4975.0,Utility Carts
174,2021-06-27,4975.0,Utility Carts
175,2021-06-28,4837.0,Utility Carts
176,2021-06-29,5202.0,Utility Carts
177,2021-06-30,5202.0,Utility Carts
178,2021-07-01,5202.0,Utility Carts
179,2021-07-02,5202.0,Utility Carts
180,2021-07-03,5202.0,Utility Carts
181,2021-07-04,5202.0,Utility Carts
182,2021-07-05,8189.0,Utility Carts
183,2021-07-06,8189.0,Utility Carts
184,2021-07-07,8189.0,Utility Carts
185,2021-07-08,8189.0,Utility Carts
186,2021-07-09,11836.0,Utility Carts
187,2021-07-10,16532.0,Utility Carts
188,2021-07-11,14278.0,Utility Carts
