,date,value,name_B07P5XF1R1
90,2020-08-22,6162.0,Lifejackets
91,2020-08-23,6259.0,Lifejackets
92,2020-08-24,5536.0,Lifejackets
93,2020-08-25,5536.0,Lifejackets
94,2020-08-26,5536.0,Lifejackets
95,2020-08-27,7602.0,Lifejackets
96,2020-08-28,7602.0,Lifejackets
97,2020-08-29,8069.0,Lifejackets
98,2020-08-30,8069.0,Lifejackets
99,2020-08-31,7202.0,Lifejackets
100,2020-09-01,7202.0,Lifejackets
101,2020-09-02,11053.0,Lifejackets
102,2020-09-03,11053.0,Lifejackets
103,2020-09-04,11053.0,Lifejackets
104,2020-09-05,12926.0,Lifejackets
105,2020-09-06,12926.0,Lifejackets
106,2020-09-07,5188.0,Lifejackets
107,2020-09-08,5188.0,Lifejackets
108,2020-09-09,5188.0,Lifejackets
109,2020-09-10,8388.0,Lifejackets
110,2020-09-11,9493.0,Lifejackets
111,2020-09-12,9493.0,Lifejackets
112,2020-09-13,9493.0,Lifejackets
113,2020-09-14,8023.0,Lifejackets
114,2020-09-15,7266.0,Lifejackets
115,2020-09-16,7266.0,Lifejackets
116,2020-09-17,6875.0,Lifejackets
117,2020-09-18,6875.0,Lifejackets
118,2020-09-19,6875.0,Lifejackets
119,2020-09-20,12087.0,Lifejackets
120,2020-09-21,12087.0,Lifejackets
121,2020-09-22,12198.0,Lifejackets
122,2020-09-23,15245.0,Lifejackets
123,2020-09-24,12254.0,Lifejackets
124,2020-09-25,12254.0,Lifejackets
125,2020-09-26,12254.0,Lifejackets
126,2020-09-27,22173.0,Lifejackets
127,2020-09-28,22173.0,Lifejackets
128,2020-09-29,16425.0,Lifejackets
129,2020-09-30,16425.0,Lifejackets
130,2020-10-01,15119.0,Lifejackets
131,2020-10-02,15119.0,Lifejackets
132,2020-10-03,15119.0,Lifejackets
133,2020-10-04,15119.0,Lifejackets
134,2020-10-05,15119.0,Lifejackets
135,2020-10-06,15119.0,Lifejackets
136,2020-10-07,18586.0,Lifejackets
137,2020-10-08,17814.0,Lifejackets
138,2020-10-09,17814.0,Lifejackets
139,2020-10-10,17814.0,Lifejackets
140,2020-10-11,17814.0,Lifejackets
141,2020-10-12,16489.0,Lifejackets
142,2020-10-13,16489.0,Lifejackets
143,2020-10-14,17385.0,Lifejackets
144,2020-10-15,17385.0,Lifejackets
145,2020-10-16,19605.0,Lifejackets
146,2020-10-17,19605.0,Lifejackets
147,2020-10-18,19605.0,Lifejackets
148,2020-10-19,20587.0,Lifejackets
149,2020-10-20,17419.0,Lifejackets
150,2020-10-21,17419.0,Lifejackets
151,2020-10-22,17419.0,Lifejackets
152,2020-10-23,17419.0,Lifejackets
153,2020-10-24,17419.0,Lifejackets
154,2020-10-25,17419.0,Lifejackets
155,2020-10-26,32658.0,Lifejackets
156,2020-10-27,26178.0,Lifejackets
157,2020-10-28,26178.0,Lifejackets
158,2020-10-29,17785.0,Lifejackets
159,2020-10-30,17785.0,Lifejackets
160,2020-10-31,17785.0,Lifejackets
161,2020-11-01,17785.0,Lifejackets
162,2020-11-02,17785.0,Lifejackets
163,2020-11-03,17785.0,Lifejackets
164,2020-11-04,17785.0,Lifejackets
165,2020-11-05,36585.0,Lifejackets
166,2020-11-06,36585.0,Lifejackets
167,2020-11-07,36585.0,Lifejackets
168,2020-11-08,36585.0,Lifejackets
169,2020-11-09,40640.0,Lifejackets
170,2020-11-10,40640.0,Lifejackets
171,2020-11-11,35331.0,Lifejackets
172,2020-11-12,35331.0,Lifejackets
173,2020-11-13,36639.0,Lifejackets
174,2020-11-14,36639.0,Lifejackets
175,2020-11-15,36639.0,Lifejackets
176,2020-11-16,46308.0,Lifejackets
177,2020-11-17,46308.0,Lifejackets
178,2020-11-18,46308.0,Lifejackets
179,2020-11-19,32642.0,Lifejackets
180,2020-11-20,42624.0,Lifejackets
181,2020-11-21,42624.0,Lifejackets
182,2020-11-22,42624.0,Lifejackets
183,2020-11-23,42624.0,Lifejackets
184,2020-11-24,42624.0,Lifejackets
185,2020-11-25,30844.0,Lifejackets
186,2020-11-26,39219.0,Lifejackets
187,2020-11-27,39219.0,Lifejackets
188,2020-11-28,34929.0,Lifejackets
189,2020-11-29,34929.0,Lifejackets
190,2020-11-30,34929.0,Lifejackets
191,2020-12-01,28019.0,Lifejackets
192,2020-12-02,26583.0,Lifejackets
