,date,value,name_B08PHHSYC3
158,2021-05-14,18512.0,Clothing Protectors
159,2021-05-15,22653.0,Clothing Protectors
160,2021-05-16,22653.0,Clothing Protectors
161,2021-05-17,22653.0,Clothing Protectors
162,2021-05-18,26660.0,Clothing Protectors
163,2021-05-19,26660.0,Clothing Protectors
164,2021-05-20,36070.0,Clothing Protectors
165,2021-05-21,24621.0,Clothing Protectors
166,2021-05-22,24621.0,Clothing Protectors
167,2021-05-23,30636.0,Clothing Protectors
168,2021-05-24,30636.0,Clothing Protectors
169,2021-05-25,30636.0,Clothing Protectors
170,2021-05-26,23382.0,Clothing Protectors
171,2021-05-27,23382.0,Clothing Protectors
172,2021-05-28,24391.0,Clothing Protectors
173,2021-05-29,24391.0,Clothing Protectors
174,2021-05-30,24391.0,Clothing Protectors
175,2021-05-31,18885.0,Clothing Protectors
176,2021-06-01,18885.0,Clothing Protectors
177,2021-06-02,29326.0,Clothing Protectors
178,2021-06-03,29326.0,Clothing Protectors
179,2021-06-04,26190.0,Clothing Protectors
180,2021-06-05,26190.0,Clothing Protectors
181,2021-06-06,26190.0,Clothing Protectors
182,2021-06-07,26190.0,Clothing Protectors
183,2021-06-08,20297.0,Clothing Protectors
184,2021-06-09,20297.0,Clothing Protectors
185,2021-06-10,20297.0,Clothing Protectors
186,2021-06-11,20297.0,Clothing Protectors
187,2021-06-12,19961.0,Clothing Protectors
188,2021-06-13,19961.0,Clothing Protectors
189,2021-06-14,19961.0,Clothing Protectors
190,2021-06-15,19961.0,Clothing Protectors
191,2021-06-16,18486.0,Clothing Protectors
192,2021-06-17,28457.0,Clothing Protectors
193,2021-06-18,28457.0,Clothing Protectors
194,2021-06-19,28457.0,Clothing Protectors
195,2021-06-20,28457.0,Clothing Protectors
196,2021-06-21,17834.0,Clothing Protectors
197,2021-06-22,12558.0,Clothing Protectors
198,2021-06-23,12558.0,Clothing Protectors
199,2021-06-24,12558.0,Clothing Protectors
200,2021-06-25,15992.0,Clothing Protectors
201,2021-06-26,21178.0,Clothing Protectors
202,2021-06-27,26147.0,Clothing Protectors
203,2021-06-28,21408.0,Clothing Protectors
204,2021-06-29,21408.0,Clothing Protectors
205,2021-06-30,21408.0,Clothing Protectors
206,2021-07-01,21408.0,Clothing Protectors
207,2021-07-02,21408.0,Clothing Protectors
208,2021-07-03,21408.0,Clothing Protectors
209,2021-07-04,21408.0,Clothing Protectors
210,2021-07-05,17694.0,Clothing Protectors
211,2021-07-06,24033.0,Clothing Protectors
212,2021-07-07,24033.0,Clothing Protectors
213,2021-07-08,24033.0,Clothing Protectors
214,2021-07-09,19389.0,Clothing Protectors
215,2021-07-10,18224.0,Clothing Protectors
