,date,value,name_B00YPQXMV4
272,2021-02-19,13224.0,Whey
273,2021-02-20,13834.0,Whey
274,2021-02-21,13834.0,Whey
275,2021-02-22,13834.0,Whey
276,2021-02-23,18306.0,Whey
277,2021-02-24,18306.0,Whey
278,2021-02-25,18306.0,Whey
279,2021-02-26,12759.0,Whey
280,2021-02-27,12759.0,Whey
281,2021-02-28,12759.0,Whey
282,2021-03-01,14318.0,Whey
283,2021-03-02,14318.0,Whey
284,2021-03-03,14620.0,Whey
285,2021-03-04,14620.0,Whey
286,2021-03-05,14620.0,Whey
287,2021-03-06,14620.0,Whey
288,2021-03-07,13567.0,Whey
289,2021-03-08,13567.0,Whey
290,2021-03-09,12638.0,Whey
291,2021-03-10,12638.0,Whey
292,2021-03-11,15526.0,Whey
293,2021-03-12,15526.0,Whey
294,2021-03-13,15526.0,Whey
295,2021-03-14,13634.0,Whey
296,2021-03-15,13634.0,Whey
297,2021-03-16,13634.0,Whey
298,2021-03-17,12970.0,Whey
299,2021-03-18,13534.0,Whey
300,2021-03-19,13534.0,Whey
301,2021-03-20,13712.0,Whey
302,2021-03-21,16876.0,Whey
303,2021-03-22,16876.0,Whey
304,2021-03-23,15498.0,Whey
305,2021-03-24,15498.0,Whey
306,2021-03-25,15498.0,Whey
307,2021-03-26,13254.0,Whey
308,2021-03-27,13254.0,Whey
309,2021-03-28,14503.0,Whey
310,2021-03-29,14463.0,Whey
311,2021-03-30,14463.0,Whey
312,2021-03-31,14435.0,Whey
313,2021-04-01,14435.0,Whey
314,2021-04-02,14435.0,Whey
315,2021-04-03,13343.0,Whey
316,2021-04-04,13343.0,Whey
317,2021-04-05,13343.0,Whey
318,2021-04-06,12709.0,Whey
319,2021-04-07,11823.0,Whey
320,2021-04-08,11823.0,Whey
321,2021-04-09,11823.0,Whey
322,2021-04-10,14695.0,Whey
323,2021-04-11,14695.0,Whey
324,2021-04-12,13234.0,Whey
325,2021-04-13,14488.0,Whey
326,2021-04-14,13932.0,Whey
327,2021-04-15,13932.0,Whey
328,2021-04-16,12206.0,Whey
329,2021-04-17,12206.0,Whey
330,2021-04-18,14772.0,Whey
331,2021-04-19,16851.0,Whey
332,2021-04-20,15049.0,Whey
333,2021-04-21,12776.0,Whey
334,2021-04-22,14466.0,Whey
335,2021-04-23,13178.0,Whey
336,2021-04-24,13178.0,Whey
337,2021-04-25,15888.0,Whey
338,2021-04-26,15888.0,Whey
339,2021-04-27,15664.0,Whey
340,2021-04-28,15664.0,Whey
341,2021-04-29,16077.0,Whey
342,2021-04-30,16077.0,Whey
343,2021-05-01,16077.0,Whey
344,2021-05-02,15656.0,Whey
345,2021-05-03,14564.0,Whey
346,2021-05-04,14564.0,Whey
347,2021-05-05,14564.0,Whey
348,2021-05-06,13077.0,Whey
349,2021-05-07,12927.0,Whey
350,2021-05-08,12927.0,Whey
351,2021-05-09,13321.0,Whey
352,2021-05-10,13156.0,Whey
353,2021-05-11,13156.0,Whey
354,2021-05-12,12841.0,Whey
355,2021-05-13,12841.0,Whey
356,2021-05-14,12772.0,Whey
357,2021-05-15,15375.0,Whey
358,2021-05-16,15375.0,Whey
359,2021-05-17,13333.0,Whey
360,2021-05-18,13333.0,Whey
361,2021-05-19,13368.0,Whey
362,2021-05-20,14518.0,Whey
363,2021-05-21,12823.0,Whey
364,2021-05-22,12823.0,Whey
365,2021-05-23,14797.0,Whey
366,2021-05-24,13740.0,Whey
367,2021-05-25,13740.0,Whey
368,2021-05-26,13740.0,Whey
369,2021-05-27,12832.0,Whey
370,2021-05-28,14200.0,Whey
371,2021-05-29,14200.0,Whey
372,2021-05-30,14200.0,Whey
373,2021-05-31,13861.0,Whey
374,2021-06-01,13861.0,Whey
375,2021-06-02,12753.0,Whey
376,2021-06-03,12753.0,Whey
377,2021-06-04,13414.0,Whey
378,2021-06-05,14115.0,Whey
379,2021-06-06,13884.0,Whey
380,2021-06-07,13884.0,Whey
381,2021-06-08,16524.0,Whey
382,2021-06-09,16524.0,Whey
383,2021-06-10,15123.0,Whey
384,2021-06-11,15123.0,Whey
385,2021-06-12,13086.0,Whey
386,2021-06-13,13086.0,Whey
387,2021-06-14,14906.0,Whey
388,2021-06-15,14066.0,Whey
389,2021-06-16,13381.0,Whey
390,2021-06-17,13357.0,Whey
391,2021-06-18,13357.0,Whey
392,2021-06-19,13357.0,Whey
393,2021-06-20,11535.0,Whey
394,2021-06-21,16697.0,Whey
395,2021-06-22,14651.0,Whey
396,2021-06-23,14651.0,Whey
397,2021-06-24,15839.0,Whey
398,2021-06-25,14792.0,Whey
399,2021-06-26,14792.0,Whey
400,2021-06-27,14792.0,Whey
401,2021-06-28,15474.0,Whey
402,2021-06-29,15474.0,Whey
403,2021-06-30,19658.0,Whey
404,2021-07-01,16282.0,Whey
405,2021-07-02,16282.0,Whey
406,2021-07-03,13360.0,Whey
407,2021-07-04,13360.0,Whey
408,2021-07-05,14095.0,Whey
409,2021-07-06,14095.0,Whey
410,2021-07-07,12498.0,Whey
411,2021-07-08,14341.0,Whey
412,2021-07-09,14341.0,Whey
413,2021-07-10,12549.0,Whey
414,2021-07-11,13873.0,Whey
