,date,value,name_B07H47T91C
298,2020-04-15,-1.0,Costumes
299,2020-04-16,-1.0,Costumes
300,2020-04-17,-1.0,Costumes
301,2020-04-18,-1.0,Costumes
302,2020-04-19,-1.0,Costumes
303,2020-04-20,-1.0,Costumes
304,2020-04-21,-1.0,Costumes
305,2020-04-22,-1.0,Costumes
306,2020-04-23,-1.0,Costumes
307,2020-04-24,-1.0,Costumes
308,2020-04-25,-1.0,Costumes
309,2020-04-26,-1.0,Costumes
310,2020-04-27,-1.0,Costumes
311,2020-04-28,-1.0,Costumes
312,2020-04-29,-1.0,Costumes
313,2020-04-30,-1.0,Costumes
314,2020-05-01,-1.0,Costumes
315,2020-05-02,-1.0,Costumes
316,2020-05-03,-1.0,Costumes
317,2020-05-04,-1.0,Costumes
318,2020-05-05,-1.0,Costumes
319,2020-05-06,-1.0,Costumes
320,2020-05-07,-1.0,Costumes
321,2020-05-08,-1.0,Costumes
322,2020-05-09,-1.0,Costumes
323,2020-05-10,-1.0,Costumes
324,2020-05-11,-1.0,Costumes
325,2020-05-12,-1.0,Costumes
326,2020-05-13,-1.0,Costumes
327,2020-05-14,-1.0,Costumes
328,2020-05-15,-1.0,Costumes
329,2020-05-16,-1.0,Costumes
330,2020-05-17,-1.0,Costumes
331,2020-05-18,-1.0,Costumes
332,2020-05-19,-1.0,Costumes
333,2020-05-20,-1.0,Costumes
334,2020-05-21,-1.0,Costumes
335,2020-05-22,3457.0,Costumes
336,2020-05-23,3457.0,Costumes
337,2020-05-24,3457.0,Costumes
338,2020-05-25,4112.0,Costumes
339,2020-05-26,3466.0,Costumes
340,2020-05-27,2968.0,Costumes
341,2020-05-28,2968.0,Costumes
342,2020-05-29,1190.0,Costumes
343,2020-05-30,1879.0,Costumes
344,2020-05-31,926.0,Costumes
345,2020-06-01,828.0,Costumes
346,2020-06-02,828.0,Costumes
347,2020-06-03,828.0,Costumes
348,2020-06-04,1271.0,Costumes
349,2020-06-05,1794.0,Costumes
350,2020-06-06,1558.0,Costumes
351,2020-06-07,1558.0,Costumes
352,2020-06-08,1558.0,Costumes
353,2020-06-09,2189.0,Costumes
354,2020-06-10,2106.0,Costumes
355,2020-06-11,2106.0,Costumes
