,date,value,name_B08W39L21P
71,2021-05-14,10170.0,Chaise Lounge Covers
72,2021-05-15,10170.0,Chaise Lounge Covers
73,2021-05-16,10170.0,Chaise Lounge Covers
74,2021-05-17,9226.0,Chaise Lounge Covers
75,2021-05-18,10733.0,Chaise Lounge Covers
76,2021-05-19,10733.0,Chaise Lounge Covers
77,2021-05-20,10733.0,Chaise Lounge Covers
78,2021-05-21,10733.0,Chaise Lounge Covers
79,2021-05-22,10917.0,Chaise Lounge Covers
80,2021-05-23,10917.0,Chaise Lounge Covers
81,2021-05-24,10917.0,Chaise Lounge Covers
82,2021-05-25,8125.0,Chaise Lounge Covers
83,2021-05-26,7715.0,Chaise Lounge Covers
84,2021-05-27,7402.0,Chaise Lounge Covers
85,2021-05-28,9506.0,Chaise Lounge Covers
86,2021-05-29,10312.0,Chaise Lounge Covers
87,2021-05-30,9458.0,Chaise Lounge Covers
88,2021-05-31,8983.0,Chaise Lounge Covers
89,2021-06-01,9470.0,Chaise Lounge Covers
90,2021-06-02,9470.0,Chaise Lounge Covers
91,2021-06-03,11198.0,Chaise Lounge Covers
92,2021-06-04,11292.0,Chaise Lounge Covers
93,2021-06-05,13338.0,Chaise Lounge Covers
94,2021-06-06,13338.0,Chaise Lounge Covers
95,2021-06-07,13338.0,Chaise Lounge Covers
96,2021-06-08,13338.0,Chaise Lounge Covers
97,2021-06-09,11849.0,Chaise Lounge Covers
98,2021-06-10,11849.0,Chaise Lounge Covers
99,2021-06-11,13262.0,Chaise Lounge Covers
100,2021-06-12,17254.0,Chaise Lounge Covers
101,2021-06-13,17254.0,Chaise Lounge Covers
102,2021-06-14,17254.0,Chaise Lounge Covers
103,2021-06-15,17254.0,Chaise Lounge Covers
104,2021-06-16,17254.0,Chaise Lounge Covers
105,2021-06-17,13476.0,Chaise Lounge Covers
106,2021-06-18,13476.0,Chaise Lounge Covers
107,2021-06-19,13476.0,Chaise Lounge Covers
108,2021-06-20,9907.0,Chaise Lounge Covers
109,2021-06-21,9652.0,Chaise Lounge Covers
110,2021-06-22,12387.0,Chaise Lounge Covers
111,2021-06-23,12387.0,Chaise Lounge Covers
112,2021-06-24,16364.0,Chaise Lounge Covers
113,2021-06-25,13714.0,Chaise Lounge Covers
114,2021-06-26,13714.0,Chaise Lounge Covers
115,2021-06-27,13714.0,Chaise Lounge Covers
116,2021-06-28,13714.0,Chaise Lounge Covers
117,2021-06-29,13714.0,Chaise Lounge Covers
118,2021-06-30,20343.0,Chaise Lounge Covers
119,2021-07-01,20343.0,Chaise Lounge Covers
120,2021-07-02,20343.0,Chaise Lounge Covers
121,2021-07-03,20343.0,Chaise Lounge Covers
122,2021-07-04,20343.0,Chaise Lounge Covers
123,2021-07-05,15585.0,Chaise Lounge Covers
124,2021-07-06,15446.0,Chaise Lounge Covers
125,2021-07-07,15446.0,Chaise Lounge Covers
126,2021-07-08,15446.0,Chaise Lounge Covers
127,2021-07-09,13475.0,Chaise Lounge Covers
