,date,value,name_B084GK91M5
386,2021-06-20,2132.0,Decorations
387,2021-06-21,2860.0,Decorations
388,2021-06-22,2860.0,Decorations
389,2021-06-23,4464.0,Decorations
390,2021-06-24,4464.0,Decorations
391,2021-06-25,2522.0,Decorations
392,2021-06-26,2522.0,Decorations
393,2021-06-27,2522.0,Decorations
394,2021-06-28,3172.0,Decorations
395,2021-06-29,2894.0,Decorations
396,2021-06-30,2894.0,Decorations
397,2021-07-01,2578.0,Decorations
398,2021-07-02,2578.0,Decorations
399,2021-07-03,2578.0,Decorations
400,2021-07-04,2059.0,Decorations
401,2021-07-05,2059.0,Decorations
402,2021-07-06,2097.0,Decorations
403,2021-07-07,2097.0,Decorations
404,2021-07-08,1882.0,Decorations
405,2021-07-09,1884.0,Decorations
406,2021-07-10,2167.0,Decorations
407,2021-07-11,2426.0,Decorations
