,date,value,name_B08QMWTRKC
90,2021-03-17,6054.0,Karaoke Machines
91,2021-03-18,6054.0,Karaoke Machines
92,2021-03-19,6065.0,Karaoke Machines
93,2021-03-20,6065.0,Karaoke Machines
94,2021-03-21,6284.0,Karaoke Machines
95,2021-03-22,6284.0,Karaoke Machines
96,2021-03-23,9219.0,Karaoke Machines
97,2021-03-24,5796.0,Karaoke Machines
98,2021-03-25,5229.0,Karaoke Machines
99,2021-03-26,5229.0,Karaoke Machines
100,2021-03-27,5229.0,Karaoke Machines
101,2021-03-28,3127.0,Karaoke Machines
102,2021-03-29,4589.0,Karaoke Machines
103,2021-03-30,4873.0,Karaoke Machines
104,2021-03-31,4873.0,Karaoke Machines
105,2021-04-01,6340.0,Karaoke Machines
106,2021-04-02,6612.0,Karaoke Machines
107,2021-04-03,6612.0,Karaoke Machines
108,2021-04-04,6612.0,Karaoke Machines
109,2021-04-05,5850.0,Karaoke Machines
110,2021-04-06,5850.0,Karaoke Machines
111,2021-04-07,5266.0,Karaoke Machines
112,2021-04-08,5063.0,Karaoke Machines
113,2021-04-09,5063.0,Karaoke Machines
114,2021-04-10,4662.0,Karaoke Machines
115,2021-04-11,4662.0,Karaoke Machines
116,2021-04-12,5743.0,Karaoke Machines
117,2021-04-13,5116.0,Karaoke Machines
118,2021-04-14,5401.0,Karaoke Machines
119,2021-04-15,6752.0,Karaoke Machines
120,2021-04-16,5885.0,Karaoke Machines
121,2021-04-17,5885.0,Karaoke Machines
122,2021-04-18,6516.0,Karaoke Machines
123,2021-04-19,6516.0,Karaoke Machines
124,2021-04-20,5688.0,Karaoke Machines
125,2021-04-21,4462.0,Karaoke Machines
126,2021-04-22,5254.0,Karaoke Machines
127,2021-04-23,5254.0,Karaoke Machines
128,2021-04-24,5254.0,Karaoke Machines
129,2021-04-25,5903.0,Karaoke Machines
130,2021-04-26,6269.0,Karaoke Machines
131,2021-04-27,6269.0,Karaoke Machines
132,2021-04-28,5004.0,Karaoke Machines
133,2021-04-29,4878.0,Karaoke Machines
134,2021-04-30,4878.0,Karaoke Machines
135,2021-05-01,5163.0,Karaoke Machines
136,2021-05-02,5163.0,Karaoke Machines
137,2021-05-03,5291.0,Karaoke Machines
138,2021-05-04,5291.0,Karaoke Machines
139,2021-05-05,5291.0,Karaoke Machines
140,2021-05-06,6519.0,Karaoke Machines
141,2021-05-07,6519.0,Karaoke Machines
142,2021-05-08,5260.0,Karaoke Machines
143,2021-05-09,7709.0,Karaoke Machines
144,2021-05-10,10063.0,Karaoke Machines
145,2021-05-11,13678.0,Karaoke Machines
146,2021-05-12,11039.0,Karaoke Machines
147,2021-05-13,11686.0,Karaoke Machines
148,2021-05-14,11686.0,Karaoke Machines
149,2021-05-15,18367.0,Karaoke Machines
150,2021-05-16,18367.0,Karaoke Machines
151,2021-05-17,12481.0,Karaoke Machines
152,2021-05-18,12481.0,Karaoke Machines
153,2021-05-19,12666.0,Karaoke Machines
154,2021-05-20,12129.0,Karaoke Machines
155,2021-05-21,12048.0,Karaoke Machines
156,2021-05-22,12048.0,Karaoke Machines
157,2021-05-23,12048.0,Karaoke Machines
158,2021-05-24,13638.0,Karaoke Machines
159,2021-05-25,13638.0,Karaoke Machines
160,2021-05-26,9406.0,Karaoke Machines
161,2021-05-27,11892.0,Karaoke Machines
162,2021-05-28,11892.0,Karaoke Machines
163,2021-05-29,8365.0,Karaoke Machines
164,2021-05-30,8365.0,Karaoke Machines
165,2021-05-31,8365.0,Karaoke Machines
166,2021-06-01,8168.0,Karaoke Machines
167,2021-06-02,8168.0,Karaoke Machines
168,2021-06-03,8168.0,Karaoke Machines
169,2021-06-04,8869.0,Karaoke Machines
170,2021-06-05,8869.0,Karaoke Machines
171,2021-06-06,10942.0,Karaoke Machines
172,2021-06-07,10942.0,Karaoke Machines
173,2021-06-08,6602.0,Karaoke Machines
174,2021-06-09,6602.0,Karaoke Machines
175,2021-06-10,4819.0,Karaoke Machines
176,2021-06-11,4819.0,Karaoke Machines
177,2021-06-12,5159.0,Karaoke Machines
178,2021-06-13,5159.0,Karaoke Machines
179,2021-06-14,5403.0,Karaoke Machines
180,2021-06-15,5403.0,Karaoke Machines
181,2021-06-16,8769.0,Karaoke Machines
182,2021-06-17,8667.0,Karaoke Machines
183,2021-06-18,9029.0,Karaoke Machines
184,2021-06-19,9029.0,Karaoke Machines
185,2021-06-20,9029.0,Karaoke Machines
186,2021-06-21,6205.0,Karaoke Machines
187,2021-06-22,930.0,Karaoke Machines
188,2021-06-23,930.0,Karaoke Machines
189,2021-06-24,2845.0,Karaoke Machines
190,2021-06-25,3106.0,Karaoke Machines
191,2021-06-26,3215.0,Karaoke Machines
192,2021-06-27,3215.0,Karaoke Machines
193,2021-06-28,5384.0,Karaoke Machines
194,2021-06-29,6219.0,Karaoke Machines
195,2021-06-30,6250.0,Karaoke Machines
196,2021-07-01,6250.0,Karaoke Machines
197,2021-07-02,5618.0,Karaoke Machines
198,2021-07-03,6087.0,Karaoke Machines
199,2021-07-04,6087.0,Karaoke Machines
200,2021-07-05,6536.0,Karaoke Machines
201,2021-07-06,7496.0,Karaoke Machines
202,2021-07-07,8715.0,Karaoke Machines
203,2021-07-08,8715.0,Karaoke Machines
204,2021-07-09,6884.0,Karaoke Machines
205,2021-07-10,6960.0,Karaoke Machines
206,2021-07-11,9290.0,Karaoke Machines
