,date,value,name_B07T6VWTVM
143,2020-11-27,601.0,Ibuprofen
144,2020-11-28,657.0,Ibuprofen
145,2020-11-29,581.0,Ibuprofen
146,2020-11-30,440.0,Ibuprofen
147,2020-12-01,468.0,Ibuprofen
148,2020-12-02,406.0,Ibuprofen
149,2020-12-03,406.0,Ibuprofen
150,2020-12-04,355.0,Ibuprofen
151,2020-12-05,355.0,Ibuprofen
152,2020-12-06,355.0,Ibuprofen
153,2020-12-07,372.0,Ibuprofen
154,2020-12-08,388.0,Ibuprofen
155,2020-12-09,368.0,Ibuprofen
156,2020-12-10,371.0,Ibuprofen
157,2020-12-11,393.0,Ibuprofen
158,2020-12-12,423.0,Ibuprofen
159,2020-12-13,436.0,Ibuprofen
160,2020-12-14,397.0,Ibuprofen
161,2020-12-15,421.0,Ibuprofen
162,2020-12-16,453.0,Ibuprofen
163,2020-12-17,464.0,Ibuprofen
164,2020-12-18,458.0,Ibuprofen
165,2020-12-19,464.0,Ibuprofen
166,2020-12-20,458.0,Ibuprofen
167,2020-12-21,502.0,Ibuprofen
168,2020-12-22,477.0,Ibuprofen
169,2020-12-23,493.0,Ibuprofen
170,2020-12-24,468.0,Ibuprofen
171,2020-12-25,486.0,Ibuprofen
172,2020-12-26,517.0,Ibuprofen
173,2020-12-27,497.0,Ibuprofen
174,2020-12-28,434.0,Ibuprofen
175,2020-12-29,436.0,Ibuprofen
176,2020-12-30,398.0,Ibuprofen
177,2020-12-31,375.0,Ibuprofen
178,2021-01-01,314.0,Ibuprofen
179,2021-01-02,451.0,Ibuprofen
180,2021-01-03,476.0,Ibuprofen
181,2021-01-04,554.0,Ibuprofen
182,2021-01-05,549.0,Ibuprofen
183,2021-01-06,601.0,Ibuprofen
184,2021-01-07,579.0,Ibuprofen
185,2021-01-08,566.0,Ibuprofen
186,2021-01-09,650.0,Ibuprofen
187,2021-01-10,626.0,Ibuprofen
188,2021-01-11,662.0,Ibuprofen
189,2021-01-12,652.0,Ibuprofen
190,2021-01-13,588.0,Ibuprofen
191,2021-01-14,604.0,Ibuprofen
192,2021-01-15,853.0,Ibuprofen
193,2021-01-16,1336.0,Ibuprofen
194,2021-01-17,1336.0,Ibuprofen
195,2021-01-18,1598.0,Ibuprofen
196,2021-01-19,1598.0,Ibuprofen
197,2021-01-20,1476.0,Ibuprofen
198,2021-01-21,1493.0,Ibuprofen
199,2021-01-22,1581.0,Ibuprofen
200,2021-01-23,1629.0,Ibuprofen
201,2021-01-24,1535.0,Ibuprofen
202,2021-01-25,1515.0,Ibuprofen
203,2021-01-26,1424.0,Ibuprofen
204,2021-01-27,1427.0,Ibuprofen
205,2021-01-28,1476.0,Ibuprofen
206,2021-01-29,1476.0,Ibuprofen
207,2021-01-30,1476.0,Ibuprofen
208,2021-01-31,3522.0,Ibuprofen
209,2021-02-01,3522.0,Ibuprofen
210,2021-02-02,555.0,Ibuprofen
211,2021-02-03,1408.0,Ibuprofen
212,2021-02-04,2439.0,Ibuprofen
213,2021-02-05,2439.0,Ibuprofen
214,2021-02-06,3517.0,Ibuprofen
215,2021-02-07,3517.0,Ibuprofen
216,2021-02-08,3478.0,Ibuprofen
217,2021-02-09,3478.0,Ibuprofen
218,2021-02-10,3184.0,Ibuprofen
219,2021-02-11,3184.0,Ibuprofen
220,2021-02-12,3963.0,Ibuprofen
221,2021-02-13,3207.0,Ibuprofen
222,2021-02-14,3181.0,Ibuprofen
223,2021-02-15,3409.0,Ibuprofen
224,2021-02-16,2809.0,Ibuprofen
225,2021-02-17,2980.0,Ibuprofen
226,2021-02-18,3215.0,Ibuprofen
227,2021-02-19,3215.0,Ibuprofen
228,2021-02-20,3053.0,Ibuprofen
229,2021-02-21,3965.0,Ibuprofen
230,2021-02-22,3965.0,Ibuprofen
231,2021-02-23,3965.0,Ibuprofen
232,2021-02-24,3798.0,Ibuprofen
233,2021-02-25,4859.0,Ibuprofen
234,2021-02-26,4047.0,Ibuprofen
235,2021-02-27,2792.0,Ibuprofen
236,2021-02-28,4174.0,Ibuprofen
237,2021-03-01,4324.0,Ibuprofen
238,2021-03-02,3994.0,Ibuprofen
239,2021-03-03,4739.0,Ibuprofen
240,2021-03-04,4739.0,Ibuprofen
241,2021-03-05,1201.0,Ibuprofen
242,2021-03-06,1201.0,Ibuprofen
243,2021-03-07,946.0,Ibuprofen
244,2021-03-08,851.0,Ibuprofen
245,2021-03-09,857.0,Ibuprofen
246,2021-03-10,826.0,Ibuprofen
247,2021-03-11,740.0,Ibuprofen
248,2021-03-12,812.0,Ibuprofen
249,2021-03-13,700.0,Ibuprofen
250,2021-03-14,627.0,Ibuprofen
251,2021-03-15,581.0,Ibuprofen
252,2021-03-16,571.0,Ibuprofen
253,2021-03-17,670.0,Ibuprofen
254,2021-03-18,658.0,Ibuprofen
255,2021-03-19,681.0,Ibuprofen
256,2021-03-20,681.0,Ibuprofen
257,2021-03-21,653.0,Ibuprofen
258,2021-03-22,653.0,Ibuprofen
259,2021-03-23,603.0,Ibuprofen
260,2021-03-24,603.0,Ibuprofen
261,2021-03-25,576.0,Ibuprofen
262,2021-03-26,565.0,Ibuprofen
263,2021-03-27,547.0,Ibuprofen
264,2021-03-28,543.0,Ibuprofen
265,2021-03-29,744.0,Ibuprofen
266,2021-03-30,744.0,Ibuprofen
267,2021-03-31,934.0,Ibuprofen
268,2021-04-01,838.0,Ibuprofen
269,2021-04-02,838.0,Ibuprofen
270,2021-04-03,1034.0,Ibuprofen
271,2021-04-04,887.0,Ibuprofen
272,2021-04-05,887.0,Ibuprofen
273,2021-04-06,922.0,Ibuprofen
274,2021-04-07,920.0,Ibuprofen
275,2021-04-08,809.0,Ibuprofen
276,2021-04-09,895.0,Ibuprofen
277,2021-04-10,719.0,Ibuprofen
278,2021-04-11,606.0,Ibuprofen
279,2021-04-12,620.0,Ibuprofen
280,2021-04-13,620.0,Ibuprofen
281,2021-04-14,579.0,Ibuprofen
282,2021-04-15,587.0,Ibuprofen
283,2021-04-16,587.0,Ibuprofen
284,2021-04-17,587.0,Ibuprofen
285,2021-04-18,615.0,Ibuprofen
286,2021-04-19,609.0,Ibuprofen
287,2021-04-20,553.0,Ibuprofen
288,2021-04-21,627.0,Ibuprofen
289,2021-04-22,591.0,Ibuprofen
290,2021-04-23,612.0,Ibuprofen
291,2021-04-24,599.0,Ibuprofen
292,2021-04-25,599.0,Ibuprofen
293,2021-04-26,468.0,Ibuprofen
294,2021-04-27,469.0,Ibuprofen
295,2021-04-28,469.0,Ibuprofen
296,2021-04-29,407.0,Ibuprofen
297,2021-04-30,407.0,Ibuprofen
298,2021-05-01,454.0,Ibuprofen
299,2021-05-02,433.0,Ibuprofen
300,2021-05-03,38.0,Ibuprofen
301,2021-05-04,54.0,Ibuprofen
302,2021-05-05,167.0,Ibuprofen
303,2021-05-06,233.0,Ibuprofen
304,2021-05-07,297.0,Ibuprofen
305,2021-05-08,338.0,Ibuprofen
306,2021-05-09,375.0,Ibuprofen
307,2021-05-10,375.0,Ibuprofen
308,2021-05-11,436.0,Ibuprofen
309,2021-05-12,436.0,Ibuprofen
310,2021-05-13,476.0,Ibuprofen
311,2021-05-14,458.0,Ibuprofen
312,2021-05-15,532.0,Ibuprofen
313,2021-05-16,468.0,Ibuprofen
314,2021-05-17,512.0,Ibuprofen
315,2021-05-18,426.0,Ibuprofen
316,2021-05-19,446.0,Ibuprofen
317,2021-05-20,415.0,Ibuprofen
318,2021-05-21,392.0,Ibuprofen
319,2021-05-22,392.0,Ibuprofen
320,2021-05-23,393.0,Ibuprofen
321,2021-05-24,393.0,Ibuprofen
322,2021-05-25,433.0,Ibuprofen
323,2021-05-26,437.0,Ibuprofen
324,2021-05-27,439.0,Ibuprofen
325,2021-05-28,439.0,Ibuprofen
326,2021-05-29,464.0,Ibuprofen
327,2021-05-30,469.0,Ibuprofen
328,2021-05-31,469.0,Ibuprofen
329,2021-06-01,435.0,Ibuprofen
330,2021-06-02,460.0,Ibuprofen
331,2021-06-03,460.0,Ibuprofen
332,2021-06-04,466.0,Ibuprofen
333,2021-06-05,524.0,Ibuprofen
334,2021-06-06,524.0,Ibuprofen
335,2021-06-07,524.0,Ibuprofen
336,2021-06-08,498.0,Ibuprofen
337,2021-06-09,567.0,Ibuprofen
338,2021-06-10,459.0,Ibuprofen
339,2021-06-11,459.0,Ibuprofen
340,2021-06-12,488.0,Ibuprofen
341,2021-06-13,480.0,Ibuprofen
342,2021-06-14,488.0,Ibuprofen
343,2021-06-15,478.0,Ibuprofen
344,2021-06-16,439.0,Ibuprofen
345,2021-06-17,520.0,Ibuprofen
346,2021-06-18,520.0,Ibuprofen
347,2021-06-19,590.0,Ibuprofen
348,2021-06-20,657.0,Ibuprofen
349,2021-06-21,821.0,Ibuprofen
350,2021-06-22,1051.0,Ibuprofen
351,2021-06-23,1092.0,Ibuprofen
352,2021-06-24,991.0,Ibuprofen
353,2021-06-25,819.0,Ibuprofen
354,2021-06-26,776.0,Ibuprofen
355,2021-06-27,696.0,Ibuprofen
356,2021-06-28,678.0,Ibuprofen
357,2021-06-29,648.0,Ibuprofen
358,2021-06-30,586.0,Ibuprofen
359,2021-07-01,599.0,Ibuprofen
360,2021-07-02,619.0,Ibuprofen
361,2021-07-03,840.0,Ibuprofen
362,2021-07-04,1148.0,Ibuprofen
363,2021-07-05,1287.0,Ibuprofen
364,2021-07-06,1632.0,Ibuprofen
365,2021-07-07,1685.0,Ibuprofen
366,2021-07-08,2058.0,Ibuprofen
367,2021-07-09,1676.0,Ibuprofen
