,date,value,name_B08JPJR2NJ
113,2021-01-14,4395.0,Floating Shelves
114,2021-01-15,4293.0,Floating Shelves
115,2021-01-16,4293.0,Floating Shelves
116,2021-01-17,4310.0,Floating Shelves
117,2021-01-18,3937.0,Floating Shelves
118,2021-01-19,3937.0,Floating Shelves
119,2021-01-20,3937.0,Floating Shelves
120,2021-01-21,4139.0,Floating Shelves
121,2021-01-22,3974.0,Floating Shelves
122,2021-01-23,4778.0,Floating Shelves
123,2021-01-24,4778.0,Floating Shelves
124,2021-01-25,4471.0,Floating Shelves
125,2021-01-26,5498.0,Floating Shelves
126,2021-01-27,5648.0,Floating Shelves
127,2021-01-28,6196.0,Floating Shelves
128,2021-01-29,6196.0,Floating Shelves
129,2021-01-30,5561.0,Floating Shelves
130,2021-01-31,11113.0,Floating Shelves
131,2021-02-01,17618.0,Floating Shelves
132,2021-02-02,17618.0,Floating Shelves
133,2021-02-03,41173.0,Floating Shelves
134,2021-02-04,41173.0,Floating Shelves
135,2021-02-05,63593.0,Floating Shelves
136,2021-02-06,63593.0,Floating Shelves
137,2021-02-07,63593.0,Floating Shelves
138,2021-02-08,100508.0,Floating Shelves
139,2021-02-09,100508.0,Floating Shelves
140,2021-02-10,120781.0,Floating Shelves
141,2021-02-11,111860.0,Floating Shelves
142,2021-02-12,111860.0,Floating Shelves
143,2021-02-13,84358.0,Floating Shelves
144,2021-02-14,84358.0,Floating Shelves
145,2021-02-15,84358.0,Floating Shelves
146,2021-02-16,84358.0,Floating Shelves
147,2021-02-17,84358.0,Floating Shelves
148,2021-02-18,13070.0,Floating Shelves
149,2021-02-19,13070.0,Floating Shelves
150,2021-02-20,13070.0,Floating Shelves
151,2021-02-21,13070.0,Floating Shelves
152,2021-02-22,13070.0,Floating Shelves
153,2021-02-23,13070.0,Floating Shelves
154,2021-02-24,11878.0,Floating Shelves
155,2021-02-25,7189.0,Floating Shelves
156,2021-02-26,9131.0,Floating Shelves
157,2021-02-27,8181.0,Floating Shelves
158,2021-02-28,8181.0,Floating Shelves
159,2021-03-01,10275.0,Floating Shelves
160,2021-03-02,9615.0,Floating Shelves
161,2021-03-03,9615.0,Floating Shelves
162,2021-03-04,9615.0,Floating Shelves
163,2021-03-05,7382.0,Floating Shelves
164,2021-03-06,7382.0,Floating Shelves
165,2021-03-07,8574.0,Floating Shelves
166,2021-03-08,8574.0,Floating Shelves
167,2021-03-09,7722.0,Floating Shelves
168,2021-03-10,5374.0,Floating Shelves
169,2021-03-11,6137.0,Floating Shelves
170,2021-03-12,6137.0,Floating Shelves
171,2021-03-13,5054.0,Floating Shelves
172,2021-03-14,5054.0,Floating Shelves
173,2021-03-15,5054.0,Floating Shelves
174,2021-03-16,6858.0,Floating Shelves
175,2021-03-17,5697.0,Floating Shelves
176,2021-03-18,3853.0,Floating Shelves
177,2021-03-19,3853.0,Floating Shelves
178,2021-03-20,5055.0,Floating Shelves
179,2021-03-21,5055.0,Floating Shelves
180,2021-03-22,6296.0,Floating Shelves
181,2021-03-23,6296.0,Floating Shelves
182,2021-03-24,6296.0,Floating Shelves
183,2021-03-25,4952.0,Floating Shelves
184,2021-03-26,6898.0,Floating Shelves
185,2021-03-27,7619.0,Floating Shelves
186,2021-03-28,7619.0,Floating Shelves
187,2021-03-29,7943.0,Floating Shelves
188,2021-03-30,7482.0,Floating Shelves
189,2021-03-31,7020.0,Floating Shelves
190,2021-04-01,6933.0,Floating Shelves
191,2021-04-02,7856.0,Floating Shelves
192,2021-04-03,7856.0,Floating Shelves
193,2021-04-04,7208.0,Floating Shelves
194,2021-04-05,7208.0,Floating Shelves
195,2021-04-06,7123.0,Floating Shelves
196,2021-04-07,7520.0,Floating Shelves
197,2021-04-08,9550.0,Floating Shelves
198,2021-04-09,8320.0,Floating Shelves
199,2021-04-10,9371.0,Floating Shelves
200,2021-04-11,9371.0,Floating Shelves
201,2021-04-12,11401.0,Floating Shelves
202,2021-04-13,9041.0,Floating Shelves
203,2021-04-14,7837.0,Floating Shelves
204,2021-04-15,7837.0,Floating Shelves
205,2021-04-16,7837.0,Floating Shelves
206,2021-04-17,6196.0,Floating Shelves
207,2021-04-18,6196.0,Floating Shelves
208,2021-04-19,6026.0,Floating Shelves
209,2021-04-20,6026.0,Floating Shelves
210,2021-04-21,11977.0,Floating Shelves
211,2021-04-22,9071.0,Floating Shelves
212,2021-04-23,9071.0,Floating Shelves
213,2021-04-24,13670.0,Floating Shelves
214,2021-04-25,17475.0,Floating Shelves
215,2021-04-26,17475.0,Floating Shelves
216,2021-04-27,15203.0,Floating Shelves
217,2021-04-28,15203.0,Floating Shelves
218,2021-04-29,17783.0,Floating Shelves
219,2021-04-30,15333.0,Floating Shelves
220,2021-05-01,13881.0,Floating Shelves
221,2021-05-02,13881.0,Floating Shelves
222,2021-05-03,21289.0,Floating Shelves
223,2021-05-04,21289.0,Floating Shelves
224,2021-05-05,21289.0,Floating Shelves
225,2021-05-06,32751.0,Floating Shelves
226,2021-05-07,32751.0,Floating Shelves
227,2021-05-08,32751.0,Floating Shelves
228,2021-05-09,32751.0,Floating Shelves
229,2021-05-10,32751.0,Floating Shelves
230,2021-05-11,32751.0,Floating Shelves
231,2021-05-12,127873.0,Floating Shelves
232,2021-05-13,135406.0,Floating Shelves
233,2021-05-14,135406.0,Floating Shelves
234,2021-05-15,48839.0,Floating Shelves
235,2021-05-16,48839.0,Floating Shelves
236,2021-05-17,48839.0,Floating Shelves
237,2021-05-18,34426.0,Floating Shelves
238,2021-05-19,29302.0,Floating Shelves
239,2021-05-20,35624.0,Floating Shelves
240,2021-05-21,35624.0,Floating Shelves
241,2021-05-22,35624.0,Floating Shelves
242,2021-05-23,35624.0,Floating Shelves
243,2021-05-24,28956.0,Floating Shelves
244,2021-05-25,28956.0,Floating Shelves
245,2021-05-26,28956.0,Floating Shelves
246,2021-05-27,28956.0,Floating Shelves
247,2021-05-28,33267.0,Floating Shelves
248,2021-05-29,24943.0,Floating Shelves
249,2021-05-30,24943.0,Floating Shelves
250,2021-05-31,20681.0,Floating Shelves
251,2021-06-01,23754.0,Floating Shelves
252,2021-06-02,20634.0,Floating Shelves
253,2021-06-03,17761.0,Floating Shelves
254,2021-06-04,17761.0,Floating Shelves
255,2021-06-05,15772.0,Floating Shelves
256,2021-06-06,16638.0,Floating Shelves
257,2021-06-07,16638.0,Floating Shelves
258,2021-06-08,18559.0,Floating Shelves
259,2021-06-09,18403.0,Floating Shelves
260,2021-06-10,18403.0,Floating Shelves
261,2021-06-11,22681.0,Floating Shelves
262,2021-06-12,20496.0,Floating Shelves
263,2021-06-13,18495.0,Floating Shelves
264,2021-06-14,17081.0,Floating Shelves
265,2021-06-15,17081.0,Floating Shelves
266,2021-06-16,17081.0,Floating Shelves
267,2021-06-17,17081.0,Floating Shelves
268,2021-06-18,17081.0,Floating Shelves
269,2021-06-19,17453.0,Floating Shelves
270,2021-06-20,17453.0,Floating Shelves
271,2021-06-21,16846.0,Floating Shelves
272,2021-06-22,17173.0,Floating Shelves
273,2021-06-23,17173.0,Floating Shelves
274,2021-06-24,14771.0,Floating Shelves
275,2021-06-25,14771.0,Floating Shelves
276,2021-06-26,10695.0,Floating Shelves
277,2021-06-27,10695.0,Floating Shelves
278,2021-06-28,9350.0,Floating Shelves
279,2021-06-29,9520.0,Floating Shelves
280,2021-06-30,9520.0,Floating Shelves
281,2021-07-01,13547.0,Floating Shelves
282,2021-07-02,13547.0,Floating Shelves
283,2021-07-03,10106.0,Floating Shelves
284,2021-07-04,10106.0,Floating Shelves
285,2021-07-05,8015.0,Floating Shelves
286,2021-07-06,8015.0,Floating Shelves
287,2021-07-07,8075.0,Floating Shelves
288,2021-07-08,8075.0,Floating Shelves
289,2021-07-09,8412.0,Floating Shelves
290,2021-07-10,8412.0,Floating Shelves
291,2021-07-11,6687.0,Floating Shelves
