,date,value,name_B08D3GHFR4
155,2021-03-06,7869.0,Plush Pillows
156,2021-03-07,6876.0,Plush Pillows
157,2021-03-08,6876.0,Plush Pillows
158,2021-03-09,8900.0,Plush Pillows
159,2021-03-10,10976.0,Plush Pillows
160,2021-03-11,8418.0,Plush Pillows
161,2021-03-12,8418.0,Plush Pillows
162,2021-03-13,9011.0,Plush Pillows
163,2021-03-14,9011.0,Plush Pillows
164,2021-03-15,10403.0,Plush Pillows
165,2021-03-16,7743.0,Plush Pillows
166,2021-03-17,8517.0,Plush Pillows
167,2021-03-18,7186.0,Plush Pillows
168,2021-03-19,7186.0,Plush Pillows
169,2021-03-20,10846.0,Plush Pillows
170,2021-03-21,10747.0,Plush Pillows
171,2021-03-22,6525.0,Plush Pillows
172,2021-03-23,6525.0,Plush Pillows
173,2021-03-24,7529.0,Plush Pillows
174,2021-03-25,7529.0,Plush Pillows
175,2021-03-26,6686.0,Plush Pillows
176,2021-03-27,4875.0,Plush Pillows
177,2021-03-28,4875.0,Plush Pillows
178,2021-03-29,4875.0,Plush Pillows
179,2021-03-30,7225.0,Plush Pillows
180,2021-03-31,5332.0,Plush Pillows
181,2021-04-01,4771.0,Plush Pillows
182,2021-04-02,4878.0,Plush Pillows
183,2021-04-03,4878.0,Plush Pillows
184,2021-04-04,4878.0,Plush Pillows
185,2021-04-05,6915.0,Plush Pillows
186,2021-04-06,6915.0,Plush Pillows
187,2021-04-07,6915.0,Plush Pillows
188,2021-04-08,7112.0,Plush Pillows
189,2021-04-09,7112.0,Plush Pillows
190,2021-04-10,10478.0,Plush Pillows
191,2021-04-11,10429.0,Plush Pillows
192,2021-04-12,10429.0,Plush Pillows
193,2021-04-13,19155.0,Plush Pillows
194,2021-04-14,19155.0,Plush Pillows
195,2021-04-15,14634.0,Plush Pillows
196,2021-04-16,12204.0,Plush Pillows
197,2021-04-17,12382.0,Plush Pillows
198,2021-04-18,19803.0,Plush Pillows
199,2021-04-19,21672.0,Plush Pillows
200,2021-04-20,28311.0,Plush Pillows
201,2021-04-21,24403.0,Plush Pillows
202,2021-04-22,24762.0,Plush Pillows
203,2021-04-23,21860.0,Plush Pillows
204,2021-04-24,21860.0,Plush Pillows
205,2021-04-25,30386.0,Plush Pillows
206,2021-04-26,23436.0,Plush Pillows
207,2021-04-27,23436.0,Plush Pillows
208,2021-04-28,16515.0,Plush Pillows
209,2021-04-29,21159.0,Plush Pillows
210,2021-04-30,23119.0,Plush Pillows
211,2021-05-01,14564.0,Plush Pillows
212,2021-05-02,25870.0,Plush Pillows
213,2021-05-03,25870.0,Plush Pillows
214,2021-05-04,25870.0,Plush Pillows
215,2021-05-05,33586.0,Plush Pillows
216,2021-05-06,33586.0,Plush Pillows
217,2021-05-07,33586.0,Plush Pillows
218,2021-05-08,15893.0,Plush Pillows
219,2021-05-09,15893.0,Plush Pillows
220,2021-05-10,14602.0,Plush Pillows
221,2021-05-11,19276.0,Plush Pillows
222,2021-05-12,19276.0,Plush Pillows
223,2021-05-13,25875.0,Plush Pillows
224,2021-05-14,25875.0,Plush Pillows
225,2021-05-15,22546.0,Plush Pillows
226,2021-05-16,22546.0,Plush Pillows
227,2021-05-17,22546.0,Plush Pillows
228,2021-05-18,22546.0,Plush Pillows
229,2021-05-19,22546.0,Plush Pillows
230,2021-05-20,10430.0,Plush Pillows
231,2021-05-21,6710.0,Plush Pillows
232,2021-05-22,6710.0,Plush Pillows
233,2021-05-23,4817.0,Plush Pillows
234,2021-05-24,4374.0,Plush Pillows
235,2021-05-25,4374.0,Plush Pillows
236,2021-05-26,4374.0,Plush Pillows
237,2021-05-27,10957.0,Plush Pillows
238,2021-05-28,12249.0,Plush Pillows
239,2021-05-29,12249.0,Plush Pillows
240,2021-05-30,12249.0,Plush Pillows
241,2021-05-31,14601.0,Plush Pillows
242,2021-06-01,11432.0,Plush Pillows
243,2021-06-02,11432.0,Plush Pillows
244,2021-06-03,3961.0,Plush Pillows
245,2021-06-04,266.0,Plush Pillows
246,2021-06-05,389.0,Plush Pillows
247,2021-06-06,569.0,Plush Pillows
248,2021-06-07,1531.0,Plush Pillows
249,2021-06-08,2415.0,Plush Pillows
250,2021-06-09,2415.0,Plush Pillows
251,2021-06-10,4814.0,Plush Pillows
252,2021-06-11,4437.0,Plush Pillows
253,2021-06-12,6537.0,Plush Pillows
254,2021-06-13,6537.0,Plush Pillows
255,2021-06-14,6261.0,Plush Pillows
256,2021-06-15,6261.0,Plush Pillows
257,2021-06-16,5356.0,Plush Pillows
258,2021-06-17,4357.0,Plush Pillows
259,2021-06-18,4964.0,Plush Pillows
260,2021-06-19,5032.0,Plush Pillows
261,2021-06-20,5032.0,Plush Pillows
262,2021-06-21,4628.0,Plush Pillows
263,2021-06-22,3957.0,Plush Pillows
264,2021-06-23,3957.0,Plush Pillows
265,2021-06-24,4620.0,Plush Pillows
266,2021-06-25,4620.0,Plush Pillows
267,2021-06-26,4620.0,Plush Pillows
268,2021-06-27,7152.0,Plush Pillows
269,2021-06-28,11759.0,Plush Pillows
270,2021-06-29,9279.0,Plush Pillows
271,2021-06-30,13567.0,Plush Pillows
272,2021-07-01,13567.0,Plush Pillows
273,2021-07-02,11441.0,Plush Pillows
274,2021-07-03,11441.0,Plush Pillows
275,2021-07-04,11441.0,Plush Pillows
276,2021-07-05,11441.0,Plush Pillows
277,2021-07-06,11410.0,Plush Pillows
278,2021-07-07,13874.0,Plush Pillows
279,2021-07-08,13874.0,Plush Pillows
280,2021-07-09,8038.0,Plush Pillows
281,2021-07-10,7299.0,Plush Pillows
282,2021-07-11,10041.0,Plush Pillows
