,date,value,name_B08RD4C1Q8
68,2021-03-11,27705.0,Wall Clocks
69,2021-03-12,27705.0,Wall Clocks
70,2021-03-13,27705.0,Wall Clocks
71,2021-03-14,27705.0,Wall Clocks
72,2021-03-15,21362.0,Wall Clocks
73,2021-03-16,21362.0,Wall Clocks
74,2021-03-17,21362.0,Wall Clocks
75,2021-03-18,21362.0,Wall Clocks
76,2021-03-19,30799.0,Wall Clocks
77,2021-03-20,30799.0,Wall Clocks
78,2021-03-21,30799.0,Wall Clocks
79,2021-03-22,30799.0,Wall Clocks
80,2021-03-23,24895.0,Wall Clocks
81,2021-03-24,24895.0,Wall Clocks
82,2021-03-25,24895.0,Wall Clocks
83,2021-03-26,42526.0,Wall Clocks
84,2021-03-27,42526.0,Wall Clocks
85,2021-03-28,42526.0,Wall Clocks
86,2021-03-29,38706.0,Wall Clocks
87,2021-03-30,38706.0,Wall Clocks
88,2021-03-31,38706.0,Wall Clocks
89,2021-04-01,47665.0,Wall Clocks
90,2021-04-02,47665.0,Wall Clocks
91,2021-04-03,51447.0,Wall Clocks
92,2021-04-04,46739.0,Wall Clocks
93,2021-04-05,46739.0,Wall Clocks
94,2021-04-06,46739.0,Wall Clocks
95,2021-04-07,46739.0,Wall Clocks
96,2021-04-08,46739.0,Wall Clocks
97,2021-04-09,46739.0,Wall Clocks
98,2021-04-10,46739.0,Wall Clocks
99,2021-04-11,46739.0,Wall Clocks
100,2021-04-12,47721.0,Wall Clocks
101,2021-04-13,47721.0,Wall Clocks
102,2021-04-14,47721.0,Wall Clocks
103,2021-04-15,47721.0,Wall Clocks
104,2021-04-16,47721.0,Wall Clocks
105,2021-04-17,47721.0,Wall Clocks
106,2021-04-18,71044.0,Wall Clocks
107,2021-04-19,71044.0,Wall Clocks
108,2021-04-20,71044.0,Wall Clocks
109,2021-04-21,71044.0,Wall Clocks
110,2021-04-22,71044.0,Wall Clocks
111,2021-04-23,91148.0,Wall Clocks
112,2021-04-24,91148.0,Wall Clocks
113,2021-04-25,91148.0,Wall Clocks
114,2021-04-26,96081.0,Wall Clocks
115,2021-04-27,96081.0,Wall Clocks
116,2021-04-28,96081.0,Wall Clocks
117,2021-04-29,96081.0,Wall Clocks
118,2021-04-30,96081.0,Wall Clocks
119,2021-05-01,96081.0,Wall Clocks
120,2021-05-02,96081.0,Wall Clocks
121,2021-05-03,53411.0,Wall Clocks
122,2021-05-04,53411.0,Wall Clocks
123,2021-05-05,53411.0,Wall Clocks
124,2021-05-06,53411.0,Wall Clocks
125,2021-05-07,53411.0,Wall Clocks
126,2021-05-08,53411.0,Wall Clocks
127,2021-05-09,53411.0,Wall Clocks
128,2021-05-10,53411.0,Wall Clocks
129,2021-05-11,40605.0,Wall Clocks
130,2021-05-12,40605.0,Wall Clocks
131,2021-05-13,40605.0,Wall Clocks
132,2021-05-14,40605.0,Wall Clocks
133,2021-05-15,40605.0,Wall Clocks
134,2021-05-16,40605.0,Wall Clocks
135,2021-05-17,40605.0,Wall Clocks
136,2021-05-18,40605.0,Wall Clocks
137,2021-05-19,40605.0,Wall Clocks
138,2021-05-20,33223.0,Wall Clocks
139,2021-05-21,28226.0,Wall Clocks
140,2021-05-22,28226.0,Wall Clocks
141,2021-05-23,30900.0,Wall Clocks
142,2021-05-24,30900.0,Wall Clocks
143,2021-05-25,31010.0,Wall Clocks
144,2021-05-26,31010.0,Wall Clocks
145,2021-05-27,31010.0,Wall Clocks
146,2021-05-28,31010.0,Wall Clocks
147,2021-05-29,58076.0,Wall Clocks
148,2021-05-30,58076.0,Wall Clocks
149,2021-05-31,58076.0,Wall Clocks
150,2021-06-01,58076.0,Wall Clocks
151,2021-06-02,58076.0,Wall Clocks
152,2021-06-03,58076.0,Wall Clocks
153,2021-06-04,28344.0,Wall Clocks
154,2021-06-05,32016.0,Wall Clocks
155,2021-06-06,32016.0,Wall Clocks
156,2021-06-07,22685.0,Wall Clocks
157,2021-06-08,22685.0,Wall Clocks
158,2021-06-09,22685.0,Wall Clocks
159,2021-06-10,22685.0,Wall Clocks
160,2021-06-11,22685.0,Wall Clocks
161,2021-06-12,22685.0,Wall Clocks
162,2021-06-13,22685.0,Wall Clocks
163,2021-06-14,22685.0,Wall Clocks
164,2021-06-15,32886.0,Wall Clocks
165,2021-06-16,32886.0,Wall Clocks
166,2021-06-17,32886.0,Wall Clocks
167,2021-06-18,32886.0,Wall Clocks
168,2021-06-19,32886.0,Wall Clocks
169,2021-06-20,32886.0,Wall Clocks
170,2021-06-21,32886.0,Wall Clocks
171,2021-06-22,19891.0,Wall Clocks
172,2021-06-23,10034.0,Wall Clocks
173,2021-06-24,10034.0,Wall Clocks
174,2021-06-25,10034.0,Wall Clocks
175,2021-06-26,10034.0,Wall Clocks
176,2021-06-27,10034.0,Wall Clocks
177,2021-06-28,10034.0,Wall Clocks
178,2021-06-29,52682.0,Wall Clocks
179,2021-06-30,65121.0,Wall Clocks
180,2021-07-01,65121.0,Wall Clocks
181,2021-07-02,65121.0,Wall Clocks
182,2021-07-03,65121.0,Wall Clocks
183,2021-07-04,65121.0,Wall Clocks
184,2021-07-05,59978.0,Wall Clocks
185,2021-07-06,59978.0,Wall Clocks
186,2021-07-07,59978.0,Wall Clocks
187,2021-07-08,59978.0,Wall Clocks
188,2021-07-09,59978.0,Wall Clocks
189,2021-07-10,145461.0,Wall Clocks
