,date,value,name_B08V1DY98N
111,2021-05-24,21530.0,Sofa Slipcovers
112,2021-05-25,21530.0,Sofa Slipcovers
113,2021-05-26,21530.0,Sofa Slipcovers
114,2021-05-27,18758.0,Sofa Slipcovers
115,2021-05-28,16581.0,Sofa Slipcovers
116,2021-05-29,16581.0,Sofa Slipcovers
117,2021-05-30,16581.0,Sofa Slipcovers
118,2021-05-31,15721.0,Sofa Slipcovers
119,2021-06-01,16485.0,Sofa Slipcovers
120,2021-06-02,20938.0,Sofa Slipcovers
121,2021-06-03,20938.0,Sofa Slipcovers
122,2021-06-04,15659.0,Sofa Slipcovers
123,2021-06-05,15659.0,Sofa Slipcovers
124,2021-06-06,15659.0,Sofa Slipcovers
125,2021-06-07,19215.0,Sofa Slipcovers
126,2021-06-08,19215.0,Sofa Slipcovers
127,2021-06-09,19215.0,Sofa Slipcovers
128,2021-06-10,19215.0,Sofa Slipcovers
129,2021-06-11,13679.0,Sofa Slipcovers
130,2021-06-12,13679.0,Sofa Slipcovers
131,2021-06-13,16945.0,Sofa Slipcovers
132,2021-06-14,16945.0,Sofa Slipcovers
133,2021-06-15,16945.0,Sofa Slipcovers
134,2021-06-16,14398.0,Sofa Slipcovers
135,2021-06-17,12210.0,Sofa Slipcovers
136,2021-06-18,12210.0,Sofa Slipcovers
137,2021-06-19,12210.0,Sofa Slipcovers
138,2021-06-20,12210.0,Sofa Slipcovers
139,2021-06-21,10315.0,Sofa Slipcovers
140,2021-06-22,10065.0,Sofa Slipcovers
141,2021-06-23,10065.0,Sofa Slipcovers
142,2021-06-24,6740.0,Sofa Slipcovers
143,2021-06-25,8717.0,Sofa Slipcovers
144,2021-06-26,8717.0,Sofa Slipcovers
145,2021-06-27,10420.0,Sofa Slipcovers
146,2021-06-28,10420.0,Sofa Slipcovers
147,2021-06-29,9321.0,Sofa Slipcovers
148,2021-06-30,9321.0,Sofa Slipcovers
149,2021-07-01,10358.0,Sofa Slipcovers
150,2021-07-02,12135.0,Sofa Slipcovers
151,2021-07-03,12135.0,Sofa Slipcovers
152,2021-07-04,9187.0,Sofa Slipcovers
153,2021-07-05,9187.0,Sofa Slipcovers
154,2021-07-06,13067.0,Sofa Slipcovers
155,2021-07-07,10936.0,Sofa Slipcovers
156,2021-07-08,10936.0,Sofa Slipcovers
157,2021-07-09,9241.0,Sofa Slipcovers
158,2021-07-10,9241.0,Sofa Slipcovers
159,2021-07-11,7115.0,Sofa Slipcovers
