,date,value,name_B087V92N4M
101,2020-09-06,81763.0,Protein Bars
102,2020-09-07,81763.0,Protein Bars
103,2020-09-08,81763.0,Protein Bars
104,2020-09-09,81763.0,Protein Bars
105,2020-09-10,81763.0,Protein Bars
106,2020-09-11,163882.0,Protein Bars
107,2020-09-12,163882.0,Protein Bars
108,2020-09-13,163882.0,Protein Bars
109,2020-09-14,163882.0,Protein Bars
110,2020-09-15,163882.0,Protein Bars
111,2020-09-16,194915.0,Protein Bars
112,2020-09-17,194915.0,Protein Bars
113,2020-09-18,194915.0,Protein Bars
114,2020-09-19,194915.0,Protein Bars
115,2020-09-20,194915.0,Protein Bars
116,2020-09-21,194915.0,Protein Bars
117,2020-09-22,194915.0,Protein Bars
118,2020-09-23,194915.0,Protein Bars
119,2020-09-24,194915.0,Protein Bars
120,2020-09-25,194915.0,Protein Bars
121,2020-09-26,194915.0,Protein Bars
122,2020-09-27,194915.0,Protein Bars
123,2020-09-28,207507.0,Protein Bars
124,2020-09-29,207507.0,Protein Bars
125,2020-09-30,207507.0,Protein Bars
126,2020-10-01,207507.0,Protein Bars
127,2020-10-02,207507.0,Protein Bars
128,2020-10-03,207507.0,Protein Bars
129,2020-10-04,207507.0,Protein Bars
130,2020-10-05,207507.0,Protein Bars
131,2020-10-06,207507.0,Protein Bars
132,2020-10-07,213108.0,Protein Bars
133,2020-10-08,213108.0,Protein Bars
134,2020-10-09,213108.0,Protein Bars
135,2020-10-10,213108.0,Protein Bars
136,2020-10-11,59216.0,Protein Bars
137,2020-10-12,59216.0,Protein Bars
138,2020-10-13,17536.0,Protein Bars
139,2020-10-14,17536.0,Protein Bars
140,2020-10-15,17536.0,Protein Bars
141,2020-10-16,20672.0,Protein Bars
142,2020-10-17,20672.0,Protein Bars
143,2020-10-18,20672.0,Protein Bars
144,2020-10-19,20915.0,Protein Bars
145,2020-10-20,20915.0,Protein Bars
146,2020-10-21,19250.0,Protein Bars
147,2020-10-22,19250.0,Protein Bars
148,2020-10-23,19250.0,Protein Bars
149,2020-10-24,19250.0,Protein Bars
150,2020-10-25,19303.0,Protein Bars
151,2020-10-26,14964.0,Protein Bars
152,2020-10-27,14964.0,Protein Bars
153,2020-10-28,14964.0,Protein Bars
154,2020-10-29,14658.0,Protein Bars
155,2020-10-30,14658.0,Protein Bars
156,2020-10-31,14658.0,Protein Bars
157,2020-11-01,18712.0,Protein Bars
158,2020-11-02,18712.0,Protein Bars
159,2020-11-03,18712.0,Protein Bars
160,2020-11-04,18712.0,Protein Bars
161,2020-11-05,12379.0,Protein Bars
162,2020-11-06,14945.0,Protein Bars
163,2020-11-07,17627.0,Protein Bars
164,2020-11-08,17627.0,Protein Bars
165,2020-11-09,17627.0,Protein Bars
166,2020-11-10,16573.0,Protein Bars
167,2020-11-11,16573.0,Protein Bars
168,2020-11-12,16573.0,Protein Bars
169,2020-11-13,16573.0,Protein Bars
170,2020-11-14,16573.0,Protein Bars
171,2020-11-15,20941.0,Protein Bars
172,2020-11-16,20941.0,Protein Bars
173,2020-11-17,20941.0,Protein Bars
174,2020-11-18,20941.0,Protein Bars
175,2020-11-19,18096.0,Protein Bars
176,2020-11-20,19968.0,Protein Bars
177,2020-11-21,19968.0,Protein Bars
178,2020-11-22,19968.0,Protein Bars
179,2020-11-23,19968.0,Protein Bars
180,2020-11-24,26647.0,Protein Bars
181,2020-11-25,20490.0,Protein Bars
182,2020-11-26,20490.0,Protein Bars
183,2020-11-27,22860.0,Protein Bars
184,2020-11-28,22860.0,Protein Bars
185,2020-11-29,14981.0,Protein Bars
186,2020-11-30,14981.0,Protein Bars
187,2020-12-01,14981.0,Protein Bars
188,2020-12-02,14981.0,Protein Bars
189,2020-12-03,12368.0,Protein Bars
190,2020-12-04,12368.0,Protein Bars
191,2020-12-05,12368.0,Protein Bars
192,2020-12-06,12368.0,Protein Bars
193,2020-12-07,12368.0,Protein Bars
194,2020-12-08,12457.0,Protein Bars
195,2020-12-09,12457.0,Protein Bars
196,2020-12-10,9591.0,Protein Bars
197,2020-12-11,9591.0,Protein Bars
198,2020-12-12,9591.0,Protein Bars
199,2020-12-13,9591.0,Protein Bars
200,2020-12-14,11731.0,Protein Bars
201,2020-12-15,15102.0,Protein Bars
202,2020-12-16,15102.0,Protein Bars
203,2020-12-17,15102.0,Protein Bars
204,2020-12-18,15102.0,Protein Bars
205,2020-12-19,15102.0,Protein Bars
206,2020-12-20,15224.0,Protein Bars
207,2020-12-21,15224.0,Protein Bars
208,2020-12-22,18397.0,Protein Bars
209,2020-12-23,22493.0,Protein Bars
210,2020-12-24,19283.0,Protein Bars
211,2020-12-25,19283.0,Protein Bars
212,2020-12-26,19283.0,Protein Bars
213,2020-12-27,15752.0,Protein Bars
214,2020-12-28,15752.0,Protein Bars
215,2020-12-29,15752.0,Protein Bars
216,2020-12-30,15752.0,Protein Bars
217,2020-12-31,13267.0,Protein Bars
218,2021-01-01,15012.0,Protein Bars
219,2021-01-02,15012.0,Protein Bars
220,2021-01-03,15012.0,Protein Bars
221,2021-01-04,7342.0,Protein Bars
222,2021-01-05,7342.0,Protein Bars
223,2021-01-06,7800.0,Protein Bars
224,2021-01-07,7800.0,Protein Bars
225,2021-01-08,6371.0,Protein Bars
