,date,value,name_B08R8QSQ2H
116,2021-04-20,25522.0,Throw Pillow Covers
117,2021-04-21,25522.0,Throw Pillow Covers
118,2021-04-22,25522.0,Throw Pillow Covers
119,2021-04-23,24602.0,Throw Pillow Covers
120,2021-04-24,24602.0,Throw Pillow Covers
121,2021-04-25,20572.0,Throw Pillow Covers
122,2021-04-26,20572.0,Throw Pillow Covers
123,2021-04-27,20572.0,Throw Pillow Covers
124,2021-04-28,24189.0,Throw Pillow Covers
125,2021-04-29,22411.0,Throw Pillow Covers
126,2021-04-30,22411.0,Throw Pillow Covers
127,2021-05-01,20694.0,Throw Pillow Covers
128,2021-05-02,20694.0,Throw Pillow Covers
129,2021-05-03,24532.0,Throw Pillow Covers
130,2021-05-04,21624.0,Throw Pillow Covers
131,2021-05-05,21624.0,Throw Pillow Covers
132,2021-05-06,22225.0,Throw Pillow Covers
133,2021-05-07,21265.0,Throw Pillow Covers
134,2021-05-08,21265.0,Throw Pillow Covers
135,2021-05-09,21265.0,Throw Pillow Covers
136,2021-05-10,18626.0,Throw Pillow Covers
137,2021-05-11,18626.0,Throw Pillow Covers
138,2021-05-12,28051.0,Throw Pillow Covers
139,2021-05-13,30043.0,Throw Pillow Covers
140,2021-05-14,30043.0,Throw Pillow Covers
141,2021-05-15,30051.0,Throw Pillow Covers
142,2021-05-16,30579.0,Throw Pillow Covers
143,2021-05-17,30579.0,Throw Pillow Covers
144,2021-05-18,30579.0,Throw Pillow Covers
145,2021-05-19,30579.0,Throw Pillow Covers
146,2021-05-20,23918.0,Throw Pillow Covers
147,2021-05-21,22821.0,Throw Pillow Covers
148,2021-05-22,22821.0,Throw Pillow Covers
149,2021-05-23,22821.0,Throw Pillow Covers
150,2021-05-24,31284.0,Throw Pillow Covers
151,2021-05-25,31284.0,Throw Pillow Covers
152,2021-05-26,43060.0,Throw Pillow Covers
153,2021-05-27,43060.0,Throw Pillow Covers
154,2021-05-28,43060.0,Throw Pillow Covers
155,2021-05-29,43060.0,Throw Pillow Covers
156,2021-05-30,23535.0,Throw Pillow Covers
157,2021-05-31,23535.0,Throw Pillow Covers
158,2021-06-01,27153.0,Throw Pillow Covers
159,2021-06-02,25955.0,Throw Pillow Covers
160,2021-06-03,25955.0,Throw Pillow Covers
161,2021-06-04,25411.0,Throw Pillow Covers
162,2021-06-05,25411.0,Throw Pillow Covers
163,2021-06-06,31827.0,Throw Pillow Covers
164,2021-06-07,31827.0,Throw Pillow Covers
165,2021-06-08,47917.0,Throw Pillow Covers
166,2021-06-09,32893.0,Throw Pillow Covers
167,2021-06-10,32893.0,Throw Pillow Covers
168,2021-06-11,26580.0,Throw Pillow Covers
169,2021-06-12,26580.0,Throw Pillow Covers
170,2021-06-13,26580.0,Throw Pillow Covers
171,2021-06-14,29369.0,Throw Pillow Covers
172,2021-06-15,29369.0,Throw Pillow Covers
173,2021-06-16,29369.0,Throw Pillow Covers
174,2021-06-17,20926.0,Throw Pillow Covers
175,2021-06-18,20926.0,Throw Pillow Covers
176,2021-06-19,25952.0,Throw Pillow Covers
177,2021-06-20,25952.0,Throw Pillow Covers
178,2021-06-21,25952.0,Throw Pillow Covers
179,2021-06-22,15073.0,Throw Pillow Covers
180,2021-06-23,11985.0,Throw Pillow Covers
181,2021-06-24,15142.0,Throw Pillow Covers
182,2021-06-25,15142.0,Throw Pillow Covers
183,2021-06-26,15142.0,Throw Pillow Covers
184,2021-06-27,15142.0,Throw Pillow Covers
185,2021-06-28,18931.0,Throw Pillow Covers
186,2021-06-29,16564.0,Throw Pillow Covers
187,2021-06-30,16564.0,Throw Pillow Covers
188,2021-07-01,18077.0,Throw Pillow Covers
189,2021-07-02,18077.0,Throw Pillow Covers
190,2021-07-03,18077.0,Throw Pillow Covers
191,2021-07-04,17363.0,Throw Pillow Covers
192,2021-07-05,21464.0,Throw Pillow Covers
193,2021-07-06,21464.0,Throw Pillow Covers
194,2021-07-07,18097.0,Throw Pillow Covers
195,2021-07-08,18097.0,Throw Pillow Covers
196,2021-07-09,17835.0,Throw Pillow Covers
197,2021-07-10,15054.0,Throw Pillow Covers
