,date,value,name_B08Q6DKCNZ
41,2021-01-23,21130.0,Pill Dispensers & Reminders
42,2021-01-24,21130.0,Pill Dispensers & Reminders
43,2021-01-25,21130.0,Pill Dispensers & Reminders
44,2021-01-26,29217.0,Pill Dispensers & Reminders
45,2021-01-27,29217.0,Pill Dispensers & Reminders
46,2021-01-28,29217.0,Pill Dispensers & Reminders
47,2021-01-29,29217.0,Pill Dispensers & Reminders
48,2021-01-30,29217.0,Pill Dispensers & Reminders
49,2021-01-31,29217.0,Pill Dispensers & Reminders
50,2021-02-01,27800.0,Pill Dispensers & Reminders
51,2021-02-02,27800.0,Pill Dispensers & Reminders
52,2021-02-03,27800.0,Pill Dispensers & Reminders
53,2021-02-04,27800.0,Pill Dispensers & Reminders
54,2021-02-05,27108.0,Pill Dispensers & Reminders
55,2021-02-06,27108.0,Pill Dispensers & Reminders
56,2021-02-07,27108.0,Pill Dispensers & Reminders
57,2021-02-08,27108.0,Pill Dispensers & Reminders
58,2021-02-09,27108.0,Pill Dispensers & Reminders
59,2021-02-10,27725.0,Pill Dispensers & Reminders
60,2021-02-11,33881.0,Pill Dispensers & Reminders
61,2021-02-12,33881.0,Pill Dispensers & Reminders
62,2021-02-13,33881.0,Pill Dispensers & Reminders
63,2021-02-14,27916.0,Pill Dispensers & Reminders
64,2021-02-15,27916.0,Pill Dispensers & Reminders
65,2021-02-16,27916.0,Pill Dispensers & Reminders
66,2021-02-17,27916.0,Pill Dispensers & Reminders
67,2021-02-18,27916.0,Pill Dispensers & Reminders
68,2021-02-19,27916.0,Pill Dispensers & Reminders
69,2021-02-20,38222.0,Pill Dispensers & Reminders
70,2021-02-21,38222.0,Pill Dispensers & Reminders
71,2021-02-22,38222.0,Pill Dispensers & Reminders
72,2021-02-23,38222.0,Pill Dispensers & Reminders
73,2021-02-24,38222.0,Pill Dispensers & Reminders
74,2021-02-25,38222.0,Pill Dispensers & Reminders
75,2021-02-26,30067.0,Pill Dispensers & Reminders
76,2021-02-27,26657.0,Pill Dispensers & Reminders
77,2021-02-28,26657.0,Pill Dispensers & Reminders
78,2021-03-01,26657.0,Pill Dispensers & Reminders
79,2021-03-02,26657.0,Pill Dispensers & Reminders
80,2021-03-03,26657.0,Pill Dispensers & Reminders
81,2021-03-04,17861.0,Pill Dispensers & Reminders
82,2021-03-05,17861.0,Pill Dispensers & Reminders
83,2021-03-06,17861.0,Pill Dispensers & Reminders
84,2021-03-07,17861.0,Pill Dispensers & Reminders
85,2021-03-08,17861.0,Pill Dispensers & Reminders
86,2021-03-09,17861.0,Pill Dispensers & Reminders
87,2021-03-10,17861.0,Pill Dispensers & Reminders
88,2021-03-11,45403.0,Pill Dispensers & Reminders
89,2021-03-12,45403.0,Pill Dispensers & Reminders
90,2021-03-13,45403.0,Pill Dispensers & Reminders
91,2021-03-14,45403.0,Pill Dispensers & Reminders
92,2021-03-15,45403.0,Pill Dispensers & Reminders
93,2021-03-16,45403.0,Pill Dispensers & Reminders
94,2021-03-17,45403.0,Pill Dispensers & Reminders
95,2021-03-18,72289.0,Pill Dispensers & Reminders
96,2021-03-19,72289.0,Pill Dispensers & Reminders
97,2021-03-20,72289.0,Pill Dispensers & Reminders
98,2021-03-21,72289.0,Pill Dispensers & Reminders
99,2021-03-22,43720.0,Pill Dispensers & Reminders
100,2021-03-23,43720.0,Pill Dispensers & Reminders
101,2021-03-24,43720.0,Pill Dispensers & Reminders
102,2021-03-25,43720.0,Pill Dispensers & Reminders
103,2021-03-26,43720.0,Pill Dispensers & Reminders
104,2021-03-27,43720.0,Pill Dispensers & Reminders
105,2021-03-28,39277.0,Pill Dispensers & Reminders
106,2021-03-29,39277.0,Pill Dispensers & Reminders
107,2021-03-30,39277.0,Pill Dispensers & Reminders
108,2021-03-31,39277.0,Pill Dispensers & Reminders
109,2021-04-01,39277.0,Pill Dispensers & Reminders
110,2021-04-02,32955.0,Pill Dispensers & Reminders
111,2021-04-03,32955.0,Pill Dispensers & Reminders
112,2021-04-04,32955.0,Pill Dispensers & Reminders
113,2021-04-05,32955.0,Pill Dispensers & Reminders
114,2021-04-06,32955.0,Pill Dispensers & Reminders
115,2021-04-07,35106.0,Pill Dispensers & Reminders
116,2021-04-08,35106.0,Pill Dispensers & Reminders
117,2021-04-09,35106.0,Pill Dispensers & Reminders
118,2021-04-10,25895.0,Pill Dispensers & Reminders
119,2021-04-11,25895.0,Pill Dispensers & Reminders
120,2021-04-12,25895.0,Pill Dispensers & Reminders
121,2021-04-13,25895.0,Pill Dispensers & Reminders
122,2021-04-14,25895.0,Pill Dispensers & Reminders
123,2021-04-15,38211.0,Pill Dispensers & Reminders
124,2021-04-16,38211.0,Pill Dispensers & Reminders
125,2021-04-17,38211.0,Pill Dispensers & Reminders
126,2021-04-18,38211.0,Pill Dispensers & Reminders
127,2021-04-19,38211.0,Pill Dispensers & Reminders
128,2021-04-20,38211.0,Pill Dispensers & Reminders
129,2021-04-21,30408.0,Pill Dispensers & Reminders
130,2021-04-22,30408.0,Pill Dispensers & Reminders
131,2021-04-23,35654.0,Pill Dispensers & Reminders
132,2021-04-24,32687.0,Pill Dispensers & Reminders
133,2021-04-25,32687.0,Pill Dispensers & Reminders
134,2021-04-26,32687.0,Pill Dispensers & Reminders
135,2021-04-27,32687.0,Pill Dispensers & Reminders
136,2021-04-28,32687.0,Pill Dispensers & Reminders
137,2021-04-29,15726.0,Pill Dispensers & Reminders
138,2021-04-30,15726.0,Pill Dispensers & Reminders
139,2021-05-01,15726.0,Pill Dispensers & Reminders
140,2021-05-02,15726.0,Pill Dispensers & Reminders
141,2021-05-03,15726.0,Pill Dispensers & Reminders
142,2021-05-04,23520.0,Pill Dispensers & Reminders
143,2021-05-05,23520.0,Pill Dispensers & Reminders
144,2021-05-06,23520.0,Pill Dispensers & Reminders
145,2021-05-07,23520.0,Pill Dispensers & Reminders
146,2021-05-08,23520.0,Pill Dispensers & Reminders
147,2021-05-09,23520.0,Pill Dispensers & Reminders
148,2021-05-10,17276.0,Pill Dispensers & Reminders
149,2021-05-11,17276.0,Pill Dispensers & Reminders
150,2021-05-12,17276.0,Pill Dispensers & Reminders
151,2021-05-13,17276.0,Pill Dispensers & Reminders
152,2021-05-14,17276.0,Pill Dispensers & Reminders
153,2021-05-15,17276.0,Pill Dispensers & Reminders
154,2021-05-16,23244.0,Pill Dispensers & Reminders
155,2021-05-17,23498.0,Pill Dispensers & Reminders
156,2021-05-18,23498.0,Pill Dispensers & Reminders
157,2021-05-19,23498.0,Pill Dispensers & Reminders
158,2021-05-20,31051.0,Pill Dispensers & Reminders
159,2021-05-21,37783.0,Pill Dispensers & Reminders
160,2021-05-22,37783.0,Pill Dispensers & Reminders
161,2021-05-23,40738.0,Pill Dispensers & Reminders
162,2021-05-24,40738.0,Pill Dispensers & Reminders
163,2021-05-25,40738.0,Pill Dispensers & Reminders
164,2021-05-26,40738.0,Pill Dispensers & Reminders
165,2021-05-27,40738.0,Pill Dispensers & Reminders
166,2021-05-28,40738.0,Pill Dispensers & Reminders
167,2021-05-29,26448.0,Pill Dispensers & Reminders
168,2021-05-30,26448.0,Pill Dispensers & Reminders
169,2021-05-31,26448.0,Pill Dispensers & Reminders
170,2021-06-01,30680.0,Pill Dispensers & Reminders
171,2021-06-02,30680.0,Pill Dispensers & Reminders
172,2021-06-03,30680.0,Pill Dispensers & Reminders
173,2021-06-04,30680.0,Pill Dispensers & Reminders
174,2021-06-05,23077.0,Pill Dispensers & Reminders
175,2021-06-06,23077.0,Pill Dispensers & Reminders
176,2021-06-07,23077.0,Pill Dispensers & Reminders
177,2021-06-08,23077.0,Pill Dispensers & Reminders
178,2021-06-09,23077.0,Pill Dispensers & Reminders
179,2021-06-10,23077.0,Pill Dispensers & Reminders
180,2021-06-11,33839.0,Pill Dispensers & Reminders
181,2021-06-12,33839.0,Pill Dispensers & Reminders
182,2021-06-13,33839.0,Pill Dispensers & Reminders
183,2021-06-14,18415.0,Pill Dispensers & Reminders
184,2021-06-15,18415.0,Pill Dispensers & Reminders
185,2021-06-16,23208.0,Pill Dispensers & Reminders
186,2021-06-17,23208.0,Pill Dispensers & Reminders
187,2021-06-18,23208.0,Pill Dispensers & Reminders
188,2021-06-19,23208.0,Pill Dispensers & Reminders
189,2021-06-20,21231.0,Pill Dispensers & Reminders
190,2021-06-21,23567.0,Pill Dispensers & Reminders
191,2021-06-22,24338.0,Pill Dispensers & Reminders
192,2021-06-23,24338.0,Pill Dispensers & Reminders
193,2021-06-24,24338.0,Pill Dispensers & Reminders
194,2021-06-25,24338.0,Pill Dispensers & Reminders
195,2021-06-26,24338.0,Pill Dispensers & Reminders
196,2021-06-27,24338.0,Pill Dispensers & Reminders
197,2021-06-28,24090.0,Pill Dispensers & Reminders
198,2021-06-29,26766.0,Pill Dispensers & Reminders
199,2021-06-30,26766.0,Pill Dispensers & Reminders
200,2021-07-01,26766.0,Pill Dispensers & Reminders
201,2021-07-02,26766.0,Pill Dispensers & Reminders
202,2021-07-03,26766.0,Pill Dispensers & Reminders
203,2021-07-04,26064.0,Pill Dispensers & Reminders
204,2021-07-05,26064.0,Pill Dispensers & Reminders
205,2021-07-06,26064.0,Pill Dispensers & Reminders
206,2021-07-07,26064.0,Pill Dispensers & Reminders
207,2021-07-08,26064.0,Pill Dispensers & Reminders
208,2021-07-09,33378.0,Pill Dispensers & Reminders
209,2021-07-10,33378.0,Pill Dispensers & Reminders
210,2021-07-11,24306.0,Pill Dispensers & Reminders
