,date,value,name_B08MW1T4WR
49,2020-12-26,5005.0,Recovery Collars & Cones
50,2020-12-27,5005.0,Recovery Collars & Cones
51,2020-12-28,3180.0,Recovery Collars & Cones
52,2020-12-29,2838.0,Recovery Collars & Cones
53,2020-12-30,2838.0,Recovery Collars & Cones
54,2020-12-31,1947.0,Recovery Collars & Cones
55,2021-01-01,1947.0,Recovery Collars & Cones
56,2021-01-02,1947.0,Recovery Collars & Cones
57,2021-01-03,2142.0,Recovery Collars & Cones
58,2021-01-04,1669.0,Recovery Collars & Cones
59,2021-01-05,1397.0,Recovery Collars & Cones
60,2021-01-06,1232.0,Recovery Collars & Cones
61,2021-01-07,1332.0,Recovery Collars & Cones
62,2021-01-08,1332.0,Recovery Collars & Cones
63,2021-01-09,1332.0,Recovery Collars & Cones
64,2021-01-10,1694.0,Recovery Collars & Cones
65,2021-01-11,1703.0,Recovery Collars & Cones
66,2021-01-12,1439.0,Recovery Collars & Cones
67,2021-01-13,1357.0,Recovery Collars & Cones
68,2021-01-14,1480.0,Recovery Collars & Cones
69,2021-01-15,1512.0,Recovery Collars & Cones
70,2021-01-16,1512.0,Recovery Collars & Cones
71,2021-01-17,1534.0,Recovery Collars & Cones
72,2021-01-18,1534.0,Recovery Collars & Cones
73,2021-01-19,1868.0,Recovery Collars & Cones
74,2021-01-20,1540.0,Recovery Collars & Cones
75,2021-01-21,1540.0,Recovery Collars & Cones
76,2021-01-22,1540.0,Recovery Collars & Cones
77,2021-01-23,1540.0,Recovery Collars & Cones
78,2021-01-24,1525.0,Recovery Collars & Cones
79,2021-01-25,1481.0,Recovery Collars & Cones
80,2021-01-26,1448.0,Recovery Collars & Cones
81,2021-01-27,1448.0,Recovery Collars & Cones
82,2021-01-28,1194.0,Recovery Collars & Cones
83,2021-01-29,1194.0,Recovery Collars & Cones
84,2021-01-30,2563.0,Recovery Collars & Cones
85,2021-01-31,3099.0,Recovery Collars & Cones
86,2021-02-01,3973.0,Recovery Collars & Cones
87,2021-02-02,2164.0,Recovery Collars & Cones
88,2021-02-03,1959.0,Recovery Collars & Cones
89,2021-02-04,1790.0,Recovery Collars & Cones
90,2021-02-05,1488.0,Recovery Collars & Cones
91,2021-02-06,1683.0,Recovery Collars & Cones
92,2021-02-07,1463.0,Recovery Collars & Cones
93,2021-02-08,1463.0,Recovery Collars & Cones
94,2021-02-09,1463.0,Recovery Collars & Cones
95,2021-02-10,1660.0,Recovery Collars & Cones
96,2021-02-11,1825.0,Recovery Collars & Cones
97,2021-02-12,1600.0,Recovery Collars & Cones
98,2021-02-13,1600.0,Recovery Collars & Cones
99,2021-02-14,1600.0,Recovery Collars & Cones
100,2021-02-15,1706.0,Recovery Collars & Cones
101,2021-02-16,1706.0,Recovery Collars & Cones
102,2021-02-17,1585.0,Recovery Collars & Cones
103,2021-02-18,1639.0,Recovery Collars & Cones
104,2021-02-19,1556.0,Recovery Collars & Cones
105,2021-02-20,1255.0,Recovery Collars & Cones
106,2021-02-21,1255.0,Recovery Collars & Cones
107,2021-02-22,1719.0,Recovery Collars & Cones
108,2021-02-23,1796.0,Recovery Collars & Cones
109,2021-02-24,1796.0,Recovery Collars & Cones
110,2021-02-25,1155.0,Recovery Collars & Cones
111,2021-02-26,1124.0,Recovery Collars & Cones
112,2021-02-27,1124.0,Recovery Collars & Cones
113,2021-02-28,1124.0,Recovery Collars & Cones
114,2021-03-01,1596.0,Recovery Collars & Cones
115,2021-03-02,1330.0,Recovery Collars & Cones
116,2021-03-03,1330.0,Recovery Collars & Cones
117,2021-03-04,1353.0,Recovery Collars & Cones
118,2021-03-05,1415.0,Recovery Collars & Cones
119,2021-03-06,1415.0,Recovery Collars & Cones
120,2021-03-07,1465.0,Recovery Collars & Cones
121,2021-03-08,1465.0,Recovery Collars & Cones
122,2021-03-09,1418.0,Recovery Collars & Cones
123,2021-03-10,1349.0,Recovery Collars & Cones
124,2021-03-11,1349.0,Recovery Collars & Cones
125,2021-03-12,1048.0,Recovery Collars & Cones
126,2021-03-13,1302.0,Recovery Collars & Cones
127,2021-03-14,1714.0,Recovery Collars & Cones
128,2021-03-15,1703.0,Recovery Collars & Cones
129,2021-03-16,1703.0,Recovery Collars & Cones
130,2021-03-17,1385.0,Recovery Collars & Cones
131,2021-03-18,1385.0,Recovery Collars & Cones
132,2021-03-19,1570.0,Recovery Collars & Cones
133,2021-03-20,1570.0,Recovery Collars & Cones
134,2021-03-21,1797.0,Recovery Collars & Cones
135,2021-03-22,1760.0,Recovery Collars & Cones
136,2021-03-23,1524.0,Recovery Collars & Cones
137,2021-03-24,1468.0,Recovery Collars & Cones
138,2021-03-25,1363.0,Recovery Collars & Cones
139,2021-03-26,1107.0,Recovery Collars & Cones
140,2021-03-27,1096.0,Recovery Collars & Cones
141,2021-03-28,1096.0,Recovery Collars & Cones
142,2021-03-29,1385.0,Recovery Collars & Cones
143,2021-03-30,1289.0,Recovery Collars & Cones
144,2021-03-31,1448.0,Recovery Collars & Cones
145,2021-04-01,1448.0,Recovery Collars & Cones
146,2021-04-02,1305.0,Recovery Collars & Cones
147,2021-04-03,1305.0,Recovery Collars & Cones
148,2021-04-04,1266.0,Recovery Collars & Cones
149,2021-04-05,1336.0,Recovery Collars & Cones
150,2021-04-06,848.0,Recovery Collars & Cones
151,2021-04-07,892.0,Recovery Collars & Cones
152,2021-04-08,602.0,Recovery Collars & Cones
153,2021-04-09,769.0,Recovery Collars & Cones
154,2021-04-10,694.0,Recovery Collars & Cones
155,2021-04-11,694.0,Recovery Collars & Cones
156,2021-04-12,921.0,Recovery Collars & Cones
157,2021-04-13,921.0,Recovery Collars & Cones
158,2021-04-14,926.0,Recovery Collars & Cones
159,2021-04-15,850.0,Recovery Collars & Cones
160,2021-04-16,969.0,Recovery Collars & Cones
161,2021-04-17,921.0,Recovery Collars & Cones
162,2021-04-18,921.0,Recovery Collars & Cones
163,2021-04-19,1215.0,Recovery Collars & Cones
164,2021-04-20,1215.0,Recovery Collars & Cones
165,2021-04-21,937.0,Recovery Collars & Cones
166,2021-04-22,933.0,Recovery Collars & Cones
167,2021-04-23,1057.0,Recovery Collars & Cones
168,2021-04-24,950.0,Recovery Collars & Cones
169,2021-04-25,1077.0,Recovery Collars & Cones
170,2021-04-26,1059.0,Recovery Collars & Cones
171,2021-04-27,1059.0,Recovery Collars & Cones
172,2021-04-28,770.0,Recovery Collars & Cones
173,2021-04-29,843.0,Recovery Collars & Cones
174,2021-04-30,843.0,Recovery Collars & Cones
175,2021-05-01,964.0,Recovery Collars & Cones
176,2021-05-02,995.0,Recovery Collars & Cones
177,2021-05-03,1132.0,Recovery Collars & Cones
178,2021-05-04,1132.0,Recovery Collars & Cones
179,2021-05-05,733.0,Recovery Collars & Cones
180,2021-05-06,901.0,Recovery Collars & Cones
181,2021-05-07,849.0,Recovery Collars & Cones
182,2021-05-08,917.0,Recovery Collars & Cones
183,2021-05-09,957.0,Recovery Collars & Cones
184,2021-05-10,1012.0,Recovery Collars & Cones
185,2021-05-11,1012.0,Recovery Collars & Cones
186,2021-05-12,1012.0,Recovery Collars & Cones
187,2021-05-13,966.0,Recovery Collars & Cones
188,2021-05-14,951.0,Recovery Collars & Cones
189,2021-05-15,919.0,Recovery Collars & Cones
190,2021-05-16,1473.0,Recovery Collars & Cones
191,2021-05-17,1326.0,Recovery Collars & Cones
192,2021-05-18,1049.0,Recovery Collars & Cones
193,2021-05-19,1058.0,Recovery Collars & Cones
194,2021-05-20,1043.0,Recovery Collars & Cones
195,2021-05-21,983.0,Recovery Collars & Cones
196,2021-05-22,944.0,Recovery Collars & Cones
197,2021-05-23,752.0,Recovery Collars & Cones
198,2021-05-24,1227.0,Recovery Collars & Cones
199,2021-05-25,974.0,Recovery Collars & Cones
200,2021-05-26,869.0,Recovery Collars & Cones
201,2021-05-27,831.0,Recovery Collars & Cones
202,2021-05-28,923.0,Recovery Collars & Cones
203,2021-05-29,893.0,Recovery Collars & Cones
204,2021-05-30,977.0,Recovery Collars & Cones
205,2021-05-31,1004.0,Recovery Collars & Cones
206,2021-06-01,1050.0,Recovery Collars & Cones
207,2021-06-02,800.0,Recovery Collars & Cones
208,2021-06-03,761.0,Recovery Collars & Cones
209,2021-06-04,741.0,Recovery Collars & Cones
210,2021-06-05,766.0,Recovery Collars & Cones
211,2021-06-06,794.0,Recovery Collars & Cones
212,2021-06-07,794.0,Recovery Collars & Cones
213,2021-06-08,832.0,Recovery Collars & Cones
214,2021-06-09,96450.0,Recovery Collars & Cones
215,2021-06-10,96450.0,Recovery Collars & Cones
216,2021-06-11,96450.0,Recovery Collars & Cones
217,2021-06-12,96450.0,Recovery Collars & Cones
218,2021-06-13,97300.0,Recovery Collars & Cones
219,2021-06-14,97300.0,Recovery Collars & Cones
220,2021-06-15,100274.0,Recovery Collars & Cones
221,2021-06-16,100272.0,Recovery Collars & Cones
222,2021-06-17,100157.0,Recovery Collars & Cones
223,2021-06-18,100157.0,Recovery Collars & Cones
224,2021-06-19,100109.0,Recovery Collars & Cones
225,2021-06-20,100109.0,Recovery Collars & Cones
226,2021-06-21,99112.0,Recovery Collars & Cones
227,2021-06-22,103889.0,Recovery Collars & Cones
228,2021-06-23,104078.0,Recovery Collars & Cones
229,2021-06-24,106456.0,Recovery Collars & Cones
230,2021-06-25,103367.0,Recovery Collars & Cones
231,2021-06-26,101483.0,Recovery Collars & Cones
232,2021-06-27,101483.0,Recovery Collars & Cones
233,2021-06-28,101536.0,Recovery Collars & Cones
234,2021-06-29,101598.0,Recovery Collars & Cones
235,2021-06-30,101598.0,Recovery Collars & Cones
236,2021-07-01,107354.0,Recovery Collars & Cones
237,2021-07-02,107413.0,Recovery Collars & Cones
238,2021-07-03,106712.0,Recovery Collars & Cones
239,2021-07-04,106818.0,Recovery Collars & Cones
240,2021-07-05,106818.0,Recovery Collars & Cones
241,2021-07-06,105365.0,Recovery Collars & Cones
242,2021-07-07,105365.0,Recovery Collars & Cones
243,2021-07-08,105365.0,Recovery Collars & Cones
244,2021-07-09,105365.0,Recovery Collars & Cones
245,2021-07-10,105365.0,Recovery Collars & Cones
246,2021-07-11,107045.0,Recovery Collars & Cones
