,date,value,name_B08MTKLB4J
54,2021-01-06,17576.0,Oils
55,2021-01-07,17576.0,Oils
56,2021-01-08,15574.0,Oils
57,2021-01-09,13681.0,Oils
58,2021-01-10,15507.0,Oils
59,2021-01-11,15507.0,Oils
60,2021-01-12,14701.0,Oils
61,2021-01-13,14701.0,Oils
62,2021-01-14,15015.0,Oils
63,2021-01-15,15015.0,Oils
64,2021-01-16,15015.0,Oils
65,2021-01-17,15015.0,Oils
66,2021-01-18,15336.0,Oils
67,2021-01-19,13963.0,Oils
68,2021-01-20,13963.0,Oils
69,2021-01-21,13963.0,Oils
70,2021-01-22,13963.0,Oils
71,2021-01-23,13963.0,Oils
72,2021-01-24,13963.0,Oils
73,2021-01-25,13963.0,Oils
74,2021-01-26,13963.0,Oils
75,2021-01-27,13963.0,Oils
76,2021-01-28,13963.0,Oils
77,2021-01-29,13963.0,Oils
78,2021-01-30,13963.0,Oils
79,2021-01-31,13963.0,Oils
80,2021-02-01,13963.0,Oils
81,2021-02-02,13963.0,Oils
82,2021-02-03,13963.0,Oils
83,2021-02-04,13963.0,Oils
84,2021-02-05,13963.0,Oils
85,2021-02-06,13963.0,Oils
86,2021-02-07,13963.0,Oils
87,2021-02-08,13963.0,Oils
88,2021-02-09,13963.0,Oils
89,2021-02-10,13963.0,Oils
90,2021-02-11,13963.0,Oils
91,2021-02-12,13963.0,Oils
92,2021-02-13,13963.0,Oils
93,2021-02-14,13963.0,Oils
94,2021-02-15,13963.0,Oils
95,2021-02-16,13963.0,Oils
96,2021-02-17,13963.0,Oils
97,2021-02-18,13963.0,Oils
98,2021-02-19,13963.0,Oils
99,2021-02-20,13963.0,Oils
100,2021-02-21,13963.0,Oils
101,2021-02-22,13963.0,Oils
102,2021-02-23,13963.0,Oils
103,2021-02-24,13963.0,Oils
104,2021-02-25,13963.0,Oils
105,2021-02-26,13963.0,Oils
106,2021-02-27,13963.0,Oils
107,2021-02-28,13963.0,Oils
108,2021-03-01,13963.0,Oils
109,2021-03-02,13963.0,Oils
110,2021-03-03,13963.0,Oils
111,2021-03-04,13963.0,Oils
112,2021-03-05,13963.0,Oils
113,2021-03-06,13963.0,Oils
114,2021-03-07,13963.0,Oils
115,2021-03-08,13963.0,Oils
116,2021-03-09,13181.0,Oils
117,2021-03-10,24118.0,Oils
118,2021-03-11,43161.0,Oils
119,2021-03-12,43161.0,Oils
120,2021-03-13,43161.0,Oils
121,2021-03-14,43161.0,Oils
122,2021-03-15,43161.0,Oils
123,2021-03-16,33183.0,Oils
124,2021-03-17,33183.0,Oils
125,2021-03-18,33183.0,Oils
126,2021-03-19,17221.0,Oils
127,2021-03-20,17221.0,Oils
128,2021-03-21,16193.0,Oils
129,2021-03-22,16193.0,Oils
130,2021-03-23,16193.0,Oils
131,2021-03-24,16193.0,Oils
132,2021-03-25,12030.0,Oils
133,2021-03-26,12030.0,Oils
134,2021-03-27,12030.0,Oils
135,2021-03-28,12030.0,Oils
136,2021-03-29,12030.0,Oils
137,2021-03-30,14127.0,Oils
138,2021-03-31,14033.0,Oils
139,2021-04-01,14033.0,Oils
140,2021-04-02,14209.0,Oils
141,2021-04-03,14209.0,Oils
142,2021-04-04,14209.0,Oils
143,2021-04-05,12696.0,Oils
144,2021-04-06,11561.0,Oils
145,2021-04-07,11561.0,Oils
146,2021-04-08,11474.0,Oils
147,2021-04-09,11474.0,Oils
148,2021-04-10,12031.0,Oils
149,2021-04-11,12031.0,Oils
150,2021-04-12,12031.0,Oils
151,2021-04-13,14255.0,Oils
152,2021-04-14,14255.0,Oils
153,2021-04-15,14255.0,Oils
154,2021-04-16,14255.0,Oils
155,2021-04-17,14255.0,Oils
156,2021-04-18,14255.0,Oils
157,2021-04-19,10762.0,Oils
158,2021-04-20,10762.0,Oils
159,2021-04-21,9332.0,Oils
160,2021-04-22,8707.0,Oils
161,2021-04-23,8707.0,Oils
162,2021-04-24,8707.0,Oils
163,2021-04-25,8433.0,Oils
164,2021-04-26,8433.0,Oils
165,2021-04-27,8433.0,Oils
166,2021-04-28,8794.0,Oils
167,2021-04-29,8053.0,Oils
168,2021-04-30,7991.0,Oils
169,2021-05-01,7991.0,Oils
170,2021-05-02,7991.0,Oils
171,2021-05-03,9765.0,Oils
172,2021-05-04,9465.0,Oils
173,2021-05-05,10188.0,Oils
174,2021-05-06,8575.0,Oils
175,2021-05-07,9741.0,Oils
176,2021-05-08,9741.0,Oils
177,2021-05-09,9316.0,Oils
178,2021-05-10,9316.0,Oils
179,2021-05-11,8081.0,Oils
180,2021-05-12,9711.0,Oils
181,2021-05-13,11046.0,Oils
182,2021-05-14,11046.0,Oils
183,2021-05-15,11046.0,Oils
184,2021-05-16,11046.0,Oils
185,2021-05-17,9072.0,Oils
186,2021-05-18,9072.0,Oils
187,2021-05-19,9072.0,Oils
188,2021-05-20,9463.0,Oils
189,2021-05-21,9463.0,Oils
190,2021-05-22,8809.0,Oils
191,2021-05-23,8673.0,Oils
192,2021-05-24,8673.0,Oils
193,2021-05-25,8673.0,Oils
194,2021-05-26,8549.0,Oils
195,2021-05-27,8549.0,Oils
196,2021-05-28,8549.0,Oils
197,2021-05-29,8549.0,Oils
198,2021-05-30,8549.0,Oils
199,2021-05-31,9129.0,Oils
200,2021-06-01,9129.0,Oils
201,2021-06-02,7506.0,Oils
202,2021-06-03,7721.0,Oils
203,2021-06-04,7721.0,Oils
204,2021-06-05,7721.0,Oils
205,2021-06-06,8079.0,Oils
206,2021-06-07,8079.0,Oils
207,2021-06-08,6958.0,Oils
208,2021-06-09,6958.0,Oils
209,2021-06-10,6958.0,Oils
210,2021-06-11,7676.0,Oils
211,2021-06-12,8480.0,Oils
212,2021-06-13,8480.0,Oils
213,2021-06-14,8480.0,Oils
214,2021-06-15,8480.0,Oils
215,2021-06-16,7737.0,Oils
216,2021-06-17,7737.0,Oils
217,2021-06-18,8176.0,Oils
218,2021-06-19,8176.0,Oils
219,2021-06-20,9527.0,Oils
220,2021-06-21,9527.0,Oils
221,2021-06-22,9527.0,Oils
222,2021-06-23,9628.0,Oils
223,2021-06-24,9628.0,Oils
224,2021-06-25,10383.0,Oils
225,2021-06-26,10383.0,Oils
226,2021-06-27,10383.0,Oils
227,2021-06-28,11397.0,Oils
228,2021-06-29,10423.0,Oils
229,2021-06-30,9649.0,Oils
230,2021-07-01,10451.0,Oils
231,2021-07-02,10451.0,Oils
232,2021-07-03,10451.0,Oils
233,2021-07-04,10451.0,Oils
234,2021-07-05,10451.0,Oils
235,2021-07-06,10770.0,Oils
236,2021-07-07,10770.0,Oils
237,2021-07-08,10770.0,Oils
238,2021-07-09,10770.0,Oils
239,2021-07-10,9454.0,Oils
240,2021-07-11,10869.0,Oils
