,date,value,name_B08KS8RY1H
234,2021-05-31,10806.0,Duvet Covers
235,2021-06-01,10542.0,Duvet Covers
236,2021-06-02,11070.0,Duvet Covers
237,2021-06-03,12833.0,Duvet Covers
238,2021-06-04,11643.0,Duvet Covers
239,2021-06-05,10444.0,Duvet Covers
240,2021-06-06,10572.0,Duvet Covers
241,2021-06-07,11984.0,Duvet Covers
242,2021-06-08,10927.0,Duvet Covers
243,2021-06-09,8714.0,Duvet Covers
244,2021-06-10,11291.0,Duvet Covers
245,2021-06-11,9628.0,Duvet Covers
246,2021-06-12,8236.0,Duvet Covers
247,2021-06-13,9721.0,Duvet Covers
248,2021-06-14,7813.0,Duvet Covers
249,2021-06-15,11424.0,Duvet Covers
250,2021-06-16,13440.0,Duvet Covers
251,2021-06-17,17531.0,Duvet Covers
252,2021-06-18,18082.0,Duvet Covers
253,2021-06-19,18082.0,Duvet Covers
254,2021-06-20,18082.0,Duvet Covers
255,2021-06-21,16221.0,Duvet Covers
256,2021-06-22,7191.0,Duvet Covers
257,2021-06-23,7897.0,Duvet Covers
258,2021-06-24,8685.0,Duvet Covers
259,2021-06-25,10026.0,Duvet Covers
260,2021-06-26,10907.0,Duvet Covers
261,2021-06-27,12482.0,Duvet Covers
262,2021-06-28,14709.0,Duvet Covers
263,2021-06-29,14824.0,Duvet Covers
264,2021-06-30,14824.0,Duvet Covers
265,2021-07-01,11285.0,Duvet Covers
266,2021-07-02,11268.0,Duvet Covers
267,2021-07-03,11438.0,Duvet Covers
268,2021-07-04,11438.0,Duvet Covers
269,2021-07-05,13972.0,Duvet Covers
270,2021-07-06,13972.0,Duvet Covers
271,2021-07-07,17997.0,Duvet Covers
272,2021-07-08,18850.0,Duvet Covers
273,2021-07-09,18850.0,Duvet Covers
274,2021-07-10,14103.0,Duvet Covers
275,2021-07-11,11363.0,Duvet Covers
