,date,value,name_B08L7TZNBD
167,2021-04-02,8554.0,Plush Pillows
168,2021-04-03,8089.0,Plush Pillows
169,2021-04-04,8089.0,Plush Pillows
170,2021-04-05,7357.0,Plush Pillows
171,2021-04-06,10619.0,Plush Pillows
172,2021-04-07,8470.0,Plush Pillows
173,2021-04-08,9025.0,Plush Pillows
174,2021-04-09,9417.0,Plush Pillows
175,2021-04-10,5799.0,Plush Pillows
176,2021-04-11,5618.0,Plush Pillows
177,2021-04-12,6944.0,Plush Pillows
178,2021-04-13,6262.0,Plush Pillows
179,2021-04-14,5207.0,Plush Pillows
180,2021-04-15,6642.0,Plush Pillows
181,2021-04-16,5426.0,Plush Pillows
182,2021-04-17,5426.0,Plush Pillows
183,2021-04-18,3125.0,Plush Pillows
184,2021-04-19,3852.0,Plush Pillows
185,2021-04-20,3965.0,Plush Pillows
186,2021-04-21,4260.0,Plush Pillows
187,2021-04-22,3106.0,Plush Pillows
188,2021-04-23,2508.0,Plush Pillows
189,2021-04-24,2607.0,Plush Pillows
190,2021-04-25,2607.0,Plush Pillows
191,2021-04-26,2037.0,Plush Pillows
192,2021-04-27,2707.0,Plush Pillows
193,2021-04-28,2978.0,Plush Pillows
194,2021-04-29,2123.0,Plush Pillows
195,2021-04-30,2635.0,Plush Pillows
196,2021-05-01,1526.0,Plush Pillows
197,2021-05-02,2184.0,Plush Pillows
198,2021-05-03,1987.0,Plush Pillows
199,2021-05-04,1987.0,Plush Pillows
200,2021-05-05,1625.0,Plush Pillows
201,2021-05-06,1677.0,Plush Pillows
202,2021-05-07,1583.0,Plush Pillows
203,2021-05-08,2031.0,Plush Pillows
204,2021-05-09,1748.0,Plush Pillows
205,2021-05-10,1789.0,Plush Pillows
206,2021-05-11,2741.0,Plush Pillows
207,2021-05-12,3537.0,Plush Pillows
208,2021-05-13,3081.0,Plush Pillows
209,2021-05-14,3081.0,Plush Pillows
210,2021-05-15,2416.0,Plush Pillows
211,2021-05-16,4165.0,Plush Pillows
212,2021-05-17,3322.0,Plush Pillows
213,2021-05-18,3220.0,Plush Pillows
214,2021-05-19,3282.0,Plush Pillows
215,2021-05-20,2419.0,Plush Pillows
216,2021-05-21,1926.0,Plush Pillows
217,2021-05-22,2083.0,Plush Pillows
218,2021-05-23,2573.0,Plush Pillows
219,2021-05-24,4076.0,Plush Pillows
220,2021-05-25,3161.0,Plush Pillows
221,2021-05-26,3142.0,Plush Pillows
222,2021-05-27,3217.0,Plush Pillows
223,2021-05-28,2687.0,Plush Pillows
224,2021-05-29,2687.0,Plush Pillows
225,2021-05-30,2687.0,Plush Pillows
226,2021-05-31,2334.0,Plush Pillows
227,2021-06-01,2334.0,Plush Pillows
228,2021-06-02,4101.0,Plush Pillows
229,2021-06-03,3627.0,Plush Pillows
230,2021-06-04,3627.0,Plush Pillows
231,2021-06-05,2587.0,Plush Pillows
232,2021-06-06,3329.0,Plush Pillows
233,2021-06-07,3576.0,Plush Pillows
234,2021-06-08,3686.0,Plush Pillows
235,2021-06-09,3993.0,Plush Pillows
236,2021-06-10,4814.0,Plush Pillows
237,2021-06-11,3591.0,Plush Pillows
238,2021-06-12,3473.0,Plush Pillows
239,2021-06-13,3473.0,Plush Pillows
240,2021-06-14,4931.0,Plush Pillows
241,2021-06-15,4931.0,Plush Pillows
242,2021-06-16,4671.0,Plush Pillows
243,2021-06-17,4989.0,Plush Pillows
244,2021-06-18,5599.0,Plush Pillows
245,2021-06-19,4260.0,Plush Pillows
246,2021-06-20,4260.0,Plush Pillows
247,2021-06-21,5949.0,Plush Pillows
248,2021-06-22,6272.0,Plush Pillows
249,2021-06-23,6272.0,Plush Pillows
250,2021-06-24,4543.0,Plush Pillows
251,2021-06-25,4543.0,Plush Pillows
252,2021-06-26,4833.0,Plush Pillows
253,2021-06-27,4833.0,Plush Pillows
254,2021-06-28,6447.0,Plush Pillows
255,2021-06-29,6236.0,Plush Pillows
256,2021-06-30,6236.0,Plush Pillows
257,2021-07-01,7810.0,Plush Pillows
258,2021-07-02,6537.0,Plush Pillows
259,2021-07-03,5938.0,Plush Pillows
260,2021-07-04,5779.0,Plush Pillows
261,2021-07-05,5779.0,Plush Pillows
262,2021-07-06,8297.0,Plush Pillows
263,2021-07-07,8297.0,Plush Pillows
264,2021-07-08,6583.0,Plush Pillows
265,2021-07-09,5082.0,Plush Pillows
266,2021-07-10,7284.0,Plush Pillows
