,date,value,name_B07SBJ2HFY
198,2021-01-07,2552.0,Self-Stick Notes
199,2021-01-08,2552.0,Self-Stick Notes
200,2021-01-09,2552.0,Self-Stick Notes
201,2021-01-10,3490.0,Self-Stick Notes
202,2021-01-11,3490.0,Self-Stick Notes
203,2021-01-12,3228.0,Self-Stick Notes
204,2021-01-13,2786.0,Self-Stick Notes
205,2021-01-14,2786.0,Self-Stick Notes
206,2021-01-15,2786.0,Self-Stick Notes
207,2021-01-16,2179.0,Self-Stick Notes
208,2021-01-17,2179.0,Self-Stick Notes
209,2021-01-18,4540.0,Self-Stick Notes
210,2021-01-19,4540.0,Self-Stick Notes
211,2021-01-20,4540.0,Self-Stick Notes
212,2021-01-21,2290.0,Self-Stick Notes
213,2021-01-22,2614.0,Self-Stick Notes
214,2021-01-23,2143.0,Self-Stick Notes
215,2021-01-24,2143.0,Self-Stick Notes
216,2021-01-25,2143.0,Self-Stick Notes
217,2021-01-26,3337.0,Self-Stick Notes
218,2021-01-27,3021.0,Self-Stick Notes
219,2021-01-28,3021.0,Self-Stick Notes
220,2021-01-29,3021.0,Self-Stick Notes
221,2021-01-30,1845.0,Self-Stick Notes
222,2021-01-31,1845.0,Self-Stick Notes
223,2021-02-01,2768.0,Self-Stick Notes
224,2021-02-02,2768.0,Self-Stick Notes
225,2021-02-03,2055.0,Self-Stick Notes
226,2021-02-04,2055.0,Self-Stick Notes
227,2021-02-05,1839.0,Self-Stick Notes
228,2021-02-06,1839.0,Self-Stick Notes
229,2021-02-07,1839.0,Self-Stick Notes
230,2021-02-08,4674.0,Self-Stick Notes
231,2021-02-09,4674.0,Self-Stick Notes
232,2021-02-10,4674.0,Self-Stick Notes
233,2021-02-11,1496.0,Self-Stick Notes
234,2021-02-12,1610.0,Self-Stick Notes
235,2021-02-13,1610.0,Self-Stick Notes
236,2021-02-14,1610.0,Self-Stick Notes
237,2021-02-15,1790.0,Self-Stick Notes
238,2021-02-16,1535.0,Self-Stick Notes
239,2021-02-17,1535.0,Self-Stick Notes
240,2021-02-18,1535.0,Self-Stick Notes
241,2021-02-19,700.0,Self-Stick Notes
242,2021-02-20,700.0,Self-Stick Notes
243,2021-02-21,700.0,Self-Stick Notes
244,2021-02-22,354.0,Self-Stick Notes
245,2021-02-23,899.0,Self-Stick Notes
246,2021-02-24,951.0,Self-Stick Notes
247,2021-02-25,988.0,Self-Stick Notes
248,2021-02-26,988.0,Self-Stick Notes
249,2021-02-27,988.0,Self-Stick Notes
250,2021-02-28,988.0,Self-Stick Notes
251,2021-03-01,2724.0,Self-Stick Notes
252,2021-03-02,2724.0,Self-Stick Notes
253,2021-03-03,1014.0,Self-Stick Notes
254,2021-03-04,962.0,Self-Stick Notes
255,2021-03-05,1251.0,Self-Stick Notes
256,2021-03-06,1382.0,Self-Stick Notes
257,2021-03-07,1382.0,Self-Stick Notes
258,2021-03-08,2421.0,Self-Stick Notes
259,2021-03-09,2421.0,Self-Stick Notes
260,2021-03-10,1218.0,Self-Stick Notes
261,2021-03-11,1218.0,Self-Stick Notes
262,2021-03-12,1355.0,Self-Stick Notes
263,2021-03-13,1355.0,Self-Stick Notes
264,2021-03-14,1355.0,Self-Stick Notes
265,2021-03-15,2209.0,Self-Stick Notes
266,2021-03-16,2209.0,Self-Stick Notes
267,2021-03-17,2209.0,Self-Stick Notes
268,2021-03-18,1997.0,Self-Stick Notes
269,2021-03-19,1774.0,Self-Stick Notes
270,2021-03-20,1774.0,Self-Stick Notes
271,2021-03-21,1774.0,Self-Stick Notes
272,2021-03-22,3864.0,Self-Stick Notes
273,2021-03-23,3864.0,Self-Stick Notes
274,2021-03-24,1017.0,Self-Stick Notes
275,2021-03-25,1017.0,Self-Stick Notes
276,2021-03-26,1768.0,Self-Stick Notes
277,2021-03-27,1768.0,Self-Stick Notes
278,2021-03-28,1768.0,Self-Stick Notes
279,2021-03-29,1691.0,Self-Stick Notes
280,2021-03-30,3208.0,Self-Stick Notes
281,2021-03-31,3208.0,Self-Stick Notes
282,2021-04-01,3208.0,Self-Stick Notes
283,2021-04-02,2032.0,Self-Stick Notes
284,2021-04-03,2032.0,Self-Stick Notes
285,2021-04-04,3036.0,Self-Stick Notes
286,2021-04-05,3036.0,Self-Stick Notes
287,2021-04-06,3036.0,Self-Stick Notes
288,2021-04-07,1896.0,Self-Stick Notes
289,2021-04-08,1896.0,Self-Stick Notes
290,2021-04-09,1949.0,Self-Stick Notes
291,2021-04-10,1949.0,Self-Stick Notes
292,2021-04-11,1949.0,Self-Stick Notes
293,2021-04-12,4322.0,Self-Stick Notes
294,2021-04-13,4322.0,Self-Stick Notes
295,2021-04-14,2028.0,Self-Stick Notes
296,2021-04-15,1851.0,Self-Stick Notes
297,2021-04-16,2044.0,Self-Stick Notes
298,2021-04-17,2044.0,Self-Stick Notes
299,2021-04-18,2044.0,Self-Stick Notes
300,2021-04-19,4804.0,Self-Stick Notes
301,2021-04-20,2908.0,Self-Stick Notes
302,2021-04-21,2908.0,Self-Stick Notes
303,2021-04-22,2254.0,Self-Stick Notes
304,2021-04-23,2254.0,Self-Stick Notes
305,2021-04-24,2882.0,Self-Stick Notes
306,2021-04-25,3686.0,Self-Stick Notes
307,2021-04-26,3686.0,Self-Stick Notes
308,2021-04-27,3535.0,Self-Stick Notes
309,2021-04-28,3535.0,Self-Stick Notes
310,2021-04-29,2064.0,Self-Stick Notes
311,2021-04-30,2006.0,Self-Stick Notes
312,2021-05-01,2006.0,Self-Stick Notes
313,2021-05-02,3262.0,Self-Stick Notes
314,2021-05-03,4043.0,Self-Stick Notes
315,2021-05-04,2934.0,Self-Stick Notes
316,2021-05-05,2493.0,Self-Stick Notes
317,2021-05-06,2540.0,Self-Stick Notes
318,2021-05-07,3066.0,Self-Stick Notes
319,2021-05-08,3066.0,Self-Stick Notes
320,2021-05-09,3888.0,Self-Stick Notes
321,2021-05-10,3888.0,Self-Stick Notes
322,2021-05-11,3888.0,Self-Stick Notes
323,2021-05-12,3466.0,Self-Stick Notes
324,2021-05-13,2370.0,Self-Stick Notes
325,2021-05-14,2790.0,Self-Stick Notes
326,2021-05-15,2790.0,Self-Stick Notes
327,2021-05-16,2790.0,Self-Stick Notes
328,2021-05-17,2790.0,Self-Stick Notes
329,2021-05-18,2922.0,Self-Stick Notes
330,2021-05-19,2922.0,Self-Stick Notes
331,2021-05-20,3234.0,Self-Stick Notes
332,2021-05-21,3234.0,Self-Stick Notes
333,2021-05-22,3234.0,Self-Stick Notes
334,2021-05-23,3234.0,Self-Stick Notes
335,2021-05-24,5599.0,Self-Stick Notes
336,2021-05-25,5599.0,Self-Stick Notes
337,2021-05-26,4219.0,Self-Stick Notes
338,2021-05-27,4219.0,Self-Stick Notes
339,2021-05-28,2793.0,Self-Stick Notes
340,2021-05-29,2793.0,Self-Stick Notes
341,2021-05-30,2793.0,Self-Stick Notes
342,2021-05-31,7981.0,Self-Stick Notes
343,2021-06-01,7981.0,Self-Stick Notes
344,2021-06-02,7981.0,Self-Stick Notes
345,2021-06-03,7981.0,Self-Stick Notes
346,2021-06-04,4686.0,Self-Stick Notes
347,2021-06-05,4686.0,Self-Stick Notes
348,2021-06-06,4686.0,Self-Stick Notes
349,2021-06-07,5811.0,Self-Stick Notes
350,2021-06-08,5811.0,Self-Stick Notes
351,2021-06-09,3203.0,Self-Stick Notes
352,2021-06-10,3203.0,Self-Stick Notes
353,2021-06-11,3203.0,Self-Stick Notes
354,2021-06-12,3099.0,Self-Stick Notes
355,2021-06-13,3099.0,Self-Stick Notes
356,2021-06-14,4979.0,Self-Stick Notes
357,2021-06-15,4979.0,Self-Stick Notes
358,2021-06-16,4979.0,Self-Stick Notes
359,2021-06-17,2684.0,Self-Stick Notes
360,2021-06-18,2684.0,Self-Stick Notes
361,2021-06-19,2684.0,Self-Stick Notes
362,2021-06-20,3239.0,Self-Stick Notes
363,2021-06-21,3239.0,Self-Stick Notes
364,2021-06-22,361.0,Self-Stick Notes
365,2021-06-23,361.0,Self-Stick Notes
366,2021-06-24,361.0,Self-Stick Notes
367,2021-06-25,928.0,Self-Stick Notes
368,2021-06-26,928.0,Self-Stick Notes
369,2021-06-27,2067.0,Self-Stick Notes
370,2021-06-28,2067.0,Self-Stick Notes
371,2021-06-29,2575.0,Self-Stick Notes
372,2021-06-30,2575.0,Self-Stick Notes
373,2021-07-01,2575.0,Self-Stick Notes
374,2021-07-02,2575.0,Self-Stick Notes
375,2021-07-03,2577.0,Self-Stick Notes
376,2021-07-04,2577.0,Self-Stick Notes
377,2021-07-05,2577.0,Self-Stick Notes
378,2021-07-06,3818.0,Self-Stick Notes
379,2021-07-07,3818.0,Self-Stick Notes
380,2021-07-08,3818.0,Self-Stick Notes
381,2021-07-09,742.0,Self-Stick Notes
382,2021-07-10,742.0,Self-Stick Notes
383,2021-07-11,857.0,Self-Stick Notes
