,date,value,name_B08KFKDRCY
219,2021-05-10,3606.0,Portable Power Banks
220,2021-05-11,3606.0,Portable Power Banks
221,2021-05-12,3356.0,Portable Power Banks
222,2021-05-13,3356.0,Portable Power Banks
223,2021-05-14,3356.0,Portable Power Banks
224,2021-05-15,3255.0,Portable Power Banks
225,2021-05-16,3255.0,Portable Power Banks
226,2021-05-17,650.0,Portable Power Banks
227,2021-05-18,1304.0,Portable Power Banks
228,2021-05-19,2475.0,Portable Power Banks
229,2021-05-20,3013.0,Portable Power Banks
230,2021-05-21,3013.0,Portable Power Banks
231,2021-05-22,3013.0,Portable Power Banks
232,2021-05-23,3013.0,Portable Power Banks
233,2021-05-24,3013.0,Portable Power Banks
234,2021-05-25,3811.0,Portable Power Banks
235,2021-05-26,3811.0,Portable Power Banks
236,2021-05-27,3811.0,Portable Power Banks
237,2021-05-28,3811.0,Portable Power Banks
238,2021-05-29,3811.0,Portable Power Banks
239,2021-05-30,3379.0,Portable Power Banks
240,2021-05-31,4037.0,Portable Power Banks
241,2021-06-01,1691.0,Portable Power Banks
242,2021-06-02,1691.0,Portable Power Banks
243,2021-06-03,794.0,Portable Power Banks
244,2021-06-04,780.0,Portable Power Banks
245,2021-06-05,683.0,Portable Power Banks
246,2021-06-06,480.0,Portable Power Banks
247,2021-06-07,361.0,Portable Power Banks
248,2021-06-08,818.0,Portable Power Banks
249,2021-06-09,818.0,Portable Power Banks
250,2021-06-10,1272.0,Portable Power Banks
251,2021-06-11,1272.0,Portable Power Banks
252,2021-06-12,1272.0,Portable Power Banks
253,2021-06-13,2207.0,Portable Power Banks
254,2021-06-14,1583.0,Portable Power Banks
255,2021-06-15,1583.0,Portable Power Banks
256,2021-06-16,1911.0,Portable Power Banks
257,2021-06-17,2241.0,Portable Power Banks
258,2021-06-18,1749.0,Portable Power Banks
259,2021-06-19,1749.0,Portable Power Banks
260,2021-06-20,1749.0,Portable Power Banks
261,2021-06-21,2111.0,Portable Power Banks
262,2021-06-22,238.0,Portable Power Banks
263,2021-06-23,750.0,Portable Power Banks
264,2021-06-24,750.0,Portable Power Banks
265,2021-06-25,750.0,Portable Power Banks
266,2021-06-26,750.0,Portable Power Banks
267,2021-06-27,750.0,Portable Power Banks
268,2021-06-28,3438.0,Portable Power Banks
269,2021-06-29,2459.0,Portable Power Banks
270,2021-06-30,2459.0,Portable Power Banks
271,2021-07-01,3863.0,Portable Power Banks
272,2021-07-02,3863.0,Portable Power Banks
273,2021-07-03,3863.0,Portable Power Banks
274,2021-07-04,1232.0,Portable Power Banks
275,2021-07-05,1488.0,Portable Power Banks
276,2021-07-06,1488.0,Portable Power Banks
277,2021-07-07,624.0,Portable Power Banks
278,2021-07-08,624.0,Portable Power Banks
279,2021-07-09,500.0,Portable Power Banks
280,2021-07-10,457.0,Portable Power Banks
