,date,value,name_B081NB6CMN
64,2020-01-24,10226.0,Bath Rugs
65,2020-01-25,10226.0,Bath Rugs
66,2020-01-26,10226.0,Bath Rugs
67,2020-01-27,10226.0,Bath Rugs
68,2020-01-28,10226.0,Bath Rugs
69,2020-01-29,10226.0,Bath Rugs
70,2020-01-30,8225.0,Bath Rugs
71,2020-01-31,8225.0,Bath Rugs
72,2020-02-01,8225.0,Bath Rugs
73,2020-02-02,6128.0,Bath Rugs
74,2020-02-03,7431.0,Bath Rugs
75,2020-02-04,7431.0,Bath Rugs
76,2020-02-05,7431.0,Bath Rugs
77,2020-02-06,7431.0,Bath Rugs
78,2020-02-07,7431.0,Bath Rugs
79,2020-02-08,9017.0,Bath Rugs
80,2020-02-09,9017.0,Bath Rugs
81,2020-02-10,9017.0,Bath Rugs
82,2020-02-11,9017.0,Bath Rugs
83,2020-02-12,9017.0,Bath Rugs
84,2020-02-13,8223.0,Bath Rugs
85,2020-02-14,8223.0,Bath Rugs
86,2020-02-15,8223.0,Bath Rugs
87,2020-02-16,8223.0,Bath Rugs
88,2020-02-17,8223.0,Bath Rugs
89,2020-02-18,8223.0,Bath Rugs
90,2020-02-19,10130.0,Bath Rugs
91,2020-02-20,10130.0,Bath Rugs
92,2020-02-21,10130.0,Bath Rugs
93,2020-02-22,10130.0,Bath Rugs
94,2020-02-23,10130.0,Bath Rugs
95,2020-02-24,10199.0,Bath Rugs
96,2020-02-25,10199.0,Bath Rugs
97,2020-02-26,10199.0,Bath Rugs
98,2020-02-27,10199.0,Bath Rugs
99,2020-02-28,10317.0,Bath Rugs
100,2020-02-29,10317.0,Bath Rugs
101,2020-03-01,10317.0,Bath Rugs
102,2020-03-02,10317.0,Bath Rugs
103,2020-03-03,7046.0,Bath Rugs
104,2020-03-04,7046.0,Bath Rugs
105,2020-03-05,7537.0,Bath Rugs
106,2020-03-06,9128.0,Bath Rugs
107,2020-03-07,9128.0,Bath Rugs
108,2020-03-08,9128.0,Bath Rugs
109,2020-03-09,9611.0,Bath Rugs
110,2020-03-10,9611.0,Bath Rugs
111,2020-03-11,8094.0,Bath Rugs
112,2020-03-12,8094.0,Bath Rugs
113,2020-03-13,10129.0,Bath Rugs
114,2020-03-14,10652.0,Bath Rugs
115,2020-03-15,11602.0,Bath Rugs
116,2020-03-16,11602.0,Bath Rugs
117,2020-03-17,10535.0,Bath Rugs
118,2020-03-18,9791.0,Bath Rugs
119,2020-03-19,9791.0,Bath Rugs
120,2020-03-20,9791.0,Bath Rugs
121,2020-03-21,9791.0,Bath Rugs
122,2020-03-22,9791.0,Bath Rugs
123,2020-03-23,10382.0,Bath Rugs
124,2020-03-24,10382.0,Bath Rugs
125,2020-03-25,5487.0,Bath Rugs
126,2020-03-26,5390.0,Bath Rugs
127,2020-03-27,5390.0,Bath Rugs
128,2020-03-28,7107.0,Bath Rugs
129,2020-03-29,7107.0,Bath Rugs
130,2020-03-30,7107.0,Bath Rugs
131,2020-03-31,5932.0,Bath Rugs
132,2020-04-01,5932.0,Bath Rugs
133,2020-04-02,5932.0,Bath Rugs
134,2020-04-03,5932.0,Bath Rugs
135,2020-04-04,5932.0,Bath Rugs
136,2020-04-05,5932.0,Bath Rugs
137,2020-04-06,5370.0,Bath Rugs
138,2020-04-07,5370.0,Bath Rugs
139,2020-04-08,5370.0,Bath Rugs
140,2020-04-09,4281.0,Bath Rugs
141,2020-04-10,4281.0,Bath Rugs
142,2020-04-11,4281.0,Bath Rugs
143,2020-04-12,4281.0,Bath Rugs
144,2020-04-13,5478.0,Bath Rugs
145,2020-04-14,4286.0,Bath Rugs
146,2020-04-15,4299.0,Bath Rugs
147,2020-04-16,4299.0,Bath Rugs
148,2020-04-17,4299.0,Bath Rugs
149,2020-04-18,4665.0,Bath Rugs
150,2020-04-19,4665.0,Bath Rugs
151,2020-04-20,6277.0,Bath Rugs
152,2020-04-21,6277.0,Bath Rugs
153,2020-04-22,8225.0,Bath Rugs
154,2020-04-23,8225.0,Bath Rugs
155,2020-04-24,9171.0,Bath Rugs
156,2020-04-25,9171.0,Bath Rugs
157,2020-04-26,6659.0,Bath Rugs
158,2020-04-27,10537.0,Bath Rugs
159,2020-04-28,9441.0,Bath Rugs
160,2020-04-29,10862.0,Bath Rugs
161,2020-04-30,10862.0,Bath Rugs
162,2020-05-01,10862.0,Bath Rugs
163,2020-05-02,12935.0,Bath Rugs
164,2020-05-03,12935.0,Bath Rugs
165,2020-05-04,18588.0,Bath Rugs
166,2020-05-05,18588.0,Bath Rugs
167,2020-05-06,23462.0,Bath Rugs
168,2020-05-07,29511.0,Bath Rugs
169,2020-05-08,29511.0,Bath Rugs
170,2020-05-09,29511.0,Bath Rugs
171,2020-05-10,29511.0,Bath Rugs
172,2020-05-11,29425.0,Bath Rugs
173,2020-05-12,29425.0,Bath Rugs
174,2020-05-13,29425.0,Bath Rugs
175,2020-05-14,18353.0,Bath Rugs
176,2020-05-15,18353.0,Bath Rugs
177,2020-05-16,18353.0,Bath Rugs
178,2020-05-17,18353.0,Bath Rugs
179,2020-05-18,19222.0,Bath Rugs
180,2020-05-19,19222.0,Bath Rugs
181,2020-05-20,19222.0,Bath Rugs
182,2020-05-21,14113.0,Bath Rugs
183,2020-05-22,14113.0,Bath Rugs
184,2020-05-23,14113.0,Bath Rugs
185,2020-05-24,14472.0,Bath Rugs
186,2020-05-25,14823.0,Bath Rugs
187,2020-05-26,14823.0,Bath Rugs
188,2020-05-27,11249.0,Bath Rugs
189,2020-05-28,10911.0,Bath Rugs
190,2020-05-29,10911.0,Bath Rugs
191,2020-05-30,10911.0,Bath Rugs
192,2020-05-31,10911.0,Bath Rugs
193,2020-06-01,8560.0,Bath Rugs
194,2020-06-02,8560.0,Bath Rugs
195,2020-06-03,8560.0,Bath Rugs
196,2020-06-04,8560.0,Bath Rugs
197,2020-06-05,8299.0,Bath Rugs
198,2020-06-06,8415.0,Bath Rugs
199,2020-06-07,8415.0,Bath Rugs
200,2020-06-08,8415.0,Bath Rugs
201,2020-06-09,9746.0,Bath Rugs
202,2020-06-10,8142.0,Bath Rugs
203,2020-06-11,8142.0,Bath Rugs
204,2020-06-12,8142.0,Bath Rugs
205,2020-06-13,8142.0,Bath Rugs
206,2020-06-14,10193.0,Bath Rugs
207,2020-06-15,10193.0,Bath Rugs
208,2020-06-16,16073.0,Bath Rugs
209,2020-06-17,16073.0,Bath Rugs
210,2020-06-18,16073.0,Bath Rugs
211,2020-06-19,16073.0,Bath Rugs
212,2020-06-20,19037.0,Bath Rugs
213,2020-06-21,19037.0,Bath Rugs
214,2020-06-22,21394.0,Bath Rugs
215,2020-06-23,19096.0,Bath Rugs
216,2020-06-24,19096.0,Bath Rugs
217,2020-06-25,19096.0,Bath Rugs
218,2020-06-26,19096.0,Bath Rugs
219,2020-06-27,19096.0,Bath Rugs
220,2020-06-28,13875.0,Bath Rugs
221,2020-06-29,13875.0,Bath Rugs
222,2020-06-30,13875.0,Bath Rugs
223,2020-07-01,13875.0,Bath Rugs
224,2020-07-02,15782.0,Bath Rugs
225,2020-07-03,15152.0,Bath Rugs
226,2020-07-04,15152.0,Bath Rugs
227,2020-07-05,12852.0,Bath Rugs
228,2020-07-06,11783.0,Bath Rugs
229,2020-07-07,11783.0,Bath Rugs
230,2020-07-08,12405.0,Bath Rugs
231,2020-07-09,12405.0,Bath Rugs
232,2020-07-10,12405.0,Bath Rugs
233,2020-07-11,9886.0,Bath Rugs
234,2020-07-12,9886.0,Bath Rugs
235,2020-07-13,10014.0,Bath Rugs
236,2020-07-14,9207.0,Bath Rugs
237,2020-07-15,7891.0,Bath Rugs
238,2020-07-16,8251.0,Bath Rugs
239,2020-07-17,8251.0,Bath Rugs
240,2020-07-18,8251.0,Bath Rugs
241,2020-07-19,8973.0,Bath Rugs
242,2020-07-20,8973.0,Bath Rugs
243,2020-07-21,9316.0,Bath Rugs
244,2020-07-22,9316.0,Bath Rugs
245,2020-07-23,9316.0,Bath Rugs
246,2020-07-24,7740.0,Bath Rugs
247,2020-07-25,7740.0,Bath Rugs
248,2020-07-26,7732.0,Bath Rugs
249,2020-07-27,8175.0,Bath Rugs
250,2020-07-28,8175.0,Bath Rugs
251,2020-07-29,7948.0,Bath Rugs
252,2020-07-30,9145.0,Bath Rugs
253,2020-07-31,8461.0,Bath Rugs
254,2020-08-01,8461.0,Bath Rugs
255,2020-08-02,8329.0,Bath Rugs
256,2020-08-03,8928.0,Bath Rugs
257,2020-08-04,8928.0,Bath Rugs
258,2020-08-05,8928.0,Bath Rugs
259,2020-08-06,12236.0,Bath Rugs
260,2020-08-07,12826.0,Bath Rugs
261,2020-08-08,12868.0,Bath Rugs
262,2020-08-09,12868.0,Bath Rugs
263,2020-08-10,15484.0,Bath Rugs
264,2020-08-11,16657.0,Bath Rugs
265,2020-08-12,16657.0,Bath Rugs
266,2020-08-13,14437.0,Bath Rugs
267,2020-08-14,14437.0,Bath Rugs
268,2020-08-15,14437.0,Bath Rugs
269,2020-08-16,17034.0,Bath Rugs
270,2020-08-17,16194.0,Bath Rugs
271,2020-08-18,15181.0,Bath Rugs
272,2020-08-19,15181.0,Bath Rugs
273,2020-08-20,15181.0,Bath Rugs
274,2020-08-21,19377.0,Bath Rugs
275,2020-08-22,16429.0,Bath Rugs
276,2020-08-23,22378.0,Bath Rugs
277,2020-08-24,18406.0,Bath Rugs
278,2020-08-25,19026.0,Bath Rugs
279,2020-08-26,19026.0,Bath Rugs
280,2020-08-27,20382.0,Bath Rugs
281,2020-08-28,18113.0,Bath Rugs
282,2020-08-29,18113.0,Bath Rugs
283,2020-08-30,18762.0,Bath Rugs
284,2020-08-31,16364.0,Bath Rugs
285,2020-09-01,20527.0,Bath Rugs
286,2020-09-02,17737.0,Bath Rugs
287,2020-09-03,17737.0,Bath Rugs
288,2020-09-04,17737.0,Bath Rugs
289,2020-09-05,17737.0,Bath Rugs
290,2020-09-06,20212.0,Bath Rugs
291,2020-09-07,20212.0,Bath Rugs
292,2020-09-08,20212.0,Bath Rugs
293,2020-09-09,18639.0,Bath Rugs
294,2020-09-10,18639.0,Bath Rugs
295,2020-09-11,20934.0,Bath Rugs
296,2020-09-12,20934.0,Bath Rugs
297,2020-09-13,20934.0,Bath Rugs
298,2020-09-14,17046.0,Bath Rugs
299,2020-09-15,17046.0,Bath Rugs
300,2020-09-16,13170.0,Bath Rugs
301,2020-09-17,11981.0,Bath Rugs
302,2020-09-18,11655.0,Bath Rugs
303,2020-09-19,15471.0,Bath Rugs
304,2020-09-20,15471.0,Bath Rugs
305,2020-09-21,15471.0,Bath Rugs
306,2020-09-22,11766.0,Bath Rugs
307,2020-09-23,16029.0,Bath Rugs
308,2020-09-24,16029.0,Bath Rugs
309,2020-09-25,16109.0,Bath Rugs
310,2020-09-26,16109.0,Bath Rugs
311,2020-09-27,16109.0,Bath Rugs
312,2020-09-28,9583.0,Bath Rugs
313,2020-09-29,10010.0,Bath Rugs
314,2020-09-30,7970.0,Bath Rugs
315,2020-10-01,7970.0,Bath Rugs
316,2020-10-02,8150.0,Bath Rugs
317,2020-10-03,8150.0,Bath Rugs
318,2020-10-04,8150.0,Bath Rugs
319,2020-10-05,9293.0,Bath Rugs
320,2020-10-06,8898.0,Bath Rugs
321,2020-10-07,8100.0,Bath Rugs
322,2020-10-08,9248.0,Bath Rugs
323,2020-10-09,9248.0,Bath Rugs
324,2020-10-10,9248.0,Bath Rugs
325,2020-10-11,6848.0,Bath Rugs
326,2020-10-12,7416.0,Bath Rugs
327,2020-10-13,8243.0,Bath Rugs
328,2020-10-14,8147.0,Bath Rugs
329,2020-10-15,8769.0,Bath Rugs
330,2020-10-16,8769.0,Bath Rugs
331,2020-10-17,6283.0,Bath Rugs
332,2020-10-18,6702.0,Bath Rugs
333,2020-10-19,7711.0,Bath Rugs
