,date,value,name_B08X26BSSY
86,2021-05-26,731.0,Plant Container Accessories
87,2021-05-27,820.0,Plant Container Accessories
88,2021-05-28,820.0,Plant Container Accessories
89,2021-05-29,737.0,Plant Container Accessories
90,2021-05-30,737.0,Plant Container Accessories
91,2021-05-31,728.0,Plant Container Accessories
92,2021-06-01,700.0,Plant Container Accessories
93,2021-06-02,756.0,Plant Container Accessories
94,2021-06-03,756.0,Plant Container Accessories
95,2021-06-04,952.0,Plant Container Accessories
96,2021-06-05,1037.0,Plant Container Accessories
97,2021-06-06,1037.0,Plant Container Accessories
98,2021-06-07,648.0,Plant Container Accessories
99,2021-06-08,829.0,Plant Container Accessories
100,2021-06-09,988.0,Plant Container Accessories
101,2021-06-10,1028.0,Plant Container Accessories
102,2021-06-11,1240.0,Plant Container Accessories
103,2021-06-12,1240.0,Plant Container Accessories
104,2021-06-13,991.0,Plant Container Accessories
105,2021-06-14,991.0,Plant Container Accessories
106,2021-06-15,991.0,Plant Container Accessories
107,2021-06-16,1230.0,Plant Container Accessories
108,2021-06-17,1332.0,Plant Container Accessories
109,2021-06-18,1329.0,Plant Container Accessories
110,2021-06-19,1290.0,Plant Container Accessories
111,2021-06-20,1193.0,Plant Container Accessories
112,2021-06-21,1263.0,Plant Container Accessories
113,2021-06-22,1421.0,Plant Container Accessories
114,2021-06-23,1618.0,Plant Container Accessories
115,2021-06-24,1417.0,Plant Container Accessories
116,2021-06-25,1264.0,Plant Container Accessories
117,2021-06-26,1196.0,Plant Container Accessories
118,2021-06-27,1028.0,Plant Container Accessories
119,2021-06-28,1267.0,Plant Container Accessories
120,2021-06-29,1027.0,Plant Container Accessories
121,2021-06-30,758.0,Plant Container Accessories
122,2021-07-01,622.0,Plant Container Accessories
123,2021-07-02,596.0,Plant Container Accessories
124,2021-07-03,488.0,Plant Container Accessories
125,2021-07-04,488.0,Plant Container Accessories
126,2021-07-05,568.0,Plant Container Accessories
127,2021-07-06,975.0,Plant Container Accessories
128,2021-07-07,975.0,Plant Container Accessories
129,2021-07-08,1520.0,Plant Container Accessories
130,2021-07-09,1562.0,Plant Container Accessories
131,2021-07-10,1349.0,Plant Container Accessories
