,date,value,name_B07JB4NJNN
203,2019-05-04,23559.0,Wall & Tabletop Frames
204,2019-05-05,23559.0,Wall & Tabletop Frames
205,2019-05-06,15029.0,Wall & Tabletop Frames
206,2019-05-07,15029.0,Wall & Tabletop Frames
207,2019-05-08,15029.0,Wall & Tabletop Frames
208,2019-05-09,20916.0,Wall & Tabletop Frames
209,2019-05-10,20916.0,Wall & Tabletop Frames
210,2019-05-11,20916.0,Wall & Tabletop Frames
211,2019-05-12,17094.0,Wall & Tabletop Frames
212,2019-05-13,13978.0,Wall & Tabletop Frames
213,2019-05-14,15950.0,Wall & Tabletop Frames
214,2019-05-15,20359.0,Wall & Tabletop Frames
215,2019-05-16,20359.0,Wall & Tabletop Frames
216,2019-05-17,20359.0,Wall & Tabletop Frames
217,2019-05-18,13723.0,Wall & Tabletop Frames
218,2019-05-19,14628.0,Wall & Tabletop Frames
219,2019-05-20,14628.0,Wall & Tabletop Frames
220,2019-05-21,12666.0,Wall & Tabletop Frames
221,2019-05-22,12666.0,Wall & Tabletop Frames
222,2019-05-23,18219.0,Wall & Tabletop Frames
223,2019-05-24,20496.0,Wall & Tabletop Frames
224,2019-05-25,25457.0,Wall & Tabletop Frames
225,2019-05-26,25457.0,Wall & Tabletop Frames
226,2019-05-27,25457.0,Wall & Tabletop Frames
227,2019-05-28,27546.0,Wall & Tabletop Frames
228,2019-05-29,27546.0,Wall & Tabletop Frames
229,2019-05-30,27546.0,Wall & Tabletop Frames
230,2019-05-31,33656.0,Wall & Tabletop Frames
231,2019-06-01,33656.0,Wall & Tabletop Frames
232,2019-06-02,26336.0,Wall & Tabletop Frames
233,2019-06-03,29535.0,Wall & Tabletop Frames
234,2019-06-04,29535.0,Wall & Tabletop Frames
235,2019-06-05,21845.0,Wall & Tabletop Frames
236,2019-06-06,19263.0,Wall & Tabletop Frames
237,2019-06-07,19945.0,Wall & Tabletop Frames
238,2019-06-08,20320.0,Wall & Tabletop Frames
239,2019-06-09,20320.0,Wall & Tabletop Frames
240,2019-06-10,21280.0,Wall & Tabletop Frames
241,2019-06-11,21280.0,Wall & Tabletop Frames
242,2019-06-12,16902.0,Wall & Tabletop Frames
243,2019-06-13,19788.0,Wall & Tabletop Frames
244,2019-06-14,19951.0,Wall & Tabletop Frames
245,2019-06-15,24791.0,Wall & Tabletop Frames
246,2019-06-16,24791.0,Wall & Tabletop Frames
247,2019-06-17,24791.0,Wall & Tabletop Frames
248,2019-06-18,27322.0,Wall & Tabletop Frames
249,2019-06-19,27322.0,Wall & Tabletop Frames
250,2019-06-20,24900.0,Wall & Tabletop Frames
251,2019-06-21,24900.0,Wall & Tabletop Frames
252,2019-06-22,30832.0,Wall & Tabletop Frames
253,2019-06-23,21501.0,Wall & Tabletop Frames
254,2019-06-24,21501.0,Wall & Tabletop Frames
255,2019-06-25,21501.0,Wall & Tabletop Frames
256,2019-06-26,22913.0,Wall & Tabletop Frames
257,2019-06-27,22890.0,Wall & Tabletop Frames
258,2019-06-28,35540.0,Wall & Tabletop Frames
259,2019-06-29,35540.0,Wall & Tabletop Frames
260,2019-06-30,35540.0,Wall & Tabletop Frames
261,2019-07-01,24707.0,Wall & Tabletop Frames
262,2019-07-02,24707.0,Wall & Tabletop Frames
263,2019-07-03,25416.0,Wall & Tabletop Frames
264,2019-07-04,25416.0,Wall & Tabletop Frames
265,2019-07-05,34402.0,Wall & Tabletop Frames
266,2019-07-06,28338.0,Wall & Tabletop Frames
267,2019-07-07,28338.0,Wall & Tabletop Frames
268,2019-07-08,28338.0,Wall & Tabletop Frames
269,2019-07-09,18232.0,Wall & Tabletop Frames
270,2019-07-10,18232.0,Wall & Tabletop Frames
271,2019-07-11,20155.0,Wall & Tabletop Frames
272,2019-07-12,20155.0,Wall & Tabletop Frames
273,2019-07-13,20155.0,Wall & Tabletop Frames
274,2019-07-14,21551.0,Wall & Tabletop Frames
275,2019-07-15,21551.0,Wall & Tabletop Frames
276,2019-07-16,35707.0,Wall & Tabletop Frames
277,2019-07-17,35707.0,Wall & Tabletop Frames
278,2019-07-18,35707.0,Wall & Tabletop Frames
279,2019-07-19,24308.0,Wall & Tabletop Frames
280,2019-07-20,24308.0,Wall & Tabletop Frames
281,2019-07-21,16075.0,Wall & Tabletop Frames
282,2019-07-22,16075.0,Wall & Tabletop Frames
283,2019-07-23,16075.0,Wall & Tabletop Frames
284,2019-07-24,20694.0,Wall & Tabletop Frames
285,2019-07-25,20694.0,Wall & Tabletop Frames
286,2019-07-26,14018.0,Wall & Tabletop Frames
287,2019-07-27,14018.0,Wall & Tabletop Frames
288,2019-07-28,14018.0,Wall & Tabletop Frames
289,2019-07-29,19001.0,Wall & Tabletop Frames
290,2019-07-30,19001.0,Wall & Tabletop Frames
291,2019-07-31,28156.0,Wall & Tabletop Frames
292,2019-08-01,28156.0,Wall & Tabletop Frames
293,2019-08-02,28156.0,Wall & Tabletop Frames
294,2019-08-03,20760.0,Wall & Tabletop Frames
295,2019-08-04,20760.0,Wall & Tabletop Frames
296,2019-08-05,20760.0,Wall & Tabletop Frames
297,2019-08-06,13129.0,Wall & Tabletop Frames
298,2019-08-07,13129.0,Wall & Tabletop Frames
299,2019-08-08,21207.0,Wall & Tabletop Frames
300,2019-08-09,21207.0,Wall & Tabletop Frames
301,2019-08-10,21207.0,Wall & Tabletop Frames
302,2019-08-11,20481.0,Wall & Tabletop Frames
303,2019-08-12,20481.0,Wall & Tabletop Frames
304,2019-08-13,20481.0,Wall & Tabletop Frames
305,2019-08-14,20726.0,Wall & Tabletop Frames
306,2019-08-15,20726.0,Wall & Tabletop Frames
307,2019-08-16,20726.0,Wall & Tabletop Frames
308,2019-08-17,22509.0,Wall & Tabletop Frames
309,2019-08-18,22509.0,Wall & Tabletop Frames
310,2019-08-19,15139.0,Wall & Tabletop Frames
311,2019-08-20,15139.0,Wall & Tabletop Frames
312,2019-08-21,15139.0,Wall & Tabletop Frames
313,2019-08-22,17355.0,Wall & Tabletop Frames
314,2019-08-23,21118.0,Wall & Tabletop Frames
315,2019-08-24,14648.0,Wall & Tabletop Frames
316,2019-08-25,14648.0,Wall & Tabletop Frames
317,2019-08-26,14601.0,Wall & Tabletop Frames
318,2019-08-27,14601.0,Wall & Tabletop Frames
319,2019-08-28,14601.0,Wall & Tabletop Frames
320,2019-08-29,14601.0,Wall & Tabletop Frames
321,2019-08-30,20334.0,Wall & Tabletop Frames
322,2019-08-31,20334.0,Wall & Tabletop Frames
