,date,value,name_B0829HF35S
210,2020-12-23,3193.0,Bulletin Boards
211,2020-12-24,3193.0,Bulletin Boards
212,2020-12-25,3510.0,Bulletin Boards
213,2020-12-26,3510.0,Bulletin Boards
214,2020-12-27,3281.0,Bulletin Boards
215,2020-12-28,2943.0,Bulletin Boards
216,2020-12-29,2943.0,Bulletin Boards
217,2020-12-30,2670.0,Bulletin Boards
218,2020-12-31,2897.0,Bulletin Boards
219,2021-01-01,2897.0,Bulletin Boards
220,2021-01-02,2904.0,Bulletin Boards
221,2021-01-03,2607.0,Bulletin Boards
222,2021-01-04,2607.0,Bulletin Boards
223,2021-01-05,2966.0,Bulletin Boards
224,2021-01-06,3360.0,Bulletin Boards
225,2021-01-07,3493.0,Bulletin Boards
226,2021-01-08,2222.0,Bulletin Boards
227,2021-01-09,2222.0,Bulletin Boards
228,2021-01-10,2222.0,Bulletin Boards
229,2021-01-11,1816.0,Bulletin Boards
230,2021-01-12,1816.0,Bulletin Boards
231,2021-01-13,2075.0,Bulletin Boards
232,2021-01-14,2323.0,Bulletin Boards
233,2021-01-15,2323.0,Bulletin Boards
234,2021-01-16,2447.0,Bulletin Boards
235,2021-01-17,2447.0,Bulletin Boards
236,2021-01-18,2414.0,Bulletin Boards
237,2021-01-19,2414.0,Bulletin Boards
238,2021-01-20,3194.0,Bulletin Boards
239,2021-01-21,2923.0,Bulletin Boards
240,2021-01-22,2923.0,Bulletin Boards
241,2021-01-23,2923.0,Bulletin Boards
242,2021-01-24,2474.0,Bulletin Boards
243,2021-01-25,2565.0,Bulletin Boards
244,2021-01-26,3064.0,Bulletin Boards
245,2021-01-27,3064.0,Bulletin Boards
246,2021-01-28,3999.0,Bulletin Boards
247,2021-01-29,3287.0,Bulletin Boards
248,2021-01-30,3287.0,Bulletin Boards
249,2021-01-31,3287.0,Bulletin Boards
250,2021-02-01,2866.0,Bulletin Boards
251,2021-02-02,2866.0,Bulletin Boards
252,2021-02-03,2866.0,Bulletin Boards
253,2021-02-04,4004.0,Bulletin Boards
254,2021-02-05,3536.0,Bulletin Boards
255,2021-02-06,3152.0,Bulletin Boards
256,2021-02-07,3152.0,Bulletin Boards
257,2021-02-08,3002.0,Bulletin Boards
258,2021-02-09,3002.0,Bulletin Boards
259,2021-02-10,3002.0,Bulletin Boards
260,2021-02-11,3641.0,Bulletin Boards
261,2021-02-12,3641.0,Bulletin Boards
262,2021-02-13,3641.0,Bulletin Boards
263,2021-02-14,3641.0,Bulletin Boards
264,2021-02-15,4828.0,Bulletin Boards
265,2021-02-16,4828.0,Bulletin Boards
266,2021-02-17,4828.0,Bulletin Boards
267,2021-02-18,5157.0,Bulletin Boards
268,2021-02-19,5576.0,Bulletin Boards
269,2021-02-20,5780.0,Bulletin Boards
270,2021-02-21,5780.0,Bulletin Boards
271,2021-02-22,5780.0,Bulletin Boards
272,2021-02-23,4536.0,Bulletin Boards
273,2021-02-24,4536.0,Bulletin Boards
274,2021-02-25,4536.0,Bulletin Boards
275,2021-02-26,6042.0,Bulletin Boards
276,2021-02-27,6042.0,Bulletin Boards
277,2021-02-28,6042.0,Bulletin Boards
278,2021-03-01,4570.0,Bulletin Boards
279,2021-03-02,4570.0,Bulletin Boards
280,2021-03-03,4906.0,Bulletin Boards
281,2021-03-04,4906.0,Bulletin Boards
282,2021-03-05,5287.0,Bulletin Boards
283,2021-03-06,5287.0,Bulletin Boards
284,2021-03-07,5287.0,Bulletin Boards
285,2021-03-08,4677.0,Bulletin Boards
286,2021-03-09,4677.0,Bulletin Boards
287,2021-03-10,5440.0,Bulletin Boards
288,2021-03-11,6015.0,Bulletin Boards
289,2021-03-12,6015.0,Bulletin Boards
290,2021-03-13,6015.0,Bulletin Boards
291,2021-03-14,6835.0,Bulletin Boards
292,2021-03-15,6835.0,Bulletin Boards
293,2021-03-16,6835.0,Bulletin Boards
294,2021-03-17,9376.0,Bulletin Boards
295,2021-03-18,9376.0,Bulletin Boards
296,2021-03-19,9376.0,Bulletin Boards
297,2021-03-20,5777.0,Bulletin Boards
298,2021-03-21,5777.0,Bulletin Boards
299,2021-03-22,4876.0,Bulletin Boards
300,2021-03-23,3709.0,Bulletin Boards
301,2021-03-24,3863.0,Bulletin Boards
302,2021-03-25,3863.0,Bulletin Boards
303,2021-03-26,3863.0,Bulletin Boards
304,2021-03-27,3863.0,Bulletin Boards
305,2021-03-28,3314.0,Bulletin Boards
306,2021-03-29,3314.0,Bulletin Boards
307,2021-03-30,3314.0,Bulletin Boards
308,2021-03-31,2940.0,Bulletin Boards
309,2021-04-01,2940.0,Bulletin Boards
310,2021-04-02,3025.0,Bulletin Boards
311,2021-04-03,3025.0,Bulletin Boards
312,2021-04-04,3025.0,Bulletin Boards
313,2021-04-05,2886.0,Bulletin Boards
314,2021-04-06,2886.0,Bulletin Boards
315,2021-04-07,2936.0,Bulletin Boards
316,2021-04-08,2936.0,Bulletin Boards
317,2021-04-09,3400.0,Bulletin Boards
318,2021-04-10,3400.0,Bulletin Boards
319,2021-04-11,3400.0,Bulletin Boards
320,2021-04-12,2940.0,Bulletin Boards
321,2021-04-13,2940.0,Bulletin Boards
322,2021-04-14,2940.0,Bulletin Boards
323,2021-04-15,3230.0,Bulletin Boards
324,2021-04-16,3230.0,Bulletin Boards
325,2021-04-17,3157.0,Bulletin Boards
326,2021-04-18,34794.0,Bulletin Boards
327,2021-04-19,52112.0,Bulletin Boards
328,2021-04-20,65783.0,Bulletin Boards
329,2021-04-21,46576.0,Bulletin Boards
330,2021-04-22,46576.0,Bulletin Boards
331,2021-04-23,58483.0,Bulletin Boards
332,2021-04-24,68762.0,Bulletin Boards
333,2021-04-25,68762.0,Bulletin Boards
334,2021-04-26,68762.0,Bulletin Boards
335,2021-04-27,8344.0,Bulletin Boards
336,2021-04-28,8344.0,Bulletin Boards
337,2021-04-29,5570.0,Bulletin Boards
338,2021-04-30,6624.0,Bulletin Boards
339,2021-05-01,6624.0,Bulletin Boards
340,2021-05-02,7053.0,Bulletin Boards
341,2021-05-03,7053.0,Bulletin Boards
342,2021-05-04,7053.0,Bulletin Boards
343,2021-05-05,7053.0,Bulletin Boards
344,2021-05-06,6413.0,Bulletin Boards
345,2021-05-07,5318.0,Bulletin Boards
346,2021-05-08,5318.0,Bulletin Boards
347,2021-05-09,5579.0,Bulletin Boards
348,2021-05-10,3352.0,Bulletin Boards
349,2021-05-11,3791.0,Bulletin Boards
350,2021-05-12,3791.0,Bulletin Boards
351,2021-05-13,4963.0,Bulletin Boards
352,2021-05-14,4963.0,Bulletin Boards
353,2021-05-15,4963.0,Bulletin Boards
354,2021-05-16,4445.0,Bulletin Boards
355,2021-05-17,4445.0,Bulletin Boards
356,2021-05-18,5004.0,Bulletin Boards
357,2021-05-19,5004.0,Bulletin Boards
358,2021-05-20,3585.0,Bulletin Boards
359,2021-05-21,3585.0,Bulletin Boards
360,2021-05-22,3009.0,Bulletin Boards
361,2021-05-23,3009.0,Bulletin Boards
362,2021-05-24,3835.0,Bulletin Boards
363,2021-05-25,3835.0,Bulletin Boards
364,2021-05-26,3835.0,Bulletin Boards
365,2021-05-27,4079.0,Bulletin Boards
366,2021-05-28,4079.0,Bulletin Boards
367,2021-05-29,4079.0,Bulletin Boards
368,2021-05-30,4079.0,Bulletin Boards
369,2021-05-31,2986.0,Bulletin Boards
370,2021-06-01,2986.0,Bulletin Boards
371,2021-06-02,4027.0,Bulletin Boards
372,2021-06-03,4027.0,Bulletin Boards
373,2021-06-04,4557.0,Bulletin Boards
374,2021-06-05,4557.0,Bulletin Boards
375,2021-06-06,3462.0,Bulletin Boards
376,2021-06-07,3694.0,Bulletin Boards
377,2021-06-08,3694.0,Bulletin Boards
378,2021-06-09,4123.0,Bulletin Boards
379,2021-06-10,4123.0,Bulletin Boards
380,2021-06-11,4653.0,Bulletin Boards
381,2021-06-12,4653.0,Bulletin Boards
382,2021-06-13,10698.0,Bulletin Boards
383,2021-06-14,10698.0,Bulletin Boards
384,2021-06-15,10698.0,Bulletin Boards
385,2021-06-16,10698.0,Bulletin Boards
386,2021-06-17,12252.0,Bulletin Boards
387,2021-06-18,10387.0,Bulletin Boards
388,2021-06-19,10387.0,Bulletin Boards
389,2021-06-20,10387.0,Bulletin Boards
390,2021-06-21,10387.0,Bulletin Boards
391,2021-06-22,7364.0,Bulletin Boards
392,2021-06-23,7364.0,Bulletin Boards
393,2021-06-24,7364.0,Bulletin Boards
394,2021-06-25,6666.0,Bulletin Boards
395,2021-06-26,6666.0,Bulletin Boards
396,2021-06-27,6666.0,Bulletin Boards
397,2021-06-28,5602.0,Bulletin Boards
398,2021-06-29,6195.0,Bulletin Boards
399,2021-06-30,6195.0,Bulletin Boards
400,2021-07-01,6195.0,Bulletin Boards
401,2021-07-02,6283.0,Bulletin Boards
402,2021-07-03,4936.0,Bulletin Boards
403,2021-07-04,4936.0,Bulletin Boards
404,2021-07-05,6258.0,Bulletin Boards
405,2021-07-06,5311.0,Bulletin Boards
406,2021-07-07,5311.0,Bulletin Boards
407,2021-07-08,3857.0,Bulletin Boards
408,2021-07-09,4207.0,Bulletin Boards
409,2021-07-10,3748.0,Bulletin Boards
410,2021-07-11,3481.0,Bulletin Boards
