,date,value,name_B07TX4WF9S
46,2019-08-25,48750.0,Glassware & Drinkware
47,2019-08-26,48750.0,Glassware & Drinkware
48,2019-08-27,48750.0,Glassware & Drinkware
49,2019-08-28,35779.0,Glassware & Drinkware
50,2019-08-29,27819.0,Glassware & Drinkware
51,2019-08-30,27819.0,Glassware & Drinkware
52,2019-08-31,27819.0,Glassware & Drinkware
53,2019-09-01,39389.0,Glassware & Drinkware
54,2019-09-02,39389.0,Glassware & Drinkware
55,2019-09-03,39389.0,Glassware & Drinkware
56,2019-09-04,63110.0,Glassware & Drinkware
57,2019-09-05,63110.0,Glassware & Drinkware
58,2019-09-06,25503.0,Glassware & Drinkware
59,2019-09-07,23634.0,Glassware & Drinkware
60,2019-09-08,23634.0,Glassware & Drinkware
61,2019-09-09,23634.0,Glassware & Drinkware
62,2019-09-10,23634.0,Glassware & Drinkware
63,2019-09-11,22780.0,Glassware & Drinkware
64,2019-09-12,23202.0,Glassware & Drinkware
65,2019-09-13,32376.0,Glassware & Drinkware
66,2019-09-14,18807.0,Glassware & Drinkware
67,2019-09-15,30834.0,Glassware & Drinkware
68,2019-09-16,32618.0,Glassware & Drinkware
69,2019-09-17,23213.0,Glassware & Drinkware
70,2019-09-18,18627.0,Glassware & Drinkware
71,2019-09-19,20677.0,Glassware & Drinkware
72,2019-09-20,29465.0,Glassware & Drinkware
73,2019-09-21,25972.0,Glassware & Drinkware
74,2019-09-22,25895.0,Glassware & Drinkware
75,2019-09-23,26115.0,Glassware & Drinkware
76,2019-09-24,31552.0,Glassware & Drinkware
77,2019-09-25,29218.0,Glassware & Drinkware
78,2019-09-26,37892.0,Glassware & Drinkware
79,2019-09-27,29700.0,Glassware & Drinkware
80,2019-09-28,29700.0,Glassware & Drinkware
81,2019-09-29,24606.0,Glassware & Drinkware
82,2019-09-30,24606.0,Glassware & Drinkware
83,2019-10-01,24606.0,Glassware & Drinkware
84,2019-10-02,18283.0,Glassware & Drinkware
85,2019-10-03,16830.0,Glassware & Drinkware
86,2019-10-04,14583.0,Glassware & Drinkware
87,2019-10-05,14583.0,Glassware & Drinkware
88,2019-10-06,14583.0,Glassware & Drinkware
89,2019-10-07,10673.0,Glassware & Drinkware
90,2019-10-08,10673.0,Glassware & Drinkware
91,2019-10-09,10673.0,Glassware & Drinkware
92,2019-10-10,14951.0,Glassware & Drinkware
93,2019-10-11,14951.0,Glassware & Drinkware
94,2019-10-12,14951.0,Glassware & Drinkware
95,2019-10-13,25251.0,Glassware & Drinkware
96,2019-10-14,25251.0,Glassware & Drinkware
97,2019-10-15,21936.0,Glassware & Drinkware
98,2019-10-16,12281.0,Glassware & Drinkware
99,2019-10-17,9369.0,Glassware & Drinkware
100,2019-10-18,13117.0,Glassware & Drinkware
101,2019-10-19,15718.0,Glassware & Drinkware
102,2019-10-20,15272.0,Glassware & Drinkware
103,2019-10-21,12499.0,Glassware & Drinkware
104,2019-10-22,14541.0,Glassware & Drinkware
105,2019-10-23,10929.0,Glassware & Drinkware
106,2019-10-24,16645.0,Glassware & Drinkware
107,2019-10-25,32683.0,Glassware & Drinkware
108,2019-10-26,32683.0,Glassware & Drinkware
109,2019-10-27,22101.0,Glassware & Drinkware
110,2019-10-28,31743.0,Glassware & Drinkware
111,2019-10-29,31743.0,Glassware & Drinkware
112,2019-10-30,29185.0,Glassware & Drinkware
113,2019-10-31,27365.0,Glassware & Drinkware
114,2019-11-01,27365.0,Glassware & Drinkware
115,2019-11-02,20913.0,Glassware & Drinkware
116,2019-11-03,27800.0,Glassware & Drinkware
117,2019-11-04,27800.0,Glassware & Drinkware
118,2019-11-05,17771.0,Glassware & Drinkware
119,2019-11-06,17902.0,Glassware & Drinkware
120,2019-11-07,17819.0,Glassware & Drinkware
121,2019-11-08,17819.0,Glassware & Drinkware
122,2019-11-09,17819.0,Glassware & Drinkware
123,2019-11-10,17819.0,Glassware & Drinkware
124,2019-11-11,22326.0,Glassware & Drinkware
125,2019-11-12,22326.0,Glassware & Drinkware
126,2019-11-13,22326.0,Glassware & Drinkware
127,2019-11-14,37611.0,Glassware & Drinkware
128,2019-11-15,37611.0,Glassware & Drinkware
129,2019-11-16,37611.0,Glassware & Drinkware
130,2019-11-17,28081.0,Glassware & Drinkware
131,2019-11-18,28081.0,Glassware & Drinkware
132,2019-11-19,28081.0,Glassware & Drinkware
133,2019-11-20,37030.0,Glassware & Drinkware
134,2019-11-21,37030.0,Glassware & Drinkware
135,2019-11-22,37030.0,Glassware & Drinkware
136,2019-11-23,37030.0,Glassware & Drinkware
137,2019-11-24,37030.0,Glassware & Drinkware
138,2019-11-25,38820.0,Glassware & Drinkware
139,2019-11-26,20697.0,Glassware & Drinkware
140,2019-11-27,20697.0,Glassware & Drinkware
141,2019-11-28,20697.0,Glassware & Drinkware
142,2019-11-29,61427.0,Glassware & Drinkware
143,2019-11-30,61427.0,Glassware & Drinkware
144,2019-12-01,61427.0,Glassware & Drinkware
145,2019-12-02,57193.0,Glassware & Drinkware
146,2019-12-03,57193.0,Glassware & Drinkware
147,2019-12-04,53699.0,Glassware & Drinkware
148,2019-12-05,53699.0,Glassware & Drinkware
149,2019-12-06,53699.0,Glassware & Drinkware
150,2019-12-07,57863.0,Glassware & Drinkware
151,2019-12-08,57863.0,Glassware & Drinkware
152,2019-12-09,57863.0,Glassware & Drinkware
153,2019-12-10,57863.0,Glassware & Drinkware
154,2019-12-11,57863.0,Glassware & Drinkware
155,2019-12-12,57863.0,Glassware & Drinkware
156,2019-12-13,57863.0,Glassware & Drinkware
157,2019-12-14,62043.0,Glassware & Drinkware
158,2019-12-15,62043.0,Glassware & Drinkware
159,2019-12-16,62043.0,Glassware & Drinkware
160,2019-12-17,55939.0,Glassware & Drinkware
161,2019-12-18,55939.0,Glassware & Drinkware
162,2019-12-19,55939.0,Glassware & Drinkware
163,2019-12-20,53821.0,Glassware & Drinkware
164,2019-12-21,53821.0,Glassware & Drinkware
165,2019-12-22,53821.0,Glassware & Drinkware
166,2019-12-23,53821.0,Glassware & Drinkware
167,2019-12-24,53821.0,Glassware & Drinkware
168,2019-12-25,53821.0,Glassware & Drinkware
169,2019-12-26,96850.0,Glassware & Drinkware
170,2019-12-27,96850.0,Glassware & Drinkware
171,2019-12-28,96850.0,Glassware & Drinkware
172,2019-12-29,96850.0,Glassware & Drinkware
173,2019-12-30,96850.0,Glassware & Drinkware
174,2019-12-31,96850.0,Glassware & Drinkware
175,2020-01-01,96850.0,Glassware & Drinkware
176,2020-01-02,96850.0,Glassware & Drinkware
177,2020-01-03,96850.0,Glassware & Drinkware
178,2020-01-04,96850.0,Glassware & Drinkware
179,2020-01-05,96850.0,Glassware & Drinkware
180,2020-01-06,96850.0,Glassware & Drinkware
181,2020-01-07,44950.0,Glassware & Drinkware
182,2020-01-08,46771.0,Glassware & Drinkware
183,2020-01-09,39838.0,Glassware & Drinkware
184,2020-01-10,28050.0,Glassware & Drinkware
185,2020-01-11,28050.0,Glassware & Drinkware
186,2020-01-12,28050.0,Glassware & Drinkware
187,2020-01-13,25758.0,Glassware & Drinkware
188,2020-01-14,38005.0,Glassware & Drinkware
189,2020-01-15,32786.0,Glassware & Drinkware
190,2020-01-16,32786.0,Glassware & Drinkware
191,2020-01-17,32786.0,Glassware & Drinkware
192,2020-01-18,32786.0,Glassware & Drinkware
193,2020-01-19,32786.0,Glassware & Drinkware
194,2020-01-20,35705.0,Glassware & Drinkware
195,2020-01-21,35705.0,Glassware & Drinkware
196,2020-01-22,35705.0,Glassware & Drinkware
197,2020-01-23,35705.0,Glassware & Drinkware
198,2020-01-24,35705.0,Glassware & Drinkware
199,2020-01-25,38084.0,Glassware & Drinkware
200,2020-01-26,38084.0,Glassware & Drinkware
201,2020-01-27,38084.0,Glassware & Drinkware
202,2020-01-28,38084.0,Glassware & Drinkware
203,2020-01-29,38084.0,Glassware & Drinkware
204,2020-01-30,29017.0,Glassware & Drinkware
205,2020-01-31,29017.0,Glassware & Drinkware
206,2020-02-01,29017.0,Glassware & Drinkware
207,2020-02-02,20543.0,Glassware & Drinkware
208,2020-02-03,20543.0,Glassware & Drinkware
209,2020-02-04,23933.0,Glassware & Drinkware
210,2020-02-05,23933.0,Glassware & Drinkware
211,2020-02-06,23933.0,Glassware & Drinkware
212,2020-02-07,23933.0,Glassware & Drinkware
213,2020-02-08,23933.0,Glassware & Drinkware
214,2020-02-09,24193.0,Glassware & Drinkware
215,2020-02-10,48237.0,Glassware & Drinkware
216,2020-02-11,48237.0,Glassware & Drinkware
217,2020-02-12,48237.0,Glassware & Drinkware
218,2020-02-13,48237.0,Glassware & Drinkware
219,2020-02-14,21860.0,Glassware & Drinkware
220,2020-02-15,21860.0,Glassware & Drinkware
221,2020-02-16,21860.0,Glassware & Drinkware
222,2020-02-17,21860.0,Glassware & Drinkware
223,2020-02-18,23094.0,Glassware & Drinkware
224,2020-02-19,23094.0,Glassware & Drinkware
225,2020-02-20,23094.0,Glassware & Drinkware
226,2020-02-21,23094.0,Glassware & Drinkware
227,2020-02-22,23094.0,Glassware & Drinkware
228,2020-02-23,23094.0,Glassware & Drinkware
229,2020-02-24,23094.0,Glassware & Drinkware
230,2020-02-25,23094.0,Glassware & Drinkware
231,2020-02-26,27649.0,Glassware & Drinkware
232,2020-02-27,27649.0,Glassware & Drinkware
233,2020-02-28,27649.0,Glassware & Drinkware
234,2020-02-29,25547.0,Glassware & Drinkware
235,2020-03-01,25547.0,Glassware & Drinkware
236,2020-03-02,25547.0,Glassware & Drinkware
237,2020-03-03,25547.0,Glassware & Drinkware
238,2020-03-04,17925.0,Glassware & Drinkware
239,2020-03-05,21335.0,Glassware & Drinkware
240,2020-03-06,21335.0,Glassware & Drinkware
241,2020-03-07,21980.0,Glassware & Drinkware
