,date,value,name_B01LZYU40W
89,2020-08-21,2755.0,Seat Covers
90,2020-08-22,2755.0,Seat Covers
91,2020-08-23,3443.0,Seat Covers
92,2020-08-24,3443.0,Seat Covers
93,2020-08-25,2751.0,Seat Covers
94,2020-08-26,2881.0,Seat Covers
95,2020-08-27,3146.0,Seat Covers
96,2020-08-28,3146.0,Seat Covers
97,2020-08-29,3146.0,Seat Covers
98,2020-08-30,3558.0,Seat Covers
99,2020-08-31,3558.0,Seat Covers
100,2020-09-01,3558.0,Seat Covers
101,2020-09-02,3558.0,Seat Covers
102,2020-09-03,3590.0,Seat Covers
103,2020-09-04,3590.0,Seat Covers
104,2020-09-05,4454.0,Seat Covers
105,2020-09-06,4454.0,Seat Covers
106,2020-09-07,4454.0,Seat Covers
107,2020-09-08,4454.0,Seat Covers
108,2020-09-09,4382.0,Seat Covers
109,2020-09-10,4382.0,Seat Covers
110,2020-09-11,4075.0,Seat Covers
111,2020-09-12,3869.0,Seat Covers
112,2020-09-13,3869.0,Seat Covers
113,2020-09-14,3869.0,Seat Covers
114,2020-09-15,4253.0,Seat Covers
115,2020-09-16,4253.0,Seat Covers
116,2020-09-17,4253.0,Seat Covers
117,2020-09-18,4453.0,Seat Covers
118,2020-09-19,4303.0,Seat Covers
119,2020-09-20,4558.0,Seat Covers
120,2020-09-21,4432.0,Seat Covers
121,2020-09-22,4432.0,Seat Covers
122,2020-09-23,4432.0,Seat Covers
123,2020-09-24,3629.0,Seat Covers
124,2020-09-25,4073.0,Seat Covers
125,2020-09-26,4248.0,Seat Covers
126,2020-09-27,4620.0,Seat Covers
127,2020-09-28,3479.0,Seat Covers
128,2020-09-29,3582.0,Seat Covers
129,2020-09-30,3582.0,Seat Covers
130,2020-10-01,4360.0,Seat Covers
131,2020-10-02,4360.0,Seat Covers
132,2020-10-03,4360.0,Seat Covers
133,2020-10-04,4125.0,Seat Covers
134,2020-10-05,4125.0,Seat Covers
135,2020-10-06,4717.0,Seat Covers
136,2020-10-07,4717.0,Seat Covers
137,2020-10-08,4717.0,Seat Covers
138,2020-10-09,4717.0,Seat Covers
139,2020-10-10,4717.0,Seat Covers
140,2020-10-11,8941.0,Seat Covers
141,2020-10-12,8662.0,Seat Covers
142,2020-10-13,8662.0,Seat Covers
143,2020-10-14,6180.0,Seat Covers
144,2020-10-15,6180.0,Seat Covers
145,2020-10-16,6180.0,Seat Covers
146,2020-10-17,9181.0,Seat Covers
147,2020-10-18,9181.0,Seat Covers
148,2020-10-19,6908.0,Seat Covers
149,2020-10-20,6908.0,Seat Covers
150,2020-10-21,6908.0,Seat Covers
151,2020-10-22,6077.0,Seat Covers
152,2020-10-23,6077.0,Seat Covers
153,2020-10-24,6077.0,Seat Covers
154,2020-10-25,6077.0,Seat Covers
155,2020-10-26,5308.0,Seat Covers
156,2020-10-27,5584.0,Seat Covers
157,2020-10-28,5584.0,Seat Covers
158,2020-10-29,5584.0,Seat Covers
159,2020-10-30,5287.0,Seat Covers
160,2020-10-31,5287.0,Seat Covers
161,2020-11-01,5287.0,Seat Covers
162,2020-11-02,4791.0,Seat Covers
163,2020-11-03,4791.0,Seat Covers
164,2020-11-04,4791.0,Seat Covers
165,2020-11-05,5173.0,Seat Covers
166,2020-11-06,5173.0,Seat Covers
167,2020-11-07,5173.0,Seat Covers
168,2020-11-08,5173.0,Seat Covers
169,2020-11-09,5173.0,Seat Covers
170,2020-11-10,5987.0,Seat Covers
171,2020-11-11,6379.0,Seat Covers
172,2020-11-12,6379.0,Seat Covers
173,2020-11-13,6379.0,Seat Covers
174,2020-11-14,6379.0,Seat Covers
175,2020-11-15,6379.0,Seat Covers
176,2020-11-16,6379.0,Seat Covers
177,2020-11-17,5945.0,Seat Covers
178,2020-11-18,6042.0,Seat Covers
179,2020-11-19,6042.0,Seat Covers
180,2020-11-20,6842.0,Seat Covers
181,2020-11-21,6842.0,Seat Covers
182,2020-11-22,6842.0,Seat Covers
183,2020-11-23,7207.0,Seat Covers
184,2020-11-24,7207.0,Seat Covers
185,2020-11-25,7207.0,Seat Covers
186,2020-11-26,7258.0,Seat Covers
187,2020-11-27,5374.0,Seat Covers
188,2020-11-28,5374.0,Seat Covers
189,2020-11-29,5852.0,Seat Covers
190,2020-11-30,6026.0,Seat Covers
191,2020-12-01,6017.0,Seat Covers
192,2020-12-02,6017.0,Seat Covers
193,2020-12-03,6017.0,Seat Covers
194,2020-12-04,6017.0,Seat Covers
195,2020-12-05,6017.0,Seat Covers
196,2020-12-06,6792.0,Seat Covers
197,2020-12-07,6471.0,Seat Covers
198,2020-12-08,6471.0,Seat Covers
199,2020-12-09,6471.0,Seat Covers
200,2020-12-10,5591.0,Seat Covers
201,2020-12-11,5591.0,Seat Covers
202,2020-12-12,5591.0,Seat Covers
203,2020-12-13,5591.0,Seat Covers
204,2020-12-14,5813.0,Seat Covers
205,2020-12-15,5813.0,Seat Covers
206,2020-12-16,5813.0,Seat Covers
207,2020-12-17,5813.0,Seat Covers
208,2020-12-18,6255.0,Seat Covers
209,2020-12-19,6255.0,Seat Covers
210,2020-12-20,6255.0,Seat Covers
211,2020-12-21,6255.0,Seat Covers
212,2020-12-22,6304.0,Seat Covers
213,2020-12-23,6239.0,Seat Covers
214,2020-12-24,6407.0,Seat Covers
215,2020-12-25,6407.0,Seat Covers
216,2020-12-26,6407.0,Seat Covers
217,2020-12-27,7809.0,Seat Covers
218,2020-12-28,7809.0,Seat Covers
219,2020-12-29,7809.0,Seat Covers
220,2020-12-30,6911.0,Seat Covers
221,2020-12-31,6911.0,Seat Covers
222,2021-01-01,6911.0,Seat Covers
223,2021-01-02,6911.0,Seat Covers
224,2021-01-03,7127.0,Seat Covers
225,2021-01-04,8318.0,Seat Covers
226,2021-01-05,8318.0,Seat Covers
227,2021-01-06,8861.0,Seat Covers
228,2021-01-07,8861.0,Seat Covers
229,2021-01-08,8861.0,Seat Covers
230,2021-01-09,8861.0,Seat Covers
231,2021-01-10,9508.0,Seat Covers
232,2021-01-11,9508.0,Seat Covers
233,2021-01-12,9508.0,Seat Covers
234,2021-01-13,9508.0,Seat Covers
235,2021-01-14,6339.0,Seat Covers
236,2021-01-15,6339.0,Seat Covers
237,2021-01-16,6339.0,Seat Covers
238,2021-01-17,4643.0,Seat Covers
239,2021-01-18,6233.0,Seat Covers
240,2021-01-19,6233.0,Seat Covers
241,2021-01-20,6233.0,Seat Covers
242,2021-01-21,6233.0,Seat Covers
243,2021-01-22,6231.0,Seat Covers
244,2021-01-23,6231.0,Seat Covers
245,2021-01-24,6231.0,Seat Covers
246,2021-01-25,5546.0,Seat Covers
247,2021-01-26,6133.0,Seat Covers
248,2021-01-27,6133.0,Seat Covers
249,2021-01-28,6133.0,Seat Covers
250,2021-01-29,6133.0,Seat Covers
251,2021-01-30,6133.0,Seat Covers
252,2021-01-31,6133.0,Seat Covers
253,2021-02-01,5977.0,Seat Covers
254,2021-02-02,5977.0,Seat Covers
255,2021-02-03,5977.0,Seat Covers
256,2021-02-04,5977.0,Seat Covers
257,2021-02-05,5977.0,Seat Covers
258,2021-02-06,5977.0,Seat Covers
259,2021-02-07,4761.0,Seat Covers
260,2021-02-08,4761.0,Seat Covers
261,2021-02-09,4761.0,Seat Covers
262,2021-02-10,5217.0,Seat Covers
263,2021-02-11,5217.0,Seat Covers
264,2021-02-12,5217.0,Seat Covers
265,2021-02-13,5217.0,Seat Covers
266,2021-02-14,6360.0,Seat Covers
267,2021-02-15,6360.0,Seat Covers
268,2021-02-16,6360.0,Seat Covers
269,2021-02-17,4759.0,Seat Covers
270,2021-02-18,4759.0,Seat Covers
271,2021-02-19,7697.0,Seat Covers
272,2021-02-20,7697.0,Seat Covers
273,2021-02-21,7697.0,Seat Covers
274,2021-02-22,5463.0,Seat Covers
275,2021-02-23,5148.0,Seat Covers
276,2021-02-24,5703.0,Seat Covers
277,2021-02-25,5363.0,Seat Covers
278,2021-02-26,5363.0,Seat Covers
279,2021-02-27,5363.0,Seat Covers
280,2021-02-28,5363.0,Seat Covers
281,2021-03-01,5715.0,Seat Covers
282,2021-03-02,5715.0,Seat Covers
283,2021-03-03,5715.0,Seat Covers
284,2021-03-04,5715.0,Seat Covers
285,2021-03-05,7084.0,Seat Covers
286,2021-03-06,7084.0,Seat Covers
287,2021-03-07,7084.0,Seat Covers
288,2021-03-08,5616.0,Seat Covers
289,2021-03-09,5096.0,Seat Covers
290,2021-03-10,5096.0,Seat Covers
291,2021-03-11,5096.0,Seat Covers
292,2021-03-12,5096.0,Seat Covers
293,2021-03-13,5977.0,Seat Covers
294,2021-03-14,5977.0,Seat Covers
295,2021-03-15,5977.0,Seat Covers
296,2021-03-16,6538.0,Seat Covers
297,2021-03-17,6538.0,Seat Covers
298,2021-03-18,6538.0,Seat Covers
299,2021-03-19,5277.0,Seat Covers
300,2021-03-20,5277.0,Seat Covers
301,2021-03-21,5277.0,Seat Covers
302,2021-03-22,5277.0,Seat Covers
303,2021-03-23,5277.0,Seat Covers
304,2021-03-24,4616.0,Seat Covers
305,2021-03-25,4616.0,Seat Covers
306,2021-03-26,4616.0,Seat Covers
307,2021-03-27,4609.0,Seat Covers
308,2021-03-28,3542.0,Seat Covers
309,2021-03-29,4101.0,Seat Covers
310,2021-03-30,4101.0,Seat Covers
311,2021-03-31,4101.0,Seat Covers
312,2021-04-01,4773.0,Seat Covers
313,2021-04-02,4773.0,Seat Covers
314,2021-04-03,5501.0,Seat Covers
315,2021-04-04,5501.0,Seat Covers
316,2021-04-05,5501.0,Seat Covers
317,2021-04-06,3660.0,Seat Covers
318,2021-04-07,3920.0,Seat Covers
319,2021-04-08,3920.0,Seat Covers
320,2021-04-09,4648.0,Seat Covers
321,2021-04-10,4807.0,Seat Covers
322,2021-04-11,4807.0,Seat Covers
323,2021-04-12,4807.0,Seat Covers
324,2021-04-13,4807.0,Seat Covers
325,2021-04-14,5885.0,Seat Covers
326,2021-04-15,5878.0,Seat Covers
327,2021-04-16,5878.0,Seat Covers
328,2021-04-17,5213.0,Seat Covers
329,2021-04-18,5213.0,Seat Covers
330,2021-04-19,4612.0,Seat Covers
331,2021-04-20,4612.0,Seat Covers
332,2021-04-21,4736.0,Seat Covers
333,2021-04-22,4511.0,Seat Covers
334,2021-04-23,4511.0,Seat Covers
335,2021-04-24,4511.0,Seat Covers
336,2021-04-25,5058.0,Seat Covers
337,2021-04-26,5058.0,Seat Covers
338,2021-04-27,5500.0,Seat Covers
339,2021-04-28,5500.0,Seat Covers
340,2021-04-29,4891.0,Seat Covers
341,2021-04-30,5959.0,Seat Covers
342,2021-05-01,5959.0,Seat Covers
343,2021-05-02,5959.0,Seat Covers
344,2021-05-03,5959.0,Seat Covers
345,2021-05-04,4982.0,Seat Covers
346,2021-05-05,4982.0,Seat Covers
347,2021-05-06,4116.0,Seat Covers
348,2021-05-07,4299.0,Seat Covers
349,2021-05-08,4299.0,Seat Covers
350,2021-05-09,4577.0,Seat Covers
351,2021-05-10,3769.0,Seat Covers
352,2021-05-11,3769.0,Seat Covers
353,2021-05-12,3769.0,Seat Covers
354,2021-05-13,3952.0,Seat Covers
355,2021-05-14,4498.0,Seat Covers
356,2021-05-15,4498.0,Seat Covers
357,2021-05-16,4498.0,Seat Covers
358,2021-05-17,3365.0,Seat Covers
359,2021-05-18,3837.0,Seat Covers
360,2021-05-19,3837.0,Seat Covers
361,2021-05-20,3574.0,Seat Covers
362,2021-05-21,3792.0,Seat Covers
363,2021-05-22,3792.0,Seat Covers
364,2021-05-23,3590.0,Seat Covers
365,2021-05-24,3850.0,Seat Covers
366,2021-05-25,3850.0,Seat Covers
367,2021-05-26,4060.0,Seat Covers
368,2021-05-27,4060.0,Seat Covers
369,2021-05-28,4090.0,Seat Covers
370,2021-05-29,5385.0,Seat Covers
371,2021-05-30,5385.0,Seat Covers
372,2021-05-31,5385.0,Seat Covers
373,2021-06-01,5385.0,Seat Covers
374,2021-06-02,4910.0,Seat Covers
375,2021-06-03,4506.0,Seat Covers
376,2021-06-04,4675.0,Seat Covers
377,2021-06-05,4073.0,Seat Covers
378,2021-06-06,4073.0,Seat Covers
379,2021-06-07,4073.0,Seat Covers
380,2021-06-08,4958.0,Seat Covers
381,2021-06-09,4958.0,Seat Covers
382,2021-06-10,6556.0,Seat Covers
383,2021-06-11,6556.0,Seat Covers
384,2021-06-12,3886.0,Seat Covers
385,2021-06-13,4657.0,Seat Covers
386,2021-06-14,4657.0,Seat Covers
387,2021-06-15,4657.0,Seat Covers
388,2021-06-16,4962.0,Seat Covers
389,2021-06-17,4962.0,Seat Covers
390,2021-06-18,4962.0,Seat Covers
391,2021-06-19,5455.0,Seat Covers
392,2021-06-20,5652.0,Seat Covers
393,2021-06-21,5652.0,Seat Covers
394,2021-06-22,6002.0,Seat Covers
395,2021-06-23,6002.0,Seat Covers
396,2021-06-24,5236.0,Seat Covers
397,2021-06-25,6045.0,Seat Covers
398,2021-06-26,6045.0,Seat Covers
399,2021-06-27,6045.0,Seat Covers
400,2021-06-28,5239.0,Seat Covers
401,2021-06-29,5239.0,Seat Covers
402,2021-06-30,5869.0,Seat Covers
403,2021-07-01,5869.0,Seat Covers
404,2021-07-02,5556.0,Seat Covers
405,2021-07-03,5556.0,Seat Covers
406,2021-07-04,5556.0,Seat Covers
407,2021-07-05,6198.0,Seat Covers
408,2021-07-06,6198.0,Seat Covers
409,2021-07-07,5004.0,Seat Covers
410,2021-07-08,5004.0,Seat Covers
411,2021-07-09,4087.0,Seat Covers
412,2021-07-10,4178.0,Seat Covers
