,date,value,name_B08S44L5BM
46,2021-03-12,94331.0,Bed Pillows
47,2021-03-13,94331.0,Bed Pillows
48,2021-03-14,94331.0,Bed Pillows
49,2021-03-15,105828.0,Bed Pillows
50,2021-03-16,171588.0,Bed Pillows
51,2021-03-17,205225.0,Bed Pillows
52,2021-03-18,205225.0,Bed Pillows
53,2021-03-19,205225.0,Bed Pillows
54,2021-03-20,205225.0,Bed Pillows
55,2021-03-21,205225.0,Bed Pillows
56,2021-03-22,114179.0,Bed Pillows
57,2021-03-23,114179.0,Bed Pillows
58,2021-03-24,114179.0,Bed Pillows
59,2021-03-25,114179.0,Bed Pillows
60,2021-03-26,114179.0,Bed Pillows
61,2021-03-27,114179.0,Bed Pillows
62,2021-03-28,114179.0,Bed Pillows
63,2021-03-29,109963.0,Bed Pillows
64,2021-03-30,109963.0,Bed Pillows
65,2021-03-31,155267.0,Bed Pillows
66,2021-04-01,155267.0,Bed Pillows
67,2021-04-02,155267.0,Bed Pillows
68,2021-04-03,155267.0,Bed Pillows
69,2021-04-04,155267.0,Bed Pillows
70,2021-04-05,165063.0,Bed Pillows
71,2021-04-06,165063.0,Bed Pillows
72,2021-04-07,165063.0,Bed Pillows
73,2021-04-08,165063.0,Bed Pillows
74,2021-04-09,165063.0,Bed Pillows
75,2021-04-10,165063.0,Bed Pillows
76,2021-04-11,165063.0,Bed Pillows
77,2021-04-12,276923.0,Bed Pillows
78,2021-04-13,276923.0,Bed Pillows
79,2021-04-14,276923.0,Bed Pillows
80,2021-04-15,276923.0,Bed Pillows
81,2021-04-16,276923.0,Bed Pillows
82,2021-04-17,276923.0,Bed Pillows
83,2021-04-18,276923.0,Bed Pillows
84,2021-04-19,713297.0,Bed Pillows
85,2021-04-20,729780.0,Bed Pillows
86,2021-04-21,729780.0,Bed Pillows
87,2021-04-22,729780.0,Bed Pillows
88,2021-04-23,729780.0,Bed Pillows
89,2021-04-24,773852.0,Bed Pillows
90,2021-04-25,773852.0,Bed Pillows
91,2021-04-26,828853.0,Bed Pillows
92,2021-04-27,849180.0,Bed Pillows
93,2021-04-28,849180.0,Bed Pillows
94,2021-04-29,333307.0,Bed Pillows
95,2021-04-30,333307.0,Bed Pillows
96,2021-05-01,169558.0,Bed Pillows
97,2021-05-02,151648.0,Bed Pillows
98,2021-05-03,151648.0,Bed Pillows
99,2021-05-04,151648.0,Bed Pillows
100,2021-05-05,151648.0,Bed Pillows
101,2021-05-06,60182.0,Bed Pillows
102,2021-05-07,60182.0,Bed Pillows
103,2021-05-08,60182.0,Bed Pillows
104,2021-05-09,60182.0,Bed Pillows
105,2021-05-10,57522.0,Bed Pillows
106,2021-05-11,57522.0,Bed Pillows
107,2021-05-12,57522.0,Bed Pillows
108,2021-05-13,57522.0,Bed Pillows
109,2021-05-14,49744.0,Bed Pillows
110,2021-05-15,49744.0,Bed Pillows
111,2021-05-16,78842.0,Bed Pillows
112,2021-05-17,78842.0,Bed Pillows
113,2021-05-18,78842.0,Bed Pillows
114,2021-05-19,29208.0,Bed Pillows
115,2021-05-20,29208.0,Bed Pillows
116,2021-05-21,29208.0,Bed Pillows
117,2021-05-22,23222.0,Bed Pillows
118,2021-05-23,20611.0,Bed Pillows
119,2021-05-24,20611.0,Bed Pillows
120,2021-05-25,13268.0,Bed Pillows
121,2021-05-26,15868.0,Bed Pillows
122,2021-05-27,15868.0,Bed Pillows
123,2021-05-28,27881.0,Bed Pillows
124,2021-05-29,27881.0,Bed Pillows
125,2021-05-30,27881.0,Bed Pillows
126,2021-05-31,27881.0,Bed Pillows
127,2021-06-01,45405.0,Bed Pillows
128,2021-06-02,62521.0,Bed Pillows
129,2021-06-03,55779.0,Bed Pillows
130,2021-06-04,67904.0,Bed Pillows
131,2021-06-05,67904.0,Bed Pillows
132,2021-06-06,67904.0,Bed Pillows
133,2021-06-07,67904.0,Bed Pillows
134,2021-06-08,70555.0,Bed Pillows
135,2021-06-09,70555.0,Bed Pillows
136,2021-06-10,54156.0,Bed Pillows
137,2021-06-11,54156.0,Bed Pillows
138,2021-06-12,54156.0,Bed Pillows
139,2021-06-13,54156.0,Bed Pillows
140,2021-06-14,54156.0,Bed Pillows
141,2021-06-15,28216.0,Bed Pillows
142,2021-06-16,28216.0,Bed Pillows
143,2021-06-17,17835.0,Bed Pillows
144,2021-06-18,18690.0,Bed Pillows
145,2021-06-19,18690.0,Bed Pillows
146,2021-06-20,28342.0,Bed Pillows
147,2021-06-21,39137.0,Bed Pillows
148,2021-06-22,64633.0,Bed Pillows
149,2021-06-23,55131.0,Bed Pillows
150,2021-06-24,55131.0,Bed Pillows
151,2021-06-25,23818.0,Bed Pillows
152,2021-06-26,23818.0,Bed Pillows
153,2021-06-27,23818.0,Bed Pillows
154,2021-06-28,12782.0,Bed Pillows
155,2021-06-29,9471.0,Bed Pillows
156,2021-06-30,6526.0,Bed Pillows
157,2021-07-01,6526.0,Bed Pillows
158,2021-07-02,3045.0,Bed Pillows
159,2021-07-03,3045.0,Bed Pillows
160,2021-07-04,2200.0,Bed Pillows
161,2021-07-05,2263.0,Bed Pillows
162,2021-07-06,2154.0,Bed Pillows
163,2021-07-07,2154.0,Bed Pillows
164,2021-07-08,6571.0,Bed Pillows
165,2021-07-09,4963.0,Bed Pillows
166,2021-07-10,4963.0,Bed Pillows
167,2021-07-11,7644.0,Bed Pillows
