,date,value,name_B07RCMYQ2Z
257,2021-02-07,1913.0,Jerky
258,2021-02-08,2365.0,Jerky
259,2021-02-09,2680.0,Jerky
260,2021-02-10,2532.0,Jerky
261,2021-02-11,2422.0,Jerky
262,2021-02-12,2379.0,Jerky
263,2021-02-13,2372.0,Jerky
264,2021-02-14,1813.0,Jerky
265,2021-02-15,2131.0,Jerky
266,2021-02-16,2088.0,Jerky
267,2021-02-17,1882.0,Jerky
268,2021-02-18,2020.0,Jerky
269,2021-02-19,1995.0,Jerky
270,2021-02-20,2159.0,Jerky
271,2021-02-21,2677.0,Jerky
272,2021-02-22,2285.0,Jerky
273,2021-02-23,2547.0,Jerky
274,2021-02-24,2547.0,Jerky
275,2021-02-25,2427.0,Jerky
276,2021-02-26,2070.0,Jerky
277,2021-02-27,2070.0,Jerky
278,2021-02-28,2135.0,Jerky
279,2021-03-01,2400.0,Jerky
280,2021-03-02,2473.0,Jerky
281,2021-03-03,2494.0,Jerky
282,2021-03-04,2455.0,Jerky
283,2021-03-05,2652.0,Jerky
284,2021-03-06,2636.0,Jerky
285,2021-03-07,2636.0,Jerky
286,2021-03-08,2546.0,Jerky
287,2021-03-09,2705.0,Jerky
288,2021-03-10,2752.0,Jerky
289,2021-03-11,2713.0,Jerky
290,2021-03-12,2406.0,Jerky
291,2021-03-13,2855.0,Jerky
292,2021-03-14,2855.0,Jerky
293,2021-03-15,2773.0,Jerky
294,2021-03-16,2710.0,Jerky
295,2021-03-17,2550.0,Jerky
296,2021-03-18,2227.0,Jerky
297,2021-03-19,1914.0,Jerky
298,2021-03-20,2128.0,Jerky
299,2021-03-21,2128.0,Jerky
300,2021-03-22,2221.0,Jerky
301,2021-03-23,2177.0,Jerky
302,2021-03-24,2336.0,Jerky
303,2021-03-25,2486.0,Jerky
304,2021-03-26,2531.0,Jerky
305,2021-03-27,2069.0,Jerky
306,2021-03-28,2033.0,Jerky
307,2021-03-29,2012.0,Jerky
308,2021-03-30,1679.0,Jerky
309,2021-03-31,1743.0,Jerky
310,2021-04-01,2065.0,Jerky
311,2021-04-02,2400.0,Jerky
312,2021-04-03,2028.0,Jerky
313,2021-04-04,2197.0,Jerky
314,2021-04-05,2227.0,Jerky
315,2021-04-06,2292.0,Jerky
316,2021-04-07,2229.0,Jerky
317,2021-04-08,2370.0,Jerky
318,2021-04-09,2873.0,Jerky
319,2021-04-10,2595.0,Jerky
320,2021-04-11,2595.0,Jerky
321,2021-04-12,2332.0,Jerky
322,2021-04-13,2499.0,Jerky
323,2021-04-14,2338.0,Jerky
324,2021-04-15,2639.0,Jerky
325,2021-04-16,2252.0,Jerky
326,2021-04-17,2229.0,Jerky
327,2021-04-18,2229.0,Jerky
328,2021-04-19,2108.0,Jerky
329,2021-04-20,1904.0,Jerky
330,2021-04-21,2332.0,Jerky
331,2021-04-22,2514.0,Jerky
332,2021-04-23,2558.0,Jerky
333,2021-04-24,2214.0,Jerky
334,2021-04-25,2600.0,Jerky
335,2021-04-26,2228.0,Jerky
336,2021-04-27,2697.0,Jerky
337,2021-04-28,2393.0,Jerky
338,2021-04-29,2311.0,Jerky
339,2021-04-30,2334.0,Jerky
340,2021-05-01,2313.0,Jerky
341,2021-05-02,2386.0,Jerky
342,2021-05-03,2761.0,Jerky
343,2021-05-04,3098.0,Jerky
344,2021-05-05,2841.0,Jerky
345,2021-05-06,2454.0,Jerky
346,2021-05-07,2280.0,Jerky
347,2021-05-08,2243.0,Jerky
348,2021-05-09,2316.0,Jerky
349,2021-05-10,2316.0,Jerky
350,2021-05-11,2670.0,Jerky
351,2021-05-12,2288.0,Jerky
352,2021-05-13,2288.0,Jerky
353,2021-05-14,2482.0,Jerky
354,2021-05-15,2610.0,Jerky
355,2021-05-16,2468.0,Jerky
356,2021-05-17,2481.0,Jerky
357,2021-05-18,2051.0,Jerky
358,2021-05-19,2051.0,Jerky
359,2021-05-20,2214.0,Jerky
360,2021-05-21,2392.0,Jerky
361,2021-05-22,2710.0,Jerky
362,2021-05-23,2803.0,Jerky
363,2021-05-24,2574.0,Jerky
364,2021-05-25,2646.0,Jerky
365,2021-05-26,2646.0,Jerky
366,2021-05-27,2748.0,Jerky
367,2021-05-28,2657.0,Jerky
368,2021-05-29,2976.0,Jerky
369,2021-05-30,2490.0,Jerky
370,2021-05-31,2214.0,Jerky
371,2021-06-01,2214.0,Jerky
372,2021-06-02,2268.0,Jerky
373,2021-06-03,2443.0,Jerky
374,2021-06-04,1644.0,Jerky
375,2021-06-05,1638.0,Jerky
376,2021-06-06,2051.0,Jerky
377,2021-06-07,2611.0,Jerky
378,2021-06-08,2902.0,Jerky
379,2021-06-09,2703.0,Jerky
380,2021-06-10,3080.0,Jerky
381,2021-06-11,2685.0,Jerky
382,2021-06-12,2512.0,Jerky
383,2021-06-13,1995.0,Jerky
384,2021-06-14,2375.0,Jerky
385,2021-06-15,2441.0,Jerky
386,2021-06-16,1953.0,Jerky
387,2021-06-17,2106.0,Jerky
388,2021-06-18,2247.0,Jerky
389,2021-06-19,2435.0,Jerky
390,2021-06-20,2208.0,Jerky
391,2021-06-21,2463.0,Jerky
392,2021-06-22,2941.0,Jerky
393,2021-06-23,3198.0,Jerky
394,2021-06-24,2884.0,Jerky
395,2021-06-25,2343.0,Jerky
396,2021-06-26,2524.0,Jerky
397,2021-06-27,2650.0,Jerky
398,2021-06-28,2509.0,Jerky
399,2021-06-29,2340.0,Jerky
400,2021-06-30,2340.0,Jerky
401,2021-07-01,2137.0,Jerky
402,2021-07-02,2190.0,Jerky
403,2021-07-03,206.0,Jerky
404,2021-07-04,475.0,Jerky
405,2021-07-05,739.0,Jerky
406,2021-07-06,1072.0,Jerky
407,2021-07-07,1383.0,Jerky
408,2021-07-08,1778.0,Jerky
409,2021-07-09,2493.0,Jerky
410,2021-07-10,2676.0,Jerky
