,date,value,name_B08FMH3FT2
89,2020-12-17,72253.0,Repellents
90,2020-12-18,96220.0,Repellents
91,2020-12-19,50548.0,Repellents
92,2020-12-20,82569.0,Repellents
93,2020-12-21,30550.0,Repellents
94,2020-12-22,56876.0,Repellents
95,2020-12-23,48147.0,Repellents
96,2020-12-24,52615.0,Repellents
97,2020-12-25,64464.0,Repellents
98,2020-12-26,44197.0,Repellents
99,2020-12-27,46854.0,Repellents
100,2020-12-28,47553.0,Repellents
101,2020-12-29,44906.0,Repellents
102,2020-12-30,73437.0,Repellents
103,2020-12-31,93367.0,Repellents
104,2021-01-01,64453.0,Repellents
105,2021-01-02,68032.0,Repellents
106,2021-01-03,68032.0,Repellents
107,2021-01-04,63897.0,Repellents
108,2021-01-05,50258.0,Repellents
109,2021-01-06,43705.0,Repellents
110,2021-01-07,73630.0,Repellents
111,2021-01-08,62925.0,Repellents
112,2021-01-09,70085.0,Repellents
113,2021-01-10,44420.0,Repellents
114,2021-01-11,43830.0,Repellents
115,2021-01-12,81386.0,Repellents
116,2021-01-13,95354.0,Repellents
117,2021-01-14,76229.0,Repellents
118,2021-01-15,61480.0,Repellents
119,2021-01-16,47547.0,Repellents
120,2021-01-17,48669.0,Repellents
121,2021-01-18,73919.0,Repellents
122,2021-01-19,98332.0,Repellents
123,2021-01-20,106496.0,Repellents
124,2021-01-21,78291.0,Repellents
125,2021-01-22,49011.0,Repellents
126,2021-01-23,70742.0,Repellents
127,2021-01-24,80037.0,Repellents
128,2021-01-25,61269.0,Repellents
129,2021-01-26,75710.0,Repellents
130,2021-01-27,75710.0,Repellents
131,2021-01-28,75710.0,Repellents
132,2021-01-29,106554.0,Repellents
133,2021-01-30,99940.0,Repellents
134,2021-01-31,50748.0,Repellents
135,2021-02-01,62901.0,Repellents
136,2021-02-02,46963.0,Repellents
137,2021-02-03,76423.0,Repellents
138,2021-02-04,111573.0,Repellents
139,2021-02-05,92525.0,Repellents
140,2021-02-06,119753.0,Repellents
141,2021-02-07,119753.0,Repellents
142,2021-02-08,72543.0,Repellents
143,2021-02-09,72543.0,Repellents
144,2021-02-10,85003.0,Repellents
145,2021-02-11,47393.0,Repellents
146,2021-02-12,47393.0,Repellents
147,2021-02-13,81431.0,Repellents
148,2021-02-14,108505.0,Repellents
149,2021-02-15,118356.0,Repellents
150,2021-02-16,83227.0,Repellents
151,2021-02-17,86968.0,Repellents
152,2021-02-18,121450.0,Repellents
153,2021-02-19,140923.0,Repellents
154,2021-02-20,90051.0,Repellents
155,2021-02-21,129751.0,Repellents
156,2021-02-22,129751.0,Repellents
157,2021-02-23,169385.0,Repellents
158,2021-02-24,169385.0,Repellents
159,2021-02-25,141238.0,Repellents
160,2021-02-26,50296.0,Repellents
161,2021-02-27,62116.0,Repellents
162,2021-02-28,45787.0,Repellents
163,2021-03-01,61465.0,Repellents
164,2021-03-02,39386.0,Repellents
165,2021-03-03,58075.0,Repellents
166,2021-03-04,62188.0,Repellents
167,2021-03-05,95406.0,Repellents
168,2021-03-06,25048.0,Repellents
169,2021-03-07,25048.0,Repellents
170,2021-03-08,40672.0,Repellents
171,2021-03-09,58574.0,Repellents
172,2021-03-10,67437.0,Repellents
173,2021-03-11,42318.0,Repellents
174,2021-03-12,57354.0,Repellents
175,2021-03-13,49107.0,Repellents
176,2021-03-14,31247.0,Repellents
177,2021-03-15,46693.0,Repellents
178,2021-03-16,67610.0,Repellents
179,2021-03-17,36347.0,Repellents
180,2021-03-18,53988.0,Repellents
181,2021-03-19,52337.0,Repellents
182,2021-03-20,27870.0,Repellents
183,2021-03-21,30113.0,Repellents
184,2021-03-22,29465.0,Repellents
185,2021-03-23,45586.0,Repellents
186,2021-03-24,52298.0,Repellents
187,2021-03-25,33747.0,Repellents
188,2021-03-26,28919.0,Repellents
189,2021-03-27,36116.0,Repellents
190,2021-03-28,39875.0,Repellents
191,2021-03-29,47282.0,Repellents
192,2021-03-30,70899.0,Repellents
193,2021-03-31,58541.0,Repellents
194,2021-04-01,36466.0,Repellents
195,2021-04-02,47343.0,Repellents
196,2021-04-03,53244.0,Repellents
197,2021-04-04,59413.0,Repellents
198,2021-04-05,53200.0,Repellents
199,2021-04-06,49164.0,Repellents
200,2021-04-07,30914.0,Repellents
201,2021-04-08,24617.0,Repellents
202,2021-04-09,42351.0,Repellents
203,2021-04-10,43998.0,Repellents
204,2021-04-11,59993.0,Repellents
205,2021-04-12,38427.0,Repellents
206,2021-04-13,40801.0,Repellents
207,2021-04-14,56248.0,Repellents
208,2021-04-15,84157.0,Repellents
209,2021-04-16,60188.0,Repellents
210,2021-04-17,44155.0,Repellents
211,2021-04-18,53167.0,Repellents
212,2021-04-19,48786.0,Repellents
213,2021-04-20,36110.0,Repellents
214,2021-04-21,29886.0,Repellents
215,2021-04-22,49666.0,Repellents
216,2021-04-23,50891.0,Repellents
217,2021-04-24,50551.0,Repellents
218,2021-04-25,43523.0,Repellents
219,2021-04-26,30944.0,Repellents
220,2021-04-27,27263.0,Repellents
221,2021-04-28,44492.0,Repellents
222,2021-04-29,49399.0,Repellents
223,2021-04-30,49399.0,Repellents
224,2021-05-01,43962.0,Repellents
225,2021-05-02,41633.0,Repellents
226,2021-05-03,41204.0,Repellents
227,2021-05-04,26867.0,Repellents
228,2021-05-05,26043.0,Repellents
229,2021-05-06,27855.0,Repellents
230,2021-05-07,32905.0,Repellents
231,2021-05-08,21715.0,Repellents
232,2021-05-09,23909.0,Repellents
233,2021-05-10,28792.0,Repellents
234,2021-05-11,52189.0,Repellents
235,2021-05-12,36189.0,Repellents
236,2021-05-13,35538.0,Repellents
237,2021-05-14,36818.0,Repellents
238,2021-05-15,29649.0,Repellents
239,2021-05-16,26338.0,Repellents
240,2021-05-17,25324.0,Repellents
241,2021-05-18,15963.0,Repellents
242,2021-05-19,15480.0,Repellents
243,2021-05-20,20912.0,Repellents
244,2021-05-21,25779.0,Repellents
245,2021-05-22,24209.0,Repellents
246,2021-05-23,17983.0,Repellents
247,2021-05-24,21948.0,Repellents
248,2021-05-25,21205.0,Repellents
249,2021-05-26,19530.0,Repellents
250,2021-05-27,18690.0,Repellents
251,2021-05-28,15217.0,Repellents
252,2021-05-29,14873.0,Repellents
253,2021-05-30,16022.0,Repellents
254,2021-05-31,14804.0,Repellents
255,2021-06-01,19078.0,Repellents
256,2021-06-02,15022.0,Repellents
257,2021-06-03,13400.0,Repellents
258,2021-06-04,12797.0,Repellents
259,2021-06-05,13753.0,Repellents
260,2021-06-06,12808.0,Repellents
261,2021-06-07,12215.0,Repellents
262,2021-06-08,16179.0,Repellents
263,2021-06-09,32146.0,Repellents
264,2021-06-10,47315.0,Repellents
265,2021-06-11,64297.0,Repellents
266,2021-06-12,72457.0,Repellents
267,2021-06-13,42985.0,Repellents
268,2021-06-14,32308.0,Repellents
269,2021-06-15,22032.0,Repellents
270,2021-06-16,26343.0,Repellents
271,2021-06-17,21044.0,Repellents
272,2021-06-18,14684.0,Repellents
273,2021-06-19,17091.0,Repellents
274,2021-06-20,17722.0,Repellents
275,2021-06-21,14926.0,Repellents
276,2021-06-22,16099.0,Repellents
277,2021-06-23,13208.0,Repellents
278,2021-06-24,14354.0,Repellents
279,2021-06-25,14550.0,Repellents
280,2021-06-26,16185.0,Repellents
281,2021-06-27,18545.0,Repellents
282,2021-06-28,18116.0,Repellents
283,2021-06-29,25096.0,Repellents
284,2021-06-30,16983.0,Repellents
285,2021-07-01,20845.0,Repellents
286,2021-07-02,12614.0,Repellents
287,2021-07-03,21438.0,Repellents
288,2021-07-04,13678.0,Repellents
289,2021-07-05,15802.0,Repellents
290,2021-07-06,16084.0,Repellents
291,2021-07-07,19819.0,Repellents
292,2021-07-08,18675.0,Repellents
293,2021-07-09,26786.0,Repellents
