,date,value,name_B087WJ8886
88,2020-08-04,135146.0,Quilt Sets
89,2020-08-05,135146.0,Quilt Sets
90,2020-08-06,135146.0,Quilt Sets
91,2020-08-07,135146.0,Quilt Sets
92,2020-08-08,135146.0,Quilt Sets
93,2020-08-09,60043.0,Quilt Sets
94,2020-08-10,60043.0,Quilt Sets
95,2020-08-11,60043.0,Quilt Sets
96,2020-08-12,60043.0,Quilt Sets
97,2020-08-13,78890.0,Quilt Sets
98,2020-08-14,78890.0,Quilt Sets
99,2020-08-15,55048.0,Quilt Sets
100,2020-08-16,55048.0,Quilt Sets
101,2020-08-17,55048.0,Quilt Sets
102,2020-08-18,55048.0,Quilt Sets
103,2020-08-19,89534.0,Quilt Sets
104,2020-08-20,89534.0,Quilt Sets
105,2020-08-21,89534.0,Quilt Sets
106,2020-08-22,114513.0,Quilt Sets
107,2020-08-23,114513.0,Quilt Sets
108,2020-08-24,114513.0,Quilt Sets
109,2020-08-25,68110.0,Quilt Sets
110,2020-08-26,68110.0,Quilt Sets
111,2020-08-27,68110.0,Quilt Sets
112,2020-08-28,68110.0,Quilt Sets
113,2020-08-29,68110.0,Quilt Sets
114,2020-08-30,68110.0,Quilt Sets
115,2020-08-31,55514.0,Quilt Sets
116,2020-09-01,55514.0,Quilt Sets
117,2020-09-02,78398.0,Quilt Sets
118,2020-09-03,78398.0,Quilt Sets
119,2020-09-04,78398.0,Quilt Sets
120,2020-09-05,78398.0,Quilt Sets
121,2020-09-06,78398.0,Quilt Sets
122,2020-09-07,78398.0,Quilt Sets
123,2020-09-08,78398.0,Quilt Sets
124,2020-09-09,78398.0,Quilt Sets
125,2020-09-10,78398.0,Quilt Sets
126,2020-09-11,78398.0,Quilt Sets
127,2020-09-12,78398.0,Quilt Sets
128,2020-09-13,78398.0,Quilt Sets
129,2020-09-14,56615.0,Quilt Sets
130,2020-09-15,56615.0,Quilt Sets
131,2020-09-16,61982.0,Quilt Sets
132,2020-09-17,61982.0,Quilt Sets
133,2020-09-18,61982.0,Quilt Sets
134,2020-09-19,61982.0,Quilt Sets
135,2020-09-20,61982.0,Quilt Sets
136,2020-09-21,56982.0,Quilt Sets
137,2020-09-22,56982.0,Quilt Sets
138,2020-09-23,56982.0,Quilt Sets
139,2020-09-24,56982.0,Quilt Sets
140,2020-09-25,56982.0,Quilt Sets
141,2020-09-26,56982.0,Quilt Sets
142,2020-09-27,91345.0,Quilt Sets
143,2020-09-28,91345.0,Quilt Sets
144,2020-09-29,91345.0,Quilt Sets
145,2020-09-30,91345.0,Quilt Sets
146,2020-10-01,91345.0,Quilt Sets
147,2020-10-02,91345.0,Quilt Sets
148,2020-10-03,81983.0,Quilt Sets
149,2020-10-04,81983.0,Quilt Sets
150,2020-10-05,81983.0,Quilt Sets
151,2020-10-06,81983.0,Quilt Sets
152,2020-10-07,67124.0,Quilt Sets
153,2020-10-08,67124.0,Quilt Sets
154,2020-10-09,67124.0,Quilt Sets
155,2020-10-10,67124.0,Quilt Sets
156,2020-10-11,67124.0,Quilt Sets
157,2020-10-12,67124.0,Quilt Sets
158,2020-10-13,57638.0,Quilt Sets
159,2020-10-14,57638.0,Quilt Sets
160,2020-10-15,57638.0,Quilt Sets
161,2020-10-16,24524.0,Quilt Sets
162,2020-10-17,24524.0,Quilt Sets
163,2020-10-18,71778.0,Quilt Sets
164,2020-10-19,71778.0,Quilt Sets
165,2020-10-20,71778.0,Quilt Sets
166,2020-10-21,54998.0,Quilt Sets
167,2020-10-22,54998.0,Quilt Sets
168,2020-10-23,74092.0,Quilt Sets
169,2020-10-24,74092.0,Quilt Sets
170,2020-10-25,74092.0,Quilt Sets
171,2020-10-26,49093.0,Quilt Sets
172,2020-10-27,49093.0,Quilt Sets
173,2020-10-28,49093.0,Quilt Sets
174,2020-10-29,49093.0,Quilt Sets
175,2020-10-30,49093.0,Quilt Sets
176,2020-10-31,49093.0,Quilt Sets
177,2020-11-01,44423.0,Quilt Sets
178,2020-11-02,44423.0,Quilt Sets
179,2020-11-03,44423.0,Quilt Sets
180,2020-11-04,44423.0,Quilt Sets
181,2020-11-05,46283.0,Quilt Sets
182,2020-11-06,46283.0,Quilt Sets
183,2020-11-07,46283.0,Quilt Sets
184,2020-11-08,46283.0,Quilt Sets
185,2020-11-09,42034.0,Quilt Sets
186,2020-11-10,42034.0,Quilt Sets
187,2020-11-11,42034.0,Quilt Sets
188,2020-11-12,42034.0,Quilt Sets
189,2020-11-13,74078.0,Quilt Sets
190,2020-11-14,74078.0,Quilt Sets
191,2020-11-15,74078.0,Quilt Sets
192,2020-11-16,74078.0,Quilt Sets
193,2020-11-17,74078.0,Quilt Sets
194,2020-11-18,56705.0,Quilt Sets
195,2020-11-19,43541.0,Quilt Sets
196,2020-11-20,43541.0,Quilt Sets
197,2020-11-21,43541.0,Quilt Sets
198,2020-11-22,93190.0,Quilt Sets
199,2020-11-23,93190.0,Quilt Sets
200,2020-11-24,93190.0,Quilt Sets
201,2020-11-25,93190.0,Quilt Sets
202,2020-11-26,78769.0,Quilt Sets
203,2020-11-27,78769.0,Quilt Sets
204,2020-11-28,78769.0,Quilt Sets
205,2020-11-29,78769.0,Quilt Sets
206,2020-11-30,78769.0,Quilt Sets
207,2020-12-01,42015.0,Quilt Sets
208,2020-12-02,42015.0,Quilt Sets
209,2020-12-03,64737.0,Quilt Sets
210,2020-12-04,72926.0,Quilt Sets
211,2020-12-05,72926.0,Quilt Sets
212,2020-12-06,72926.0,Quilt Sets
213,2020-12-07,71725.0,Quilt Sets
214,2020-12-08,95679.0,Quilt Sets
215,2020-12-09,109867.0,Quilt Sets
216,2020-12-10,109867.0,Quilt Sets
217,2020-12-11,101783.0,Quilt Sets
218,2020-12-12,73694.0,Quilt Sets
219,2020-12-13,60512.0,Quilt Sets
220,2020-12-14,60512.0,Quilt Sets
221,2020-12-15,81639.0,Quilt Sets
222,2020-12-16,81639.0,Quilt Sets
223,2020-12-17,94102.0,Quilt Sets
224,2020-12-18,94102.0,Quilt Sets
225,2020-12-19,94102.0,Quilt Sets
226,2020-12-20,94102.0,Quilt Sets
227,2020-12-21,101336.0,Quilt Sets
228,2020-12-22,101336.0,Quilt Sets
229,2020-12-23,82469.0,Quilt Sets
230,2020-12-24,82469.0,Quilt Sets
231,2020-12-25,82469.0,Quilt Sets
232,2020-12-26,103226.0,Quilt Sets
233,2020-12-27,103226.0,Quilt Sets
234,2020-12-28,103226.0,Quilt Sets
235,2020-12-29,103226.0,Quilt Sets
236,2020-12-30,103226.0,Quilt Sets
237,2020-12-31,60203.0,Quilt Sets
238,2021-01-01,60203.0,Quilt Sets
239,2021-01-02,54612.0,Quilt Sets
240,2021-01-03,9873.0,Quilt Sets
241,2021-01-04,9873.0,Quilt Sets
242,2021-01-05,9873.0,Quilt Sets
243,2021-01-06,42786.0,Quilt Sets
244,2021-01-07,42786.0,Quilt Sets
245,2021-01-08,42786.0,Quilt Sets
246,2021-01-09,42786.0,Quilt Sets
247,2021-01-10,66982.0,Quilt Sets
248,2021-01-11,66982.0,Quilt Sets
249,2021-01-12,66982.0,Quilt Sets
250,2021-01-13,66982.0,Quilt Sets
251,2021-01-14,53935.0,Quilt Sets
252,2021-01-15,53935.0,Quilt Sets
253,2021-01-16,53935.0,Quilt Sets
254,2021-01-17,51517.0,Quilt Sets
255,2021-01-18,51517.0,Quilt Sets
256,2021-01-19,51517.0,Quilt Sets
257,2021-01-20,48490.0,Quilt Sets
258,2021-01-21,48490.0,Quilt Sets
259,2021-01-22,48490.0,Quilt Sets
260,2021-01-23,48490.0,Quilt Sets
261,2021-01-24,48490.0,Quilt Sets
262,2021-01-25,48490.0,Quilt Sets
263,2021-01-26,48490.0,Quilt Sets
264,2021-01-27,55155.0,Quilt Sets
