,date,value,name_B0891LXZCH
60,2020-07-25,4958.0,Building Sets
61,2020-07-26,4148.0,Building Sets
62,2020-07-27,4148.0,Building Sets
63,2020-07-28,4148.0,Building Sets
64,2020-07-29,4834.0,Building Sets
65,2020-07-30,4834.0,Building Sets
66,2020-07-31,4834.0,Building Sets
67,2020-08-01,5914.0,Building Sets
68,2020-08-02,5914.0,Building Sets
69,2020-08-03,7864.0,Building Sets
70,2020-08-04,7864.0,Building Sets
71,2020-08-05,5630.0,Building Sets
72,2020-08-06,5275.0,Building Sets
73,2020-08-07,4649.0,Building Sets
74,2020-08-08,4649.0,Building Sets
75,2020-08-09,4649.0,Building Sets
76,2020-08-10,6365.0,Building Sets
77,2020-08-11,5929.0,Building Sets
78,2020-08-12,12732.0,Building Sets
79,2020-08-13,12732.0,Building Sets
80,2020-08-14,26864.0,Building Sets
81,2020-08-15,26864.0,Building Sets
82,2020-08-16,26864.0,Building Sets
83,2020-08-17,8892.0,Building Sets
84,2020-08-18,6261.0,Building Sets
85,2020-08-19,5179.0,Building Sets
86,2020-08-20,5179.0,Building Sets
87,2020-08-21,5179.0,Building Sets
88,2020-08-22,3785.0,Building Sets
89,2020-08-23,3785.0,Building Sets
90,2020-08-24,6638.0,Building Sets
91,2020-08-25,6638.0,Building Sets
92,2020-08-26,6638.0,Building Sets
93,2020-08-27,5091.0,Building Sets
94,2020-08-28,5289.0,Building Sets
95,2020-08-29,5967.0,Building Sets
96,2020-08-30,5967.0,Building Sets
97,2020-08-31,5967.0,Building Sets
98,2020-09-01,5967.0,Building Sets
99,2020-09-02,6270.0,Building Sets
100,2020-09-03,6270.0,Building Sets
101,2020-09-04,4718.0,Building Sets
102,2020-09-05,4718.0,Building Sets
103,2020-09-06,5409.0,Building Sets
104,2020-09-07,7458.0,Building Sets
105,2020-09-08,5918.0,Building Sets
106,2020-09-09,5918.0,Building Sets
107,2020-09-10,5918.0,Building Sets
108,2020-09-11,5028.0,Building Sets
109,2020-09-12,5028.0,Building Sets
110,2020-09-13,3917.0,Building Sets
111,2020-09-14,3917.0,Building Sets
112,2020-09-15,4461.0,Building Sets
113,2020-09-16,4461.0,Building Sets
114,2020-09-17,4461.0,Building Sets
115,2020-09-18,4148.0,Building Sets
116,2020-09-19,4148.0,Building Sets
117,2020-09-20,4148.0,Building Sets
118,2020-09-21,3435.0,Building Sets
119,2020-09-22,5698.0,Building Sets
120,2020-09-23,4685.0,Building Sets
121,2020-09-24,4685.0,Building Sets
122,2020-09-25,4685.0,Building Sets
123,2020-09-26,5492.0,Building Sets
124,2020-09-27,5492.0,Building Sets
125,2020-09-28,5492.0,Building Sets
126,2020-09-29,5868.0,Building Sets
127,2020-09-30,5752.0,Building Sets
128,2020-10-01,5752.0,Building Sets
129,2020-10-02,5752.0,Building Sets
130,2020-10-03,5132.0,Building Sets
131,2020-10-04,5132.0,Building Sets
132,2020-10-05,5132.0,Building Sets
133,2020-10-06,6348.0,Building Sets
134,2020-10-07,6348.0,Building Sets
135,2020-10-08,6348.0,Building Sets
136,2020-10-09,8827.0,Building Sets
137,2020-10-10,8827.0,Building Sets
138,2020-10-11,8827.0,Building Sets
139,2020-10-12,8827.0,Building Sets
140,2020-10-13,9978.0,Building Sets
141,2020-10-14,12273.0,Building Sets
142,2020-10-15,12273.0,Building Sets
143,2020-10-16,12273.0,Building Sets
144,2020-10-17,10169.0,Building Sets
145,2020-10-18,10169.0,Building Sets
146,2020-10-19,11825.0,Building Sets
147,2020-10-20,11825.0,Building Sets
148,2020-10-21,11825.0,Building Sets
149,2020-10-22,9609.0,Building Sets
150,2020-10-23,9609.0,Building Sets
151,2020-10-24,9609.0,Building Sets
152,2020-10-25,9609.0,Building Sets
153,2020-10-26,7484.0,Building Sets
154,2020-10-27,7484.0,Building Sets
155,2020-10-28,8341.0,Building Sets
156,2020-10-29,8341.0,Building Sets
157,2020-10-30,9384.0,Building Sets
158,2020-10-31,7165.0,Building Sets
159,2020-11-01,7165.0,Building Sets
160,2020-11-02,7165.0,Building Sets
161,2020-11-03,8510.0,Building Sets
162,2020-11-04,8510.0,Building Sets
163,2020-11-05,8510.0,Building Sets
164,2020-11-06,8009.0,Building Sets
165,2020-11-07,8009.0,Building Sets
166,2020-11-08,8009.0,Building Sets
167,2020-11-09,8611.0,Building Sets
168,2020-11-10,8611.0,Building Sets
169,2020-11-11,8611.0,Building Sets
170,2020-11-12,7616.0,Building Sets
171,2020-11-13,7616.0,Building Sets
172,2020-11-14,7616.0,Building Sets
173,2020-11-15,7616.0,Building Sets
174,2020-11-16,5801.0,Building Sets
175,2020-11-17,5801.0,Building Sets
176,2020-11-18,5801.0,Building Sets
177,2020-11-19,5801.0,Building Sets
178,2020-11-20,7890.0,Building Sets
179,2020-11-21,7890.0,Building Sets
180,2020-11-22,7890.0,Building Sets
181,2020-11-23,10654.0,Building Sets
182,2020-11-24,8021.0,Building Sets
183,2020-11-25,7533.0,Building Sets
184,2020-11-26,7533.0,Building Sets
185,2020-11-27,6635.0,Building Sets
186,2020-11-28,8385.0,Building Sets
187,2020-11-29,9871.0,Building Sets
188,2020-11-30,7815.0,Building Sets
189,2020-12-01,7097.0,Building Sets
190,2020-12-02,6553.0,Building Sets
191,2020-12-03,5768.0,Building Sets
192,2020-12-04,5361.0,Building Sets
193,2020-12-05,4763.0,Building Sets
194,2020-12-06,4960.0,Building Sets
195,2020-12-07,5159.0,Building Sets
196,2020-12-08,4838.0,Building Sets
197,2020-12-09,4921.0,Building Sets
198,2020-12-10,4807.0,Building Sets
199,2020-12-11,4688.0,Building Sets
200,2020-12-12,4627.0,Building Sets
201,2020-12-13,3964.0,Building Sets
202,2020-12-14,3709.0,Building Sets
203,2020-12-15,3262.0,Building Sets
204,2020-12-16,2945.0,Building Sets
205,2020-12-17,2890.0,Building Sets
206,2020-12-18,2601.0,Building Sets
207,2020-12-19,2573.0,Building Sets
208,2020-12-20,2958.0,Building Sets
209,2020-12-21,4008.0,Building Sets
210,2020-12-22,4688.0,Building Sets
211,2020-12-23,2991.0,Building Sets
212,2020-12-24,2976.0,Building Sets
213,2020-12-25,2761.0,Building Sets
214,2020-12-26,3667.0,Building Sets
215,2020-12-27,3667.0,Building Sets
216,2020-12-28,4861.0,Building Sets
217,2020-12-29,3668.0,Building Sets
218,2020-12-30,4084.0,Building Sets
219,2020-12-31,4546.0,Building Sets
220,2021-01-01,4228.0,Building Sets
221,2021-01-02,3140.0,Building Sets
222,2021-01-03,4153.0,Building Sets
223,2021-01-04,4344.0,Building Sets
224,2021-01-05,3688.0,Building Sets
225,2021-01-06,4350.0,Building Sets
226,2021-01-07,4844.0,Building Sets
227,2021-01-08,5499.0,Building Sets
228,2021-01-09,5425.0,Building Sets
229,2021-01-10,5425.0,Building Sets
230,2021-01-11,5127.0,Building Sets
231,2021-01-12,4192.0,Building Sets
232,2021-01-13,3769.0,Building Sets
233,2021-01-14,4011.0,Building Sets
234,2021-01-15,5489.0,Building Sets
235,2021-01-16,5284.0,Building Sets
236,2021-01-17,5284.0,Building Sets
237,2021-01-18,6900.0,Building Sets
238,2021-01-19,6433.0,Building Sets
239,2021-01-20,5937.0,Building Sets
240,2021-01-21,4601.0,Building Sets
241,2021-01-22,4188.0,Building Sets
242,2021-01-23,5302.0,Building Sets
243,2021-01-24,5302.0,Building Sets
244,2021-01-25,5302.0,Building Sets
245,2021-01-26,5031.0,Building Sets
246,2021-01-27,5846.0,Building Sets
247,2021-01-28,4417.0,Building Sets
248,2021-01-29,5491.0,Building Sets
249,2021-01-30,5491.0,Building Sets
250,2021-01-31,6208.0,Building Sets
251,2021-02-01,6208.0,Building Sets
252,2021-02-02,5249.0,Building Sets
253,2021-02-03,6330.0,Building Sets
254,2021-02-04,7010.0,Building Sets
255,2021-02-05,5018.0,Building Sets
256,2021-02-06,5587.0,Building Sets
257,2021-02-07,5587.0,Building Sets
258,2021-02-08,6377.0,Building Sets
259,2021-02-09,234440.0,Building Sets
260,2021-02-10,72813.0,Building Sets
261,2021-02-11,53456.0,Building Sets
262,2021-02-12,53769.0,Building Sets
263,2021-02-13,7599.0,Building Sets
264,2021-02-14,5887.0,Building Sets
265,2021-02-15,7829.0,Building Sets
266,2021-02-16,12538.0,Building Sets
267,2021-02-17,6584.0,Building Sets
268,2021-02-18,9128.0,Building Sets
269,2021-02-19,6684.0,Building Sets
270,2021-02-20,6684.0,Building Sets
271,2021-02-21,6826.0,Building Sets
272,2021-02-22,8035.0,Building Sets
273,2021-02-23,8035.0,Building Sets
274,2021-02-24,8035.0,Building Sets
275,2021-02-25,8426.0,Building Sets
276,2021-02-26,5499.0,Building Sets
277,2021-02-27,5874.0,Building Sets
278,2021-02-28,7441.0,Building Sets
279,2021-03-01,6129.0,Building Sets
280,2021-03-02,7962.0,Building Sets
281,2021-03-03,8870.0,Building Sets
282,2021-03-04,8574.0,Building Sets
283,2021-03-05,7783.0,Building Sets
284,2021-03-06,8492.0,Building Sets
285,2021-03-07,8492.0,Building Sets
286,2021-03-08,8511.0,Building Sets
287,2021-03-09,6551.0,Building Sets
288,2021-03-10,7410.0,Building Sets
289,2021-03-11,9382.0,Building Sets
290,2021-03-12,9382.0,Building Sets
291,2021-03-13,7345.0,Building Sets
292,2021-03-14,7345.0,Building Sets
293,2021-03-15,9643.0,Building Sets
294,2021-03-16,11108.0,Building Sets
295,2021-03-17,11157.0,Building Sets
296,2021-03-18,9825.0,Building Sets
297,2021-03-19,11769.0,Building Sets
298,2021-03-20,10635.0,Building Sets
299,2021-03-21,10635.0,Building Sets
300,2021-03-22,13295.0,Building Sets
301,2021-03-23,13609.0,Building Sets
302,2021-03-24,14076.0,Building Sets
303,2021-03-25,13512.0,Building Sets
304,2021-03-26,10833.0,Building Sets
305,2021-03-27,13526.0,Building Sets
306,2021-03-28,20619.0,Building Sets
307,2021-03-29,19841.0,Building Sets
308,2021-03-30,20026.0,Building Sets
309,2021-03-31,19901.0,Building Sets
310,2021-04-01,13097.0,Building Sets
311,2021-04-02,14741.0,Building Sets
312,2021-04-03,10717.0,Building Sets
313,2021-04-04,10717.0,Building Sets
314,2021-04-05,13358.0,Building Sets
315,2021-04-06,13358.0,Building Sets
316,2021-04-07,9193.0,Building Sets
317,2021-04-08,12852.0,Building Sets
318,2021-04-09,7781.0,Building Sets
319,2021-04-10,10157.0,Building Sets
320,2021-04-11,10157.0,Building Sets
321,2021-04-12,7197.0,Building Sets
322,2021-04-13,9361.0,Building Sets
323,2021-04-14,11134.0,Building Sets
324,2021-04-15,9861.0,Building Sets
325,2021-04-16,10031.0,Building Sets
326,2021-04-17,10323.0,Building Sets
327,2021-04-18,10323.0,Building Sets
328,2021-04-19,9971.0,Building Sets
329,2021-04-20,13587.0,Building Sets
330,2021-04-21,12803.0,Building Sets
331,2021-04-22,12673.0,Building Sets
332,2021-04-23,8153.0,Building Sets
333,2021-04-24,9625.0,Building Sets
334,2021-04-25,8160.0,Building Sets
335,2021-04-26,14327.0,Building Sets
336,2021-04-27,11909.0,Building Sets
337,2021-04-28,10539.0,Building Sets
338,2021-04-29,12224.0,Building Sets
339,2021-04-30,10984.0,Building Sets
340,2021-05-01,11748.0,Building Sets
341,2021-05-02,11582.0,Building Sets
342,2021-05-03,12046.0,Building Sets
343,2021-05-04,11733.0,Building Sets
344,2021-05-05,15823.0,Building Sets
345,2021-05-06,11901.0,Building Sets
346,2021-05-07,11131.0,Building Sets
347,2021-05-08,11997.0,Building Sets
348,2021-05-09,12893.0,Building Sets
349,2021-05-10,19480.0,Building Sets
350,2021-05-11,15267.0,Building Sets
351,2021-05-12,14128.0,Building Sets
352,2021-05-13,16995.0,Building Sets
353,2021-05-14,24036.0,Building Sets
354,2021-05-15,16690.0,Building Sets
355,2021-05-16,16690.0,Building Sets
356,2021-05-17,18262.0,Building Sets
357,2021-05-18,18262.0,Building Sets
358,2021-05-19,15930.0,Building Sets
359,2021-05-20,20983.0,Building Sets
360,2021-05-21,18134.0,Building Sets
361,2021-05-22,21271.0,Building Sets
362,2021-05-23,21271.0,Building Sets
363,2021-05-24,18267.0,Building Sets
364,2021-05-25,16516.0,Building Sets
365,2021-05-26,16516.0,Building Sets
366,2021-05-27,13418.0,Building Sets
367,2021-05-28,13418.0,Building Sets
368,2021-05-29,20268.0,Building Sets
369,2021-05-30,20268.0,Building Sets
370,2021-05-31,16903.0,Building Sets
371,2021-06-01,25888.0,Building Sets
372,2021-06-02,25500.0,Building Sets
373,2021-06-03,25938.0,Building Sets
374,2021-06-04,22907.0,Building Sets
375,2021-06-05,15721.0,Building Sets
376,2021-06-06,18460.0,Building Sets
377,2021-06-07,18460.0,Building Sets
378,2021-06-08,18443.0,Building Sets
379,2021-06-09,14315.0,Building Sets
380,2021-06-10,10737.0,Building Sets
381,2021-06-11,13914.0,Building Sets
382,2021-06-12,10992.0,Building Sets
383,2021-06-13,12465.0,Building Sets
384,2021-06-14,12369.0,Building Sets
385,2021-06-15,9652.0,Building Sets
386,2021-06-16,8617.0,Building Sets
387,2021-06-17,8617.0,Building Sets
388,2021-06-18,7757.0,Building Sets
389,2021-06-19,8197.0,Building Sets
390,2021-06-20,7869.0,Building Sets
391,2021-06-21,8587.0,Building Sets
392,2021-06-22,12218.0,Building Sets
393,2021-06-23,12218.0,Building Sets
394,2021-06-24,11398.0,Building Sets
395,2021-06-25,7109.0,Building Sets
396,2021-06-26,9312.0,Building Sets
397,2021-06-27,9312.0,Building Sets
398,2021-06-28,8773.0,Building Sets
399,2021-06-29,11677.0,Building Sets
400,2021-06-30,9840.0,Building Sets
401,2021-07-01,9114.0,Building Sets
402,2021-07-02,6820.0,Building Sets
403,2021-07-03,9178.0,Building Sets
404,2021-07-04,9178.0,Building Sets
405,2021-07-05,12147.0,Building Sets
406,2021-07-06,5402.0,Building Sets
407,2021-07-07,5402.0,Building Sets
408,2021-07-08,5093.0,Building Sets
409,2021-07-09,6112.0,Building Sets
410,2021-07-10,6834.0,Building Sets
411,2021-07-11,8052.0,Building Sets
