,date,value,name_B07P9VXHS1
315,2021-04-05,2122.0,Training Pads
316,2021-04-06,2122.0,Training Pads
317,2021-04-07,2497.0,Training Pads
318,2021-04-08,2177.0,Training Pads
319,2021-04-09,2543.0,Training Pads
320,2021-04-10,2662.0,Training Pads
321,2021-04-11,2662.0,Training Pads
322,2021-04-12,2623.0,Training Pads
323,2021-04-13,2515.0,Training Pads
324,2021-04-14,2515.0,Training Pads
325,2021-04-15,3073.0,Training Pads
326,2021-04-16,2592.0,Training Pads
327,2021-04-17,2592.0,Training Pads
328,2021-04-18,2180.0,Training Pads
329,2021-04-19,2180.0,Training Pads
330,2021-04-20,2708.0,Training Pads
331,2021-04-21,2708.0,Training Pads
332,2021-04-22,3190.0,Training Pads
333,2021-04-23,3300.0,Training Pads
334,2021-04-24,3251.0,Training Pads
335,2021-04-25,3194.0,Training Pads
336,2021-04-26,3194.0,Training Pads
337,2021-04-27,3100.0,Training Pads
338,2021-04-28,2926.0,Training Pads
339,2021-04-29,2578.0,Training Pads
340,2021-04-30,2885.0,Training Pads
341,2021-05-01,3011.0,Training Pads
342,2021-05-02,3011.0,Training Pads
343,2021-05-03,3400.0,Training Pads
344,2021-05-04,3400.0,Training Pads
345,2021-05-05,3533.0,Training Pads
346,2021-05-06,2709.0,Training Pads
347,2021-05-07,2709.0,Training Pads
348,2021-05-08,2510.0,Training Pads
349,2021-05-09,2563.0,Training Pads
350,2021-05-10,2270.0,Training Pads
351,2021-05-11,2361.0,Training Pads
352,2021-05-12,2700.0,Training Pads
353,2021-05-13,2620.0,Training Pads
354,2021-05-14,2658.0,Training Pads
355,2021-05-15,2658.0,Training Pads
356,2021-05-16,2425.0,Training Pads
357,2021-05-17,2685.0,Training Pads
358,2021-05-18,2853.0,Training Pads
359,2021-05-19,2873.0,Training Pads
360,2021-05-20,2234.0,Training Pads
361,2021-05-21,2234.0,Training Pads
362,2021-05-22,2955.0,Training Pads
363,2021-05-23,2955.0,Training Pads
364,2021-05-24,3063.0,Training Pads
365,2021-05-25,2592.0,Training Pads
366,2021-05-26,2852.0,Training Pads
367,2021-05-27,2852.0,Training Pads
368,2021-05-28,2794.0,Training Pads
369,2021-05-29,3163.0,Training Pads
370,2021-05-30,2675.0,Training Pads
371,2021-05-31,2523.0,Training Pads
372,2021-06-01,2722.0,Training Pads
373,2021-06-02,2978.0,Training Pads
374,2021-06-03,2978.0,Training Pads
375,2021-06-04,3379.0,Training Pads
376,2021-06-05,3813.0,Training Pads
377,2021-06-06,2408.0,Training Pads
378,2021-06-07,2387.0,Training Pads
379,2021-06-08,3149.0,Training Pads
380,2021-06-09,2518.0,Training Pads
381,2021-06-10,2444.0,Training Pads
382,2021-06-11,2444.0,Training Pads
383,2021-06-12,2383.0,Training Pads
384,2021-06-13,2861.0,Training Pads
385,2021-06-14,2861.0,Training Pads
386,2021-06-15,3134.0,Training Pads
387,2021-06-16,2365.0,Training Pads
388,2021-06-17,2433.0,Training Pads
389,2021-06-18,2699.0,Training Pads
390,2021-06-19,3493.0,Training Pads
391,2021-06-20,2606.0,Training Pads
392,2021-06-21,2606.0,Training Pads
393,2021-06-22,2427.0,Training Pads
394,2021-06-23,2610.0,Training Pads
395,2021-06-24,3010.0,Training Pads
396,2021-06-25,3192.0,Training Pads
397,2021-06-26,2749.0,Training Pads
398,2021-06-27,2398.0,Training Pads
399,2021-06-28,2635.0,Training Pads
400,2021-06-29,2721.0,Training Pads
401,2021-06-30,2721.0,Training Pads
402,2021-07-01,2742.0,Training Pads
403,2021-07-02,2577.0,Training Pads
404,2021-07-03,2708.0,Training Pads
405,2021-07-04,2400.0,Training Pads
406,2021-07-05,2877.0,Training Pads
407,2021-07-06,2877.0,Training Pads
408,2021-07-07,2877.0,Training Pads
409,2021-07-08,3003.0,Training Pads
410,2021-07-09,2623.0,Training Pads
411,2021-07-10,2962.0,Training Pads
412,2021-07-11,3016.0,Training Pads
