,date,value,name_B08F33W6GC
74,2020-10-26,22214.0,Comforters
75,2020-10-27,21114.0,Comforters
76,2020-10-28,14921.0,Comforters
77,2020-10-29,14921.0,Comforters
78,2020-10-30,14921.0,Comforters
79,2020-10-31,12220.0,Comforters
80,2020-11-01,11686.0,Comforters
81,2020-11-02,11686.0,Comforters
82,2020-11-03,7595.0,Comforters
83,2020-11-04,6722.0,Comforters
84,2020-11-05,5348.0,Comforters
85,2020-11-06,5399.0,Comforters
86,2020-11-07,5399.0,Comforters
87,2020-11-08,4561.0,Comforters
88,2020-11-09,4697.0,Comforters
89,2020-11-10,7430.0,Comforters
90,2020-11-11,8271.0,Comforters
91,2020-11-12,8441.0,Comforters
92,2020-11-13,8646.0,Comforters
93,2020-11-14,8313.0,Comforters
94,2020-11-15,8313.0,Comforters
95,2020-11-16,8684.0,Comforters
96,2020-11-17,8740.0,Comforters
97,2020-11-18,8707.0,Comforters
98,2020-11-19,8866.0,Comforters
99,2020-11-20,7091.0,Comforters
100,2020-11-21,8768.0,Comforters
101,2020-11-22,8768.0,Comforters
102,2020-11-23,8768.0,Comforters
103,2020-11-24,11306.0,Comforters
104,2020-11-25,12229.0,Comforters
105,2020-11-26,12077.0,Comforters
106,2020-11-27,6436.0,Comforters
107,2020-11-28,6436.0,Comforters
108,2020-11-29,6436.0,Comforters
109,2020-11-30,9130.0,Comforters
110,2020-12-01,7767.0,Comforters
111,2020-12-02,7776.0,Comforters
112,2020-12-03,10343.0,Comforters
113,2020-12-04,10343.0,Comforters
114,2020-12-05,10343.0,Comforters
115,2020-12-06,8524.0,Comforters
116,2020-12-07,7954.0,Comforters
117,2020-12-08,7316.0,Comforters
118,2020-12-09,7294.0,Comforters
119,2020-12-10,7930.0,Comforters
120,2020-12-11,5959.0,Comforters
121,2020-12-12,5533.0,Comforters
122,2020-12-13,5533.0,Comforters
123,2020-12-14,5810.0,Comforters
124,2020-12-15,5739.0,Comforters
125,2020-12-16,5934.0,Comforters
126,2020-12-17,5460.0,Comforters
127,2020-12-18,4379.0,Comforters
128,2020-12-19,4379.0,Comforters
129,2020-12-20,4993.0,Comforters
130,2020-12-21,5290.0,Comforters
131,2020-12-22,5040.0,Comforters
132,2020-12-23,4737.0,Comforters
133,2020-12-24,4737.0,Comforters
134,2020-12-25,5107.0,Comforters
135,2020-12-26,3982.0,Comforters
136,2020-12-27,3982.0,Comforters
137,2020-12-28,7042.0,Comforters
138,2020-12-29,8915.0,Comforters
139,2020-12-30,6525.0,Comforters
140,2020-12-31,8204.0,Comforters
141,2021-01-01,5356.0,Comforters
142,2021-01-02,5356.0,Comforters
143,2021-01-03,5356.0,Comforters
144,2021-01-04,7459.0,Comforters
145,2021-01-05,8075.0,Comforters
146,2021-01-06,8642.0,Comforters
147,2021-01-07,8185.0,Comforters
148,2021-01-08,8635.0,Comforters
149,2021-01-09,8642.0,Comforters
150,2021-01-10,8642.0,Comforters
151,2021-01-11,8642.0,Comforters
152,2021-01-12,10076.0,Comforters
153,2021-01-13,10064.0,Comforters
154,2021-01-14,9666.0,Comforters
155,2021-01-15,9666.0,Comforters
156,2021-01-16,9666.0,Comforters
157,2021-01-17,9666.0,Comforters
158,2021-01-18,9564.0,Comforters
159,2021-01-19,6081.0,Comforters
160,2021-01-20,3493.0,Comforters
161,2021-01-21,2750.0,Comforters
162,2021-01-22,2098.0,Comforters
163,2021-01-23,2018.0,Comforters
164,2021-01-24,1737.0,Comforters
165,2021-01-25,2046.0,Comforters
166,2021-01-26,2944.0,Comforters
167,2021-01-27,3324.0,Comforters
168,2021-01-28,3909.0,Comforters
169,2021-01-29,4216.0,Comforters
170,2021-01-30,4240.0,Comforters
171,2021-01-31,4240.0,Comforters
172,2021-02-01,6705.0,Comforters
173,2021-02-02,5281.0,Comforters
174,2021-02-03,5314.0,Comforters
175,2021-02-04,6734.0,Comforters
176,2021-02-05,5763.0,Comforters
177,2021-02-06,5763.0,Comforters
178,2021-02-07,7091.0,Comforters
179,2021-02-08,8161.0,Comforters
180,2021-02-09,8816.0,Comforters
181,2021-02-10,8816.0,Comforters
182,2021-02-11,9396.0,Comforters
183,2021-02-12,8447.0,Comforters
184,2021-02-13,8447.0,Comforters
185,2021-02-14,9590.0,Comforters
186,2021-02-15,9590.0,Comforters
187,2021-02-16,9590.0,Comforters
188,2021-02-17,6930.0,Comforters
189,2021-02-18,6930.0,Comforters
190,2021-02-19,8448.0,Comforters
191,2021-02-20,9363.0,Comforters
192,2021-02-21,10793.0,Comforters
193,2021-02-22,8008.0,Comforters
194,2021-02-23,5997.0,Comforters
195,2021-02-24,5160.0,Comforters
196,2021-02-25,3600.0,Comforters
197,2021-02-26,3008.0,Comforters
198,2021-02-27,3008.0,Comforters
199,2021-02-28,2524.0,Comforters
200,2021-03-01,2613.0,Comforters
201,2021-03-02,3891.0,Comforters
202,2021-03-03,3891.0,Comforters
203,2021-03-04,4273.0,Comforters
204,2021-03-05,4819.0,Comforters
205,2021-03-06,5076.0,Comforters
206,2021-03-07,5076.0,Comforters
207,2021-03-08,4331.0,Comforters
208,2021-03-09,4549.0,Comforters
209,2021-03-10,3519.0,Comforters
210,2021-03-11,4571.0,Comforters
211,2021-03-12,4597.0,Comforters
212,2021-03-13,4597.0,Comforters
213,2021-03-14,4597.0,Comforters
214,2021-03-15,5261.0,Comforters
215,2021-03-16,5667.0,Comforters
216,2021-03-17,6281.0,Comforters
217,2021-03-18,4676.0,Comforters
218,2021-03-19,4887.0,Comforters
219,2021-03-20,4887.0,Comforters
220,2021-03-21,4887.0,Comforters
221,2021-03-22,12028.0,Comforters
222,2021-03-23,12150.0,Comforters
223,2021-03-24,9321.0,Comforters
224,2021-03-25,11022.0,Comforters
225,2021-03-26,11216.0,Comforters
226,2021-03-27,10446.0,Comforters
227,2021-03-28,10446.0,Comforters
228,2021-03-29,9502.0,Comforters
229,2021-03-30,10206.0,Comforters
230,2021-03-31,8480.0,Comforters
231,2021-04-01,10522.0,Comforters
232,2021-04-02,4757.0,Comforters
233,2021-04-03,4757.0,Comforters
234,2021-04-04,4757.0,Comforters
235,2021-04-05,5919.0,Comforters
236,2021-04-06,6488.0,Comforters
237,2021-04-07,6428.0,Comforters
238,2021-04-08,4649.0,Comforters
239,2021-04-09,5738.0,Comforters
240,2021-04-10,6251.0,Comforters
241,2021-04-11,6251.0,Comforters
242,2021-04-12,7996.0,Comforters
243,2021-04-13,8343.0,Comforters
244,2021-04-14,8535.0,Comforters
245,2021-04-15,8535.0,Comforters
246,2021-04-16,6596.0,Comforters
247,2021-04-17,6687.0,Comforters
248,2021-04-18,6687.0,Comforters
249,2021-04-19,10424.0,Comforters
250,2021-04-20,8007.0,Comforters
251,2021-04-21,8007.0,Comforters
252,2021-04-22,7979.0,Comforters
253,2021-04-23,7979.0,Comforters
254,2021-04-24,11339.0,Comforters
255,2021-04-25,11339.0,Comforters
256,2021-04-26,11339.0,Comforters
257,2021-04-27,16363.0,Comforters
258,2021-04-28,14385.0,Comforters
259,2021-04-29,11068.0,Comforters
260,2021-04-30,11068.0,Comforters
261,2021-05-01,10507.0,Comforters
262,2021-05-02,10507.0,Comforters
263,2021-05-03,10507.0,Comforters
264,2021-05-04,11835.0,Comforters
265,2021-05-05,11835.0,Comforters
266,2021-05-06,11789.0,Comforters
267,2021-05-07,11789.0,Comforters
268,2021-05-08,10771.0,Comforters
269,2021-05-09,10771.0,Comforters
270,2021-05-10,8083.0,Comforters
271,2021-05-11,8083.0,Comforters
272,2021-05-12,10053.0,Comforters
273,2021-05-13,9681.0,Comforters
274,2021-05-14,7627.0,Comforters
275,2021-05-15,8409.0,Comforters
276,2021-05-16,8409.0,Comforters
277,2021-05-17,13505.0,Comforters
278,2021-05-18,8353.0,Comforters
279,2021-05-19,9203.0,Comforters
280,2021-05-20,10021.0,Comforters
281,2021-05-21,9821.0,Comforters
282,2021-05-22,10834.0,Comforters
283,2021-05-23,10834.0,Comforters
284,2021-05-24,13262.0,Comforters
285,2021-05-25,11547.0,Comforters
286,2021-05-26,11547.0,Comforters
287,2021-05-27,12163.0,Comforters
288,2021-05-28,12163.0,Comforters
289,2021-05-29,10134.0,Comforters
290,2021-05-30,10134.0,Comforters
291,2021-05-31,9669.0,Comforters
292,2021-06-01,11235.0,Comforters
293,2021-06-02,10635.0,Comforters
294,2021-06-03,9369.0,Comforters
295,2021-06-04,9856.0,Comforters
296,2021-06-05,10834.0,Comforters
297,2021-06-06,10834.0,Comforters
298,2021-06-07,14248.0,Comforters
299,2021-06-08,12264.0,Comforters
300,2021-06-09,12731.0,Comforters
301,2021-06-10,11808.0,Comforters
302,2021-06-11,10080.0,Comforters
303,2021-06-12,10080.0,Comforters
304,2021-06-13,10796.0,Comforters
305,2021-06-14,12310.0,Comforters
306,2021-06-15,14131.0,Comforters
307,2021-06-16,15993.0,Comforters
308,2021-06-17,13728.0,Comforters
309,2021-06-18,14733.0,Comforters
310,2021-06-19,13287.0,Comforters
311,2021-06-20,5562.0,Comforters
312,2021-06-21,6030.0,Comforters
313,2021-06-22,645.0,Comforters
314,2021-06-23,645.0,Comforters
315,2021-06-24,2171.0,Comforters
316,2021-06-25,3096.0,Comforters
317,2021-06-26,5203.0,Comforters
318,2021-06-27,5203.0,Comforters
319,2021-06-28,7138.0,Comforters
320,2021-06-29,7673.0,Comforters
321,2021-06-30,6906.0,Comforters
322,2021-07-01,6906.0,Comforters
323,2021-07-02,6140.0,Comforters
324,2021-07-03,6140.0,Comforters
325,2021-07-04,5357.0,Comforters
326,2021-07-05,6064.0,Comforters
327,2021-07-06,4542.0,Comforters
328,2021-07-07,3947.0,Comforters
329,2021-07-08,2554.0,Comforters
330,2021-07-09,2649.0,Comforters
331,2021-07-10,2319.0,Comforters
332,2021-07-11,1806.0,Comforters
