,date,value,name_B08P4DCMJS
51,2021-01-16,1290.0,Toy Vehicles
52,2021-01-17,1290.0,Toy Vehicles
53,2021-01-18,1176.0,Toy Vehicles
54,2021-01-19,1194.0,Toy Vehicles
55,2021-01-20,1194.0,Toy Vehicles
56,2021-01-21,1406.0,Toy Vehicles
57,2021-01-22,1406.0,Toy Vehicles
58,2021-01-23,1588.0,Toy Vehicles
59,2021-01-24,1588.0,Toy Vehicles
60,2021-01-25,1179.0,Toy Vehicles
61,2021-01-26,1179.0,Toy Vehicles
62,2021-01-27,1349.0,Toy Vehicles
63,2021-01-28,1350.0,Toy Vehicles
64,2021-01-29,1350.0,Toy Vehicles
65,2021-01-30,1433.0,Toy Vehicles
66,2021-01-31,1433.0,Toy Vehicles
67,2021-02-01,1160.0,Toy Vehicles
68,2021-02-02,1160.0,Toy Vehicles
69,2021-02-03,1371.0,Toy Vehicles
70,2021-02-04,1371.0,Toy Vehicles
71,2021-02-05,2128.0,Toy Vehicles
72,2021-02-06,2128.0,Toy Vehicles
73,2021-02-07,1754.0,Toy Vehicles
74,2021-02-08,1754.0,Toy Vehicles
75,2021-02-09,1931.0,Toy Vehicles
76,2021-02-10,1931.0,Toy Vehicles
77,2021-02-11,1931.0,Toy Vehicles
78,2021-02-12,1971.0,Toy Vehicles
79,2021-02-13,1971.0,Toy Vehicles
80,2021-02-14,1646.0,Toy Vehicles
81,2021-02-15,1584.0,Toy Vehicles
82,2021-02-16,1584.0,Toy Vehicles
83,2021-02-17,2179.0,Toy Vehicles
84,2021-02-18,2179.0,Toy Vehicles
85,2021-02-19,2058.0,Toy Vehicles
86,2021-02-20,2124.0,Toy Vehicles
87,2021-02-21,2124.0,Toy Vehicles
88,2021-02-22,2233.0,Toy Vehicles
89,2021-02-23,2233.0,Toy Vehicles
90,2021-02-24,1752.0,Toy Vehicles
91,2021-02-25,1752.0,Toy Vehicles
92,2021-02-26,2215.0,Toy Vehicles
93,2021-02-27,2215.0,Toy Vehicles
94,2021-02-28,2215.0,Toy Vehicles
95,2021-03-01,2339.0,Toy Vehicles
96,2021-03-02,2339.0,Toy Vehicles
97,2021-03-03,2030.0,Toy Vehicles
98,2021-03-04,2356.0,Toy Vehicles
99,2021-03-05,2356.0,Toy Vehicles
100,2021-03-06,2523.0,Toy Vehicles
101,2021-03-07,2523.0,Toy Vehicles
102,2021-03-08,2523.0,Toy Vehicles
103,2021-03-09,2306.0,Toy Vehicles
104,2021-03-10,2306.0,Toy Vehicles
105,2021-03-11,2519.0,Toy Vehicles
106,2021-03-12,2519.0,Toy Vehicles
107,2021-03-13,2184.0,Toy Vehicles
108,2021-03-14,2184.0,Toy Vehicles
109,2021-03-15,2184.0,Toy Vehicles
110,2021-03-16,2371.0,Toy Vehicles
111,2021-03-17,3687.0,Toy Vehicles
112,2021-03-18,3687.0,Toy Vehicles
113,2021-03-19,3687.0,Toy Vehicles
114,2021-03-20,3896.0,Toy Vehicles
115,2021-03-21,3896.0,Toy Vehicles
116,2021-03-22,3896.0,Toy Vehicles
117,2021-03-23,4065.0,Toy Vehicles
118,2021-03-24,3349.0,Toy Vehicles
119,2021-03-25,3349.0,Toy Vehicles
120,2021-03-26,3724.0,Toy Vehicles
121,2021-03-27,3724.0,Toy Vehicles
122,2021-03-28,3724.0,Toy Vehicles
123,2021-03-29,4684.0,Toy Vehicles
124,2021-03-30,4684.0,Toy Vehicles
125,2021-03-31,4684.0,Toy Vehicles
126,2021-04-01,4519.0,Toy Vehicles
127,2021-04-02,4519.0,Toy Vehicles
128,2021-04-03,5007.0,Toy Vehicles
129,2021-04-04,5007.0,Toy Vehicles
130,2021-04-05,5007.0,Toy Vehicles
131,2021-04-06,3825.0,Toy Vehicles
132,2021-04-07,3825.0,Toy Vehicles
133,2021-04-08,3825.0,Toy Vehicles
134,2021-04-09,4345.0,Toy Vehicles
135,2021-04-10,4345.0,Toy Vehicles
136,2021-04-11,4338.0,Toy Vehicles
137,2021-04-12,4338.0,Toy Vehicles
138,2021-04-13,4000.0,Toy Vehicles
139,2021-04-14,4000.0,Toy Vehicles
140,2021-04-15,4722.0,Toy Vehicles
141,2021-04-16,4722.0,Toy Vehicles
142,2021-04-17,4722.0,Toy Vehicles
143,2021-04-18,3945.0,Toy Vehicles
144,2021-04-19,3945.0,Toy Vehicles
145,2021-04-20,3954.0,Toy Vehicles
146,2021-04-21,4623.0,Toy Vehicles
147,2021-04-22,4623.0,Toy Vehicles
148,2021-04-23,3728.0,Toy Vehicles
149,2021-04-24,3728.0,Toy Vehicles
150,2021-04-25,3147.0,Toy Vehicles
151,2021-04-26,3147.0,Toy Vehicles
152,2021-04-27,4808.0,Toy Vehicles
153,2021-04-28,3800.0,Toy Vehicles
154,2021-04-29,4679.0,Toy Vehicles
155,2021-04-30,4679.0,Toy Vehicles
156,2021-05-01,4899.0,Toy Vehicles
157,2021-05-02,4899.0,Toy Vehicles
158,2021-05-03,4795.0,Toy Vehicles
159,2021-05-04,4795.0,Toy Vehicles
160,2021-05-05,4795.0,Toy Vehicles
161,2021-05-06,5423.0,Toy Vehicles
162,2021-05-07,5423.0,Toy Vehicles
163,2021-05-08,5178.0,Toy Vehicles
164,2021-05-09,5178.0,Toy Vehicles
165,2021-05-10,4272.0,Toy Vehicles
166,2021-05-11,4272.0,Toy Vehicles
167,2021-05-12,4864.0,Toy Vehicles
168,2021-05-13,4864.0,Toy Vehicles
169,2021-05-14,4573.0,Toy Vehicles
170,2021-05-15,4573.0,Toy Vehicles
171,2021-05-16,4922.0,Toy Vehicles
172,2021-05-17,4922.0,Toy Vehicles
173,2021-05-18,4548.0,Toy Vehicles
174,2021-05-19,4548.0,Toy Vehicles
175,2021-05-20,4357.0,Toy Vehicles
176,2021-05-21,4357.0,Toy Vehicles
177,2021-05-22,5477.0,Toy Vehicles
178,2021-05-23,5477.0,Toy Vehicles
179,2021-05-24,4112.0,Toy Vehicles
180,2021-05-25,4112.0,Toy Vehicles
181,2021-05-26,4112.0,Toy Vehicles
182,2021-05-27,6030.0,Toy Vehicles
183,2021-05-28,6030.0,Toy Vehicles
184,2021-05-29,5785.0,Toy Vehicles
185,2021-05-30,5785.0,Toy Vehicles
186,2021-05-31,3791.0,Toy Vehicles
187,2021-06-01,3791.0,Toy Vehicles
188,2021-06-02,3654.0,Toy Vehicles
189,2021-06-03,3654.0,Toy Vehicles
190,2021-06-04,4062.0,Toy Vehicles
191,2021-06-05,4062.0,Toy Vehicles
192,2021-06-06,3392.0,Toy Vehicles
193,2021-06-07,3392.0,Toy Vehicles
194,2021-06-08,3392.0,Toy Vehicles
195,2021-06-09,4352.0,Toy Vehicles
196,2021-06-10,4352.0,Toy Vehicles
197,2021-06-11,3797.0,Toy Vehicles
198,2021-06-12,3797.0,Toy Vehicles
199,2021-06-13,3797.0,Toy Vehicles
200,2021-06-14,3909.0,Toy Vehicles
201,2021-06-15,3909.0,Toy Vehicles
202,2021-06-16,3909.0,Toy Vehicles
203,2021-06-17,3909.0,Toy Vehicles
204,2021-06-18,4718.0,Toy Vehicles
205,2021-06-19,4718.0,Toy Vehicles
206,2021-06-20,4718.0,Toy Vehicles
207,2021-06-21,3678.0,Toy Vehicles
208,2021-06-22,7256.0,Toy Vehicles
209,2021-06-23,7256.0,Toy Vehicles
210,2021-06-24,2834.0,Toy Vehicles
211,2021-06-25,2834.0,Toy Vehicles
212,2021-06-26,4391.0,Toy Vehicles
213,2021-06-27,4391.0,Toy Vehicles
214,2021-06-28,3849.0,Toy Vehicles
215,2021-06-29,3721.0,Toy Vehicles
216,2021-06-30,3721.0,Toy Vehicles
217,2021-07-01,3721.0,Toy Vehicles
218,2021-07-02,3721.0,Toy Vehicles
219,2021-07-03,3721.0,Toy Vehicles
220,2021-07-04,3721.0,Toy Vehicles
221,2021-07-05,3721.0,Toy Vehicles
222,2021-07-06,3721.0,Toy Vehicles
223,2021-07-07,3721.0,Toy Vehicles
224,2021-07-08,3721.0,Toy Vehicles
225,2021-07-09,3721.0,Toy Vehicles
226,2021-07-10,4082.0,Toy Vehicles
