,date,value,name_B07ZTH4T6P
99,2020-02-08,3701.0,Shower Curtains
100,2020-02-09,3701.0,Shower Curtains
101,2020-02-10,3701.0,Shower Curtains
102,2020-02-11,5040.0,Shower Curtains
103,2020-02-12,5518.0,Shower Curtains
104,2020-02-13,5569.0,Shower Curtains
105,2020-02-14,5315.0,Shower Curtains
106,2020-02-15,6334.0,Shower Curtains
107,2020-02-16,6334.0,Shower Curtains
108,2020-02-17,6334.0,Shower Curtains
109,2020-02-18,4913.0,Shower Curtains
110,2020-02-19,6173.0,Shower Curtains
111,2020-02-20,6173.0,Shower Curtains
112,2020-02-21,6981.0,Shower Curtains
113,2020-02-22,6981.0,Shower Curtains
114,2020-02-23,6981.0,Shower Curtains
115,2020-02-24,6218.0,Shower Curtains
116,2020-02-25,6218.0,Shower Curtains
117,2020-02-26,6218.0,Shower Curtains
118,2020-02-27,4475.0,Shower Curtains
119,2020-02-28,4097.0,Shower Curtains
120,2020-02-29,4673.0,Shower Curtains
121,2020-03-01,4673.0,Shower Curtains
122,2020-03-02,4797.0,Shower Curtains
123,2020-03-03,4797.0,Shower Curtains
124,2020-03-04,4753.0,Shower Curtains
125,2020-03-05,4753.0,Shower Curtains
126,2020-03-06,4753.0,Shower Curtains
127,2020-03-07,4753.0,Shower Curtains
128,2020-03-08,6858.0,Shower Curtains
129,2020-03-09,5096.0,Shower Curtains
130,2020-03-10,6368.0,Shower Curtains
131,2020-03-11,6368.0,Shower Curtains
132,2020-03-12,6368.0,Shower Curtains
133,2020-03-13,6368.0,Shower Curtains
134,2020-03-14,7615.0,Shower Curtains
135,2020-03-15,7615.0,Shower Curtains
136,2020-03-16,7615.0,Shower Curtains
137,2020-03-17,6459.0,Shower Curtains
138,2020-03-18,6459.0,Shower Curtains
139,2020-03-19,6550.0,Shower Curtains
140,2020-03-20,6550.0,Shower Curtains
141,2020-03-21,6550.0,Shower Curtains
142,2020-03-22,6550.0,Shower Curtains
143,2020-03-23,5394.0,Shower Curtains
144,2020-03-24,4585.0,Shower Curtains
145,2020-03-25,4105.0,Shower Curtains
146,2020-03-26,4753.0,Shower Curtains
147,2020-03-27,5214.0,Shower Curtains
148,2020-03-28,5214.0,Shower Curtains
149,2020-03-29,5214.0,Shower Curtains
150,2020-03-30,7282.0,Shower Curtains
151,2020-03-31,9108.0,Shower Curtains
152,2020-04-01,10526.0,Shower Curtains
153,2020-04-02,9048.0,Shower Curtains
154,2020-04-03,9386.0,Shower Curtains
155,2020-04-04,9386.0,Shower Curtains
156,2020-04-05,10407.0,Shower Curtains
157,2020-04-06,10407.0,Shower Curtains
158,2020-04-07,10205.0,Shower Curtains
159,2020-04-08,8337.0,Shower Curtains
160,2020-04-09,9250.0,Shower Curtains
161,2020-04-10,7687.0,Shower Curtains
162,2020-04-11,7687.0,Shower Curtains
163,2020-04-12,7687.0,Shower Curtains
164,2020-04-13,7081.0,Shower Curtains
165,2020-04-14,7081.0,Shower Curtains
166,2020-04-15,7432.0,Shower Curtains
167,2020-04-16,5826.0,Shower Curtains
168,2020-04-17,6910.0,Shower Curtains
169,2020-04-18,6910.0,Shower Curtains
170,2020-04-19,5675.0,Shower Curtains
171,2020-04-20,6792.0,Shower Curtains
172,2020-04-21,6792.0,Shower Curtains
173,2020-04-22,5597.0,Shower Curtains
174,2020-04-23,5597.0,Shower Curtains
175,2020-04-24,5921.0,Shower Curtains
176,2020-04-25,5163.0,Shower Curtains
177,2020-04-26,5256.0,Shower Curtains
178,2020-04-27,6419.0,Shower Curtains
179,2020-04-28,6501.0,Shower Curtains
180,2020-04-29,6480.0,Shower Curtains
181,2020-04-30,6199.0,Shower Curtains
182,2020-05-01,6199.0,Shower Curtains
183,2020-05-02,7477.0,Shower Curtains
184,2020-05-03,7477.0,Shower Curtains
185,2020-05-04,7477.0,Shower Curtains
186,2020-05-05,7344.0,Shower Curtains
187,2020-05-06,6511.0,Shower Curtains
188,2020-05-07,6511.0,Shower Curtains
189,2020-05-08,6511.0,Shower Curtains
190,2020-05-09,7844.0,Shower Curtains
191,2020-05-10,7844.0,Shower Curtains
192,2020-05-11,7024.0,Shower Curtains
193,2020-05-12,5796.0,Shower Curtains
194,2020-05-13,5796.0,Shower Curtains
195,2020-05-14,5796.0,Shower Curtains
196,2020-05-15,6318.0,Shower Curtains
197,2020-05-16,6318.0,Shower Curtains
198,2020-05-17,5064.0,Shower Curtains
199,2020-05-18,4802.0,Shower Curtains
200,2020-05-19,4593.0,Shower Curtains
201,2020-05-20,4593.0,Shower Curtains
202,2020-05-21,4306.0,Shower Curtains
203,2020-05-22,4408.0,Shower Curtains
204,2020-05-23,4657.0,Shower Curtains
205,2020-05-24,4657.0,Shower Curtains
206,2020-05-25,3953.0,Shower Curtains
207,2020-05-26,3223.0,Shower Curtains
208,2020-05-27,3413.0,Shower Curtains
209,2020-05-28,3413.0,Shower Curtains
210,2020-05-29,4367.0,Shower Curtains
211,2020-05-30,4367.0,Shower Curtains
212,2020-05-31,4367.0,Shower Curtains
213,2020-06-01,3318.0,Shower Curtains
214,2020-06-02,2816.0,Shower Curtains
215,2020-06-03,2588.0,Shower Curtains
216,2020-06-04,2809.0,Shower Curtains
217,2020-06-05,2919.0,Shower Curtains
218,2020-06-06,2452.0,Shower Curtains
219,2020-06-07,2452.0,Shower Curtains
220,2020-06-08,2452.0,Shower Curtains
221,2020-06-09,2603.0,Shower Curtains
222,2020-06-10,2941.0,Shower Curtains
223,2020-06-11,2941.0,Shower Curtains
224,2020-06-12,3083.0,Shower Curtains
225,2020-06-13,3083.0,Shower Curtains
226,2020-06-14,3083.0,Shower Curtains
227,2020-06-15,2673.0,Shower Curtains
228,2020-06-16,2695.0,Shower Curtains
229,2020-06-17,2695.0,Shower Curtains
230,2020-06-18,2637.0,Shower Curtains
231,2020-06-19,2683.0,Shower Curtains
232,2020-06-20,2745.0,Shower Curtains
233,2020-06-21,2745.0,Shower Curtains
234,2020-06-22,2911.0,Shower Curtains
235,2020-06-23,2722.0,Shower Curtains
236,2020-06-24,2693.0,Shower Curtains
237,2020-06-25,2693.0,Shower Curtains
238,2020-06-26,2107.0,Shower Curtains
239,2020-06-27,2496.0,Shower Curtains
240,2020-06-28,2649.0,Shower Curtains
241,2020-06-29,2714.0,Shower Curtains
242,2020-06-30,2714.0,Shower Curtains
243,2020-07-01,2361.0,Shower Curtains
244,2020-07-02,2417.0,Shower Curtains
245,2020-07-03,2338.0,Shower Curtains
246,2020-07-04,2076.0,Shower Curtains
247,2020-07-05,2076.0,Shower Curtains
248,2020-07-06,2189.0,Shower Curtains
249,2020-07-07,1996.0,Shower Curtains
250,2020-07-08,2211.0,Shower Curtains
251,2020-07-09,2211.0,Shower Curtains
252,2020-07-10,2024.0,Shower Curtains
253,2020-07-11,2024.0,Shower Curtains
254,2020-07-12,2526.0,Shower Curtains
255,2020-07-13,2080.0,Shower Curtains
256,2020-07-14,2026.0,Shower Curtains
257,2020-07-15,1956.0,Shower Curtains
258,2020-07-16,1956.0,Shower Curtains
259,2020-07-17,2645.0,Shower Curtains
260,2020-07-18,2821.0,Shower Curtains
261,2020-07-19,2821.0,Shower Curtains
262,2020-07-20,2244.0,Shower Curtains
263,2020-07-21,2244.0,Shower Curtains
264,2020-07-22,2423.0,Shower Curtains
265,2020-07-23,2423.0,Shower Curtains
266,2020-07-24,2423.0,Shower Curtains
267,2020-07-25,2775.0,Shower Curtains
268,2020-07-26,2775.0,Shower Curtains
269,2020-07-27,2728.0,Shower Curtains
270,2020-07-28,2728.0,Shower Curtains
271,2020-07-29,2728.0,Shower Curtains
272,2020-07-30,2503.0,Shower Curtains
273,2020-07-31,2503.0,Shower Curtains
274,2020-08-01,2840.0,Shower Curtains
275,2020-08-02,2840.0,Shower Curtains
276,2020-08-03,1961.0,Shower Curtains
277,2020-08-04,1961.0,Shower Curtains
278,2020-08-05,2159.0,Shower Curtains
279,2020-08-06,2470.0,Shower Curtains
280,2020-08-07,2184.0,Shower Curtains
281,2020-08-08,2733.0,Shower Curtains
282,2020-08-09,2733.0,Shower Curtains
283,2020-08-10,2273.0,Shower Curtains
284,2020-08-11,2273.0,Shower Curtains
285,2020-08-12,2209.0,Shower Curtains
286,2020-08-13,2209.0,Shower Curtains
287,2020-08-14,2209.0,Shower Curtains
288,2020-08-15,2166.0,Shower Curtains
289,2020-08-16,2166.0,Shower Curtains
290,2020-08-17,1452.0,Shower Curtains
291,2020-08-18,1649.0,Shower Curtains
292,2020-08-19,1736.0,Shower Curtains
293,2020-08-20,1793.0,Shower Curtains
294,2020-08-21,1879.0,Shower Curtains
295,2020-08-22,1879.0,Shower Curtains
296,2020-08-23,1879.0,Shower Curtains
297,2020-08-24,1574.0,Shower Curtains
298,2020-08-25,1574.0,Shower Curtains
299,2020-08-26,1378.0,Shower Curtains
300,2020-08-27,1286.0,Shower Curtains
301,2020-08-28,996.0,Shower Curtains
302,2020-08-29,1134.0,Shower Curtains
303,2020-08-30,1134.0,Shower Curtains
304,2020-08-31,975.0,Shower Curtains
305,2020-09-01,1048.0,Shower Curtains
306,2020-09-02,839.0,Shower Curtains
307,2020-09-03,839.0,Shower Curtains
308,2020-09-04,930.0,Shower Curtains
309,2020-09-05,930.0,Shower Curtains
310,2020-09-06,1044.0,Shower Curtains
311,2020-09-07,950.0,Shower Curtains
312,2020-09-08,950.0,Shower Curtains
313,2020-09-09,943.0,Shower Curtains
314,2020-09-10,943.0,Shower Curtains
315,2020-09-11,1011.0,Shower Curtains
316,2020-09-12,997.0,Shower Curtains
317,2020-09-13,997.0,Shower Curtains
318,2020-09-14,928.0,Shower Curtains
319,2020-09-15,918.0,Shower Curtains
320,2020-09-16,918.0,Shower Curtains
321,2020-09-17,852.0,Shower Curtains
322,2020-09-18,942.0,Shower Curtains
323,2020-09-19,942.0,Shower Curtains
324,2020-09-20,1002.0,Shower Curtains
325,2020-09-21,989.0,Shower Curtains
326,2020-09-22,933.0,Shower Curtains
327,2020-09-23,935.0,Shower Curtains
328,2020-09-24,805.0,Shower Curtains
329,2020-09-25,740.0,Shower Curtains
330,2020-09-26,740.0,Shower Curtains
331,2020-09-27,1071.0,Shower Curtains
332,2020-09-28,1089.0,Shower Curtains
333,2020-09-29,1065.0,Shower Curtains
334,2020-09-30,1118.0,Shower Curtains
335,2020-10-01,1272.0,Shower Curtains
336,2020-10-02,1252.0,Shower Curtains
337,2020-10-03,1252.0,Shower Curtains
338,2020-10-04,1024.0,Shower Curtains
339,2020-10-05,1024.0,Shower Curtains
340,2020-10-06,1024.0,Shower Curtains
341,2020-10-07,847.0,Shower Curtains
342,2020-10-08,832.0,Shower Curtains
343,2020-10-09,942.0,Shower Curtains
344,2020-10-10,938.0,Shower Curtains
345,2020-10-11,924.0,Shower Curtains
346,2020-10-12,792.0,Shower Curtains
347,2020-10-13,805.0,Shower Curtains
348,2020-10-14,1887.0,Shower Curtains
349,2020-10-15,1936.0,Shower Curtains
350,2020-10-16,2251.0,Shower Curtains
351,2020-10-17,2251.0,Shower Curtains
352,2020-10-18,1058.0,Shower Curtains
353,2020-10-19,828.0,Shower Curtains
354,2020-10-20,828.0,Shower Curtains
355,2020-10-21,828.0,Shower Curtains
356,2020-10-22,666.0,Shower Curtains
357,2020-10-23,666.0,Shower Curtains
358,2020-10-24,767.0,Shower Curtains
359,2020-10-25,734.0,Shower Curtains
360,2020-10-26,734.0,Shower Curtains
361,2020-10-27,734.0,Shower Curtains
362,2020-10-28,662.0,Shower Curtains
363,2020-10-29,635.0,Shower Curtains
364,2020-10-30,681.0,Shower Curtains
365,2020-10-31,699.0,Shower Curtains
366,2020-11-01,660.0,Shower Curtains
367,2020-11-02,524.0,Shower Curtains
368,2020-11-03,620.0,Shower Curtains
369,2020-11-04,612.0,Shower Curtains
370,2020-11-05,670.0,Shower Curtains
371,2020-11-06,573.0,Shower Curtains
372,2020-11-07,569.0,Shower Curtains
373,2020-11-08,569.0,Shower Curtains
374,2020-11-09,609.0,Shower Curtains
375,2020-11-10,606.0,Shower Curtains
376,2020-11-11,612.0,Shower Curtains
377,2020-11-12,585.0,Shower Curtains
378,2020-11-13,636.0,Shower Curtains
379,2020-11-14,622.0,Shower Curtains
380,2020-11-15,721.0,Shower Curtains
381,2020-11-16,721.0,Shower Curtains
382,2020-11-17,721.0,Shower Curtains
383,2020-11-18,866.0,Shower Curtains
384,2020-11-19,866.0,Shower Curtains
385,2020-11-20,904.0,Shower Curtains
386,2020-11-21,1103.0,Shower Curtains
387,2020-11-22,1103.0,Shower Curtains
388,2020-11-23,1348.0,Shower Curtains
389,2020-11-24,1252.0,Shower Curtains
390,2020-11-25,1358.0,Shower Curtains
391,2020-11-26,1557.0,Shower Curtains
392,2020-11-27,1717.0,Shower Curtains
393,2020-11-28,1717.0,Shower Curtains
394,2020-11-29,2398.0,Shower Curtains
395,2020-11-30,3155.0,Shower Curtains
396,2020-12-01,4509.0,Shower Curtains
397,2020-12-02,4697.0,Shower Curtains
398,2020-12-03,4161.0,Shower Curtains
399,2020-12-04,4161.0,Shower Curtains
400,2020-12-05,4161.0,Shower Curtains
401,2020-12-06,2472.0,Shower Curtains
402,2020-12-07,2046.0,Shower Curtains
403,2020-12-08,2046.0,Shower Curtains
404,2020-12-09,1966.0,Shower Curtains
405,2020-12-10,2127.0,Shower Curtains
406,2020-12-11,2170.0,Shower Curtains
407,2020-12-12,2119.0,Shower Curtains
408,2020-12-13,2296.0,Shower Curtains
409,2020-12-14,2021.0,Shower Curtains
410,2020-12-15,1957.0,Shower Curtains
411,2020-12-16,1886.0,Shower Curtains
412,2020-12-17,1768.0,Shower Curtains
413,2020-12-18,1646.0,Shower Curtains
414,2020-12-19,1528.0,Shower Curtains
415,2020-12-20,1375.0,Shower Curtains
416,2020-12-21,1271.0,Shower Curtains
417,2020-12-22,1161.0,Shower Curtains
418,2020-12-23,996.0,Shower Curtains
419,2020-12-24,867.0,Shower Curtains
420,2020-12-25,853.0,Shower Curtains
421,2020-12-26,921.0,Shower Curtains
422,2020-12-27,802.0,Shower Curtains
423,2020-12-28,689.0,Shower Curtains
424,2020-12-29,598.0,Shower Curtains
425,2020-12-30,550.0,Shower Curtains
426,2020-12-31,573.0,Shower Curtains
427,2021-01-01,599.0,Shower Curtains
428,2021-01-02,675.0,Shower Curtains
429,2021-01-03,604.0,Shower Curtains
430,2021-01-04,698.0,Shower Curtains
431,2021-01-05,780.0,Shower Curtains
432,2021-01-06,1083.0,Shower Curtains
433,2021-01-07,1703.0,Shower Curtains
434,2021-01-08,2312.0,Shower Curtains
435,2021-01-09,2197.0,Shower Curtains
436,2021-01-10,2791.0,Shower Curtains
437,2021-01-11,3179.0,Shower Curtains
438,2021-01-12,3885.0,Shower Curtains
439,2021-01-13,4285.0,Shower Curtains
440,2021-01-14,4607.0,Shower Curtains
441,2021-01-15,4424.0,Shower Curtains
442,2021-01-16,4101.0,Shower Curtains
443,2021-01-17,4507.0,Shower Curtains
444,2021-01-18,4997.0,Shower Curtains
445,2021-01-19,6223.0,Shower Curtains
446,2021-01-20,6568.0,Shower Curtains
447,2021-01-21,6176.0,Shower Curtains
448,2021-01-22,5896.0,Shower Curtains
449,2021-01-23,3225.0,Shower Curtains
450,2021-01-24,3225.0,Shower Curtains
451,2021-01-25,2267.0,Shower Curtains
452,2021-01-26,2280.0,Shower Curtains
453,2021-01-27,2280.0,Shower Curtains
454,2021-01-28,1839.0,Shower Curtains
455,2021-01-29,1432.0,Shower Curtains
456,2021-01-30,1446.0,Shower Curtains
457,2021-01-31,1369.0,Shower Curtains
458,2021-02-01,1344.0,Shower Curtains
459,2021-02-02,1280.0,Shower Curtains
460,2021-02-03,1336.0,Shower Curtains
461,2021-02-04,1563.0,Shower Curtains
462,2021-02-05,1563.0,Shower Curtains
463,2021-02-06,1387.0,Shower Curtains
464,2021-02-07,1387.0,Shower Curtains
465,2021-02-08,1285.0,Shower Curtains
466,2021-02-09,1297.0,Shower Curtains
467,2021-02-10,1297.0,Shower Curtains
468,2021-02-11,1281.0,Shower Curtains
469,2021-02-12,1281.0,Shower Curtains
470,2021-02-13,1444.0,Shower Curtains
471,2021-02-14,1315.0,Shower Curtains
472,2021-02-15,1315.0,Shower Curtains
473,2021-02-16,1174.0,Shower Curtains
474,2021-02-17,1379.0,Shower Curtains
475,2021-02-18,1379.0,Shower Curtains
476,2021-02-19,1218.0,Shower Curtains
477,2021-02-20,1206.0,Shower Curtains
478,2021-02-21,1110.0,Shower Curtains
479,2021-02-22,1130.0,Shower Curtains
480,2021-02-23,1053.0,Shower Curtains
481,2021-02-24,872.0,Shower Curtains
482,2021-02-25,898.0,Shower Curtains
483,2021-02-26,923.0,Shower Curtains
484,2021-02-27,923.0,Shower Curtains
485,2021-02-28,978.0,Shower Curtains
486,2021-03-01,999.0,Shower Curtains
487,2021-03-02,936.0,Shower Curtains
488,2021-03-03,916.0,Shower Curtains
489,2021-03-04,979.0,Shower Curtains
490,2021-03-05,1020.0,Shower Curtains
491,2021-03-06,1020.0,Shower Curtains
492,2021-03-07,974.0,Shower Curtains
493,2021-03-08,957.0,Shower Curtains
494,2021-03-09,967.0,Shower Curtains
495,2021-03-10,966.0,Shower Curtains
496,2021-03-11,966.0,Shower Curtains
497,2021-03-12,985.0,Shower Curtains
498,2021-03-13,994.0,Shower Curtains
499,2021-03-14,994.0,Shower Curtains
500,2021-03-15,1093.0,Shower Curtains
501,2021-03-16,829.0,Shower Curtains
502,2021-03-17,900.0,Shower Curtains
503,2021-03-18,1314.0,Shower Curtains
504,2021-03-19,1314.0,Shower Curtains
505,2021-03-20,1314.0,Shower Curtains
506,2021-03-21,1292.0,Shower Curtains
507,2021-03-22,1324.0,Shower Curtains
508,2021-03-23,1324.0,Shower Curtains
509,2021-03-24,1121.0,Shower Curtains
510,2021-03-25,1121.0,Shower Curtains
511,2021-03-26,1245.0,Shower Curtains
512,2021-03-27,1237.0,Shower Curtains
513,2021-03-28,1237.0,Shower Curtains
514,2021-03-29,1119.0,Shower Curtains
515,2021-03-30,817.0,Shower Curtains
516,2021-03-31,619.0,Shower Curtains
517,2021-04-01,481.0,Shower Curtains
518,2021-04-02,511.0,Shower Curtains
519,2021-04-03,511.0,Shower Curtains
520,2021-04-04,461.0,Shower Curtains
521,2021-04-05,472.0,Shower Curtains
522,2021-04-06,472.0,Shower Curtains
523,2021-04-07,589.0,Shower Curtains
524,2021-04-08,642.0,Shower Curtains
525,2021-04-09,803.0,Shower Curtains
526,2021-04-10,803.0,Shower Curtains
527,2021-04-11,853.0,Shower Curtains
528,2021-04-12,745.0,Shower Curtains
529,2021-04-13,745.0,Shower Curtains
530,2021-04-14,739.0,Shower Curtains
531,2021-04-15,786.0,Shower Curtains
532,2021-04-16,706.0,Shower Curtains
533,2021-04-17,743.0,Shower Curtains
534,2021-04-18,743.0,Shower Curtains
535,2021-04-19,720.0,Shower Curtains
536,2021-04-20,720.0,Shower Curtains
537,2021-04-21,707.0,Shower Curtains
538,2021-04-22,626.0,Shower Curtains
539,2021-04-23,626.0,Shower Curtains
540,2021-04-24,676.0,Shower Curtains
541,2021-04-25,676.0,Shower Curtains
542,2021-04-26,629.0,Shower Curtains
543,2021-04-27,591.0,Shower Curtains
544,2021-04-28,586.0,Shower Curtains
545,2021-04-29,613.0,Shower Curtains
546,2021-04-30,637.0,Shower Curtains
547,2021-05-01,678.0,Shower Curtains
548,2021-05-02,678.0,Shower Curtains
549,2021-05-03,634.0,Shower Curtains
550,2021-05-04,626.0,Shower Curtains
551,2021-05-05,473.0,Shower Curtains
552,2021-05-06,398.0,Shower Curtains
553,2021-05-07,450.0,Shower Curtains
554,2021-05-08,450.0,Shower Curtains
555,2021-05-09,574.0,Shower Curtains
556,2021-05-10,499.0,Shower Curtains
557,2021-05-11,482.0,Shower Curtains
558,2021-05-12,504.0,Shower Curtains
559,2021-05-13,549.0,Shower Curtains
560,2021-05-14,549.0,Shower Curtains
561,2021-05-15,549.0,Shower Curtains
562,2021-05-16,690.0,Shower Curtains
563,2021-05-17,655.0,Shower Curtains
564,2021-05-18,655.0,Shower Curtains
565,2021-05-19,656.0,Shower Curtains
566,2021-05-20,658.0,Shower Curtains
567,2021-05-21,622.0,Shower Curtains
568,2021-05-22,651.0,Shower Curtains
569,2021-05-23,651.0,Shower Curtains
570,2021-05-24,651.0,Shower Curtains
571,2021-05-25,677.0,Shower Curtains
572,2021-05-26,677.0,Shower Curtains
573,2021-05-27,676.0,Shower Curtains
574,2021-05-28,676.0,Shower Curtains
575,2021-05-29,711.0,Shower Curtains
576,2021-05-30,711.0,Shower Curtains
577,2021-05-31,682.0,Shower Curtains
578,2021-06-01,632.0,Shower Curtains
579,2021-06-02,663.0,Shower Curtains
580,2021-06-03,609.0,Shower Curtains
581,2021-06-04,641.0,Shower Curtains
582,2021-06-05,679.0,Shower Curtains
