,date,value,name_B0716FJGGY
127,2020-10-08,7439.0,Jewelry Clasps
128,2020-10-09,5090.0,Jewelry Clasps
129,2020-10-10,5090.0,Jewelry Clasps
130,2020-10-11,5090.0,Jewelry Clasps
131,2020-10-12,4133.0,Jewelry Clasps
132,2020-10-13,8538.0,Jewelry Clasps
133,2020-10-14,8538.0,Jewelry Clasps
134,2020-10-15,8538.0,Jewelry Clasps
135,2020-10-16,6430.0,Jewelry Clasps
136,2020-10-17,6430.0,Jewelry Clasps
137,2020-10-18,6430.0,Jewelry Clasps
138,2020-10-19,4924.0,Jewelry Clasps
139,2020-10-20,4386.0,Jewelry Clasps
140,2020-10-21,4386.0,Jewelry Clasps
141,2020-10-22,4386.0,Jewelry Clasps
142,2020-10-23,4667.0,Jewelry Clasps
143,2020-10-24,4667.0,Jewelry Clasps
144,2020-10-25,4667.0,Jewelry Clasps
145,2020-10-26,6061.0,Jewelry Clasps
146,2020-10-27,6061.0,Jewelry Clasps
147,2020-10-28,6061.0,Jewelry Clasps
148,2020-10-29,6061.0,Jewelry Clasps
149,2020-10-30,7868.0,Jewelry Clasps
150,2020-10-31,7281.0,Jewelry Clasps
151,2020-11-01,7281.0,Jewelry Clasps
152,2020-11-02,7281.0,Jewelry Clasps
153,2020-11-03,6689.0,Jewelry Clasps
154,2020-11-04,6689.0,Jewelry Clasps
155,2020-11-05,6689.0,Jewelry Clasps
156,2020-11-06,7296.0,Jewelry Clasps
157,2020-11-07,7296.0,Jewelry Clasps
158,2020-11-08,7296.0,Jewelry Clasps
159,2020-11-09,7296.0,Jewelry Clasps
160,2020-11-10,7296.0,Jewelry Clasps
161,2020-11-11,7296.0,Jewelry Clasps
162,2020-11-12,8452.0,Jewelry Clasps
163,2020-11-13,8452.0,Jewelry Clasps
164,2020-11-14,8452.0,Jewelry Clasps
165,2020-11-15,8452.0,Jewelry Clasps
166,2020-11-16,8452.0,Jewelry Clasps
167,2020-11-17,7869.0,Jewelry Clasps
168,2020-11-18,7869.0,Jewelry Clasps
169,2020-11-19,7869.0,Jewelry Clasps
170,2020-11-20,7869.0,Jewelry Clasps
171,2020-11-21,7869.0,Jewelry Clasps
172,2020-11-22,7661.0,Jewelry Clasps
173,2020-11-23,7661.0,Jewelry Clasps
174,2020-11-24,7661.0,Jewelry Clasps
175,2020-11-25,5879.0,Jewelry Clasps
176,2020-11-26,5879.0,Jewelry Clasps
177,2020-11-27,5879.0,Jewelry Clasps
178,2020-11-28,5879.0,Jewelry Clasps
179,2020-11-29,5879.0,Jewelry Clasps
180,2020-11-30,7038.0,Jewelry Clasps
181,2020-12-01,7038.0,Jewelry Clasps
182,2020-12-02,6923.0,Jewelry Clasps
183,2020-12-03,6923.0,Jewelry Clasps
184,2020-12-04,6923.0,Jewelry Clasps
185,2020-12-05,6923.0,Jewelry Clasps
186,2020-12-06,6923.0,Jewelry Clasps
187,2020-12-07,6345.0,Jewelry Clasps
188,2020-12-08,6345.0,Jewelry Clasps
189,2020-12-09,6490.0,Jewelry Clasps
190,2020-12-10,6490.0,Jewelry Clasps
191,2020-12-11,6506.0,Jewelry Clasps
192,2020-12-12,6506.0,Jewelry Clasps
193,2020-12-13,6506.0,Jewelry Clasps
194,2020-12-14,5731.0,Jewelry Clasps
195,2020-12-15,6415.0,Jewelry Clasps
196,2020-12-16,6415.0,Jewelry Clasps
197,2020-12-17,6415.0,Jewelry Clasps
198,2020-12-18,6415.0,Jewelry Clasps
199,2020-12-19,6415.0,Jewelry Clasps
200,2020-12-20,6415.0,Jewelry Clasps
201,2020-12-21,4418.0,Jewelry Clasps
202,2020-12-22,4418.0,Jewelry Clasps
203,2020-12-23,4418.0,Jewelry Clasps
204,2020-12-24,3964.0,Jewelry Clasps
205,2020-12-25,3964.0,Jewelry Clasps
206,2020-12-26,3964.0,Jewelry Clasps
207,2020-12-27,3964.0,Jewelry Clasps
208,2020-12-28,3859.0,Jewelry Clasps
209,2020-12-29,3859.0,Jewelry Clasps
210,2020-12-30,3859.0,Jewelry Clasps
211,2020-12-31,3304.0,Jewelry Clasps
212,2021-01-01,3304.0,Jewelry Clasps
213,2021-01-02,3304.0,Jewelry Clasps
214,2021-01-03,2842.0,Jewelry Clasps
215,2021-01-04,2842.0,Jewelry Clasps
216,2021-01-05,2842.0,Jewelry Clasps
217,2021-01-06,2842.0,Jewelry Clasps
218,2021-01-07,4561.0,Jewelry Clasps
219,2021-01-08,4561.0,Jewelry Clasps
220,2021-01-09,4561.0,Jewelry Clasps
221,2021-01-10,4561.0,Jewelry Clasps
222,2021-01-11,4635.0,Jewelry Clasps
223,2021-01-12,4635.0,Jewelry Clasps
224,2021-01-13,3839.0,Jewelry Clasps
225,2021-01-14,3839.0,Jewelry Clasps
226,2021-01-15,3839.0,Jewelry Clasps
227,2021-01-16,3839.0,Jewelry Clasps
228,2021-01-17,2718.0,Jewelry Clasps
229,2021-01-18,2718.0,Jewelry Clasps
230,2021-01-19,4557.0,Jewelry Clasps
231,2021-01-20,4557.0,Jewelry Clasps
232,2021-01-21,4557.0,Jewelry Clasps
233,2021-01-22,4557.0,Jewelry Clasps
234,2021-01-23,5068.0,Jewelry Clasps
235,2021-01-24,5068.0,Jewelry Clasps
236,2021-01-25,5068.0,Jewelry Clasps
237,2021-01-26,3302.0,Jewelry Clasps
238,2021-01-27,3365.0,Jewelry Clasps
239,2021-01-28,3365.0,Jewelry Clasps
240,2021-01-29,5117.0,Jewelry Clasps
241,2021-01-30,5117.0,Jewelry Clasps
242,2021-01-31,5117.0,Jewelry Clasps
243,2021-02-01,2906.0,Jewelry Clasps
244,2021-02-02,2906.0,Jewelry Clasps
245,2021-02-03,2906.0,Jewelry Clasps
246,2021-02-04,4372.0,Jewelry Clasps
247,2021-02-05,4372.0,Jewelry Clasps
248,2021-02-06,4372.0,Jewelry Clasps
249,2021-02-07,3501.0,Jewelry Clasps
250,2021-02-08,3501.0,Jewelry Clasps
251,2021-02-09,3501.0,Jewelry Clasps
252,2021-02-10,4223.0,Jewelry Clasps
253,2021-02-11,4223.0,Jewelry Clasps
254,2021-02-12,4223.0,Jewelry Clasps
255,2021-02-13,5378.0,Jewelry Clasps
256,2021-02-14,5378.0,Jewelry Clasps
257,2021-02-15,5378.0,Jewelry Clasps
258,2021-02-16,2724.0,Jewelry Clasps
259,2021-02-17,2724.0,Jewelry Clasps
260,2021-02-18,2724.0,Jewelry Clasps
261,2021-02-19,3390.0,Jewelry Clasps
262,2021-02-20,3390.0,Jewelry Clasps
263,2021-02-21,3390.0,Jewelry Clasps
264,2021-02-22,3390.0,Jewelry Clasps
265,2021-02-23,3390.0,Jewelry Clasps
266,2021-02-24,3052.0,Jewelry Clasps
267,2021-02-25,3052.0,Jewelry Clasps
268,2021-02-26,3052.0,Jewelry Clasps
269,2021-02-27,3052.0,Jewelry Clasps
270,2021-02-28,3052.0,Jewelry Clasps
271,2021-03-01,3563.0,Jewelry Clasps
272,2021-03-02,4408.0,Jewelry Clasps
273,2021-03-03,4408.0,Jewelry Clasps
274,2021-03-04,4408.0,Jewelry Clasps
275,2021-03-05,3607.0,Jewelry Clasps
276,2021-03-06,3607.0,Jewelry Clasps
277,2021-03-07,3607.0,Jewelry Clasps
278,2021-03-08,3607.0,Jewelry Clasps
279,2021-03-09,4473.0,Jewelry Clasps
280,2021-03-10,4473.0,Jewelry Clasps
281,2021-03-11,4107.0,Jewelry Clasps
282,2021-03-12,4107.0,Jewelry Clasps
283,2021-03-13,4107.0,Jewelry Clasps
284,2021-03-14,3467.0,Jewelry Clasps
285,2021-03-15,3467.0,Jewelry Clasps
286,2021-03-16,4292.0,Jewelry Clasps
287,2021-03-17,3755.0,Jewelry Clasps
288,2021-03-18,3755.0,Jewelry Clasps
289,2021-03-19,3760.0,Jewelry Clasps
290,2021-03-20,3760.0,Jewelry Clasps
291,2021-03-21,3717.0,Jewelry Clasps
292,2021-03-22,3717.0,Jewelry Clasps
293,2021-03-23,3717.0,Jewelry Clasps
294,2021-03-24,3869.0,Jewelry Clasps
295,2021-03-25,3869.0,Jewelry Clasps
296,2021-03-26,3869.0,Jewelry Clasps
297,2021-03-27,3869.0,Jewelry Clasps
298,2021-03-28,5245.0,Jewelry Clasps
299,2021-03-29,5245.0,Jewelry Clasps
300,2021-03-30,5245.0,Jewelry Clasps
301,2021-03-31,5245.0,Jewelry Clasps
302,2021-04-01,4853.0,Jewelry Clasps
303,2021-04-02,4853.0,Jewelry Clasps
304,2021-04-03,4853.0,Jewelry Clasps
305,2021-04-04,4287.0,Jewelry Clasps
306,2021-04-05,4287.0,Jewelry Clasps
307,2021-04-06,4287.0,Jewelry Clasps
308,2021-04-07,3256.0,Jewelry Clasps
309,2021-04-08,3256.0,Jewelry Clasps
310,2021-04-09,3034.0,Jewelry Clasps
311,2021-04-10,3034.0,Jewelry Clasps
312,2021-04-11,4040.0,Jewelry Clasps
313,2021-04-12,4040.0,Jewelry Clasps
314,2021-04-13,4040.0,Jewelry Clasps
315,2021-04-14,4060.0,Jewelry Clasps
316,2021-04-15,4060.0,Jewelry Clasps
317,2021-04-16,4060.0,Jewelry Clasps
318,2021-04-17,4178.0,Jewelry Clasps
319,2021-04-18,4178.0,Jewelry Clasps
320,2021-04-19,4178.0,Jewelry Clasps
321,2021-04-20,4178.0,Jewelry Clasps
322,2021-04-21,4025.0,Jewelry Clasps
323,2021-04-22,4025.0,Jewelry Clasps
324,2021-04-23,4025.0,Jewelry Clasps
325,2021-04-24,3865.0,Jewelry Clasps
326,2021-04-25,3865.0,Jewelry Clasps
327,2021-04-26,4075.0,Jewelry Clasps
328,2021-04-27,4075.0,Jewelry Clasps
329,2021-04-28,4075.0,Jewelry Clasps
330,2021-04-29,4289.0,Jewelry Clasps
331,2021-04-30,4822.0,Jewelry Clasps
332,2021-05-01,4822.0,Jewelry Clasps
333,2021-05-02,4266.0,Jewelry Clasps
334,2021-05-03,4266.0,Jewelry Clasps
335,2021-05-04,4266.0,Jewelry Clasps
336,2021-05-05,4949.0,Jewelry Clasps
337,2021-05-06,4949.0,Jewelry Clasps
338,2021-05-07,3759.0,Jewelry Clasps
339,2021-05-08,3759.0,Jewelry Clasps
340,2021-05-09,3759.0,Jewelry Clasps
341,2021-05-10,2633.0,Jewelry Clasps
342,2021-05-11,4458.0,Jewelry Clasps
343,2021-05-12,4186.0,Jewelry Clasps
344,2021-05-13,4186.0,Jewelry Clasps
345,2021-05-14,4186.0,Jewelry Clasps
346,2021-05-15,3594.0,Jewelry Clasps
347,2021-05-16,3594.0,Jewelry Clasps
348,2021-05-17,2967.0,Jewelry Clasps
349,2021-05-18,2967.0,Jewelry Clasps
350,2021-05-19,3034.0,Jewelry Clasps
351,2021-05-20,2817.0,Jewelry Clasps
352,2021-05-21,3058.0,Jewelry Clasps
353,2021-05-22,3058.0,Jewelry Clasps
354,2021-05-23,4022.0,Jewelry Clasps
355,2021-05-24,4022.0,Jewelry Clasps
356,2021-05-25,4383.0,Jewelry Clasps
357,2021-05-26,3490.0,Jewelry Clasps
358,2021-05-27,3697.0,Jewelry Clasps
359,2021-05-28,3697.0,Jewelry Clasps
360,2021-05-29,3553.0,Jewelry Clasps
361,2021-05-30,3553.0,Jewelry Clasps
362,2021-05-31,5100.0,Jewelry Clasps
363,2021-06-01,3175.0,Jewelry Clasps
364,2021-06-02,3175.0,Jewelry Clasps
365,2021-06-03,4628.0,Jewelry Clasps
366,2021-06-04,4628.0,Jewelry Clasps
367,2021-06-05,4628.0,Jewelry Clasps
368,2021-06-06,4511.0,Jewelry Clasps
369,2021-06-07,4040.0,Jewelry Clasps
370,2021-06-08,4040.0,Jewelry Clasps
371,2021-06-09,5390.0,Jewelry Clasps
372,2021-06-10,5390.0,Jewelry Clasps
373,2021-06-11,5390.0,Jewelry Clasps
374,2021-06-12,5390.0,Jewelry Clasps
375,2021-06-13,3164.0,Jewelry Clasps
376,2021-06-14,3828.0,Jewelry Clasps
377,2021-06-15,3828.0,Jewelry Clasps
378,2021-06-16,3828.0,Jewelry Clasps
379,2021-06-17,4180.0,Jewelry Clasps
380,2021-06-18,4180.0,Jewelry Clasps
381,2021-06-19,2792.0,Jewelry Clasps
382,2021-06-20,2792.0,Jewelry Clasps
383,2021-06-21,3949.0,Jewelry Clasps
384,2021-06-22,3949.0,Jewelry Clasps
385,2021-06-23,4104.0,Jewelry Clasps
386,2021-06-24,4104.0,Jewelry Clasps
387,2021-06-25,3248.0,Jewelry Clasps
388,2021-06-26,3248.0,Jewelry Clasps
389,2021-06-27,3248.0,Jewelry Clasps
390,2021-06-28,3268.0,Jewelry Clasps
391,2021-06-29,3268.0,Jewelry Clasps
392,2021-06-30,3455.0,Jewelry Clasps
393,2021-07-01,3455.0,Jewelry Clasps
394,2021-07-02,3455.0,Jewelry Clasps
395,2021-07-03,4357.0,Jewelry Clasps
396,2021-07-04,4357.0,Jewelry Clasps
397,2021-07-05,2882.0,Jewelry Clasps
398,2021-07-06,2882.0,Jewelry Clasps
399,2021-07-07,2882.0,Jewelry Clasps
400,2021-07-08,3177.0,Jewelry Clasps
401,2021-07-09,3984.0,Jewelry Clasps
402,2021-07-10,3984.0,Jewelry Clasps
403,2021-07-11,2446.0,Jewelry Clasps
