,date,value,name_B08R7NTFJ3
184,2021-06-26,368.0,Molding & Casting
185,2021-06-27,949.0,Molding & Casting
186,2021-06-28,1105.0,Molding & Casting
187,2021-06-29,2005.0,Molding & Casting
188,2021-06-30,2005.0,Molding & Casting
189,2021-07-01,1644.0,Molding & Casting
190,2021-07-02,1644.0,Molding & Casting
191,2021-07-03,576.0,Molding & Casting
192,2021-07-04,788.0,Molding & Casting
193,2021-07-05,982.0,Molding & Casting
194,2021-07-06,982.0,Molding & Casting
195,2021-07-07,1380.0,Molding & Casting
196,2021-07-08,1947.0,Molding & Casting
197,2021-07-09,2173.0,Molding & Casting
198,2021-07-10,1899.0,Molding & Casting
199,2021-07-11,2324.0,Molding & Casting
