,date,value,name_B0751VWW8C
255,2021-02-07,2626.0,Graph & Data Pads
256,2021-02-08,2626.0,Graph & Data Pads
257,2021-02-09,2626.0,Graph & Data Pads
258,2021-02-10,2534.0,Graph & Data Pads
259,2021-02-11,2534.0,Graph & Data Pads
260,2021-02-12,2534.0,Graph & Data Pads
261,2021-02-13,2534.0,Graph & Data Pads
262,2021-02-14,2534.0,Graph & Data Pads
263,2021-02-15,1771.0,Graph & Data Pads
264,2021-02-16,1598.0,Graph & Data Pads
265,2021-02-17,1598.0,Graph & Data Pads
266,2021-02-18,1598.0,Graph & Data Pads
267,2021-02-19,2260.0,Graph & Data Pads
268,2021-02-20,2260.0,Graph & Data Pads
269,2021-02-21,2260.0,Graph & Data Pads
270,2021-02-22,2099.0,Graph & Data Pads
271,2021-02-23,2490.0,Graph & Data Pads
272,2021-02-24,2009.0,Graph & Data Pads
273,2021-02-25,2009.0,Graph & Data Pads
274,2021-02-26,2395.0,Graph & Data Pads
275,2021-02-27,2395.0,Graph & Data Pads
276,2021-02-28,2395.0,Graph & Data Pads
277,2021-03-01,2423.0,Graph & Data Pads
278,2021-03-02,2423.0,Graph & Data Pads
279,2021-03-03,2423.0,Graph & Data Pads
280,2021-03-04,2664.0,Graph & Data Pads
281,2021-03-05,2664.0,Graph & Data Pads
282,2021-03-06,2664.0,Graph & Data Pads
283,2021-03-07,2919.0,Graph & Data Pads
284,2021-03-08,2919.0,Graph & Data Pads
285,2021-03-09,2919.0,Graph & Data Pads
286,2021-03-10,2186.0,Graph & Data Pads
287,2021-03-11,2186.0,Graph & Data Pads
288,2021-03-12,2130.0,Graph & Data Pads
289,2021-03-13,2130.0,Graph & Data Pads
290,2021-03-14,1668.0,Graph & Data Pads
291,2021-03-15,1567.0,Graph & Data Pads
292,2021-03-16,1567.0,Graph & Data Pads
293,2021-03-17,1889.0,Graph & Data Pads
294,2021-03-18,1889.0,Graph & Data Pads
295,2021-03-19,1889.0,Graph & Data Pads
296,2021-03-20,2296.0,Graph & Data Pads
297,2021-03-21,2296.0,Graph & Data Pads
298,2021-03-22,2091.0,Graph & Data Pads
299,2021-03-23,2091.0,Graph & Data Pads
300,2021-03-24,2091.0,Graph & Data Pads
301,2021-03-25,2594.0,Graph & Data Pads
302,2021-03-26,2661.0,Graph & Data Pads
303,2021-03-27,2661.0,Graph & Data Pads
304,2021-03-28,2404.0,Graph & Data Pads
305,2021-03-29,2404.0,Graph & Data Pads
306,2021-03-30,2404.0,Graph & Data Pads
307,2021-03-31,2404.0,Graph & Data Pads
308,2021-04-01,2404.0,Graph & Data Pads
309,2021-04-02,2268.0,Graph & Data Pads
310,2021-04-03,2268.0,Graph & Data Pads
311,2021-04-04,2202.0,Graph & Data Pads
312,2021-04-05,2202.0,Graph & Data Pads
313,2021-04-06,2202.0,Graph & Data Pads
314,2021-04-07,2129.0,Graph & Data Pads
315,2021-04-08,2374.0,Graph & Data Pads
316,2021-04-09,2374.0,Graph & Data Pads
317,2021-04-10,2374.0,Graph & Data Pads
318,2021-04-11,2374.0,Graph & Data Pads
319,2021-04-12,2059.0,Graph & Data Pads
320,2021-04-13,2059.0,Graph & Data Pads
321,2021-04-14,2291.0,Graph & Data Pads
322,2021-04-15,2291.0,Graph & Data Pads
323,2021-04-16,2291.0,Graph & Data Pads
324,2021-04-17,1842.0,Graph & Data Pads
325,2021-04-18,1842.0,Graph & Data Pads
326,2021-04-19,2253.0,Graph & Data Pads
327,2021-04-20,2253.0,Graph & Data Pads
328,2021-04-21,2242.0,Graph & Data Pads
329,2021-04-22,2242.0,Graph & Data Pads
330,2021-04-23,2272.0,Graph & Data Pads
331,2021-04-24,2455.0,Graph & Data Pads
332,2021-04-25,2455.0,Graph & Data Pads
333,2021-04-26,2130.0,Graph & Data Pads
334,2021-04-27,2130.0,Graph & Data Pads
335,2021-04-28,2130.0,Graph & Data Pads
336,2021-04-29,2700.0,Graph & Data Pads
337,2021-04-30,2700.0,Graph & Data Pads
338,2021-05-01,2700.0,Graph & Data Pads
339,2021-05-02,2256.0,Graph & Data Pads
340,2021-05-03,2354.0,Graph & Data Pads
341,2021-05-04,2308.0,Graph & Data Pads
342,2021-05-05,2308.0,Graph & Data Pads
343,2021-05-06,2302.0,Graph & Data Pads
344,2021-05-07,2473.0,Graph & Data Pads
345,2021-05-08,2473.0,Graph & Data Pads
346,2021-05-09,2473.0,Graph & Data Pads
347,2021-05-10,2473.0,Graph & Data Pads
348,2021-05-11,1991.0,Graph & Data Pads
349,2021-05-12,1991.0,Graph & Data Pads
350,2021-05-13,2065.0,Graph & Data Pads
351,2021-05-14,2130.0,Graph & Data Pads
352,2021-05-15,2130.0,Graph & Data Pads
353,2021-05-16,2130.0,Graph & Data Pads
354,2021-05-17,2125.0,Graph & Data Pads
355,2021-05-18,2125.0,Graph & Data Pads
356,2021-05-19,2125.0,Graph & Data Pads
357,2021-05-20,2026.0,Graph & Data Pads
358,2021-05-21,2026.0,Graph & Data Pads
359,2021-05-22,2115.0,Graph & Data Pads
360,2021-05-23,2115.0,Graph & Data Pads
361,2021-05-24,2187.0,Graph & Data Pads
362,2021-05-25,2544.0,Graph & Data Pads
363,2021-05-26,2544.0,Graph & Data Pads
364,2021-05-27,2544.0,Graph & Data Pads
365,2021-05-28,2801.0,Graph & Data Pads
366,2021-05-29,2801.0,Graph & Data Pads
367,2021-05-30,2801.0,Graph & Data Pads
368,2021-05-31,2560.0,Graph & Data Pads
369,2021-06-01,2560.0,Graph & Data Pads
370,2021-06-02,2560.0,Graph & Data Pads
371,2021-06-03,2560.0,Graph & Data Pads
372,2021-06-04,3255.0,Graph & Data Pads
373,2021-06-05,3255.0,Graph & Data Pads
374,2021-06-06,3255.0,Graph & Data Pads
375,2021-06-07,2591.0,Graph & Data Pads
