,date,value,name_B079LW6BNP
325,2019-06-09,679.0,Container Sets
326,2019-06-10,679.0,Container Sets
327,2019-06-11,730.0,Container Sets
328,2019-06-12,741.0,Container Sets
329,2019-06-13,593.0,Container Sets
330,2019-06-14,664.0,Container Sets
331,2019-06-15,664.0,Container Sets
332,2019-06-16,747.0,Container Sets
333,2019-06-17,761.0,Container Sets
334,2019-06-18,691.0,Container Sets
335,2019-06-19,613.0,Container Sets
336,2019-06-20,613.0,Container Sets
337,2019-06-21,535.0,Container Sets
338,2019-06-22,578.0,Container Sets
339,2019-06-23,677.0,Container Sets
340,2019-06-24,728.0,Container Sets
341,2019-06-25,866.0,Container Sets
342,2019-06-26,816.0,Container Sets
343,2019-06-27,816.0,Container Sets
344,2019-06-28,748.0,Container Sets
345,2019-06-29,727.0,Container Sets
346,2019-06-30,727.0,Container Sets
347,2019-07-01,766.0,Container Sets
348,2019-07-02,766.0,Container Sets
349,2019-07-03,766.0,Container Sets
350,2019-07-04,933.0,Container Sets
351,2019-07-05,716.0,Container Sets
352,2019-07-06,802.0,Container Sets
353,2019-07-07,888.0,Container Sets
354,2019-07-08,817.0,Container Sets
355,2019-07-09,812.0,Container Sets
356,2019-07-10,919.0,Container Sets
357,2019-07-11,919.0,Container Sets
358,2019-07-12,658.0,Container Sets
359,2019-07-13,699.0,Container Sets
360,2019-07-14,699.0,Container Sets
361,2019-07-15,994.0,Container Sets
362,2019-07-16,1326.0,Container Sets
363,2019-07-17,1523.0,Container Sets
364,2019-07-18,1038.0,Container Sets
365,2019-07-19,823.0,Container Sets
366,2019-07-20,867.0,Container Sets
367,2019-07-21,870.0,Container Sets
368,2019-07-22,840.0,Container Sets
369,2019-07-23,817.0,Container Sets
370,2019-07-24,805.0,Container Sets
371,2019-07-25,884.0,Container Sets
372,2019-07-26,813.0,Container Sets
373,2019-07-27,995.0,Container Sets
374,2019-07-28,1079.0,Container Sets
375,2019-07-29,732.0,Container Sets
376,2019-07-30,733.0,Container Sets
377,2019-07-31,793.0,Container Sets
378,2019-08-01,727.0,Container Sets
379,2019-08-02,741.0,Container Sets
380,2019-08-03,714.0,Container Sets
381,2019-08-04,983.0,Container Sets
382,2019-08-05,661.0,Container Sets
383,2019-08-06,686.0,Container Sets
384,2019-08-07,751.0,Container Sets
385,2019-08-08,669.0,Container Sets
386,2019-08-09,621.0,Container Sets
387,2019-08-10,621.0,Container Sets
388,2019-08-11,750.0,Container Sets
389,2019-08-12,750.0,Container Sets
390,2019-08-13,750.0,Container Sets
391,2019-08-14,705.0,Container Sets
392,2019-08-15,705.0,Container Sets
393,2019-08-16,705.0,Container Sets
394,2019-08-17,593.0,Container Sets
395,2019-08-18,623.0,Container Sets
396,2019-08-19,591.0,Container Sets
397,2019-08-20,591.0,Container Sets
398,2019-08-21,582.0,Container Sets
399,2019-08-22,765.0,Container Sets
400,2019-08-23,525.0,Container Sets
401,2019-08-24,633.0,Container Sets
402,2019-08-25,854.0,Container Sets
403,2019-08-26,819.0,Container Sets
404,2019-08-27,819.0,Container Sets
405,2019-08-28,819.0,Container Sets
406,2019-08-29,594.0,Container Sets
407,2019-08-30,604.0,Container Sets
408,2019-08-31,625.0,Container Sets
409,2019-09-01,625.0,Container Sets
410,2019-09-02,659.0,Container Sets
411,2019-09-03,651.0,Container Sets
412,2019-09-04,523.0,Container Sets
413,2019-09-05,523.0,Container Sets
414,2019-09-06,523.0,Container Sets
415,2019-09-07,527.0,Container Sets
416,2019-09-08,535.0,Container Sets
417,2019-09-09,535.0,Container Sets
418,2019-09-10,535.0,Container Sets
419,2019-09-11,730.0,Container Sets
420,2019-09-12,774.0,Container Sets
421,2019-09-13,769.0,Container Sets
422,2019-09-14,731.0,Container Sets
423,2019-09-15,953.0,Container Sets
424,2019-09-16,831.0,Container Sets
425,2019-09-17,586.0,Container Sets
426,2019-09-18,642.0,Container Sets
427,2019-09-19,702.0,Container Sets
428,2019-09-20,824.0,Container Sets
429,2019-09-21,952.0,Container Sets
430,2019-09-22,885.0,Container Sets
431,2019-09-23,855.0,Container Sets
432,2019-09-24,736.0,Container Sets
433,2019-09-25,680.0,Container Sets
434,2019-09-26,569.0,Container Sets
435,2019-09-27,627.0,Container Sets
436,2019-09-28,569.0,Container Sets
437,2019-09-29,742.0,Container Sets
438,2019-09-30,562.0,Container Sets
439,2019-10-01,563.0,Container Sets
440,2019-10-02,630.0,Container Sets
441,2019-10-03,615.0,Container Sets
442,2019-10-04,615.0,Container Sets
443,2019-10-05,498.0,Container Sets
444,2019-10-06,498.0,Container Sets
445,2019-10-07,498.0,Container Sets
446,2019-10-08,703.0,Container Sets
447,2019-10-09,786.0,Container Sets
448,2019-10-10,906.0,Container Sets
449,2019-10-11,906.0,Container Sets
450,2019-10-12,726.0,Container Sets
451,2019-10-13,928.0,Container Sets
452,2019-10-14,928.0,Container Sets
453,2019-10-15,747.0,Container Sets
454,2019-10-16,791.0,Container Sets
455,2019-10-17,718.0,Container Sets
456,2019-10-18,556.0,Container Sets
457,2019-10-19,714.0,Container Sets
458,2019-10-20,699.0,Container Sets
459,2019-10-21,570.0,Container Sets
460,2019-10-22,530.0,Container Sets
461,2019-10-23,617.0,Container Sets
462,2019-10-24,560.0,Container Sets
463,2019-10-25,571.0,Container Sets
464,2019-10-26,573.0,Container Sets
465,2019-10-27,638.0,Container Sets
466,2019-10-28,639.0,Container Sets
467,2019-10-29,638.0,Container Sets
468,2019-10-30,613.0,Container Sets
469,2019-10-31,587.0,Container Sets
470,2019-11-01,526.0,Container Sets
471,2019-11-02,526.0,Container Sets
472,2019-11-03,612.0,Container Sets
473,2019-11-04,657.0,Container Sets
474,2019-11-05,657.0,Container Sets
475,2019-11-06,578.0,Container Sets
476,2019-11-07,578.0,Container Sets
477,2019-11-08,578.0,Container Sets
478,2019-11-09,698.0,Container Sets
479,2019-11-10,698.0,Container Sets
480,2019-11-11,698.0,Container Sets
481,2019-11-12,649.0,Container Sets
482,2019-11-13,712.0,Container Sets
483,2019-11-14,727.0,Container Sets
484,2019-11-15,618.0,Container Sets
485,2019-11-16,618.0,Container Sets
486,2019-11-17,810.0,Container Sets
487,2019-11-18,652.0,Container Sets
488,2019-11-19,560.0,Container Sets
489,2019-11-20,560.0,Container Sets
490,2019-11-21,684.0,Container Sets
491,2019-11-22,548.0,Container Sets
492,2019-11-23,684.0,Container Sets
493,2019-11-24,684.0,Container Sets
494,2019-11-25,523.0,Container Sets
495,2019-11-26,522.0,Container Sets
496,2019-11-27,622.0,Container Sets
497,2019-11-28,622.0,Container Sets
498,2019-11-29,1189.0,Container Sets
499,2019-11-30,1802.0,Container Sets
500,2019-12-01,1802.0,Container Sets
501,2019-12-02,1439.0,Container Sets
502,2019-12-03,1439.0,Container Sets
503,2019-12-04,1439.0,Container Sets
504,2019-12-05,1599.0,Container Sets
505,2019-12-06,1599.0,Container Sets
506,2019-12-07,1599.0,Container Sets
507,2019-12-08,2184.0,Container Sets
508,2019-12-09,1989.0,Container Sets
509,2019-12-10,1989.0,Container Sets
510,2019-12-11,1989.0,Container Sets
511,2019-12-12,1908.0,Container Sets
512,2019-12-13,1941.0,Container Sets
513,2019-12-14,1941.0,Container Sets
