,date,value,name_B07K6VCPKT
207,2020-12-20,84369.0,LED Bulbs
208,2020-12-21,84369.0,LED Bulbs
209,2020-12-22,84369.0,LED Bulbs
210,2020-12-23,101820.0,LED Bulbs
211,2020-12-24,101820.0,LED Bulbs
212,2020-12-25,101820.0,LED Bulbs
213,2020-12-26,101820.0,LED Bulbs
214,2020-12-27,101820.0,LED Bulbs
215,2020-12-28,101820.0,LED Bulbs
216,2020-12-29,101820.0,LED Bulbs
217,2020-12-30,101820.0,LED Bulbs
218,2020-12-31,101820.0,LED Bulbs
219,2021-01-01,101820.0,LED Bulbs
220,2021-01-02,101820.0,LED Bulbs
221,2021-01-03,101820.0,LED Bulbs
222,2021-01-04,101820.0,LED Bulbs
223,2021-01-05,101820.0,LED Bulbs
224,2021-01-06,101820.0,LED Bulbs
225,2021-01-07,101820.0,LED Bulbs
226,2021-01-08,101820.0,LED Bulbs
227,2021-01-09,101820.0,LED Bulbs
228,2021-01-10,101820.0,LED Bulbs
229,2021-01-11,101820.0,LED Bulbs
230,2021-01-12,101820.0,LED Bulbs
231,2021-01-13,101820.0,LED Bulbs
232,2021-01-14,101820.0,LED Bulbs
233,2021-01-15,101820.0,LED Bulbs
234,2021-01-16,101820.0,LED Bulbs
235,2021-01-17,101820.0,LED Bulbs
236,2021-01-18,45732.0,LED Bulbs
237,2021-01-19,45732.0,LED Bulbs
238,2021-01-20,45732.0,LED Bulbs
239,2021-01-21,45732.0,LED Bulbs
240,2021-01-22,45732.0,LED Bulbs
241,2021-01-23,45732.0,LED Bulbs
242,2021-01-24,45732.0,LED Bulbs
243,2021-01-25,45732.0,LED Bulbs
244,2021-01-26,76541.0,LED Bulbs
245,2021-01-27,76541.0,LED Bulbs
246,2021-01-28,76541.0,LED Bulbs
247,2021-01-29,76541.0,LED Bulbs
248,2021-01-30,76541.0,LED Bulbs
249,2021-01-31,76541.0,LED Bulbs
250,2021-02-01,76541.0,LED Bulbs
251,2021-02-02,76541.0,LED Bulbs
252,2021-02-03,76541.0,LED Bulbs
253,2021-02-04,76541.0,LED Bulbs
254,2021-02-05,76541.0,LED Bulbs
255,2021-02-06,76541.0,LED Bulbs
256,2021-02-07,56161.0,LED Bulbs
257,2021-02-08,56161.0,LED Bulbs
258,2021-02-09,56161.0,LED Bulbs
259,2021-02-10,84273.0,LED Bulbs
260,2021-02-11,84273.0,LED Bulbs
261,2021-02-12,84273.0,LED Bulbs
262,2021-02-13,84273.0,LED Bulbs
263,2021-02-14,84273.0,LED Bulbs
264,2021-02-15,84273.0,LED Bulbs
265,2021-02-16,84273.0,LED Bulbs
266,2021-02-17,84273.0,LED Bulbs
267,2021-02-18,45795.0,LED Bulbs
268,2021-02-19,45795.0,LED Bulbs
269,2021-02-20,45795.0,LED Bulbs
270,2021-02-21,86406.0,LED Bulbs
271,2021-02-22,86406.0,LED Bulbs
272,2021-02-23,86406.0,LED Bulbs
273,2021-02-24,86406.0,LED Bulbs
274,2021-02-25,86406.0,LED Bulbs
275,2021-02-26,95615.0,LED Bulbs
276,2021-02-27,95615.0,LED Bulbs
277,2021-02-28,95615.0,LED Bulbs
278,2021-03-01,95615.0,LED Bulbs
279,2021-03-02,95615.0,LED Bulbs
280,2021-03-03,100160.0,LED Bulbs
281,2021-03-04,70225.0,LED Bulbs
282,2021-03-05,70225.0,LED Bulbs
283,2021-03-06,70225.0,LED Bulbs
284,2021-03-07,70225.0,LED Bulbs
285,2021-03-08,70225.0,LED Bulbs
286,2021-03-09,70225.0,LED Bulbs
287,2021-03-10,70225.0,LED Bulbs
288,2021-03-11,70225.0,LED Bulbs
289,2021-03-12,70225.0,LED Bulbs
290,2021-03-13,70225.0,LED Bulbs
291,2021-03-14,70225.0,LED Bulbs
292,2021-03-15,70225.0,LED Bulbs
293,2021-03-16,48820.0,LED Bulbs
294,2021-03-17,48820.0,LED Bulbs
295,2021-03-18,48820.0,LED Bulbs
296,2021-03-19,48820.0,LED Bulbs
297,2021-03-20,48820.0,LED Bulbs
298,2021-03-21,48820.0,LED Bulbs
299,2021-03-22,48820.0,LED Bulbs
300,2021-03-23,48820.0,LED Bulbs
301,2021-03-24,48820.0,LED Bulbs
302,2021-03-25,48820.0,LED Bulbs
303,2021-03-26,48820.0,LED Bulbs
304,2021-03-27,48820.0,LED Bulbs
305,2021-03-28,48820.0,LED Bulbs
306,2021-03-29,39564.0,LED Bulbs
307,2021-03-30,39564.0,LED Bulbs
308,2021-03-31,39564.0,LED Bulbs
309,2021-04-01,39564.0,LED Bulbs
310,2021-04-02,39564.0,LED Bulbs
311,2021-04-03,39564.0,LED Bulbs
312,2021-04-04,39564.0,LED Bulbs
313,2021-04-05,39564.0,LED Bulbs
314,2021-04-06,39564.0,LED Bulbs
315,2021-04-07,34418.0,LED Bulbs
316,2021-04-08,34418.0,LED Bulbs
317,2021-04-09,27071.0,LED Bulbs
318,2021-04-10,27071.0,LED Bulbs
319,2021-04-11,27071.0,LED Bulbs
320,2021-04-12,27071.0,LED Bulbs
321,2021-04-13,27071.0,LED Bulbs
322,2021-04-14,27071.0,LED Bulbs
323,2021-04-15,35227.0,LED Bulbs
324,2021-04-16,35227.0,LED Bulbs
325,2021-04-17,35227.0,LED Bulbs
326,2021-04-18,35227.0,LED Bulbs
327,2021-04-19,40742.0,LED Bulbs
328,2021-04-20,40742.0,LED Bulbs
329,2021-04-21,40742.0,LED Bulbs
330,2021-04-22,47502.0,LED Bulbs
331,2021-04-23,47502.0,LED Bulbs
332,2021-04-24,47502.0,LED Bulbs
333,2021-04-25,47502.0,LED Bulbs
334,2021-04-26,47502.0,LED Bulbs
335,2021-04-27,27065.0,LED Bulbs
336,2021-04-28,27065.0,LED Bulbs
337,2021-04-29,27065.0,LED Bulbs
338,2021-04-30,27065.0,LED Bulbs
339,2021-05-01,27065.0,LED Bulbs
340,2021-05-02,27065.0,LED Bulbs
341,2021-05-03,27065.0,LED Bulbs
342,2021-05-04,27065.0,LED Bulbs
343,2021-05-05,27065.0,LED Bulbs
344,2021-05-06,27467.0,LED Bulbs
345,2021-05-07,27467.0,LED Bulbs
346,2021-05-08,31960.0,LED Bulbs
347,2021-05-09,31960.0,LED Bulbs
348,2021-05-10,31960.0,LED Bulbs
349,2021-05-11,31960.0,LED Bulbs
350,2021-05-12,36327.0,LED Bulbs
351,2021-05-13,36327.0,LED Bulbs
352,2021-05-14,36327.0,LED Bulbs
353,2021-05-15,36327.0,LED Bulbs
354,2021-05-16,36327.0,LED Bulbs
355,2021-05-17,42190.0,LED Bulbs
356,2021-05-18,42190.0,LED Bulbs
357,2021-05-19,36012.0,LED Bulbs
358,2021-05-20,25582.0,LED Bulbs
359,2021-05-21,24262.0,LED Bulbs
360,2021-05-22,24262.0,LED Bulbs
361,2021-05-23,24262.0,LED Bulbs
362,2021-05-24,24262.0,LED Bulbs
363,2021-05-25,24262.0,LED Bulbs
364,2021-05-26,24262.0,LED Bulbs
365,2021-05-27,24262.0,LED Bulbs
366,2021-05-28,21830.0,LED Bulbs
367,2021-05-29,21830.0,LED Bulbs
368,2021-05-30,21830.0,LED Bulbs
369,2021-05-31,22857.0,LED Bulbs
370,2021-06-01,22857.0,LED Bulbs
371,2021-06-02,22857.0,LED Bulbs
372,2021-06-03,22857.0,LED Bulbs
373,2021-06-04,22857.0,LED Bulbs
374,2021-06-05,22857.0,LED Bulbs
375,2021-06-06,22857.0,LED Bulbs
376,2021-06-07,16754.0,LED Bulbs
377,2021-06-08,16754.0,LED Bulbs
378,2021-06-09,26893.0,LED Bulbs
379,2021-06-10,26893.0,LED Bulbs
380,2021-06-11,26893.0,LED Bulbs
381,2021-06-12,26893.0,LED Bulbs
382,2021-06-13,26893.0,LED Bulbs
383,2021-06-14,26893.0,LED Bulbs
384,2021-06-15,26893.0,LED Bulbs
385,2021-06-16,26893.0,LED Bulbs
386,2021-06-17,26893.0,LED Bulbs
387,2021-06-18,26893.0,LED Bulbs
388,2021-06-19,21532.0,LED Bulbs
389,2021-06-20,24206.0,LED Bulbs
390,2021-06-21,24206.0,LED Bulbs
391,2021-06-22,24206.0,LED Bulbs
392,2021-06-23,19623.0,LED Bulbs
393,2021-06-24,19623.0,LED Bulbs
394,2021-06-25,19623.0,LED Bulbs
395,2021-06-26,19623.0,LED Bulbs
396,2021-06-27,18941.0,LED Bulbs
397,2021-06-28,18941.0,LED Bulbs
398,2021-06-29,18941.0,LED Bulbs
399,2021-06-30,18941.0,LED Bulbs
400,2021-07-01,18941.0,LED Bulbs
401,2021-07-02,18941.0,LED Bulbs
402,2021-07-03,18941.0,LED Bulbs
403,2021-07-04,18941.0,LED Bulbs
404,2021-07-05,27291.0,LED Bulbs
405,2021-07-06,27291.0,LED Bulbs
406,2021-07-07,27291.0,LED Bulbs
407,2021-07-08,27291.0,LED Bulbs
408,2021-07-09,21657.0,LED Bulbs
409,2021-07-10,21657.0,LED Bulbs
410,2021-07-11,23755.0,LED Bulbs
