,date,value,name_B08J3P48VT
179,2021-05-11,4151.0,Drip Irrigation Kits
180,2021-05-12,4090.0,Drip Irrigation Kits
181,2021-05-13,4090.0,Drip Irrigation Kits
182,2021-05-14,3319.0,Drip Irrigation Kits
183,2021-05-15,3319.0,Drip Irrigation Kits
184,2021-05-16,3979.0,Drip Irrigation Kits
185,2021-05-17,3979.0,Drip Irrigation Kits
186,2021-05-18,4709.0,Drip Irrigation Kits
187,2021-05-19,4235.0,Drip Irrigation Kits
188,2021-05-20,3256.0,Drip Irrigation Kits
189,2021-05-21,3256.0,Drip Irrigation Kits
190,2021-05-22,4672.0,Drip Irrigation Kits
191,2021-05-23,4672.0,Drip Irrigation Kits
192,2021-05-24,4721.0,Drip Irrigation Kits
193,2021-05-25,4721.0,Drip Irrigation Kits
194,2021-05-26,4463.0,Drip Irrigation Kits
195,2021-05-27,4463.0,Drip Irrigation Kits
196,2021-05-28,4543.0,Drip Irrigation Kits
197,2021-05-29,5359.0,Drip Irrigation Kits
198,2021-05-30,5359.0,Drip Irrigation Kits
199,2021-05-31,3646.0,Drip Irrigation Kits
200,2021-06-01,3428.0,Drip Irrigation Kits
201,2021-06-02,4900.0,Drip Irrigation Kits
202,2021-06-03,4900.0,Drip Irrigation Kits
203,2021-06-04,3352.0,Drip Irrigation Kits
204,2021-06-05,3352.0,Drip Irrigation Kits
205,2021-06-06,3738.0,Drip Irrigation Kits
206,2021-06-07,3738.0,Drip Irrigation Kits
207,2021-06-08,4167.0,Drip Irrigation Kits
208,2021-06-09,3979.0,Drip Irrigation Kits
209,2021-06-10,3979.0,Drip Irrigation Kits
210,2021-06-11,3904.0,Drip Irrigation Kits
211,2021-06-12,3904.0,Drip Irrigation Kits
212,2021-06-13,3633.0,Drip Irrigation Kits
213,2021-06-14,3633.0,Drip Irrigation Kits
214,2021-06-15,4081.0,Drip Irrigation Kits
215,2021-06-16,4387.0,Drip Irrigation Kits
216,2021-06-17,4387.0,Drip Irrigation Kits
217,2021-06-18,4948.0,Drip Irrigation Kits
218,2021-06-19,4889.0,Drip Irrigation Kits
219,2021-06-20,5269.0,Drip Irrigation Kits
220,2021-06-21,5269.0,Drip Irrigation Kits
221,2021-06-22,5269.0,Drip Irrigation Kits
222,2021-06-23,6115.0,Drip Irrigation Kits
223,2021-06-24,6115.0,Drip Irrigation Kits
224,2021-06-25,4654.0,Drip Irrigation Kits
225,2021-06-26,4654.0,Drip Irrigation Kits
226,2021-06-27,5186.0,Drip Irrigation Kits
227,2021-06-28,5186.0,Drip Irrigation Kits
228,2021-06-29,5502.0,Drip Irrigation Kits
229,2021-06-30,6650.0,Drip Irrigation Kits
230,2021-07-01,6650.0,Drip Irrigation Kits
231,2021-07-02,4898.0,Drip Irrigation Kits
232,2021-07-03,4828.0,Drip Irrigation Kits
233,2021-07-04,4828.0,Drip Irrigation Kits
234,2021-07-05,4017.0,Drip Irrigation Kits
235,2021-07-06,4017.0,Drip Irrigation Kits
236,2021-07-07,4644.0,Drip Irrigation Kits
237,2021-07-08,4644.0,Drip Irrigation Kits
238,2021-07-09,4644.0,Drip Irrigation Kits
239,2021-07-10,4486.0,Drip Irrigation Kits
240,2021-07-11,4222.0,Drip Irrigation Kits
