,date,value,name_B08RJ4XHS4
125,2021-05-26,51571.0,Meat
126,2021-05-27,58111.0,Meat
127,2021-05-28,29350.0,Meat
128,2021-05-29,13295.0,Meat
129,2021-05-30,14928.0,Meat
130,2021-05-31,22719.0,Meat
131,2021-06-01,15813.0,Meat
132,2021-06-02,18226.0,Meat
133,2021-06-03,21280.0,Meat
134,2021-06-04,21050.0,Meat
135,2021-06-05,19761.0,Meat
136,2021-06-06,10870.0,Meat
137,2021-06-07,16689.0,Meat
138,2021-06-08,13270.0,Meat
139,2021-06-09,12722.0,Meat
140,2021-06-10,14403.0,Meat
141,2021-06-11,16338.0,Meat
142,2021-06-12,19134.0,Meat
143,2021-06-13,15769.0,Meat
144,2021-06-14,17630.0,Meat
145,2021-06-15,24954.0,Meat
146,2021-06-16,24939.0,Meat
147,2021-06-17,16409.0,Meat
148,2021-06-18,12375.0,Meat
149,2021-06-19,14604.0,Meat
150,2021-06-20,14729.0,Meat
151,2021-06-21,11827.0,Meat
152,2021-06-22,15857.0,Meat
153,2021-06-23,16739.0,Meat
154,2021-06-24,14293.0,Meat
155,2021-06-25,14809.0,Meat
156,2021-06-26,15822.0,Meat
157,2021-06-27,21028.0,Meat
158,2021-06-28,24769.0,Meat
159,2021-06-29,23333.0,Meat
160,2021-06-30,13493.0,Meat
161,2021-07-01,19991.0,Meat
162,2021-07-02,25026.0,Meat
163,2021-07-03,25337.0,Meat
164,2021-07-04,25265.0,Meat
165,2021-07-05,22853.0,Meat
166,2021-07-06,34593.0,Meat
167,2021-07-07,17672.0,Meat
168,2021-07-08,20116.0,Meat
169,2021-07-09,18680.0,Meat
