,date,value,name_B07VGHZ46V
325,2021-05-10,20922.0,Badge Holders
326,2021-05-11,20922.0,Badge Holders
327,2021-05-12,20922.0,Badge Holders
328,2021-05-13,20922.0,Badge Holders
329,2021-05-14,20922.0,Badge Holders
330,2021-05-15,14797.0,Badge Holders
331,2021-05-16,14797.0,Badge Holders
332,2021-05-17,14797.0,Badge Holders
333,2021-05-18,19787.0,Badge Holders
334,2021-05-19,19787.0,Badge Holders
335,2021-05-20,18539.0,Badge Holders
336,2021-05-21,18539.0,Badge Holders
337,2021-05-22,18539.0,Badge Holders
338,2021-05-23,18539.0,Badge Holders
339,2021-05-24,18539.0,Badge Holders
340,2021-05-25,19214.0,Badge Holders
341,2021-05-26,19214.0,Badge Holders
342,2021-05-27,19214.0,Badge Holders
343,2021-05-28,19214.0,Badge Holders
344,2021-05-29,19214.0,Badge Holders
345,2021-05-30,19474.0,Badge Holders
346,2021-05-31,19474.0,Badge Holders
347,2021-06-01,19474.0,Badge Holders
348,2021-06-02,19474.0,Badge Holders
349,2021-06-03,19474.0,Badge Holders
350,2021-06-04,35852.0,Badge Holders
351,2021-06-05,35852.0,Badge Holders
352,2021-06-06,35852.0,Badge Holders
353,2021-06-07,18473.0,Badge Holders
354,2021-06-08,18473.0,Badge Holders
355,2021-06-09,18473.0,Badge Holders
356,2021-06-10,11682.0,Badge Holders
357,2021-06-11,11682.0,Badge Holders
358,2021-06-12,11682.0,Badge Holders
359,2021-06-13,11682.0,Badge Holders
360,2021-06-14,11682.0,Badge Holders
361,2021-06-15,17020.0,Badge Holders
362,2021-06-16,17020.0,Badge Holders
363,2021-06-17,17020.0,Badge Holders
364,2021-06-18,11382.0,Badge Holders
365,2021-06-19,11382.0,Badge Holders
366,2021-06-20,11382.0,Badge Holders
367,2021-06-21,13379.0,Badge Holders
368,2021-06-22,16607.0,Badge Holders
369,2021-06-23,16607.0,Badge Holders
370,2021-06-24,16609.0,Badge Holders
371,2021-06-25,16609.0,Badge Holders
372,2021-06-26,16609.0,Badge Holders
373,2021-06-27,13646.0,Badge Holders
374,2021-06-28,17874.0,Badge Holders
375,2021-06-29,17874.0,Badge Holders
376,2021-06-30,10266.0,Badge Holders
377,2021-07-01,10266.0,Badge Holders
378,2021-07-02,10266.0,Badge Holders
379,2021-07-03,10266.0,Badge Holders
380,2021-07-04,10266.0,Badge Holders
381,2021-07-05,13668.0,Badge Holders
382,2021-07-06,13668.0,Badge Holders
383,2021-07-07,10364.0,Badge Holders
384,2021-07-08,10364.0,Badge Holders
385,2021-07-09,14254.0,Badge Holders
