,date,value,name_B08DCSF2GH
303,2021-06-02,33593.0,LED Bulbs
304,2021-06-03,35064.0,LED Bulbs
305,2021-06-04,35064.0,LED Bulbs
306,2021-06-05,34165.0,LED Bulbs
307,2021-06-06,34165.0,LED Bulbs
308,2021-06-07,34165.0,LED Bulbs
309,2021-06-08,41885.0,LED Bulbs
310,2021-06-09,41885.0,LED Bulbs
311,2021-06-10,41885.0,LED Bulbs
312,2021-06-11,41885.0,LED Bulbs
313,2021-06-12,41885.0,LED Bulbs
314,2021-06-13,40329.0,LED Bulbs
315,2021-06-14,38507.0,LED Bulbs
316,2021-06-15,38507.0,LED Bulbs
317,2021-06-16,38507.0,LED Bulbs
318,2021-06-17,38507.0,LED Bulbs
319,2021-06-18,54621.0,LED Bulbs
320,2021-06-19,54621.0,LED Bulbs
321,2021-06-20,53017.0,LED Bulbs
322,2021-06-21,53017.0,LED Bulbs
323,2021-06-22,53017.0,LED Bulbs
324,2021-06-23,53017.0,LED Bulbs
325,2021-06-24,23744.0,LED Bulbs
326,2021-06-25,23744.0,LED Bulbs
327,2021-06-26,23744.0,LED Bulbs
328,2021-06-27,25648.0,LED Bulbs
329,2021-06-28,15963.0,LED Bulbs
330,2021-06-29,15963.0,LED Bulbs
331,2021-06-30,18182.0,LED Bulbs
332,2021-07-01,19110.0,LED Bulbs
333,2021-07-02,19110.0,LED Bulbs
334,2021-07-03,19110.0,LED Bulbs
335,2021-07-04,26151.0,LED Bulbs
336,2021-07-05,22317.0,LED Bulbs
337,2021-07-06,22317.0,LED Bulbs
338,2021-07-07,22317.0,LED Bulbs
339,2021-07-08,22317.0,LED Bulbs
340,2021-07-09,17990.0,LED Bulbs
341,2021-07-10,26674.0,LED Bulbs
