,date,value,name_B08J911SH5
207,2021-07-01,1958.0,Dish Soap
208,2021-07-02,1789.0,Dish Soap
209,2021-07-03,1789.0,Dish Soap
210,2021-07-04,2020.0,Dish Soap
211,2021-07-05,1966.0,Dish Soap
212,2021-07-06,1756.0,Dish Soap
213,2021-07-07,1716.0,Dish Soap
214,2021-07-08,1714.0,Dish Soap
215,2021-07-09,1786.0,Dish Soap
216,2021-07-10,1869.0,Dish Soap
217,2021-07-11,1833.0,Dish Soap
