,date,value,name_B07K2P1HTV
239,2019-07-13,33236.0,Panels
240,2019-07-14,54722.0,Panels
241,2019-07-15,48340.0,Panels
242,2019-07-16,48340.0,Panels
243,2019-07-17,48340.0,Panels
244,2019-07-18,55312.0,Panels
245,2019-07-19,49072.0,Panels
246,2019-07-20,53098.0,Panels
247,2019-07-21,70260.0,Panels
248,2019-07-22,70260.0,Panels
249,2019-07-23,52845.0,Panels
250,2019-07-24,71544.0,Panels
251,2019-07-25,60770.0,Panels
252,2019-07-26,60770.0,Panels
253,2019-07-27,81596.0,Panels
254,2019-07-28,65302.0,Panels
255,2019-07-29,55138.0,Panels
256,2019-07-30,99809.0,Panels
257,2019-07-31,58869.0,Panels
258,2019-08-01,46094.0,Panels
259,2019-08-02,54728.0,Panels
260,2019-08-03,47870.0,Panels
261,2019-08-04,35772.0,Panels
262,2019-08-05,49217.0,Panels
263,2019-08-06,65774.0,Panels
264,2019-08-07,65774.0,Panels
265,2019-08-08,49802.0,Panels
266,2019-08-09,39080.0,Panels
267,2019-08-10,31379.0,Panels
268,2019-08-11,31491.0,Panels
269,2019-08-12,31491.0,Panels
270,2019-08-13,35550.0,Panels
271,2019-08-14,46944.0,Panels
272,2019-08-15,47730.0,Panels
273,2019-08-16,54850.0,Panels
274,2019-08-17,43029.0,Panels
275,2019-08-18,39035.0,Panels
276,2019-08-19,37775.0,Panels
277,2019-08-20,29553.0,Panels
278,2019-08-21,38777.0,Panels
279,2019-08-22,56383.0,Panels
280,2019-08-23,47605.0,Panels
281,2019-08-24,50630.0,Panels
282,2019-08-25,29554.0,Panels
283,2019-08-26,40870.0,Panels
284,2019-08-27,30699.0,Panels
285,2019-08-28,30565.0,Panels
286,2019-08-29,30565.0,Panels
287,2019-08-30,30565.0,Panels
288,2019-08-31,30565.0,Panels
289,2019-09-01,30565.0,Panels
290,2019-09-02,33117.0,Panels
291,2019-09-03,33826.0,Panels
292,2019-09-04,33659.0,Panels
293,2019-09-05,41756.0,Panels
294,2019-09-06,51932.0,Panels
295,2019-09-07,34683.0,Panels
296,2019-09-08,40473.0,Panels
297,2019-09-09,40473.0,Panels
298,2019-09-10,40473.0,Panels
299,2019-09-11,40473.0,Panels
300,2019-09-12,40473.0,Panels
301,2019-09-13,40473.0,Panels
302,2019-09-14,40473.0,Panels
303,2019-09-15,40473.0,Panels
304,2019-09-16,55676.0,Panels
305,2019-09-17,36468.0,Panels
306,2019-09-18,39423.0,Panels
307,2019-09-19,48660.0,Panels
308,2019-09-20,39719.0,Panels
309,2019-09-21,50030.0,Panels
310,2019-09-22,38173.0,Panels
311,2019-09-23,26237.0,Panels
312,2019-09-24,48080.0,Panels
313,2019-09-25,38176.0,Panels
314,2019-09-26,48625.0,Panels
315,2019-09-27,54568.0,Panels
316,2019-09-28,33870.0,Panels
317,2019-09-29,27797.0,Panels
318,2019-09-30,51473.0,Panels
319,2019-10-01,51473.0,Panels
320,2019-10-02,30154.0,Panels
321,2019-10-03,21161.0,Panels
322,2019-10-04,35591.0,Panels
323,2019-10-05,34328.0,Panels
324,2019-10-06,32140.0,Panels
325,2019-10-07,44140.0,Panels
326,2019-10-08,51366.0,Panels
327,2019-10-09,51366.0,Panels
328,2019-10-10,44751.0,Panels
329,2019-10-11,66276.0,Panels
