,date,value,name_B08WBLFCD6
38,2021-04-12,7.0,"Cleansing Cloths, Swabs & Wipes"
39,2021-04-13,7.0,"Cleansing Cloths, Swabs & Wipes"
40,2021-04-14,7.0,"Cleansing Cloths, Swabs & Wipes"
41,2021-04-15,8.0,"Cleansing Cloths, Swabs & Wipes"
42,2021-04-16,10.0,"Cleansing Cloths, Swabs & Wipes"
43,2021-04-17,9.0,"Cleansing Cloths, Swabs & Wipes"
44,2021-04-18,10.0,"Cleansing Cloths, Swabs & Wipes"
45,2021-04-19,7.0,"Cleansing Cloths, Swabs & Wipes"
46,2021-04-20,7.0,"Cleansing Cloths, Swabs & Wipes"
47,2021-04-21,20.0,"Cleansing Cloths, Swabs & Wipes"
48,2021-04-22,19.0,"Cleansing Cloths, Swabs & Wipes"
49,2021-04-23,24.0,"Cleansing Cloths, Swabs & Wipes"
50,2021-04-24,6.0,"Cleansing Cloths, Swabs & Wipes"
51,2021-04-25,9.0,"Cleansing Cloths, Swabs & Wipes"
52,2021-04-26,13.0,"Cleansing Cloths, Swabs & Wipes"
53,2021-04-27,15.0,"Cleansing Cloths, Swabs & Wipes"
54,2021-04-28,16.0,"Cleansing Cloths, Swabs & Wipes"
55,2021-04-29,17.0,"Cleansing Cloths, Swabs & Wipes"
56,2021-04-30,21.0,"Cleansing Cloths, Swabs & Wipes"
57,2021-05-01,23.0,"Cleansing Cloths, Swabs & Wipes"
58,2021-05-02,22.0,"Cleansing Cloths, Swabs & Wipes"
59,2021-05-03,25.0,"Cleansing Cloths, Swabs & Wipes"
60,2021-05-04,24.0,"Cleansing Cloths, Swabs & Wipes"
61,2021-05-05,28.0,"Cleansing Cloths, Swabs & Wipes"
62,2021-05-06,27.0,"Cleansing Cloths, Swabs & Wipes"
63,2021-05-07,27.0,"Cleansing Cloths, Swabs & Wipes"
64,2021-05-08,29.0,"Cleansing Cloths, Swabs & Wipes"
65,2021-05-09,29.0,"Cleansing Cloths, Swabs & Wipes"
66,2021-05-10,23.0,"Cleansing Cloths, Swabs & Wipes"
67,2021-05-11,25.0,"Cleansing Cloths, Swabs & Wipes"
68,2021-05-12,27.0,"Cleansing Cloths, Swabs & Wipes"
69,2021-05-13,25.0,"Cleansing Cloths, Swabs & Wipes"
70,2021-05-14,25.0,"Cleansing Cloths, Swabs & Wipes"
71,2021-05-15,23.0,"Cleansing Cloths, Swabs & Wipes"
72,2021-05-16,22.0,"Cleansing Cloths, Swabs & Wipes"
73,2021-05-17,26.0,"Cleansing Cloths, Swabs & Wipes"
74,2021-05-18,21.0,"Cleansing Cloths, Swabs & Wipes"
75,2021-05-19,22.0,"Cleansing Cloths, Swabs & Wipes"
76,2021-05-20,23.0,"Cleansing Cloths, Swabs & Wipes"
77,2021-05-21,21.0,"Cleansing Cloths, Swabs & Wipes"
78,2021-05-22,20.0,"Cleansing Cloths, Swabs & Wipes"
79,2021-05-23,20.0,"Cleansing Cloths, Swabs & Wipes"
80,2021-05-24,21.0,"Cleansing Cloths, Swabs & Wipes"
81,2021-05-25,25.0,"Cleansing Cloths, Swabs & Wipes"
82,2021-05-26,27.0,"Cleansing Cloths, Swabs & Wipes"
83,2021-05-27,26.0,"Cleansing Cloths, Swabs & Wipes"
84,2021-05-28,22.0,"Cleansing Cloths, Swabs & Wipes"
85,2021-05-29,19.0,"Cleansing Cloths, Swabs & Wipes"
86,2021-05-30,16.0,"Cleansing Cloths, Swabs & Wipes"
87,2021-05-31,15.0,"Cleansing Cloths, Swabs & Wipes"
88,2021-06-01,15.0,"Cleansing Cloths, Swabs & Wipes"
89,2021-06-02,19.0,"Cleansing Cloths, Swabs & Wipes"
90,2021-06-03,22.0,"Cleansing Cloths, Swabs & Wipes"
91,2021-06-04,19.0,"Cleansing Cloths, Swabs & Wipes"
92,2021-06-05,18.0,"Cleansing Cloths, Swabs & Wipes"
93,2021-06-06,18.0,"Cleansing Cloths, Swabs & Wipes"
94,2021-06-07,19.0,"Cleansing Cloths, Swabs & Wipes"
95,2021-06-08,243.0,"Cleansing Cloths, Swabs & Wipes"
96,2021-06-09,347.0,"Cleansing Cloths, Swabs & Wipes"
97,2021-06-10,347.0,"Cleansing Cloths, Swabs & Wipes"
98,2021-06-11,350.0,"Cleansing Cloths, Swabs & Wipes"
99,2021-06-12,377.0,"Cleansing Cloths, Swabs & Wipes"
100,2021-06-13,331.0,"Cleansing Cloths, Swabs & Wipes"
101,2021-06-14,296.0,"Cleansing Cloths, Swabs & Wipes"
102,2021-06-15,320.0,"Cleansing Cloths, Swabs & Wipes"
103,2021-06-16,258.0,"Cleansing Cloths, Swabs & Wipes"
104,2021-06-17,264.0,"Cleansing Cloths, Swabs & Wipes"
105,2021-06-18,288.0,"Cleansing Cloths, Swabs & Wipes"
106,2021-06-19,300.0,"Cleansing Cloths, Swabs & Wipes"
107,2021-06-20,303.0,"Cleansing Cloths, Swabs & Wipes"
108,2021-06-21,285.0,"Cleansing Cloths, Swabs & Wipes"
109,2021-06-22,420.0,"Cleansing Cloths, Swabs & Wipes"
110,2021-06-23,407.0,"Cleansing Cloths, Swabs & Wipes"
111,2021-06-24,355.0,"Cleansing Cloths, Swabs & Wipes"
112,2021-06-25,229.0,"Cleansing Cloths, Swabs & Wipes"
113,2021-06-26,223.0,"Cleansing Cloths, Swabs & Wipes"
114,2021-06-27,206.0,"Cleansing Cloths, Swabs & Wipes"
115,2021-06-28,206.0,"Cleansing Cloths, Swabs & Wipes"
116,2021-06-29,206.0,"Cleansing Cloths, Swabs & Wipes"
117,2021-06-30,206.0,"Cleansing Cloths, Swabs & Wipes"
118,2021-07-01,76.0,"Cleansing Cloths, Swabs & Wipes"
119,2021-07-02,168.0,"Cleansing Cloths, Swabs & Wipes"
120,2021-07-03,184.0,"Cleansing Cloths, Swabs & Wipes"
121,2021-07-04,167.0,"Cleansing Cloths, Swabs & Wipes"
122,2021-07-05,173.0,"Cleansing Cloths, Swabs & Wipes"
123,2021-07-06,193.0,"Cleansing Cloths, Swabs & Wipes"
124,2021-07-07,199.0,"Cleansing Cloths, Swabs & Wipes"
125,2021-07-08,212.0,"Cleansing Cloths, Swabs & Wipes"
126,2021-07-09,229.0,"Cleansing Cloths, Swabs & Wipes"
127,2021-07-10,229.0,"Cleansing Cloths, Swabs & Wipes"
128,2021-07-11,206.0,"Cleansing Cloths, Swabs & Wipes"
