,date,value,name_B08K915X75
73,2020-12-13,1511.0,Flagpole Hardware
74,2020-12-14,1500.0,Flagpole Hardware
75,2020-12-15,1664.0,Flagpole Hardware
76,2020-12-16,1456.0,Flagpole Hardware
77,2020-12-17,1259.0,Flagpole Hardware
78,2020-12-18,1268.0,Flagpole Hardware
79,2020-12-19,1609.0,Flagpole Hardware
80,2020-12-20,1609.0,Flagpole Hardware
81,2020-12-21,1350.0,Flagpole Hardware
82,2020-12-22,1554.0,Flagpole Hardware
83,2020-12-23,1574.0,Flagpole Hardware
84,2020-12-24,1544.0,Flagpole Hardware
85,2020-12-25,1544.0,Flagpole Hardware
86,2020-12-26,944.0,Flagpole Hardware
87,2020-12-27,944.0,Flagpole Hardware
88,2020-12-28,1148.0,Flagpole Hardware
89,2020-12-29,1191.0,Flagpole Hardware
90,2020-12-30,1243.0,Flagpole Hardware
91,2020-12-31,978.0,Flagpole Hardware
92,2021-01-01,978.0,Flagpole Hardware
93,2021-01-02,1047.0,Flagpole Hardware
94,2021-01-03,1124.0,Flagpole Hardware
95,2021-01-04,1124.0,Flagpole Hardware
96,2021-01-05,1099.0,Flagpole Hardware
97,2021-01-06,999.0,Flagpole Hardware
98,2021-01-07,699.0,Flagpole Hardware
99,2021-01-08,691.0,Flagpole Hardware
100,2021-01-09,514.0,Flagpole Hardware
101,2021-01-10,629.0,Flagpole Hardware
102,2021-01-11,751.0,Flagpole Hardware
103,2021-01-12,758.0,Flagpole Hardware
104,2021-01-13,758.0,Flagpole Hardware
105,2021-01-14,706.0,Flagpole Hardware
106,2021-01-15,742.0,Flagpole Hardware
107,2021-01-16,707.0,Flagpole Hardware
108,2021-01-17,707.0,Flagpole Hardware
109,2021-01-18,858.0,Flagpole Hardware
110,2021-01-19,858.0,Flagpole Hardware
111,2021-01-20,684.0,Flagpole Hardware
112,2021-01-21,684.0,Flagpole Hardware
113,2021-01-22,579.0,Flagpole Hardware
114,2021-01-23,579.0,Flagpole Hardware
115,2021-01-24,730.0,Flagpole Hardware
116,2021-01-25,730.0,Flagpole Hardware
117,2021-01-26,808.0,Flagpole Hardware
118,2021-01-27,827.0,Flagpole Hardware
119,2021-01-28,814.0,Flagpole Hardware
120,2021-01-29,939.0,Flagpole Hardware
121,2021-01-30,1301.0,Flagpole Hardware
122,2021-01-31,1301.0,Flagpole Hardware
123,2021-02-01,1228.0,Flagpole Hardware
124,2021-02-02,1228.0,Flagpole Hardware
125,2021-02-03,1272.0,Flagpole Hardware
126,2021-02-04,1272.0,Flagpole Hardware
127,2021-02-05,1079.0,Flagpole Hardware
128,2021-02-06,1112.0,Flagpole Hardware
129,2021-02-07,1112.0,Flagpole Hardware
130,2021-02-08,1638.0,Flagpole Hardware
131,2021-02-09,1638.0,Flagpole Hardware
132,2021-02-10,1909.0,Flagpole Hardware
133,2021-02-11,1709.0,Flagpole Hardware
134,2021-02-12,1428.0,Flagpole Hardware
135,2021-02-13,1712.0,Flagpole Hardware
136,2021-02-14,1712.0,Flagpole Hardware
137,2021-02-15,1549.0,Flagpole Hardware
138,2021-02-16,1549.0,Flagpole Hardware
139,2021-02-17,1549.0,Flagpole Hardware
140,2021-02-18,1935.0,Flagpole Hardware
141,2021-02-19,1959.0,Flagpole Hardware
142,2021-02-20,1959.0,Flagpole Hardware
143,2021-02-21,1959.0,Flagpole Hardware
144,2021-02-22,1252.0,Flagpole Hardware
145,2021-02-23,1584.0,Flagpole Hardware
146,2021-02-24,1553.0,Flagpole Hardware
147,2021-02-25,1553.0,Flagpole Hardware
148,2021-02-26,1553.0,Flagpole Hardware
149,2021-02-27,1525.0,Flagpole Hardware
150,2021-02-28,1525.0,Flagpole Hardware
151,2021-03-01,1515.0,Flagpole Hardware
152,2021-03-02,1515.0,Flagpole Hardware
153,2021-03-03,1515.0,Flagpole Hardware
154,2021-03-04,1250.0,Flagpole Hardware
155,2021-03-05,1281.0,Flagpole Hardware
156,2021-03-06,1216.0,Flagpole Hardware
157,2021-03-07,1450.0,Flagpole Hardware
158,2021-03-08,1267.0,Flagpole Hardware
159,2021-03-09,1522.0,Flagpole Hardware
160,2021-03-10,1264.0,Flagpole Hardware
161,2021-03-11,945.0,Flagpole Hardware
162,2021-03-12,1036.0,Flagpole Hardware
163,2021-03-13,1036.0,Flagpole Hardware
164,2021-03-14,1211.0,Flagpole Hardware
165,2021-03-15,1334.0,Flagpole Hardware
166,2021-03-16,1448.0,Flagpole Hardware
167,2021-03-17,1248.0,Flagpole Hardware
168,2021-03-18,1248.0,Flagpole Hardware
169,2021-03-19,1238.0,Flagpole Hardware
170,2021-03-20,1238.0,Flagpole Hardware
171,2021-03-21,1309.0,Flagpole Hardware
172,2021-03-22,1355.0,Flagpole Hardware
173,2021-03-23,987.0,Flagpole Hardware
174,2021-03-24,987.0,Flagpole Hardware
175,2021-03-25,1203.0,Flagpole Hardware
176,2021-03-26,1013.0,Flagpole Hardware
177,2021-03-27,1013.0,Flagpole Hardware
178,2021-03-28,1013.0,Flagpole Hardware
179,2021-03-29,1180.0,Flagpole Hardware
180,2021-03-30,1090.0,Flagpole Hardware
181,2021-03-31,1156.0,Flagpole Hardware
182,2021-04-01,896.0,Flagpole Hardware
183,2021-04-02,900.0,Flagpole Hardware
184,2021-04-03,900.0,Flagpole Hardware
185,2021-04-04,900.0,Flagpole Hardware
186,2021-04-05,760.0,Flagpole Hardware
187,2021-04-06,659.0,Flagpole Hardware
188,2021-04-07,462.0,Flagpole Hardware
189,2021-04-08,491.0,Flagpole Hardware
190,2021-04-09,491.0,Flagpole Hardware
191,2021-04-10,467.0,Flagpole Hardware
192,2021-04-11,414.0,Flagpole Hardware
193,2021-04-12,414.0,Flagpole Hardware
194,2021-04-13,508.0,Flagpole Hardware
195,2021-04-14,730.0,Flagpole Hardware
196,2021-04-15,708.0,Flagpole Hardware
197,2021-04-16,870.0,Flagpole Hardware
198,2021-04-17,942.0,Flagpole Hardware
199,2021-04-18,942.0,Flagpole Hardware
200,2021-04-19,878.0,Flagpole Hardware
201,2021-04-20,1058.0,Flagpole Hardware
202,2021-04-21,1220.0,Flagpole Hardware
203,2021-04-22,1220.0,Flagpole Hardware
204,2021-04-23,1265.0,Flagpole Hardware
205,2021-04-24,1265.0,Flagpole Hardware
206,2021-04-25,1265.0,Flagpole Hardware
207,2021-04-26,865.0,Flagpole Hardware
208,2021-04-27,865.0,Flagpole Hardware
209,2021-04-28,1119.0,Flagpole Hardware
210,2021-04-29,1318.0,Flagpole Hardware
211,2021-04-30,1285.0,Flagpole Hardware
212,2021-05-01,1285.0,Flagpole Hardware
213,2021-05-02,1354.0,Flagpole Hardware
214,2021-05-03,1409.0,Flagpole Hardware
215,2021-05-04,1409.0,Flagpole Hardware
216,2021-05-05,1549.0,Flagpole Hardware
217,2021-05-06,1527.0,Flagpole Hardware
218,2021-05-07,1747.0,Flagpole Hardware
219,2021-05-08,1679.0,Flagpole Hardware
220,2021-05-09,1679.0,Flagpole Hardware
221,2021-05-10,1658.0,Flagpole Hardware
222,2021-05-11,1658.0,Flagpole Hardware
223,2021-05-12,1392.0,Flagpole Hardware
224,2021-05-13,1615.0,Flagpole Hardware
225,2021-05-14,1615.0,Flagpole Hardware
226,2021-05-15,1615.0,Flagpole Hardware
227,2021-05-16,1564.0,Flagpole Hardware
228,2021-05-17,1564.0,Flagpole Hardware
229,2021-05-18,1349.0,Flagpole Hardware
230,2021-05-19,1533.0,Flagpole Hardware
231,2021-05-20,1466.0,Flagpole Hardware
232,2021-05-21,1466.0,Flagpole Hardware
233,2021-05-22,1328.0,Flagpole Hardware
234,2021-05-23,1328.0,Flagpole Hardware
235,2021-05-24,1395.0,Flagpole Hardware
236,2021-05-25,1288.0,Flagpole Hardware
237,2021-05-26,1288.0,Flagpole Hardware
238,2021-05-27,963.0,Flagpole Hardware
239,2021-05-28,718.0,Flagpole Hardware
240,2021-05-29,718.0,Flagpole Hardware
241,2021-05-30,967.0,Flagpole Hardware
242,2021-05-31,967.0,Flagpole Hardware
243,2021-06-01,941.0,Flagpole Hardware
244,2021-06-02,941.0,Flagpole Hardware
245,2021-06-03,1076.0,Flagpole Hardware
246,2021-06-04,997.0,Flagpole Hardware
247,2021-06-05,977.0,Flagpole Hardware
248,2021-06-06,1120.0,Flagpole Hardware
249,2021-06-07,1120.0,Flagpole Hardware
250,2021-06-08,1600.0,Flagpole Hardware
251,2021-06-09,1600.0,Flagpole Hardware
252,2021-06-10,1497.0,Flagpole Hardware
253,2021-06-11,1696.0,Flagpole Hardware
254,2021-06-12,1440.0,Flagpole Hardware
255,2021-06-13,1436.0,Flagpole Hardware
256,2021-06-14,1436.0,Flagpole Hardware
257,2021-06-15,3112.0,Flagpole Hardware
258,2021-06-16,2072.0,Flagpole Hardware
259,2021-06-17,1781.0,Flagpole Hardware
260,2021-06-18,1781.0,Flagpole Hardware
261,2021-06-19,1489.0,Flagpole Hardware
262,2021-06-20,1413.0,Flagpole Hardware
263,2021-06-21,1413.0,Flagpole Hardware
264,2021-06-22,1876.0,Flagpole Hardware
265,2021-06-23,1794.0,Flagpole Hardware
266,2021-06-24,1794.0,Flagpole Hardware
267,2021-06-25,1374.0,Flagpole Hardware
268,2021-06-26,1374.0,Flagpole Hardware
269,2021-06-27,1374.0,Flagpole Hardware
270,2021-06-28,716.0,Flagpole Hardware
271,2021-06-29,382679.0,Flagpole Hardware
272,2021-06-30,626.0,Flagpole Hardware
273,2021-07-01,635.0,Flagpole Hardware
274,2021-07-02,707.0,Flagpole Hardware
275,2021-07-03,977.0,Flagpole Hardware
276,2021-07-04,977.0,Flagpole Hardware
277,2021-07-05,985.0,Flagpole Hardware
278,2021-07-06,1157.0,Flagpole Hardware
279,2021-07-07,1157.0,Flagpole Hardware
280,2021-07-08,1508.0,Flagpole Hardware
281,2021-07-09,1508.0,Flagpole Hardware
282,2021-07-10,1728.0,Flagpole Hardware
