,date,value,name_B08HYHZLQN
220,2021-04-28,11639.0,LED Bulbs
221,2021-04-29,11639.0,LED Bulbs
222,2021-04-30,11639.0,LED Bulbs
223,2021-05-01,11639.0,LED Bulbs
224,2021-05-02,11639.0,LED Bulbs
225,2021-05-03,11639.0,LED Bulbs
226,2021-05-04,10689.0,LED Bulbs
227,2021-05-05,10689.0,LED Bulbs
228,2021-05-06,10689.0,LED Bulbs
229,2021-05-07,10689.0,LED Bulbs
230,2021-05-08,14316.0,LED Bulbs
231,2021-05-09,14316.0,LED Bulbs
232,2021-05-10,14316.0,LED Bulbs
233,2021-05-11,14316.0,LED Bulbs
234,2021-05-12,14392.0,LED Bulbs
235,2021-05-13,14392.0,LED Bulbs
236,2021-05-14,14392.0,LED Bulbs
237,2021-05-15,14392.0,LED Bulbs
238,2021-05-16,14392.0,LED Bulbs
239,2021-05-17,16901.0,LED Bulbs
240,2021-05-18,14559.0,LED Bulbs
241,2021-05-19,14559.0,LED Bulbs
242,2021-05-20,15543.0,LED Bulbs
243,2021-05-21,15543.0,LED Bulbs
244,2021-05-22,15543.0,LED Bulbs
245,2021-05-23,15543.0,LED Bulbs
246,2021-05-24,12382.0,LED Bulbs
247,2021-05-25,12382.0,LED Bulbs
248,2021-05-26,12382.0,LED Bulbs
249,2021-05-27,7008.0,LED Bulbs
250,2021-05-28,6933.0,LED Bulbs
251,2021-05-29,6933.0,LED Bulbs
252,2021-05-30,6933.0,LED Bulbs
253,2021-05-31,6692.0,LED Bulbs
254,2021-06-01,6692.0,LED Bulbs
255,2021-06-02,6692.0,LED Bulbs
256,2021-06-03,11217.0,LED Bulbs
257,2021-06-04,11217.0,LED Bulbs
258,2021-06-05,11217.0,LED Bulbs
259,2021-06-06,11217.0,LED Bulbs
260,2021-06-07,11217.0,LED Bulbs
261,2021-06-08,12840.0,LED Bulbs
262,2021-06-09,12840.0,LED Bulbs
263,2021-06-10,12840.0,LED Bulbs
264,2021-06-11,12840.0,LED Bulbs
265,2021-06-12,12840.0,LED Bulbs
266,2021-06-13,11573.0,LED Bulbs
267,2021-06-14,13024.0,LED Bulbs
268,2021-06-15,13024.0,LED Bulbs
269,2021-06-16,13024.0,LED Bulbs
270,2021-06-17,13959.0,LED Bulbs
271,2021-06-18,11847.0,LED Bulbs
272,2021-06-19,11847.0,LED Bulbs
273,2021-06-20,12258.0,LED Bulbs
274,2021-06-21,12258.0,LED Bulbs
275,2021-06-22,12258.0,LED Bulbs
276,2021-06-23,3734.0,LED Bulbs
277,2021-06-24,3734.0,LED Bulbs
278,2021-06-25,3734.0,LED Bulbs
279,2021-06-26,3734.0,LED Bulbs
280,2021-06-27,6635.0,LED Bulbs
281,2021-06-28,6635.0,LED Bulbs
282,2021-06-29,6635.0,LED Bulbs
283,2021-06-30,8380.0,LED Bulbs
284,2021-07-01,8380.0,LED Bulbs
285,2021-07-02,8380.0,LED Bulbs
286,2021-07-03,10213.0,LED Bulbs
287,2021-07-04,10213.0,LED Bulbs
288,2021-07-05,9298.0,LED Bulbs
289,2021-07-06,9298.0,LED Bulbs
290,2021-07-07,9298.0,LED Bulbs
291,2021-07-08,9298.0,LED Bulbs
292,2021-07-09,5238.0,LED Bulbs
293,2021-07-10,5238.0,LED Bulbs
294,2021-07-11,4656.0,LED Bulbs
