,date,value,name_B08MV3JV4Y
79,2021-03-30,27057.0,Pizza Grilling Stones
80,2021-03-31,27057.0,Pizza Grilling Stones
81,2021-04-01,12106.0,Pizza Grilling Stones
82,2021-04-02,12106.0,Pizza Grilling Stones
83,2021-04-03,12106.0,Pizza Grilling Stones
84,2021-04-04,6624.0,Pizza Grilling Stones
85,2021-04-05,6624.0,Pizza Grilling Stones
86,2021-04-06,6624.0,Pizza Grilling Stones
87,2021-04-07,13031.0,Pizza Grilling Stones
88,2021-04-08,13031.0,Pizza Grilling Stones
89,2021-04-09,13031.0,Pizza Grilling Stones
90,2021-04-10,9475.0,Pizza Grilling Stones
91,2021-04-11,9475.0,Pizza Grilling Stones
92,2021-04-12,9844.0,Pizza Grilling Stones
93,2021-04-13,11050.0,Pizza Grilling Stones
94,2021-04-14,16229.0,Pizza Grilling Stones
95,2021-04-15,16229.0,Pizza Grilling Stones
96,2021-04-16,16229.0,Pizza Grilling Stones
97,2021-04-17,16229.0,Pizza Grilling Stones
98,2021-04-18,16229.0,Pizza Grilling Stones
99,2021-04-19,14798.0,Pizza Grilling Stones
100,2021-04-20,14798.0,Pizza Grilling Stones
101,2021-04-21,21153.0,Pizza Grilling Stones
102,2021-04-22,21153.0,Pizza Grilling Stones
103,2021-04-23,21153.0,Pizza Grilling Stones
104,2021-04-24,21153.0,Pizza Grilling Stones
105,2021-04-25,21153.0,Pizza Grilling Stones
106,2021-04-26,27464.0,Pizza Grilling Stones
107,2021-04-27,27464.0,Pizza Grilling Stones
108,2021-04-28,13921.0,Pizza Grilling Stones
109,2021-04-29,13921.0,Pizza Grilling Stones
110,2021-04-30,13921.0,Pizza Grilling Stones
111,2021-05-01,13921.0,Pizza Grilling Stones
112,2021-05-02,17945.0,Pizza Grilling Stones
113,2021-05-03,17945.0,Pizza Grilling Stones
114,2021-05-04,17945.0,Pizza Grilling Stones
115,2021-05-05,17945.0,Pizza Grilling Stones
116,2021-05-06,7458.0,Pizza Grilling Stones
117,2021-05-07,10293.0,Pizza Grilling Stones
118,2021-05-08,10293.0,Pizza Grilling Stones
119,2021-05-09,16640.0,Pizza Grilling Stones
120,2021-05-10,16640.0,Pizza Grilling Stones
121,2021-05-11,16640.0,Pizza Grilling Stones
122,2021-05-12,6344.0,Pizza Grilling Stones
123,2021-05-13,7025.0,Pizza Grilling Stones
124,2021-05-14,7850.0,Pizza Grilling Stones
125,2021-05-15,7850.0,Pizza Grilling Stones
126,2021-05-16,13980.0,Pizza Grilling Stones
127,2021-05-17,13980.0,Pizza Grilling Stones
128,2021-05-18,6011.0,Pizza Grilling Stones
129,2021-05-19,6011.0,Pizza Grilling Stones
130,2021-05-20,4586.0,Pizza Grilling Stones
131,2021-05-21,4586.0,Pizza Grilling Stones
132,2021-05-22,4183.0,Pizza Grilling Stones
133,2021-05-23,4183.0,Pizza Grilling Stones
134,2021-05-24,5634.0,Pizza Grilling Stones
135,2021-05-25,5634.0,Pizza Grilling Stones
136,2021-05-26,9116.0,Pizza Grilling Stones
137,2021-05-27,9523.0,Pizza Grilling Stones
138,2021-05-28,11615.0,Pizza Grilling Stones
139,2021-05-29,14352.0,Pizza Grilling Stones
140,2021-05-30,14352.0,Pizza Grilling Stones
141,2021-05-31,14859.0,Pizza Grilling Stones
142,2021-06-01,17057.0,Pizza Grilling Stones
143,2021-06-02,18039.0,Pizza Grilling Stones
144,2021-06-03,18747.0,Pizza Grilling Stones
145,2021-06-04,18747.0,Pizza Grilling Stones
146,2021-06-05,15344.0,Pizza Grilling Stones
147,2021-06-06,16216.0,Pizza Grilling Stones
148,2021-06-07,15409.0,Pizza Grilling Stones
149,2021-06-08,13107.0,Pizza Grilling Stones
150,2021-06-09,14411.0,Pizza Grilling Stones
151,2021-06-10,14098.0,Pizza Grilling Stones
152,2021-06-11,14098.0,Pizza Grilling Stones
153,2021-06-12,10976.0,Pizza Grilling Stones
154,2021-06-13,12350.0,Pizza Grilling Stones
155,2021-06-14,13062.0,Pizza Grilling Stones
156,2021-06-15,13598.0,Pizza Grilling Stones
157,2021-06-16,14463.0,Pizza Grilling Stones
158,2021-06-17,24776.0,Pizza Grilling Stones
159,2021-06-18,16611.0,Pizza Grilling Stones
160,2021-06-19,18603.0,Pizza Grilling Stones
161,2021-06-20,22355.0,Pizza Grilling Stones
162,2021-06-21,19065.0,Pizza Grilling Stones
163,2021-06-22,16231.0,Pizza Grilling Stones
164,2021-06-23,16231.0,Pizza Grilling Stones
165,2021-06-24,18454.0,Pizza Grilling Stones
166,2021-06-25,18454.0,Pizza Grilling Stones
167,2021-06-26,20773.0,Pizza Grilling Stones
168,2021-06-27,13929.0,Pizza Grilling Stones
169,2021-06-28,19734.0,Pizza Grilling Stones
170,2021-06-29,19734.0,Pizza Grilling Stones
171,2021-06-30,14169.0,Pizza Grilling Stones
172,2021-07-01,14169.0,Pizza Grilling Stones
173,2021-07-02,14027.0,Pizza Grilling Stones
174,2021-07-03,14027.0,Pizza Grilling Stones
175,2021-07-04,14027.0,Pizza Grilling Stones
176,2021-07-05,14027.0,Pizza Grilling Stones
177,2021-07-06,14027.0,Pizza Grilling Stones
178,2021-07-07,9130.0,Pizza Grilling Stones
179,2021-07-08,9130.0,Pizza Grilling Stones
180,2021-07-09,9130.0,Pizza Grilling Stones
181,2021-07-10,10220.0,Pizza Grilling Stones
