,date,value,name_B08G1W8RH2
70,2020-11-14,3234.0,Incense
71,2020-11-15,3234.0,Incense
72,2020-11-16,5449.0,Incense
73,2020-11-17,5052.0,Incense
74,2020-11-18,3638.0,Incense
75,2020-11-19,3887.0,Incense
76,2020-11-20,4059.0,Incense
77,2020-11-21,4059.0,Incense
78,2020-11-22,4059.0,Incense
79,2020-11-23,6215.0,Incense
80,2020-11-24,5468.0,Incense
81,2020-11-25,5468.0,Incense
82,2020-11-26,5468.0,Incense
83,2020-11-27,8379.0,Incense
84,2020-11-28,8379.0,Incense
85,2020-11-29,8379.0,Incense
86,2020-11-30,8379.0,Incense
87,2020-12-01,12317.0,Incense
88,2020-12-02,10334.0,Incense
89,2020-12-03,10334.0,Incense
90,2020-12-04,10360.0,Incense
91,2020-12-05,10360.0,Incense
92,2020-12-06,10360.0,Incense
93,2020-12-07,16657.0,Incense
94,2020-12-08,17255.0,Incense
95,2020-12-09,17255.0,Incense
96,2020-12-10,13097.0,Incense
97,2020-12-11,13097.0,Incense
98,2020-12-12,12366.0,Incense
99,2020-12-13,11794.0,Incense
100,2020-12-14,7250.0,Incense
101,2020-12-15,7222.0,Incense
102,2020-12-16,6158.0,Incense
103,2020-12-17,6038.0,Incense
104,2020-12-18,4154.0,Incense
105,2020-12-19,4154.0,Incense
106,2020-12-20,1561.0,Incense
107,2020-12-21,2276.0,Incense
108,2020-12-22,2500.0,Incense
109,2020-12-23,2852.0,Incense
110,2020-12-24,2904.0,Incense
111,2020-12-25,3206.0,Incense
112,2020-12-26,3324.0,Incense
113,2020-12-27,3883.0,Incense
114,2020-12-28,4446.0,Incense
115,2020-12-29,3678.0,Incense
116,2020-12-30,2867.0,Incense
117,2020-12-31,3173.0,Incense
118,2021-01-01,3610.0,Incense
119,2021-01-02,4954.0,Incense
120,2021-01-03,7361.0,Incense
121,2021-01-04,11237.0,Incense
122,2021-01-05,9893.0,Incense
123,2021-01-06,6100.0,Incense
124,2021-01-07,6100.0,Incense
125,2021-01-08,5273.0,Incense
126,2021-01-09,5273.0,Incense
127,2021-01-10,5273.0,Incense
128,2021-01-11,6623.0,Incense
129,2021-01-12,6623.0,Incense
130,2021-01-13,6623.0,Incense
131,2021-01-14,4803.0,Incense
132,2021-01-15,4803.0,Incense
133,2021-01-16,4289.0,Incense
134,2021-01-17,5796.0,Incense
135,2021-01-18,5326.0,Incense
136,2021-01-19,6907.0,Incense
137,2021-01-20,6907.0,Incense
138,2021-01-21,6907.0,Incense
139,2021-01-22,4935.0,Incense
140,2021-01-23,3821.0,Incense
141,2021-01-24,3821.0,Incense
142,2021-01-25,5611.0,Incense
143,2021-01-26,5073.0,Incense
144,2021-01-27,5073.0,Incense
145,2021-01-28,5015.0,Incense
146,2021-01-29,4948.0,Incense
147,2021-01-30,4948.0,Incense
148,2021-01-31,5301.0,Incense
149,2021-02-01,5301.0,Incense
150,2021-02-02,5685.0,Incense
151,2021-02-03,5685.0,Incense
152,2021-02-04,5685.0,Incense
153,2021-02-05,5685.0,Incense
154,2021-02-06,5755.0,Incense
155,2021-02-07,5755.0,Incense
156,2021-02-08,6356.0,Incense
157,2021-02-09,6356.0,Incense
158,2021-02-10,6356.0,Incense
159,2021-02-11,6287.0,Incense
160,2021-02-12,6507.0,Incense
161,2021-02-13,6146.0,Incense
162,2021-02-14,6146.0,Incense
163,2021-02-15,6146.0,Incense
164,2021-02-16,5406.0,Incense
165,2021-02-17,5406.0,Incense
166,2021-02-18,5101.0,Incense
167,2021-02-19,4067.0,Incense
168,2021-02-20,4436.0,Incense
169,2021-02-21,4436.0,Incense
170,2021-02-22,4436.0,Incense
171,2021-02-23,4051.0,Incense
172,2021-02-24,4051.0,Incense
173,2021-02-25,4051.0,Incense
174,2021-02-26,5316.0,Incense
175,2021-02-27,5316.0,Incense
176,2021-02-28,5316.0,Incense
177,2021-03-01,6261.0,Incense
178,2021-03-02,6261.0,Incense
179,2021-03-03,2586.0,Incense
180,2021-03-04,2586.0,Incense
181,2021-03-05,2586.0,Incense
182,2021-03-06,3105.0,Incense
183,2021-03-07,3105.0,Incense
184,2021-03-08,3462.0,Incense
185,2021-03-09,3462.0,Incense
186,2021-03-10,3462.0,Incense
187,2021-03-11,2716.0,Incense
188,2021-03-12,2716.0,Incense
189,2021-03-13,2716.0,Incense
190,2021-03-14,2587.0,Incense
191,2021-03-15,2587.0,Incense
192,2021-03-16,1858.0,Incense
193,2021-03-17,1858.0,Incense
194,2021-03-18,1858.0,Incense
195,2021-03-19,2829.0,Incense
196,2021-03-20,3211.0,Incense
197,2021-03-21,3211.0,Incense
198,2021-03-22,3211.0,Incense
199,2021-03-23,3968.0,Incense
200,2021-03-24,3968.0,Incense
201,2021-03-25,3907.0,Incense
202,2021-03-26,3907.0,Incense
203,2021-03-27,3907.0,Incense
204,2021-03-28,3779.0,Incense
205,2021-03-29,3779.0,Incense
206,2021-03-30,3779.0,Incense
207,2021-03-31,2175.0,Incense
208,2021-04-01,3075.0,Incense
209,2021-04-02,3075.0,Incense
210,2021-04-03,2611.0,Incense
211,2021-04-04,2611.0,Incense
212,2021-04-05,2611.0,Incense
213,2021-04-06,3687.0,Incense
214,2021-04-07,3687.0,Incense
215,2021-04-08,2666.0,Incense
216,2021-04-09,2666.0,Incense
217,2021-04-10,3363.0,Incense
218,2021-04-11,3363.0,Incense
219,2021-04-12,4081.0,Incense
220,2021-04-13,4081.0,Incense
221,2021-04-14,3729.0,Incense
222,2021-04-15,3729.0,Incense
223,2021-04-16,3729.0,Incense
224,2021-04-17,3081.0,Incense
225,2021-04-18,3081.0,Incense
226,2021-04-19,4211.0,Incense
227,2021-04-20,4211.0,Incense
228,2021-04-21,3940.0,Incense
229,2021-04-22,3940.0,Incense
230,2021-04-23,3185.0,Incense
231,2021-04-24,3185.0,Incense
232,2021-04-25,4703.0,Incense
233,2021-04-26,4703.0,Incense
234,2021-04-27,4120.0,Incense
235,2021-04-28,4120.0,Incense
236,2021-04-29,5142.0,Incense
237,2021-04-30,5142.0,Incense
238,2021-05-01,5142.0,Incense
239,2021-05-02,7815.0,Incense
240,2021-05-03,7815.0,Incense
241,2021-05-04,5316.0,Incense
242,2021-05-05,5316.0,Incense
243,2021-05-06,4189.0,Incense
244,2021-05-07,4189.0,Incense
245,2021-05-08,4189.0,Incense
246,2021-05-09,6709.0,Incense
247,2021-05-10,8534.0,Incense
248,2021-05-11,8534.0,Incense
249,2021-05-12,6299.0,Incense
250,2021-05-13,6299.0,Incense
251,2021-05-14,7210.0,Incense
252,2021-05-15,7210.0,Incense
253,2021-05-16,7210.0,Incense
254,2021-05-17,10051.0,Incense
255,2021-05-18,10051.0,Incense
256,2021-05-19,8839.0,Incense
257,2021-05-20,9875.0,Incense
258,2021-05-21,9875.0,Incense
259,2021-05-22,9227.0,Incense
260,2021-05-23,10649.0,Incense
261,2021-05-24,10649.0,Incense
262,2021-05-25,10746.0,Incense
263,2021-05-26,5926.0,Incense
264,2021-05-27,5926.0,Incense
265,2021-05-28,5926.0,Incense
266,2021-05-29,6301.0,Incense
267,2021-05-30,6301.0,Incense
268,2021-05-31,8407.0,Incense
269,2021-06-01,10198.0,Incense
270,2021-06-02,10198.0,Incense
271,2021-06-03,8153.0,Incense
272,2021-06-04,6712.0,Incense
273,2021-06-05,8269.0,Incense
274,2021-06-06,8269.0,Incense
275,2021-06-07,13349.0,Incense
276,2021-06-08,11861.0,Incense
277,2021-06-09,11861.0,Incense
278,2021-06-10,11861.0,Incense
279,2021-06-11,8593.0,Incense
280,2021-06-12,8593.0,Incense
281,2021-06-13,11097.0,Incense
282,2021-06-14,11097.0,Incense
283,2021-06-15,10069.0,Incense
284,2021-06-16,10069.0,Incense
285,2021-06-17,10069.0,Incense
286,2021-06-18,10839.0,Incense
287,2021-06-19,10839.0,Incense
288,2021-06-20,11616.0,Incense
289,2021-06-21,15217.0,Incense
290,2021-06-22,15217.0,Incense
291,2021-06-23,15217.0,Incense
292,2021-06-24,12728.0,Incense
293,2021-06-25,11689.0,Incense
294,2021-06-26,11689.0,Incense
295,2021-06-27,9673.0,Incense
296,2021-06-28,9673.0,Incense
297,2021-06-29,12379.0,Incense
298,2021-06-30,13223.0,Incense
299,2021-07-01,13223.0,Incense
300,2021-07-02,12617.0,Incense
301,2021-07-03,12617.0,Incense
302,2021-07-04,11035.0,Incense
303,2021-07-05,11035.0,Incense
304,2021-07-06,11035.0,Incense
305,2021-07-07,14705.0,Incense
306,2021-07-08,11164.0,Incense
307,2021-07-09,11164.0,Incense
308,2021-07-10,11164.0,Incense
309,2021-07-11,10573.0,Incense
