,date,value,name_B08M3MGDPJ
52,2021-03-12,143131.0,Pillowcases
53,2021-03-13,70766.0,Pillowcases
54,2021-03-14,70766.0,Pillowcases
55,2021-03-15,70766.0,Pillowcases
56,2021-03-16,70766.0,Pillowcases
57,2021-03-17,113745.0,Pillowcases
58,2021-03-18,113745.0,Pillowcases
59,2021-03-19,113745.0,Pillowcases
60,2021-03-20,113745.0,Pillowcases
61,2021-03-21,178654.0,Pillowcases
62,2021-03-22,178654.0,Pillowcases
63,2021-03-23,178654.0,Pillowcases
64,2021-03-24,195786.0,Pillowcases
65,2021-03-25,164271.0,Pillowcases
66,2021-03-26,164271.0,Pillowcases
67,2021-03-27,164271.0,Pillowcases
68,2021-03-28,88976.0,Pillowcases
69,2021-03-29,88976.0,Pillowcases
70,2021-03-30,88976.0,Pillowcases
71,2021-03-31,88976.0,Pillowcases
72,2021-04-01,120504.0,Pillowcases
73,2021-04-02,148671.0,Pillowcases
74,2021-04-03,148671.0,Pillowcases
75,2021-04-04,148671.0,Pillowcases
76,2021-04-05,148671.0,Pillowcases
77,2021-04-06,148671.0,Pillowcases
78,2021-04-07,148671.0,Pillowcases
79,2021-04-08,148671.0,Pillowcases
80,2021-04-09,148671.0,Pillowcases
81,2021-04-10,148671.0,Pillowcases
82,2021-04-11,148671.0,Pillowcases
83,2021-04-12,148671.0,Pillowcases
84,2021-04-13,148671.0,Pillowcases
85,2021-04-14,148671.0,Pillowcases
86,2021-04-15,148671.0,Pillowcases
87,2021-04-16,148671.0,Pillowcases
88,2021-04-17,148671.0,Pillowcases
89,2021-04-18,148671.0,Pillowcases
90,2021-04-19,148671.0,Pillowcases
91,2021-04-20,148671.0,Pillowcases
92,2021-04-21,148671.0,Pillowcases
93,2021-04-22,148671.0,Pillowcases
94,2021-04-23,148671.0,Pillowcases
95,2021-04-24,148671.0,Pillowcases
96,2021-04-25,148671.0,Pillowcases
97,2021-04-26,148671.0,Pillowcases
98,2021-04-27,148671.0,Pillowcases
99,2021-04-28,148671.0,Pillowcases
100,2021-04-29,148671.0,Pillowcases
101,2021-04-30,148671.0,Pillowcases
102,2021-05-01,148671.0,Pillowcases
103,2021-05-02,148671.0,Pillowcases
104,2021-05-03,148671.0,Pillowcases
105,2021-05-04,148671.0,Pillowcases
106,2021-05-05,148671.0,Pillowcases
107,2021-05-06,148671.0,Pillowcases
108,2021-05-07,346406.0,Pillowcases
109,2021-05-08,346406.0,Pillowcases
110,2021-05-09,346406.0,Pillowcases
111,2021-05-10,346406.0,Pillowcases
112,2021-05-11,346406.0,Pillowcases
113,2021-05-12,346406.0,Pillowcases
114,2021-05-13,137719.0,Pillowcases
115,2021-05-14,137719.0,Pillowcases
116,2021-05-15,137719.0,Pillowcases
117,2021-05-16,137719.0,Pillowcases
118,2021-05-17,162251.0,Pillowcases
119,2021-05-18,162251.0,Pillowcases
120,2021-05-19,162251.0,Pillowcases
121,2021-05-20,223094.0,Pillowcases
122,2021-05-21,223094.0,Pillowcases
123,2021-05-22,223094.0,Pillowcases
124,2021-05-23,223094.0,Pillowcases
125,2021-05-24,223094.0,Pillowcases
126,2021-05-25,55793.0,Pillowcases
127,2021-05-26,57373.0,Pillowcases
128,2021-05-27,57373.0,Pillowcases
129,2021-05-28,37226.0,Pillowcases
130,2021-05-29,17848.0,Pillowcases
131,2021-05-30,22291.0,Pillowcases
132,2021-05-31,29085.0,Pillowcases
133,2021-06-01,29085.0,Pillowcases
134,2021-06-02,22508.0,Pillowcases
135,2021-06-03,22508.0,Pillowcases
136,2021-06-04,22508.0,Pillowcases
137,2021-06-05,22508.0,Pillowcases
138,2021-06-06,37306.0,Pillowcases
139,2021-06-07,37306.0,Pillowcases
140,2021-06-08,37306.0,Pillowcases
141,2021-06-09,41756.0,Pillowcases
142,2021-06-10,41756.0,Pillowcases
143,2021-06-11,41756.0,Pillowcases
144,2021-06-12,47229.0,Pillowcases
145,2021-06-13,47229.0,Pillowcases
146,2021-06-14,47229.0,Pillowcases
147,2021-06-15,38043.0,Pillowcases
148,2021-06-16,38043.0,Pillowcases
149,2021-06-17,38043.0,Pillowcases
150,2021-06-18,38043.0,Pillowcases
151,2021-06-19,38043.0,Pillowcases
152,2021-06-20,38043.0,Pillowcases
153,2021-06-21,22708.0,Pillowcases
154,2021-06-22,19845.0,Pillowcases
155,2021-06-23,24398.0,Pillowcases
156,2021-06-24,24398.0,Pillowcases
157,2021-06-25,24398.0,Pillowcases
158,2021-06-26,24398.0,Pillowcases
159,2021-06-27,24398.0,Pillowcases
160,2021-06-28,50184.0,Pillowcases
161,2021-06-29,50184.0,Pillowcases
162,2021-06-30,92182.0,Pillowcases
163,2021-07-01,92182.0,Pillowcases
164,2021-07-02,71429.0,Pillowcases
165,2021-07-03,71429.0,Pillowcases
166,2021-07-04,71429.0,Pillowcases
167,2021-07-05,71429.0,Pillowcases
168,2021-07-06,101856.0,Pillowcases
169,2021-07-07,101856.0,Pillowcases
170,2021-07-08,61381.0,Pillowcases
171,2021-07-09,61381.0,Pillowcases
172,2021-07-10,61381.0,Pillowcases
173,2021-07-11,193118.0,Pillowcases
